NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Komi-san Can't Communicate #1|1|1|/panini-manga-mx/komi-san/komi-san-01.jpg|192|139.0|MXN|2022-04-20|Tadano es muy tímido, y así es como le gusta que sean las cosas. Pero el primer día de clases se queda en un salón de clases en compañía de la legendaria Komi. ¡Muy pronto se da cuenta de que ella no es distante y ahora se ha propuesto la misión de tener 100 amigos!|978-6-076-36088-0|1|false
Komi-san Can't Communicate #2|2|2|/panini-manga-mx/komi-san/komi-san-02.jpg|192|139.0|MXN|2022-06-08|Komi, la chica más hermosa de la escuela, padece ansiedad social. Cuando se hace amiga de Tadano, un chico muy observador, su círculo de comunicación empieza a abrirse. Ahora entran en escena nuevos personajes: Yadano, que odia perder; Yamai, que aparenta ser normal, y Nakanaka, que imagina situaciones para sentirse especial. Y, ¿acaso está progresando la relación entre Komi y Tadano?|978-6-076-36143-6|1|false
Komi-san Can't Communicate #3|3|3|/panini-manga-mx/komi-san/komi-san-03.jpg|180|139.0|MXN|2022-07-20|Llegan las vacaciones de verano, y Komi quiere salir a divertirse. Pero, ¿Cómo puedes lograrlo cuando no te atreves a hablarle a los demás? Por suerte, ¡cuenta con el entusiasmo de Najimi y Tadano! Así, Komi disfrutará un día en la alberca, su primer trabajo de medio tiempo, una visita a sus abuelos para celebrar el Obon, un festival y una salida con su papá para… ¿conversar? Frases: “Si pones una cara tan sombría, todos se sentirán mal.” —Tadano “No se preocupen por mí y sigan divirtiéndose.” —Komi “En estos momentos, lo mejor es no preocuparse e ir a divertirse.” —Najimi Ver más|978-6-076-36164-1|1|false
Komi-san Can't Communicate #4|4|4|/panini-manga-mx/komi-san/komi-san-04.jpg|184|139.0|MXN|2022-08-24|Por primera vez, Komi-san desea que las vacaciones de verano no terminen. Pero, aunque poco a poco se ha hecho de más amigos, se siente un poco desolada. ¿Qué le sucederá a Komi, si por fin está logrando socializar más? Durante esos últimos días de descanso, Komi debe encontrar cómo animar a Tadano durante un Festival Deportivo, atreverse a comprar un sándwich y a tomarse una fotografía en una máquina.|978-6-076-36293-8|1|false
Komi-san Can't Communicate #5|5|5|/panini-manga-mx/komi-san/komi-san-05.jpg|192|139.0|MXN|2022-09-28|Ha surgido una relación confortable entre Komi-san y Tadano-kun, y quizá sea por eso que un sentimiento nuevo está brotando dentro de la chica hermosa con fobia social. ¿Acaso serán celos? Después, como parte del Festival Cultural, Komi-san intenta repartir volantes, se viste de maid para el café de la clase y es testigo de los alocados planes de Najimi para ganar más dinero.|978-6-076-36372-0|1|false
Komi-san Can't Communicate #6|6|6|/panini-manga-mx/komi-san/komi-san-06.jpg|192|139.0|MXN|2022-10-26|Gracias a Tadano-kun, la distancia de Komi con los demás se ha reducido poco a poco… ¡pero todavía se estresa al ir al karaoke y al Neko Cafe! La proximidad del invierno se siente en el aire, pero los días son cálidos gracias a que la comunicación con sus amigos ha aumentado… y quizá también porque su relación con Tadano-kun ha cambiado un poco. Ver más|978-6-076-36452-9|1|false
Komi-san Can't Communicate #7|7|7|/panini-manga-mx/komi-san/komi-san-07.jpg|192|139.0|MXN|2022-11-23|La experiencia diaria de Komi-san cambia cuando inician las vacaciones de invierno. Siempre veía a sus amigos en la escuela y ahora, aunque quiere invitarlos, no puede hacerlo. ¡Quizá por eso sus compañeros son quienes la buscan! Así, Komi-san acude a su primera fiesta navideña y realiza la primera visita al templo en Año Nuevo. ¡Serán unas vacaciones de invierno muy movidas! Ver más|978-6-076-36520-5|1|false
Komi-san Can't Communicate #8|8|8|/panini-manga-mx/komi-san/komi-san-08.jpg|192|139.0|MXN|2022-12-28|Comienza la primera excursión de Komi-san, la chica hermosa con ansiedad social. Recorre las calles de Kioto con sus compañeros, pasa una noche con todas las chicas, hay una pelea de almohadas y un ofuro, y tiene conversaciones secretas. ¡El tiempo es demasiado preciado como para dormir, así que en su lugar se hará de recuerdos entrañables! Frases No sabía cómo expresar mis deseos. —Komi Las excursiones no son acerca del “dónde”, sino del “con quién”. —Najimi ¿Te divertiste? — Tadano Ver más|978-6-076-36626-4|1|false
Komi-san Can't Communicate #9|9|9|/panini-manga-mx/komi-san/komi-san-09.jpg|192|159.0|MXN|2023-01-25|Komi-san se esfuerza en preparar los chocolates de San Valentín para regalárselos a los compañeros con quienes se lleva bien. Ese día, Tadano-kun se siente nervioso desde temprano. Muchos pensamientos cruzan por la mente de Komi-san, se arma de valor y… sale huyendo. Quiere entregar los chocolates, pero ¿no puede?|978-6-076-36655-4|1|false
Komi-san Can't Communicate #10|10|10|/panini-manga-mx/komi-san/komi-san-10.jpg|192|159.0|MXN|2023-02-22|El final del primer año de Komi-san está próximo, justo cuando se ha hecho amiga de todos. En su segundo año conocerá a Manbagi-san, quien en contraste con su apariencia llamativa, parece tener problemas para hacer amigos. En este nuevo entorno y con la ansiedad de siempre, Komi-san empezará a hilar palabras. Frases: Estar a su lado es divertido. —Komi ¡¿Hay alguien que te guste ahora?! —Manbagi Me pareciste más linda sin maquillaje. — Tadano Ver más|978-6-076-36719-3|1|false
