NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Kuroko no Basket #1|1|1|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-01.jpg|200|99|MXN|2018-02-28|Comienza la historia del encuentro entre Taiga Kagami, un chico recién inscrito en el club de basquetbol de la Preparatoria Seirin y el tímido joven Tetsuya Kuroko. Kagami queda desencantado del equipo al ver a este chico (Kuroko) de débil presencia. Sin embargo, resulta que fue parte de la “Generación de los milagros” un legendario equipo de basquetbol de secundaria.|978-6-075-28981-6|1|FALSE
Kuroko no Basket #2|2|2|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-02.jpg|200|99|MXN|2018-03-28|Los cinco jugadores del equipo de basquetbol de la Escuela Secundaria Teiko eran conocidos como la “Generación de los milagros” por su portentoso talento. En el equipo también había un “sexto jugador fantasma”: Se trata de Tetsuya Kuroko, un chico con habilidades físicas inferiores, pero con una extraordinaria capacidad para hacer pases “invisibles”. Kuroko ahora está en primer año de preparatoria y pertenece al club de basquetbol de la Escuela Seirin. Su entrenadora está preparando al equipo para practicar en un partido amistoso con la Preparatoria Kaijo, donde juega Kise, uno de los jugadores de la famosa “Generación de los milagros”. Durante el encuentro, la diferencia de puntos va aumentando, lo que obliga a marcar a Kise, pero… ¡¿Será Kuroko quien lo hará?!|978-6-075-48004-6|1|FALSE
Kuroko no Basket #3|3|3|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-03.jpg|200|99|MXN|2018-04-25|La Preparatoria Seirin ha ganando fácilmente sus encuentros en las preliminares del Interpreparatoriano. Sin embargo, antes de llegar a la final de liga, deben enfrentarse a la soberana del norte: la Preparatoria Seiho. Es necesario vencerla si quieren enfrentarse a la Preparatoria Shutoku donde juega Midorima, uno de los chicos de la “Generación de los milagros”. ¡¿Qué estrategia llevarán a cabo Kuroko y sus compañeros para ganar?!|978-6-075-48021-3|1|FALSE
Kuroko no Basket #4|4|4|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-04.jpg|200|99|MXN|2018-05-30|"¡Comienza la final del Grupo A! Seirin se enfrenta a Shutoku, equipo que cuenta con Midorima: el tirador número 1 de la ""Generación de los milagros"", quien toma la ventaja durante el primer cuarto con sus infalibles tiros de tres puntos. La habilidad de Kuroko es ineficaz contra las medidas tomadas por Shutoku. ¡Sin olvidar el ataque continuo a Seirin con los increíbles tiros de larga distancia de Midorima! ¡Comienza el desafío!"|978-6-075-48166-1|1|FALSE
Kuroko no Basket #5|5|5|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-05.jpg|200|99|MXN|2018-06-27|¡Los equipos Seirin y Shutoku disputan el pase a la final de la liga! ¡Gracias al empuje de Kagami, los ánimos se han levantado en Seirin! ¡¿Cómo acabará el encuentro?! Un Nuevo personaje hace su aparición frente al Club de basquetbol de Seirin.|978-6-075-48214-9|1|FALSE
Kuroko no Basket #6|6|6|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-06.jpg|192|99|MXN|2018-08-01|¿Quién es el sexto jugador fantasma del equipo de basquetbol de la Preparatoria Seirin? Un encuentro extenuante en el primer partido de la final de la liga permite que el conjunto de Midorima se dé cuenta del enemigo al que enfrentan en la duela.|978-6-075-48266-8|1|FALSE
Kuroko no Basket #7|7|7|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-07.jpg|200|99|MXN|2018-08-29|El club de basquetbol de la Preparatoria Seirin fue derrotado en la Final de liga y busca la manera de recuperarse y Teppei Kiyoshi, fundador del equipo, es un elemento clave para lograrlo y cumplir un solo objetivo: llegar y triunfar en el torneo más importante del año, la Winter Cup. El crecimiento grupal e individual será la clave para alcanzar las metas y aquí empieza la gestación de un equipo que será renovado desde la raíz.|978-6-075-48305-4|1|FALSE
Kuroko no Basket #8|8|8|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-08.jpg|200|99|MXN|2018-09-26|Después de la devastadora derrota de Seirin en el Interpreparatoriano, el equipo se fijó una nueva meta: entrenar para la Winter Cup. ¡Durante su concentración de entrenamiento de verano se encuentran por casualidad con todo el equipo de Shutoku, por lo que deciden tener un encuentro amistoso de entrenamiento! Allí, Kagami y Kuroko resuelven desarrollar un nuevo estilo de basquetbol. Inesperadamente, durante el encuentro, Midorima da varios consejos a Kagami para que mejore su juego.|978-6-075-48388-7|1|FALSE
Kuroko no Basket #9|9|9|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-09.jpg|208|99|MXN|2018-10-31|"Termina el encuentro entre Touou y Kaijo. Los miembros de Seirin, al presenciar el tremendo mano a mano, se llenan de entusiasmo y no paran de entrenar. Un día se abre un torneo de street basketball y, al tener un descanso del entrenamiento, los de primero deciden participar. Sin embargo, el evento resulta ser más de lo que parece, pues Kagami se topa con su antiguo ""hermano mayor"" y el resto del equipo conoce al inquietante Atsushi Murasakibara."|978-6-075-48435-8|1|FALSE
Kuroko no Basket #10|10|10|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-10.jpg|200|99|MXN|2018-12-05|Con la Winter Cup a la vuelta de la esquina, Kiyoshi se reintegra al equipo de Seirin; ahora, junto con la fuerza de Kagami y la técnica de Kuroko, ¡el equipo está completo! Necesitarán toda su habilidad para sus partidos contra Josei, Senshinkan, y especialmente Shutoku. En este último encuentro es donde Seirin tendrá su prueba más ardua, pues Midorima, de la Generación de los Milagros, los deja sobre las cuerdas. Kuroko se ve obligado a irse a la banca, pero cuando la situación se torna más áspera, decide regresar a probar su nuevo e imparable drible...|978-6-075-48504-1|1|FALSE
Kuroko no Basket #11|11|11|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-11.jpg|200|99|MXN|2018-12-19|¡El impresionante partido entre Seirin y Shutoku está por terminar! La batalla es ardua pues Kuroko desempeña un gran papel gracias a su nuevo drible, pero Midorima no cede y continua con sus disparos de tres puntos; las habilidades de estos talentosos jugadores desembocarán en un resultado inesperado. Tras el partido, Hyuga le cuenta a Kuroko y a Kagami cómo fue que Kiyoshi fundó el equipo de basquetbol y fue herido poco después por un integrante de Kirisaki Daichii, su próximo oponente en el camino a la Winter Cup.|978-6-075-48547-8|1|FALSE
Kuroko no Basket #12|12|12|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-12.jpg|200|99|MXN|2019-01-30|Seirin disputa el partido para decidir quién llegará a la Winter Cup, y su enemigo es nada menos que Kirisaki Daiichi, el equipo infame por sus tácticas sucias y peligrosas. Durante el partido intentan lesionar a los integrantes de Seirin, pero Kiyoshi lo impide con sus estrategias y su defensa férrea; no obstante, Hanamiya y Kentaro, los ases de Kirisaki, emplean su alta inteligencia para p redecir los movimientos de sus oponentes y robar todos sus pases, ¡pero Kuroko, Kagami y los demás no están dispuestos a perder ante contrincantes tan cobardes!|978-6-075-48674-1|1|FALSE
Kuroko no Basket #13|13|13|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-13.jpg|200|99|MXN|2019-02-27|Los integrantes de Seirin deciden relajarse en un onsen, pero se encuentran con los chicos de Touou Gakuen, quienes les informan que su primer partido de la Winter Cup será contra ellos; debido a la impactante noticia, el padre de Riko entrena arduamente a Kuroko y compañía mientras Kagami viaja a Estados Unidos para practicar con el maestro que lo instruyó en el basquetbol. El día del torneo, Kuroko recibe un mensaje inesperado de Akashi, antiguo capitán de la Generación de los Milagros.|978-6-075-48782-3|1|FALSE
Kuroko no Basket #14|14|14|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-14.jpg|200|99|MXN|2019-03-27|Seirin da su mejor esfuerzo en el partido contra Touou, al grado de que el liderazgo cambia de un momento a otro, sin que ningún equipo tome ventaja considerable; no obstante, Kuroko es derrotado por Aomine, quien contrarresta perfectamente el Vanishing Drive y el Ignite Pass Kai; entonces, cuando el ánimo de Seirin está por los suelos, el instinto salvaje de Aomine despierta y, para sorpresa de todos, comienza a jugar a la par con Aomine. ¡¿Incluso será capaz de superarlo?!|978-6-075-48808-0|1|FALSE
Kuroko no Basket #15|15|15|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-15.jpg|200|89|MXN|2019-04-24|Justo cuando todos pensaban que Seirin estaba condenado a la derrota, Kuroko hace gala de una nueva técnica que involucra a todo el equipo y juntos consiguen reducir considerablemente la brecha en el marcador. Pero esto provoca que Aomine se apasione y utilice sus habilidades al ciento por ciento, deteniendo el avance de Seirin.|978-6-075-48895-0|1|FALSE
Kuroko no Basket #16|16|16|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-16.jpg|200|99|MXN|2019-05-29|"El último cuarto del encuentro entre Seirin y Touou está por terminar, y este último lleva cinco puntos de ventaja. Kagami y Aomine se encuentran en la ""zona"", el estado mental que les permite rendir al máximo y, aunque parecen estar a la par, ese equilibrio comienza a romperse. Por otro lado, la brecha en el marcador parece reducirse mientras ambos equipos están a punto de quedarse sin energía. ¿Cuál será la conclusión de este intenso enfrentamiento? ¿Y quién es la chica desnuda que Kagami encuentra en su cama después del juego?"|978-6-075-48970-4|1|FALSE
Kuroko no Basket #17|17|17|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-17.jpg|200|99|MXN|2019-06-26|El partido apenas lleva unos minutos y Seirin está acorralado: las monstruosas dimensiones físicas de Murasakibara, junto con la impecable formación defensiva de Yosen, hacen que parezca imposible anotar una sola canasta. Ante esta perspectiva, el equipo deberá hacer uso de técnicas inusitadas, como usar a Kuroko en la ofensiva directa. Por otro lado, habrá dos enfrentamientos importantes: Kiyoshi contra Murasakibara, quien odia la pasión del primero, y Kagami contra Himuro, su amigo de la infancia.|978-6-076-34035-6|1|FALSE
Kuroko no Basket #18|18|18|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-18.jpg|200|99|MXN|2019-07-24|Seirin sufre una terrible baja cuando Kiyoshi, quien llegó al límite de sus fuerzas tratando de detener el ataque brutal de Murasakibara, se desploma y sale del partido. Ante esta terrible situación, Kuroko comienza a esforzarse al máximo y el equipo hace uso de una nueva formación defensiva diseñada para detener a Yosen. pero sólo logran mantenerse a flote durante poco tiempo, pues el dúo de ases enemigos, Himuro y Murasakibara, es demasiado fuerte.|978-6-076-34122-3|1|FALSE
Kuroko no Basket #19|19|19|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-19.jpg|192|99|MXN|2019-08-28|Gracias a las ásperas palabras de Kise, Kagami se siente espoleado, entra en la Zona y optimiza su nivel de juego a tal grado que presiona seriamente a Yosen; no obstante, cuando Seirin está a punto de eliminar la diferencia de puntos, Murasakibara actúa de manera inesperada, sorprendiendo a propios y a extraños, y libera todo su potencial. ¡Cualquier equipo podría obtener la victoria!|978-6-076-34184-1|1|FALSE
Kuroko no Basket #20|20|20|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-20.jpg|200|99|MXN|2019-09-18|El duelo entre Shogo y Kise llegó a su fin; es momento de que inicie el partido entre Rakuzan y Shutoku. De entrada, este último toma la delantera gracias a los tiros triples de larga distancia de Shintaro; no obstante, Akashi usa su terrible habilidad durante la segunda mitad y Rakuzan toma la delantera. Ante esta severa crisis, Midorima decide confiar plenamente en su equipo y, gracias a su magnífica combinación con Takao, la brecha de puntos comienza a menguar.|978-6-076-34231-2|1|FALSE
Kuroko no Basket #21|21|21|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-21.jpg|192|99|MXN|2019-10-23|El combate de Midorima contra Akashi finalizó; es momento de que inicie el duelo entre Seirin y Kaijo. La estrategia de Riko consiste en obtener una ventaja abrumadora lo más rápido posible, pero Kise los sorprende con su Perfect Copy en el primer cuarto; en consecuencia, Seirin queda muy abajo en el marcador, sus jugadores comienzan a perder los bríos y, para rematar, el Phantom Shot de Kuroko es vencido. ¿podrán recuperarse a tiempo?|978-6-076-34323-4|1|FALSE
Kuroko no Basket #22|22|22|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-22.jpg|192|99|MXN|2019-11-27|Kaijo arrasa al inicio gracias a la tremenda habilidad de Kise, pero su lesión en el pie lo orilla a retirarse tras usar su Perfect Copy durante tres minutos; por supuesto, Kagami y los demás toman ventaja de su ausencia y, tras un enfrentamiento muy parejo, toman la delantera. pero solo consiguen espolear los bríos de los jugadores de Kaijo, especialmente de Kasamatsu, quien destroza la mejor técnica de Kuroko. Por otro lado, Kise reingresa cuando el partido está a punto de terminar.|978-6-076-34372-2|1|FALSE
Kuroko no Basket #23|23|23|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-23.jpg|152|99|MXN|2019-12-25|Gracias a su increíble Perfect Copy, Kise domina totalmente el partido y le da la vuelta al marcador. Parece que todo está decidido; sin embargo, Kuroko idea un plan para tomar por sorpresa a Kaijo en el último minuto. ¿Seirin obtendrá la victoria?|978-6-076-34435-4|1|FALSE
Kuroko no Basket #24|24|24|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-24.jpg|152|99|MXN|2020-01-29|Si bien Kuroko superó el examen para integrarse al primer equipo de Teiko, su siguiente prueba consiste en destacar durante los partidos oficiales, pero, debido a su inexperiencia y a sus nervios, comienza con el pie izquierdo y el mánager del club considera expulsarlo. Por otro lado, Teiko comienza a reclamar victoria tras victoria; no obstante, dentro del grupo se genera una atmósfera de abulia, discordia y preocupación.|978-6-076-34555-9|1|FALSE
Kuroko no Basket #25|25|25|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-25.jpg|152|99|MXN|2020-02-26|El potencial de la Generación de los Milagros supera toda expectativa y, gracias a sus monstruosas habilidades, logran que Teiko se consolide como el campeón indiscutible; no obstante, esto no los hace felices, sino que les genera sensaciones de apatía, enemistad y fastidio. Poco a poco comienzan a considerarse rivales. y todo empeora cuando Akashi comete un acto terrible que quiebra el espíritu de Kuroko.|978-6-076-34631-0|1|FALSE
Kuroko no Basket #26|26|26|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-26.jpg|152|99|MXN|2020-03-25|En la final de la Winter Cup, los chicos de Seirin aprenden con dolor que las mejores jugadas, los trucos más astutos y los jugadores más sagaces no siempre son la clave para ganar. Y cuando todo empieza a estar perdido, algo deberá levantarlos para que se hagan con el anhelado triunfo. Pero Kuroko, el más afectado, parece no tener tiempo para cambiar de estrategia antes de que la preparatoria Rakuzan vuelva a encestar. ¡Deja todo en la duela con el tomo 26 de Kuroko no Basket!|978-6-076-34689-1|1|FALSE
Kuroko no Basket #27|27|27|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-27.jpg|152|99|MXN|2020-06-17|La inesperada pérdida de habilidad de Kuroko es un golpe severo para los jugadores de Seirin, quienes de alguna manera consiguen mantenerse a la par con Rakuzan durante el primer cuarto de la final; no obstante, el segundo está lleno de dificultades: Hyuga es superado por los tiros de Reo, Kiyoshi no es capaz de detener la fuerza arrolladora de Nebuya y, por si fuera poco, Mayuzumi demuestra ser mejor que Kuroko en todo sentido.|978-6-076-34738-6|1|FALSE
Kuroko no Basket #28|28|28|/panini-manga-mx/kuroko-no-basket/kuroko-no-basket-28.jpg|152|99|MXN|2020-07-15|Recién iniciada la segunda mitad de la final, Hyuga comete su cuarta falta y se ve obligado a irse a la banca, lo cual agrava la difícil situación de Seirin; no obstante, Kuroko no está dispuesto a perder y regresa al partido con bríos renovados. Por su parte, Kagami entra en la zona y le hace frente a Akashi; gracias a ello, el equipo recupera la esperanza y mejora su desempeño, pero la brecha de puntos apenas se reduce.|978-6-076-34795-9|1|FALSE
