NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Kutei Dragons: Dragones Voladores #1|1|1|/panini-manga-mx/kutei-dragons/kutei-dragons-01.jpg|200|119.0|MXN|2020-02-12|"Dragones voladores. Criaturas hermosas, temibles y ¡muy pero muy sabrosas! Eso lo saben bien los miembros de la tripulación de la Quin Zaza, expertos cazadores de dragones y aventureros que viajan por todo el mundo enfrentándose a estos animales ancestrales. ""No hay nadie que haya visto todos los dragones de este mundo"". ¿Quieren ser ustedes los primeros?"|978-6-076-34633-4|1|false
Kutei Dragons: Dragones Voladores #2|2|2|/panini-manga-mx/kutei-dragons/kutei-dragons-02.jpg|192|119.0|MXN|2020-06-17|Después de meses sin pisar tierra, la tripulación de la Quin Zaza espera ansiosa la llegada al puerto de Quon, una de las ciudades más importantes entre los cazadores de dragones. ¡Pero no llegan solos! Otra nave, más grande y mucho más impresionante, también atraca en el puerto, y lo que lleva consigo es... ¡el dragón más grande que Mika y los demás hayan visto! Pero, ups... Tal vez no esté del todo muerto...|978-6-076-34737-9|1|false
Kutei Dragons: Dragones Voladores #3|3|3|/panini-manga-mx/kutei-dragons/kutei-dragons-03.jpg|208|119.0|MXN|2020-08-19|¡Creían que ya lo habían visto todo, pero la tripulación de la Quin Zaza se encuentra con una nueva sorpresa en cada uno de sus viajes! En esta ocasión, una bandada de dragones migratorios se cruza en su camino. Parece un trabajo fácil, pero en un descuido, Takita se precipita al vacío abrazada al dragón que estaba cazando... ¿Logrará la joven tripulante regresar con sus amigos?|978-6-076-34878-9|1|false
Kutei Dragons: Dragones Voladores #4|4|4|/panini-manga-mx/kutei-dragons/kutei-dragons-04.jpg|208|119.0|MXN|2020-10-21|Después de chocar con una nave desconocida, la Quin Zaza se ve obligada a aterrizar sin posibilidad de volver a volar. Las reparaciones cuestan más de lo que les queda y las opciones de salvar el negocio son prácticamente nulas. Todo está en manos de Jiro y Varnabell, quienes deciden tomar la iniciativa e ir tras la nave que los dejó en esta lamentable situación. Sin embargo, la tripulación de esa nave parece un poco extravagante. ¿Lograrán entenderse y luchar juntos contra un dragón desquiciado que amenaza con exterminar a todos los que se cruzan en su camino?|978-6-075-68044-6|1|false
Kutei Dragons: Dragones Voladores #5|5|5|/panini-manga-mx/kutei-dragons/kutei-dragons-05.jpg|192|119.0|MXN|2021-01-20|Después de la tormenta viene la calma y por fin nuestros amigos pueden disfrutar de unas cortas pero más que merecidas vacaciones en la cosmopolita ciudad de Harley. Sin embargo, todo el mundo tiene un pasado y algunos van a reencontrarse con él. ¿Cómo llegó Varnabell a la Quin Zaza? ¿Cómo era Mika antes de volverse el cazador de dragones que conocemos? Las respuestas te están esperando en este nuevo y revelador tomo, ¡un emocionante viaje al pasado de nuestros compañeros!|978-6-075-68136-8|1|false
Kutei Dragons: Dragones Voladores #6|6|6|/panini-manga-mx/kutei-dragons/kutei-dragons-06.jpg|192|119.0|MXN|2021-03-17|Mika jamás se habría convertido en el cazador de dragones que nos encanta si no hubiera conocido a Kujo, su maestro. Pero ¿por qué se separaron? ¿Qué fue de su amistad? ¡La leyenda de Kujo Landau continúa! ¡Nuevos peligros, deliciosos manjares y toneladas de testosterona! ¡El tomo 6 ya está aquí!|978-6-075-68267-9|1|false
Kutei Dragons: Dragones Voladores #7|7|7|/panini-manga-mx/kutei-dragons/kutei-dragons-07.jpg|192|119.0|MXN|2021-06-02|La Quin Zaza pone rumbo a un nuevo destino: Mayuro, una ciudad cosmopolita y entregada al comercio. Sin embargo, el viaje será largo y, antes de llegar, conoceremos algunos de los secretos que esconden sus tripulantes. ¿Cuándo surgió la incorruptible amistad entre Soraya y Fay? ¿Qué pasado comparten Lee y Crocco? ¿Y por qué Mayuro? Algo se cuece en esa ciudad, la tierra de los dioses dragones. ¡No se pierdan este séptimo tomo cargado de deliciosas recetas!|978-6-075-68448-2|1|false
Kutei Dragons: Dragones Voladores #8|8|8|/panini-manga-mx/kutei-dragons/kutei-dragons-08.jpg|192|119.0|MXN|2021-07-21|Con el propósito de cazar al dragón más sabroso de todos (y el más apreciado), la tripulación de la Quin Zaza se prepara para emprender una nueva aventura. Esta vez deberán adentrarse en el laberinto de Tian Shan, un valle maldito que ha cobrado la vida de cientos de navegantes, pero no lo harán solos. Kurga y su tripulación les pisan los talones, y los exterminadores no parecen muy dispuestos a hacer amigos... ¿Quién clavará el primer arpón?|978-6-075-68505-2|1|false
Kutei Dragons: Dragones Voladores #9|9|9|/panini-manga-mx/kutei-dragons/kutei-dragons-09.jpg|192|129.0|MXN|2021-09-22|La Quin Zaza logra escapar por poco de las garras de Tifón, un dragón que vuela siempre acompañado de nubes de tormenta y relámpagos con los que destruye a cualquier nave que se cruza en su camino. Esa bestia fue también la que hundió la primera Quin Zaza y Crocco, que nunca lo olvidó, no está dispuesto a rendirse así como así. Pero, para ir tras el dragón más peligroso del mundo, hay que estar bastante loco... Por suerte para nuestros amigos, ¡cuentan con el camarada perfecto para la ocasión!|978-6-075-68637-0|1|false
Kutei Dragons: Dragones Voladores #10|10|10|/panini-manga-mx/kutei-dragons/kutei-dragons-10.jpg|192|129.0|MXN|2021-12-15|Después de una interesante charla con Bruno y la siempre agradable compañía del vino, Varnabell, la joya de la tripulación, desaparece de repente y sin despedirse. Afortunadamente, alguien la vio subirse a una nave de transportadores rumbo a la ciudad de Alena, su tierra natal, una ciudad sumida en una guerra sin fin. ¿Qué llevó a Varny a abandonar la Quin Zaza y a sus amigos? ¿De verdad es imposible escapar del pasado? ¡No se dejen atrapar por la niebla!|978-6-075-68750-6|1|false
Kutei Dragons: Dragones Voladores #11|11|11|/panini-manga-mx/kutei-dragons/kutei-dragons-11.jpg|192|129.0|MXN|2022-02-16|Con el propósito de recuperar a Varny, la tripulación de la Quin Zaza decide aliarse con el ejército de la Asamblea y salir a cazar al dragón que cubrió de niebla la ciudad de Arena. Aunque no son los únicos: los monárquicos, con Varnabell al frente, se dirigen al palacio real, donde creen que se esconde la bestia. ¿Qué ocurrirá cuando los dos bandos se encuentren? ¿Podrán dar por terminada la guerra y unirse para combatir el mismo enemigo? No todo el mundo logra olvidar el pasado...|978-6-075-68868-8|1|false
