NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
La Rosa y la Bestia #1|1|1|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-01.jpg|200|99.0|MXN|2019-09-18|"Kumi es una estudiante de una prestigiosa escuela secundaria. Cuando conoce a Hyo siente que el tiempo se ha detenido, no puede respirar. Es incapaz de desviar la mirada de él... Pero pronto descubre que se ha enamorado de un ""bruto"" que besa a cualquiera y teme que el amor sea algo demasiado complicado para ella."|978-6-076-34249-7|1|false
La Rosa y la Bestia #2|2|2|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-02.jpg|192|99.0|MXN|2019-11-13|Kumi se resigna a que está enamorada de Hyo. Intentará resistirse a sus encantos, pero es seleccionada para ser parte del comité del festival de la preparatoria. ¡con Hyo! Durante el festival Hyo empieza a actuar de manera extraña, sorprendiendo a todos sus compañeros de la preparatoria y complicando las cosas para Kumi, que está a punto de dejarse llevar por sus sentimientos. ¿Será este el inicio de una historia de amor de ensueño?|978-6-076-34383-8|1|false
La Rosa y la Bestia #3|3|3|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-03.jpg|192|109.0|MXN|2020-01-15|Hyo no se apareció en la ceremonia de intercambio de anillos y Chihaya salvó a Kumi de quedar en ridículo. Pero, ahora, tienen que actuar como si fueran novios, aunque Kumi sigue perdidamente enamorada de Hyo.|978-6-076-34512-2|1|false
La Rosa y la Bestia #4|4|4|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-04.jpg|192|109.0|MXN|2020-03-11|Chihaya anima a Kumi a confesarle sus sentimientos a Hyo. Al descubrir que es correspondida, siente que por fin podrá hacer realidad su amor. Además, el viaje de fin de curso está muy cerca, y todo apunta a que Kumi y Hyo podrán estar juntos. Pero se interponen los exámenes finales y un terrible secreto que llega a los oídos de Kumi. ¿Se dará por fin cuenta de que Hyo no le conviene?|978-6-076-34674-7|1|false
La Rosa y la Bestia #5|5|5|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-05.jpg|192|109.0|MXN|2020-07-15|En el viaje de fin de curso, Kumi sufre al enterarse del pasado entre Hyo y Kanna. Se siente entre la espada y la pared, pues no quiere perder a ninguno de los dos. ¿Qué desenlace tendrá esta difícil situación?|978-6-076-34791-1|1|false
La Rosa y la Bestia #6|6|6|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-06.jpg|192|109.0|MXN|2020-09-16|El viaje de fin de curso estuvo lleno de emociones para Kumi. No solo se enteró de que Kanna y Hyo habían sido novios, ¡también se quedó atrapada a solas con Hyo una noche en una isla! Tras el viaje llega la Navidad y Kumi prepara una sorpresa especial para todos.|978-6-076-34967-0|1|false
La Rosa y la Bestia #7|7|7|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-07.jpg|192|109.0|MXN|2020-11-18|Parece que Kumi y Hyo podrán por fin disfrutar de su amor. Sin embargo, antes de Navidad Hyo se accidenta y esto hace que Kanna se ponga muy mal... ¿Será que no ha superado lo que pasó con Hyo? Kumi se da cuenta de esto, pero Hyo le dice que solo la ama a ella y que no le importa si hiere los sentimientos de otras personas. ¿Kumi aceptará que su mejor amiga pueda salir lastimada?|978-6-075-68105-4|1|false
La Rosa y la Bestia #8|8|8|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-08.jpg|192|119.0|MXN|2021-02-17|Llega el día de San Valentín, pero los estudiantes de la preparatoria Hasu no lo pueden disfrutar como los demás, porque esa es la fecha del maratón anual. Chihaya prometió conseguir el primer lugar para que Kumi aceptara salir con él. Tatsuki aseguró que sería él quien ganaría el maratón para que Kanna le diera un beso. ¿Quién se llevará la victoria? ¿Conseguirán también el amor?|978-6-075-68190-0|1|false
La Rosa y la Bestia #9|9|9|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-09.jpg|192|119.0|MXN|2021-04-21|La cita de Kumi y Chihaya es un éxito y parece que hay romance en puerta, pero ella se rencuentra con Hyo cuando limpian la biblioteca como castigo por desertar del maratón. ¿Esto reavivará la llama del amor? ¿Chihaya hará algo para evitarlo? Además, empieza un nuevo año escolar y las chicas de nuevo ingreso se vuelven locas por Hyo. Esto confunde todavía más a Kumi, que no logra aclarar sus sentimientos.|978-6-075-68333-1|1|false
La Rosa y la Bestia #10|10|10|/panini-manga-mx/la-rosa-y-la-bestia/la-rosa-y-la-bestia-10.jpg|192|119.0|MXN|2021-06-23|La cita de Kumi y Chihaya es un éxito y parece que hay romance en puerta, pero ella se rencuentra con Hyo cuando limpian la biblioteca como castigo por desertar del maratón. ¿Esto reavivará la llama del amor? ¿Chihaya hará algo para evitarlo? Además, empieza un nuevo año escolar y las chicas de nuevo ingreso se vuelven locas por Hyo. Esto confunde todavía más a Kumi, que no logra aclarar sus sentimientos.|978-6-075-68429-1|1|false
