NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Las Quintillizas (Go-toubun no Hanayome) #1|1|1|/panini-manga-mx/las-quintillizas/las-quintillizas-01.jpg|192|109.0|MXN|2019-12-18|Futaro Uesugi es un chico de segundo año de instituto que lleva una vida muy dura debido a la deuda de su padre. Con el objetivo de sobresalir en la vida, es el número uno en calificaciones. De repente, le llega una propuesta muy bien remunerada de ser el tutor privado de unas chicas que resultan ser sus compañeras de escuela y, además, hermanas quintillizas. Ellas odian el estudio y tratan de ahuyentarlo, pero él está dispuesto a guiarlas hasta la graduación. Ellas le irán enseñando a él que la vida no solo trata de estudio...|978-6-076-34489-7|1|false
Las Quintillizas (Go-toubun no Hanayome) #2|2|2|/panini-manga-mx/las-quintillizas/las-quintillizas-02.jpg|192|119.0|MXN|2020-02-05|Futaro es víctima de un malentendido cuando Itsuki lo descubre sobre Nino en paños menores. Pero, gracias al testimonio y apoyo de Miku, logran demostrar su inocencia. Después, el siguiente domingo, Futaro es interrumpido en su estudio por Itsuki, que le trae su primer sueldo como tutor. Él decide usar una parte para llevar a su hermana Raiha a un centro de juegos, donde terminan tomándose una foto con Itsuki. Al salir, se encuentran por casualidad con las otras cuatro hermanas, y van todos a un festival de fuegos artificiales, donde Futaro descubrirá más sobre las quintillizas y su relación con ellas.|978-6-076-34649-5|1|false
Las Quintillizas (Go-toubun no Hanayome) #3|3|3|/panini-manga-mx/las-quintillizas/las-quintillizas-03.jpg|192|119.0|MXN|2020-06-10|En el momento que se avecinan los exámenes de mitad de curso, Futaro recibe una llamada del papá de las quintillizas, quien le dice que, si una de ellas reprueba los exámenes, lo despedirá. Nino descubre las condiciones que su papá le impuso a Futaro y planea boicotear los exámenes. Pero él empieza a cambiar y sus ánimos empiezan a contagiar a todas, quienes estudian con ahínco para los exámenes, aunque cada una solo logra aprobar una materia. Futaro está listo para renunciar, pero Nino consigue convencer a su papá y Futaro logra quedarse. En la calma después de los exámenes, todos comienzan los preparativos para una excursión escolar de tres días.|978-6-076-34740-9|1|false
Las Quintillizas (Go-toubun no Hanayome) #4|4|4|/panini-manga-mx/las-quintillizas/las-quintillizas-04.jpg|192|119.0|MXN|2020-07-08|Futaro está muy entusiasmado con la excursión escolar, pero, sin que se dé cuenta, Itsuki empieza a sospechar de él por una acción de Ichika. Miku también comienza a sentirse celosa de Ichika porque bailará con Futaro. Mientras tanto, en la prueba de valor, Nino confunde a Futaro con el chico de la foto por su peluca rubia, se enamora de él y lo invita al baile. Futaro tiene un par de situaciones infortunadas con Ichika e Itsuki y termina cayendo con fiebre. Y ahí las quintillizas se dan cuenta de lo mucho que él significa para ellas.|978-6-076-34870-3|1|false
Las Quintillizas (Go-toubun no Hanayome) #5|5|5|/panini-manga-mx/las-quintillizas/las-quintillizas-05.jpg|192|119.0|MXN|2020-08-05|Después de la excursión, Futaro está hospitalizado por unos días e Itsuki lo visita. Futaro le cuenta lo de la vez que conoció a esa niña en Kioto hace cinco años. Ya que sale del hospital, Raiha lo convence de que le regale algo a Yotsuba como agradecimiento de todo lo que hizo por él en la excursión, y terminan saliendo a varios lados, hasta que van al parque favorito de Yotsuba, donde tienen un bonito momento. Luego, como se avecinan los exámenes de fin de curso, Futaro trata de hacer que las cinco estudien, pero una pelea entre Nino e Itsuki hace que ambas se vayan de casa.|978-6-076-34952-6|1|false
Las Quintillizas (Go-toubun no Hanayome) #6|6|6|/panini-manga-mx/las-quintillizas/las-quintillizas-06.jpg|192|119.0|MXN|2020-10-14|La chica de la foto se aparece ante Futaro y le pide que la olvide y siga adelante. Futaro se deprime y termina en el hotel de Nino. Ella se compadece de él, escucha su historia y su amistad va creciendo, pero Nino le pide ver a Kintaro una vez más, y a Futaro no le queda más remedio que disfrazarse de él. En medio del encuentro con Nino, ella se da cuenta del engaño y se enoja muchísimo. Por otro lado, Yotsuba no se puede zafar de las actividades del club de atletismo que no la dejan estudiar. Todos tratan de salvarla, hasta que por fin regresa Nino y hace que la capitana del club la deje ir. Y por fin ya todas son capaces de estudiar.|978-6-075-68069-9|1|false
Las Quintillizas (Go-toubun no Hanayome) #7|7|7|/panini-manga-mx/las-quintillizas/las-quintillizas-07.jpg|192|119.0|MXN|2020-12-09|Futaro y las quintillizas celebran el Año Nuevo y que él es otra vez su tutor. Comienzan a estudiar de nuevo para los exámenes, pero el padre de las chicas se aparece ante Itsuki y le impone la condición de que deben regresar con él si reprueba alguna. Se ayudan entre sí para poder superar este obstáculo. Al final, Nino va y se enfrenta con su padre porque quiere permanecer en su nueva casa, pero él no accede. Futaro se aparece en una moto para llevarla con las demás, y ocurre un desenlace inesperado para este tomo.|978-6-075-68161-0|1|false
Las Quintillizas (Go-toubun no Hanayome) #8|8|8|/panini-manga-mx/las-quintillizas/las-quintillizas-08.jpg|192|129.0|MXN|2021-03-10|"El episodio que pasó anteriormente con Nino deja a Futaro perplejo, y decide alejarse de las quintillizas durante las vacaciones de primavera. Sin embargo, Futaro y su familia se ganan un viaje a unas aguas termales, ¡y ahí se encuentran con las chicas! En esa posada, por cierta razón las cinco están disfrazadas de Itsuki, ¡y Futaro tiene que descubrir quién es la Itsuki que le exige que renuncie a ser su tutor! ¿Podrá identificar a cada una ""con amor""?"|978-6-075-68274-7|1|false
Las Quintillizas (Go-toubun no Hanayome) #9|9|9|/panini-manga-mx/las-quintillizas/las-quintillizas-09.jpg|192|129.0|MXN|2021-04-14|Futaro y las quintillizas entran a tercer año, y es mucha su sorpresa al ver que les tocó a todos en la misma clase. Para ayudar a Ichika con la renta, Miku, Yotsuba y Nino consiguen trabajos; esta última en la pastelería donde está Futaro, y comienza a acercarse a él. Por otro lado, el papá de las chicas y un compañero llamado Takeda se aparecen en su departamento, y retan a Futaro a vencerlo en el examen nacional, ¡jugándose el trabajo de tutor de las chicas!|978-6-075-68310-2|1|false
Las Quintillizas (Go-toubun no Hanayome) #10|10|10|/panini-manga-mx/las-quintillizas/las-quintillizas-10.jpg|192|129.0|MXN|2021-06-09|Futaro y las quintillizas van al esperado viaje escolar a Kioto. ¿Será él capaz de recordar la verdad sobre la chica de la foto que conoció ahí hace seis años? Por otro lado, Miku tiene un plan para declararle su amor, pero Ichika se disfraza de ella para echárselo a perder. Todas se dan cuenta de ello, y Miku queda muy lastimada. Sin embargo, Nino le da ánimos, y con la ayuda de todas, Miku y Futaro se quedan a solas el último día. ¿Qué sucederá al final?|978-6-075-68419-2|1|false
Las Quintillizas (Go-toubun no Hanayome) #11|11|11|/panini-manga-mx/las-quintillizas/las-quintillizas-11.jpg|192|129.0|MXN|2021-08-18|Yotsuba revive su pasado y cómo quería sobresalir entre sus hermanas. Nos enteramos de las circunstancias que hicieron que ahora sus hermanas sean su máxima prioridad. Y, antes de que terminen las vacaciones de verano, Futaro y las demás se olvidan un rato de los estudios y se divierten en una alberca, rodeados de agua, sol y trajes de baño. Pero, antes de regresar a clases, la decisión de una de ellas pone en peligro el objetivo de graduarse todos juntos en el instituto a pesar de que solo quedan seis meses de clases.|978-6-075-68585-4|1|false
Las Quintillizas (Go-toubun no Hanayome) #12|12|12|/panini-manga-mx/las-quintillizas/las-quintillizas-12.jpg|192|129.0|MXN|2021-10-20|Comienzan los preparativos en la clase de Futaro y las quintillizas para el festival escolar. Miku propone poner un puesto de hot cakes, y las chicas del salón la apoyan. Se llega el festival, y Futaro y Yotsuba están muy ocupados ayudando en la organización del evento. Pero Futaro reúne a las cinco en un salón de clases el primer día del festival para comunicarles algo muy importante. ¿Por fin tomará una decisión acerca de su relación con ellas?|978-6-075-68714-8|1|false
Las Quintillizas (Go-toubun no Hanayome) #13|13|13|/panini-manga-mx/las-quintillizas/las-quintillizas-13.jpg|192|129.0|MXN|2021-12-08|Continúan las aventuras de Futaro y las quintillizas en el festival. Miku quiere que los chicos y chicas de su salón hagan las paces. Yotsuba sigue ayudando a todo el mundo. E Itsuki se pregunta si podrá cumplir su sueño de ser maestra. ¿Cómo terminará este evento? ¿Qué decisión tomará Futaro al final?|978-6-075-68817-6|1|false
Las Quintillizas (Go-toubun no Hanayome) #14|14|14|/panini-manga-mx/las-quintillizas/las-quintillizas-14.jpg|208|129.0|MXN|2022-02-09|Se termina el festival escolar, y Futaro se dirige a buscar a la quintilliza que ama. Pero ¿sí aceptará ser su novia? ¿Y el resto de las hermanas? Por fin todos se gradúan de la preparatoria, y cada uno de ellos avanza para cumplir sus sueños. Y podemos ver la conclusión de la boda a la que hemos echado pequeños vistazos desde el primer volumen.|978-6-075-68925-8|1|false
