NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Lobo Solitario #1|1|1|/panini-manga-mx/lone-wolf/lone-wolf-01.jpg|200|139.0|MXN|2019-01-09|"Un asesino a sueldo recorre el país realizando su trabajo, lleva un letrero: ""Niño en alquiler, espada en alquiler, a su servicio"". Aquel asesino es un ronin que carga con su hijo y por ello es llamado el ""lobo que lleva a su cachorro"", pero no es solamente un antiguo samurái que va de un lugar a otro cumpliendo compromisos sino que tiene su propia misión y sus propias reglas, normas que nadie debe romper o ignorar porque corre el riesgo de ser una más de las incontables víctimas del guerrero vagabundo más inspirador desde hace siglos."|978-6-075-48617-8|1|false
Lobo Solitario #2|2|2|/panini-manga-mx/lone-wolf/lone-wolf-02.jpg|288|139.0|MXN|2019-02-13|El lobo que lleva a su cachorro es llevado a la cárcel, en donde lo torturan por diversión; pero, detrás de toda desgracia hay un plan. Por ello, los viajeros se tienen que separar y Daigoro es secuestrado por agredir a un joven señor; sin embargo, una mujer lo ayuda en su cautiverio y ambos tendrán que probar su valor en la ausencia de Itto Ogami. ¡El camino del ronin exige sacrificios muy crueles!|978-6-075-48675-8|1|false
Lobo Solitario #3|3|3|/panini-manga-mx/lone-wolf/lone-wolf-03.jpg|312|139.0|MXN|2019-03-06|Itto Ogami sigue su camino, junto con su hijo Daigoro; un camino que se verá cuestionado por un personaje muy peculiar, quien le muestra el error de la vida del ronin. Daigoro también tendrá que demostrar su valor en una tierra extraña. El pasado persigue al lobo y a su cachorro: una historia con la madre de Daigoro determina la convicción de estos viajeros. Al final, Itto tendrá que lidiar con los que quieren salvar una montaña y con los que quieren salvarse a sí mismos.|978-6-075-48757-1|1|false
Lobo Solitario #4|4|4|/panini-manga-mx/lone-wolf/lone-wolf-04.jpg|288|139.0|MXN|2019-04-03|Mientras Daigoro trata de sobrevivir a un incendio, un samurái descubre en su mirada algo que él mismo no ha podido conseguir, por ello lo sigue para descubrir qué es y cómo lo hizo. Pero en el intento se encontrará con Itto Ogami, quien sigue buscando a sus siguientes víctimas: una artista convertida en asesina, unos guardianes enriquecidos y otros asesinos a sueldo. Nada es demasiado peligroso para el lobo y su cachorro.|978-6-075-48826-4|1|false
Lobo Solitario #5|5|5|/panini-manga-mx/lone-wolf/lone-wolf-05.jpg|288|139.0|MXN|2019-05-01|Okami compra a los funcionarios influyentes para que se venguen de los Yagyu. Pronto, la administración del Shogun es informada y salta la alarma: ¿Acaso los Yagyu han orquestrado un complot contra el señor? El peligroso clan lo tiene claro y ordena matar a Okami. Será Yagyu Gumbei el encargado, ya que no es un desconocido para el Lobo Solitario.|978-6-075-48869-1|1|false
Lobo Solitario #6|6|6|/panini-manga-mx/lone-wolf/lone-wolf-06.jpg|288|139.0|MXN|2019-06-05|La lealtad es una de las virtudes más raras de hallar, por ello, cuando Itto Ogami se encuentra con un hombre virtuoso, decide cambiar sus planes. En cambio, los Cazadores de Ciervos son otra clase de seres, a quienes un ronin no impresiona demasiado porque el engaño los ha convertido en algo deleznable. Luego, una antigua diversión, que tiene que ver con la crueldad y con la muerte, obliga a Daigoro a ver una cara terrible del mundo: los animales están a merced de los humanos. Por último, Itto se recupera de un terrible enfrentamiento y Daigoro debe sobrevivir al hambre y al peligro que corre un pequeño niño solitario.|978-6-075-48945-2|1|false
Lobo Solitario #7|7|7|/panini-manga-mx/lone-wolf/lone-wolf-07.jpg|304|139.0|MXN|2019-07-03|El clan Yagyu continúa tratando de matar a Itto Ogami por cualquier medio; esta vez intentará algo más que combates o asesinos a sueldo: una forma legal de capturar a los vagabundos y conminarlos a trabajos forzados. Mientras tanto, Daigoro presencia accidentalmente un crimen contra la princesa Aya, y el asesino debe matar al pequeño testigo si quiere continuar sus planes. Además, una mujer le encarga una cartera robada y los oficiales detienen a Daigoro y lo sentencian según las leyes para menores; el cachorro de lobo demuestra su temple a pesar de su cortísima edad, y los delincuentes quedan impresionados con aquella fortaleza.|978-6-076-34050-9|1|false
Lobo Solitario #8|8|8|/panini-manga-mx/lone-wolf/lone-wolf-08.jpg|200|139.0|MXN|2019-08-07|Itto Ogami llega a un lugar para recibir un mensaje como en la historia del mensaje en la pata de un ganso: el nuevo trabajo del ronin tiene mucho que ver con los Yagyu. En el tiempo en que se debía elegir al Kaishakunin del gobierno, Itto debía enfrentar a Gunbei en un duelo, y este fue el vencedor, pero el puesto fue otorgado a Itto a pesar de haber perdido, ¿qué fue lo que hizo Gunbei para dar inicio a esta enemistad eterna entre el clan Yagyu y el samurái del camino de Meifumado? Mucho tiempo después, Itto Ogami se encuentra con una viuda que cuida día y noche la tumba de su esposo, tejiendo y tejiendo mientras llora la ausencia de su esposo, el que yace muerto es una víctima del lobo que lleva a su cachorro.|978-6-076-34106-3|1|false
Lobo Solitario #9|9|9|/panini-manga-mx/lone-wolf/lone-wolf-09.jpg|200|139.0|MXN|2019-09-04|"Una prostituta guarda una increíble fidelidad, pero los habitantes de su región son incapaces de comprenderlo; solo un antiguo samurái es capaz de llegar hasta lo más recóndito del alma. En otro asunto, los grandes daimyos podían pagar a muchos guerreros como escoltas, pero los menores debían contratar a unos ""adornos"", y aunque estos falsos escoltas no sabían luchar bien, sí cometían crímenes impunes por la protección de su daimyo y los constantes viajes; pero no todo queda impune, menos cuando se encuentran al lobo que lleva a su cachorro. Itto Ogami conoce a un grupo de gente que transporta personas a través de un río peligroso, pero cuyo principal entretenimiento es extorsionar, sexual y económicamente, a sus clientes; el ronin se convertirá en uno de ellos."|978-6-076-34183-4|1|false
Lobo Solitario #10|10|10|/panini-manga-mx/lone-wolf/lone-wolf-10.jpg|304|139.0|MXN|2019-10-02|Las cartas de los Yagyu contienen información que compromete al clan, y el ronin ahora posee una Go-Jobako con los secretos de sus enemigos, quienes ahora más que nunca están dispuestos a acabar con todo e inician una persecución para matar a Itto Ogami. En el primer ataque, Daigoro queda apartado de su padre. Por primera vez en su vida, el pequeño experimentará un dolor desconocido y terrible debido a un nuevo amigo que lo protege como puede. Hay un largo camino para Daigoro antes de reencontrarse con su padre, el cachorro solitario tiene que sobrevivir al hambre y a la persecución que los Yagyu iniciaron contra los Ogami.|978-6-076-34233-6|1|false
Lobo Solitario #11|11|11|/panini-manga-mx/lone-wolf/lone-wolf-11.jpg|192|139.0|MXN|2019-11-06|Itto Ogami no logra encontrar a su hijo, así que pone talismanes en sitios estratégicos para que Daigoro pueda seguirlos, pero se encuentra con otros grupos con los que no pretendía toparse. Por otro lado, mientras padre e hijo se buscan, el pequeño cachorro vive un tiempo con una anciana, para quien las estrellas del cielo son las vidas de los humanos, y al ver caer la estrella de su hijo, ella también cae. Además, cuando la hambruna azota a los pueblos, las medidas desesperadas tanto de los guardianes como de los campesinos hacen que el ronin intervenga con valentía, pero sobre todo con honor. Un poema hacia la muerte es el mejor ejemplo de lo que puede hacer un samurái.|978-6-076-34322-7|1|false
