NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Kaguya-sama: Love is War #1|1|1|/panini-manga-mx/love-is-war/love-is-war-01.jpg|200|119.0|MXN|2020-09-02|¡Ya sea gente educada o de buena familia, la academia Shuchiin reúne a los mayores genios! En el consejo estudiantil del centro se conocen Kaguya Shinomiya, vicepresidenta del consejo, y Miyuki Shirogane, el presidente. Parece que se gustan, pero... ¡ha pasado medio año sin que suceda nada! Son tan orgullosos que se niegan a confesar sus sentimientos, así que esperan que sea el otro el que dé el paso, y para ello planean las más complejas estrategias. ¡¡Disfruten hasta que se confiesen su amor!! ¡¡Empieza una divertida guerra psicológica!!|978-6-076-34832-1|1|false
Kaguya-sama: Love is War #2|2|2|/panini-manga-mx/love-is-war/love-is-war-02.jpg|200|119.0|MXN|2020-11-04|Kaguya y Shirogane siguen en la batalla para conseguir que el otro se declare. En este volumen, el presidente se compra por fin un celular, el consejo estudiantil habla la primera vez, se disfraza, se enfrenta a una temible cucaracha y prepara una fiesta de bienvenida para una academia de París. ¿Qué tan buenos son hablando francés?|978-6-076-34965-6|1|false
Kaguya-sama: Love is War #3|3|3|/panini-manga-mx/love-is-war/love-is-war-03.jpg|208|129.0|MXN|2021-02-03|¡Continua la que parece una guerra psicológica sin fin por la supremacía amorosa! En este volumen, la pareja protagonista luchará por compartir el paraguas, Fujiwara descubrirá el manga shojo, Hayasaka seguirá sufriendo por satisfacer los deseos de Kaguya y aparecerá por fin Yu Ishigami, el tesorero del consejo estudiantil. ¡¿Quién obtendrá la mejor calificación en los exámenes de final de semestre?!|978-6-076-34966-3|1|false
Kaguya-sama: Love is War #4|4|4|/panini-manga-mx/love-is-war/love-is-war-04.jpg|208|129.0|MXN|2021-03-10|¡Se acercan las vacaciones de verano! Pero antes, Chika somete a los miembros del consejo a un complicado test psicológico amoroso, una tormenta deja a Shirogane sin poder volver a casa, Shirogane descubre la personalidad de Kaguya cuando está enferma y se vuelve imposible que los cuatro miembros del consejo puedan disfrutan de un viaje juntos.|978-6-075-68265-5|1|false
Kaguya-sama: Love is War #5|5|5|/panini-manga-mx/love-is-war/love-is-war-05.jpg|212|129.0|MXN|2021-04-07|¡Llegaron las vacaciones de verano! Kaguya aprende a utilizar Twitter gracias a Hayasaka, pero le cuesta dar el paso y seguir la cuenta de Shirogane. Como no se escriben, parece que solo se verán el día de los fuegos artificiales... aunque surge un problema de última hora. Además, Chika vuelve de sus vacaciones en el extranjero y se convierte en toda una experta en ramen.|978-6-075-68300-3|1|false
Kaguya-sama: Love is War #6|6|6|/panini-manga-mx/love-is-war/love-is-war-06.jpg|207|129.0|MXN|2021-05-05|¡El curso llega a su fin y con él, el consejo estudiantil! El último semestre trae consigo el cumpleaños de Miyuki, así que Kaguya quiere darle una sorpresa. ¿Estarán al tanto Chika y Yu? La secretaria se huele lo que sucede entre el presidente y la vicepresidenta del consejo... Pero antes, ¡Hayasaka quiere que Miyuki se enamore de ella!|978-6-075-68316-4|1|false
Kaguya-sama: Love is War #7|7|7|/panini-manga-mx/love-is-war/love-is-war-07.jpg|208|129.0|MXN|2021-06-02|¡Las elecciones a la presidencia del consejo traen consigo una nuevo contrincante! Miko lino es una estudiante de primer año que ama la justicia por encima de todo. ¿Cómo se llevará con nuestros protagonistas? ¿Por qué Ishigami tiene tantas ganas de derrotarla? Y lo que es más importante... ¿¡qué clase de ropa interior le gusta a Shirogane!?|978-6-075-68364-5|1|false
Kaguya-sama: Love is War #8|8|8|/panini-manga-mx/love-is-war/love-is-war-08.jpg|208|129.0|MXN|2021-07-07|El incidente del almacén deportivo causó estragos en Kaguya, que busca una forma de calmarse cada vez que ve a Shirogane. El festival deportivo se aproxima y Shirogane tiene que practicar un baile.. bajo la tutela de Fujiwara. Finalmente, conoceremos el pasado de Ishigami, que vivirá uno de los días más importantes de su vida. Por cierto.. ¿quién reventará el globo en el último capítulo?|978-6-075-68437-6|1|false
Kaguya-sama: Love is War #9|9|9|/panini-manga-mx/love-is-war/love-is-war-09.jpg|204|129.0|MXN|2021-08-04|Para evitar morirse de los nervios al ver a Shirogane, Kaguya decide crear una rutina para calmarse con la ayuda de Hayasaka. Esto confunde al presidente del consejo, que no tiene otra opción más que recurrir a su familia para que lo ayuden a entender a Kaguya. Además, con motivo del festival deportivo, Fujiwara se ve obligada a enseñar a bailar a Shirogane, pero Kaguya también decide darle algunos consejos. ¿Chocarán los métodos pedagógicos de las dos chicas?|978-6-075-68490-1|1|false
Kaguya-sama: Love is War #10|10|10|/panini-manga-mx/love-is-war/love-is-war-10.jpg|204|129.0|MXN|2021-09-01|¡Continúa la guerra psicológicoamorosa! En este volumen, Shirogane conocerá las verdaderas intenciones de Hayasaka, quien, haciéndose pasar por Haska, lo acorrala en un karaoke. ¿Qué pensará Kaguya de todo esto? Además, los miembros del consejo estudiantil organizarán un concurso de arroz frito, discutirán sobre los límites de las infidelidades, Maki Shijo entrará en escena y... ¿¡Kaguya se comprará un celular nuevo!?|978-6-075-68568-7|1|false
Kaguya-sama: Love is War #11|11|11|/panini-manga-mx/love-is-war/love-is-war-11.jpg|208|129.0|MXN|2021-10-13|Kaguya da la bienvenida a la modernidad y ya disfruta de su nuevo smartphone. Quiere usarlo para provocar al presidente, pero, muy a su pesar, las nuevas tecnologías aún escapan a su comprensión. También disfrutaremos de una épica batalla de rap entre Shirogane y Hayasaka, conoceremos mejor los sentimientos de Ishigami y... el presidente hará unas declaraciones sorprendentes en las reuniones entre padres y profesores.|978-6-075-68610-3|1|false
Kaguya-sama: Love is War #12|12|12|/panini-manga-mx/love-is-war/love-is-war-12.jpg|204|129.0|MXN|2021-11-03|El presidente, dado que es su último año en la escuela Shuchiin, está decidido a dejar de lado su orgullo y al fin declararse a Kaguya y pedirle una cita. Sin embargo, después de tanto estira y afloja, parece que ninguno de los dos genios es capaz de entender al otro...|978-6-075-68672-1|1|false
Kaguya-sama: Love is War #13|13|13|/panini-manga-mx/love-is-war/love-is-war-13.jpg|204|129.0|MXN|2021-12-01|¡Comienza el festival cultural de la academia Shuchiin! Kaguya ha admitido al fin sus sentimientos por Shirogane y busca una forma de declararse. Mientras tanto, los estudiantes disfrutan de las actividades que han organizado, pero esa noche ocurre un gran robo. ¿Quién será el culpable?|978-6-075-68735-3|1|false
Kaguya-sama: Love is War #14|14|14|/panini-manga-mx/love-is-war/love-is-war-14.jpg|212|139.0|MXN|2022-01-12|¡El misterioso ladrón Arsène parece dispuesto a revolucionar el festival cultural! Fujiwara y los demás intentan descubrir de quién se trata y dónde se encuentra. Sin embargo, ¿están listos para un encuentro que marcará un antes y un después en la academia Shuchiin? Por otro lado, conoceremos más a fondo a los alter ego de Kaguya y algo cambiará entre Ishigami e Iino. Tal vez haya llegado el momento de hacer las paces... o no.|978-6-075-68775-9|1|false
Kaguya-sama: Love is War #15|15|15|/panini-manga-mx/love-is-war/love-is-war-15.jpg|208|139.0|MXN|2022-02-02|¡Kaguya (la fría) está ahora al mando de la mente de Kaguya! Shirogane, confundido por este repentino cambio, solo quiere aclarar las cosas entre ellos. Pero todo parece indicar que Kaguya (la fría) no se lo pondrá fácil. ¿¡Podrá el presidente del consejo estudiantil aguantar la presión!? Mientras tanto, llega Nochebuena y, con ella, la fiesta en casa de Fujiwara. Los invitados intercambian sus regalos, cada cual más extraño que el anterior. ¿Estará el regalo de Shirogane a la altura de las expectativas...?|978-6-075-68899-2|1|false
Kaguya-sama: Love is War #16|16|16|/panini-manga-mx/love-is-war/love-is-war-16.jpg|204|139.0|MXN|2022-03-02|Kaguya y Shirogane tendrán al fin su primera cita, pero, cuando salen del cine, una duda atormenta a Kaguya. ¿Seguro que esa es su primera cita? Y, si no lo es... ¿¡qué espera Shirogane que pase entre ellos!? Por otro lado, Ishigami y los demás nos cuentan cómo la pasaron en sus vacaciones de invierno: unos comieron ramen, otros disfrutaron de la noche más apasionada del año y otros... contrataron a un guía local en la India para que les ayudara a encontrar la paz interior.|978-6-075-68971-5|1|false
Kaguya-sama: Love is War #17|17|17|/panini-manga-mx/love-is-war/love-is-war-17.jpg|204|139.0|MXN|2022-04-06|¡El consejo estudiantil empieza a replantearse los lazos que unen a sus miembros! Fujiwara está cansada de que la traten mal, Kaguya y Shirogane empiezan a salir juntos y, además, este último quiere mejorar su relación con Iino. Mientras tanto, Ishigami hará todo lo posible para que Tsubame se le declare... ¿¡la historia se repite!?|978-6-076-36003-3|1|false
Kaguya-sama: Love is War #18|18|18|/panini-manga-mx/love-is-war/love-is-war-18.jpg|204|139.0|MXN|2022-05-04|Kaguya y Shirogane disfrutan de su relación secreta después de las vacaciones de invierno, pero ¿por cuánto tiempo podrán ocultárselo a los demás? Mientras tanto, Ishigami recibe la ayuda de Kaguya para conseguir una cita con Tsubame, sin darse cuenta de la tormenta que se avecina. ¡Su relación con la persona que siempre la ha apoyado está a punto de cambiar para siempre!|978-6-076-36034-7|1|false
Kaguya-sama: Love is War #19|19|19|/panini-manga-mx/love-is-war/love-is-war-19.jpg|204|139.0|MXN|2022-06-15|Hayasaka y Shirogane huyen de su perseguidor por las calles de Kioto mientras intentan encontrarse con Kaguya en un punto específico de la ciudad. Ambas buscarán en sus recuerdos aquello que las une por encima de cualquier obligación. ¿Serán capaces de perdonarse cuando salgan a la luz todas sus traiciones y mentiras?|978-6-076-36114-6|1|false
