NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Magi #1|1|1|/panini-manga-mx/magi/magi-01.jpg|200|99.0|MXN|2017-02-15|Una infinidad de encuentros y despedidas en el transcurso de sus aventuras. Existen misterios ocultos en un mundo desconocido. También un joven maravilloso llamado Aladdin. Una aventura llena de magia y tesoros valiosos está a punto de comenzar. ¡No te puedes perder esta divertida historia mágica!|978-6-075-28412-5|1|false
Magi #2|2|2|/panini-manga-mx/magi/magi-02.jpg|192|99.0|MXN|2017-03-15|El pequeño Aladdin junto con Alibaba se embarcó en la más grande aventura de su vida, ahora avanza entre calabozos buscando tesoros. ¡Pero el tesorero Jamil, que tiene con él a los esclavos más fuertes, hará hasta lo imposible por detenerlos! ¡No te pierdas el segundo tomo de esta mágica historia llena de aventura y peligro! Búscalo en tus puntos de distribución.|978-6-045-28424-8|1|false
Magi #3|3|3|/panini-manga-mx/magi/magi-03.jpg|192|99.0|MXN|2017-04-19|"Después de su captura en el calabozo, el pequeño Aladdin fue llevado a una tierra lejana. Lo que ahí descubrió fue el gran orgullo que tiene la gente de las llanuras. Por otro lado, Morgiana, que fue liberada de la esclavitud, tiene problemas para acostumbrarse a su condición de persona libre, pero busca una nueva vida. No te pierdas la aventura mágica que les depara el destino. ¡Busca ya el volumen tres de tu serie ""Magi""!. A la venta con tu diistribuidor Panini favorito."|978-6-075-28478-1|1|false
Magi #4|4|4|/panini-manga-mx/magi/magi-04.jpg|200|99.0|MXN|2017-05-17|Durante su viaje, Aladdin se reencontró con algunas personas. Ahora que se ha vuelto un poco más fuerte, ¡por fin llegó a Balbadd! ¡Su objetivo es volver a reunirse con Alibaba después de la conquista del calabozo! Pero la espera le será muy difícil y las situaciones que enfrentará seran por demás complicadas. Aunque Aladdin ya es un poco más maduro, nada se ha hecho fácil. ¿Encontrará a Alibaba? ¿Qué aventuras nuevas vivirán juntos? ¡Descúbrelo en el tomo 4 de Magi, a la venta en tus puntos de distribución.|978-6-075-28514-6|1|false
Magi #5|5|5|/panini-manga-mx/magi/magi-05.jpg|200|99.0|MXN|2017-06-21|Aladdin y su amigo Alibaba tratan de salvar Balbadd, el país donde Alibaba nació y creció. Bajo el mando del rey Ahbmad, las cosas están cada vez peor y los ciudadanos de Balbadd padecen los estragos del mal gobierno. Cuando Aladdin y Alibaba deciden salvar al reino, un nuevo personaje aparece: JUDAR... un chico que, como Aladdin, es llamado a ser un magi. ¿Cómo lo resolverán? ¡Sigue esta emocionante historia a la venta ya en tus puntos de distribución!|978-6-075-28546-7|1|false
Magi #6|6|6|/panini-manga-mx/magi/magi-06.jpg|192|99.0|MXN|2017-07-19|Una vez terminada la batalla, Alibaba finalmente decide seguir adelante por su país. ¿Qué poder deberá adquirir? ¡La verdadera habilidad del kinzokuki de Djinn es revelada! Acompaña a Aliaddin, Alibaba y la tropa de la niebla en sus aventuras. Busca el tomo 6 de Magi con tu distribuidor Panini favorito.|978-6-075-28576-4|1|false
Magi #7|7|7|/panini-manga-mx/magi/magi-07.jpg|192|99.0|MXN|2017-08-16|Alibaba adquiere un nuevo poder y continúa avanzando... El futuro de Balbaad está en sus manos y debe decidir qué hacer con la princesa del imperio Kou. ¿Qué le espera al final de esta feroz batalla? ¡Sumérgete en la mágica aventura del volumen 7 de Magi!|978-6-075-28602-0|1|false
Magi #8|8|8|/panini-manga-mx/magi/magi-08.jpg|200|99.0|MXN|2017-09-20|La relación entre Cassim y Alibaba es el hilo conductor de Magi. Elprimer arco de esta emocionante serie, el arco de Balbaad está por llegar a su clímax y, con él, el inicio de una nueva aventura. Ahora Cassim y Alibaba, mejores amigos, deben nefrentarse en una batalla... ¿Cuál será el resultado? ¡No te pieras el tomo 8 de tu serie Magi! ¡Búscala ya!|978-6-075-28615-0|1|false
Magi #9|9|9|/panini-manga-mx/magi/magi-09.jpg|192|99.0|MXN|2017-10-18|Aladdin y sus amigos viven situaciones sumamente divertidas. Además, en este tomo de tu serie Magi, podremos conocer un poco más sobre los demás generales que están al servicio de Sinbad y conoceremos a Yamuraiha, quien entrenará a Aladdin y a Sharrkan, quien se encargará de Alibaba. Los detalles sobre el reino de Sindria y cómo está conformado nos abren un panorama mucho más claro sobre las aventuras que nuestros amigos vivirán. ¡Acompáñalos! Busca ya el tomo 9 de tu serie Magi. A la venta en nuestros puntos de distribución.|978-6-075-28672-3|1|false
Magi #10|10|10|/panini-manga-mx/magi/magi-10.jpg|192|99.0|MXN|2017-11-15|Aladdin y sus amigos finalmente stán en Sindria, y cuando pensaron que ahí terminaba su aventura, el rey los encía a conquistar el calabozo de Zagan... Un calabozocon el que aún nadie ha podido. Ellos deciden ir juntos a conquistar el calabozo, pero parece que Hakuryu no está dispuesto a trabjar en equipo... y oculta un secreto. Acompaña a tus personajes favoritso en la conquista de un nuevo calabozo y emociónate con el tomo 10 de Magi!|978-6-075-28739-3|1|false
