NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Mob Psycho 100 #1|1|1|/panini-manga-mx/mob-psycho-100/mob-psycho-100-01.jpg|200|109|MXN|2019-09-25|Shigeo Kageyama, alias Mob, es un estudiante de segundo año de secundaria. Pero tiene una particularidad: es un psíquico. Trabajando como ayudante de Arataka Reigen, un farsante que se hace pasar por psíquico, pasa sus tardes exorcizando malvados espíritus. Pero las dudas propias de la pubertad empiezan a asaltarle. Las emociones de Mob empiezan a estar a flor de piel.|978-6-076-34228-2|1|FALSE
Mob Psycho 100 #2|2|2|/panini-manga-mx/mob-psycho-100/mob-psycho-100-02.jpg|192|109|MXN|2019-11-20|Lejos de aceptar la derrota contra la banda de Vinagre Negro, Onigawara, el jefe de la banda de la escuela Sal, diseña un plan muy astuto para poner en su lugar a Hanazawa. Como siempre, el bueno de Mob se verá implicado, pero el encuentro con Hanazawa no terminará como se espera... ¿Logrará Onigawara salirse con la suya?|978-6-076-34369-2|1|FALSE
Mob Psycho 100 #3|3|3|/panini-manga-mx/mob-psycho-100/mob-psycho-100-03.jpg|192|119|MXN|2020-01-22|Los rumores se esparcen como la pólvora entre los adolescentes, y más aún si se trata de la derrota de uno de los grandes, Teruki Hanazawa. Todo el mundo sabe que alguien venció al segundo líder de la escuela Vinagre negro, pero la identidad de Mob parece que sigue siendo un secreto, al menos por ahora. ¿Qué ocurrirá cuando se descubra que Mob está detrás del enorme fenómeno paranormal que tiene conmocionada la ciudad Condimento? ¿Y qué le pasa a Ritsu, el siempre astuto hermano de Mob? Algo se cuece en el vecindario...|978-6-076-34524-5|1|FALSE
Mob Psycho 100 #4|4|4|/panini-manga-mx/mob-psycho-100/mob-psycho-100-04.jpg|192|119|MXN|2020-03-25|Hoyuelo, el peculiar espíritu que Hanazawa exorcizó, consiguió sobrevivir y está dispuesto a continuar hasta conseguir su objetivo: convertirse en Dios. Pero eso no es lo más sorprendente: ¡Ritsu puede verlo! Lo cual significa que el pequeño de los Kageyama logró despertar sus poderes psíquicos y no dudará en aprovecharlos al máximo. ¿Será la ambición más poderosa que el amor entre hermanos?|978-6-076-34662-4|1|FALSE
Mob Psycho 100 #5|5|5|/panini-manga-mx/mob-psycho-100/mob-psycho-100-05.jpg|192|119|MXN|2020-06-24|Después de convertirse en el siguiente objetivo de Garras, la clandestina organización de psíquicos adultos, Mob, Teru y Hoyuelo deciden unir sus fuerzas para rescatar a los chicos secuestrados y, de paso, terminar con la organización. Entrar será fácil, pero... ¿Lograrán salir con vida de ahí?|978-6-076-34836-9|1|FALSE
Mob Psycho 100 #6|6|6|/panini-manga-mx/mob-psycho-100/mob-psycho-100-06.jpg|192|119|MXN|2020-08-26|Shigeo despierta junto a su hermano y Hanazawa en una misteriosa habitación dentro de la guarida de Garras. Por alguna razón que desconocen, sus poderes son inútiles ahí dentro. Todo parece perdido, hasta que, de repente, la puerta se abre y... ¡Aparece el maestro Reigen! ¿Qué hace él ahí? Es Arataka Reigen, Reigen en estado puro, y viene dispuesto a dar unas cuantas lecciones... ¿Es realmente la pluma más poderosa que la espada?|978-6-076-34924-3|1|FALSE
Mob Psycho 100 #7|7|7|/panini-manga-mx/mob-psycho-100/mob-psycho-100-07.jpg|192|119|MXN|2020-10-28|¡Cuando los casos dejan de llegar al Consultorio espiritual, Reigen decide salir a buscarlos! Nuevas amistades, leyendas urbanas y espíritus malignos los esperan fuera de la oficina... Cada caso es un desafío, ¿logrará Mob estar a la altura?|978-6-075-68066-8|1|FALSE
Mob Psycho 100 #8|8|8|/panini-manga-mx/mob-psycho-100/mob-psycho-100-08.jpg|192|119|MXN|2021-01-27|Parecía solo un trabajo más, pero Reigen y el centenar de médiums que acudieron a la llamada del multimillonario Asagiri pronto se darán cuenta de que el espíritu que posee a su hija no es uno cualquiera. Ningún exorcismo parece surtir efecto en esa niña, ni siquiera con la fuerza de Mob. ¿Es posible que por primera vez Shigeo se enfrente a un rival a quien no puede vencer?|978-6-075-68150-4|1|FALSE
Mob Psycho 100 #9|9|9|/panini-manga-mx/mob-psycho-100/mob-psycho-100-09.jpg|192|129|MXN|2021-03-24|Mob y Reigen vuelven a la normalidad después de un exorcismo que casi les cuesta la vida, pero un desliz cometido por el maestro abrirá una peligrosa brecha entre él y el chico, quien tomará la decisión de mantenerse alejado del consultorio una temporada. ¿Podrá el travieso de Reigen arreglárselas sin su aprendiz? ¿Cómo acabará su amistad? ¡¡No te pierdas el tomo 9!!|978-6-075-68271-6|1|FALSE
Mob Psycho 100 #10|10|10|/panini-manga-mx/mob-psycho-100/mob-psycho-100-10.jpg|200|129|MXN|2021-05-26|Mob llega a su casa después del maratón para descubrir que alguien prendió fuego al edificio y se llevó a su familia. Esa misma noche, el máximo representante de Garras, la organización de psíquicos terroristas, declara la guerra al mundo en un comunicado por televisión, y Reigen recibe la visita de unos viejos conocidos...|978-6-075-68399-7|1|FALSE
