NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Vigilante: My Hero Academia Illegals #1|1|1|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-01.jpg|192|109.0|MXN|2020-08-26|"Los héroes utilizan sus singularidades para el bien de la sociedad, pero siempre con la aprobación del gobierno. Sin embargo, en este mundo existen héroes distintos que no necesitan el permiso de nadie para salvar a la población. Estos héroes anónimos, conocidos como Vigilantes"", hacen justicia con sus propias manos usando métodos poco convencionales para combatir a los villanos."|978-6-076-34960-1|1|false
Vigilante: My Hero Academia Illegals #2|2|2|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-02.jpg|208|109.0|MXN|2020-10-28|"El ""trigger"", la droga que incrementa el poder de los villanos a costa de su vida, continúa circulando en las calles de la ciudad; y a pesar de los esfuerzos de Knuckle Duster, The Crawler y Pop Step por detener la distribución, cada vez hay más caos y destrucción. Sin embargo, de entre las sombras surge un vigilante cuya crueldad hará que los villanos piensen antes de actuar."|978-6-075-68048-4|1|false
Vigilante: My Hero Academia Illegals #3|3|3|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-03.jpg|208|109.0|MXN|2021-01-27|Después de varias demandas por acoso en su país, el héroe estadounidense Captain Celebrity decide mudarse a Japón para seguir acumulando fama y fortuna con sus espectaculares rescates. Después de verlo en acción e incluso colaborar con él, The Crawler se da cuenta de aquello que distingue a un héroe de un vigilante. Además, la mamá de Koichi viaja a Tokio para visitar a su hijo, sin saber que este lleva una doble vida.|978-6-075-68154-2|1|false
Vigilante: My Hero Academia Illegals #4|4|4|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-04.jpg|192|119.0|MXN|2021-03-24|Pop Step fue invitada a dar un concierto con varios artistas independientes de Naruhata en una plaza comercial, pero una villana rondará por la zona para acabar con la felicidad de los asistentes. Además, poco a poco queda al descubierto la vida de Knuckle Duster, quien busca a su hija que fue raptada para convertirla en asesina.|978-6-075-68252-5|1|false
Vigilante: My Hero Academia Illegals #5|5|5|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-05.jpg|192|119.0|MXN|2021-04-28|"La investigación de la policía sobre el ""trigger"", la droga que vuelve locos y poderosos a los villanos, sigue su rumbo en Naniwa, ciudad a la que The Crawler y Pop Step acuden para un festival de idols. Al principio todo parece un operativo de rutina sin peligro aparente, pero un villano surge de las sombras para impedir que descubran la red de distribución, y la catástrofe comienza."|978-6-075-68355-3|1|false
Vigilante: My Hero Academia Illegals #6|6|6|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-06.jpg|192|119.0|MXN|2021-06-30|"La investigación de la policía sobre el ""trigger"", la droga que vuelve locos y poderosos a los villanos, sigue su rumbo en Naniwa, ciudad a la que The Crawler y Pop Step acuden para un festival de idols. Al principio todo parece un operativo de rutina sin peligro aparente, pero un villano surge de las sombras para impedir que descubran la red de distribución, y la catástrofe comienza."|978-6-075-68464-2|1|false
Vigilante: My Hero Academia Illegals #7|7|7|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-07.jpg|192|119.0|MXN|2021-09-01|Captain Celebrity se despide de Japón en un gran evento llevado a cabo en el Tokio Sky Egg, donde alrededor de 50?000 personas se reúnen para decirle adiós. Todo parece marchar bien, hasta que el villano de Osaka aparece con un ejército de seres que tienen la singularidad de explotar y el caos comienza. Quizá Captain Celebrity y The Crawler no son los héroes que quisieran ser, pero ¿son los héroes adecuados para detener la destrucción?|978-6-075-68607-3|1|false
Vigilante: My Hero Academia Illegals #8|8|8|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-08.jpg|192|119.0|MXN|2021-11-03|El Tokio Sky Egg está a punto de colapsar con 50?000 personas adentro después de que el villano anónimo lanzara a su ejército de soldados explosivos. Captain Celebrity y The Crawler lucharon con todo para detener la catástrofe, pero sus singularidades no fueron suficientes. Sin embargo, justo cuando todo está perdido, un héroe aparece para salvar el día. Además, la identidad de Knuckle Duster se revela después de un enfrentamiento contra el villano No. 6.|978-6-075-68720-9|1|false
Vigilante: My Hero Academia Illegals #9|9|9|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-09.jpg|208|119.0|MXN|2022-01-12|Makoto regresó a Japón por unos días y aprovecha para decirle a Koichi que le gustaría pasar el resto de su vida con él, pero primero le pide que aclare su situación con Kazuho, quien está enamorada de él desde hace mucho tiempo. Además, el representante del Narufest confiesa que está enamorado de Pop Step, pero su manera de conquistarla es extraña y aterradora.|978-6-075-68844-2|1|false
Vigilante: My Hero Academia Illegals #10|10|10|/panini-manga-mx/my-hero-academia-vigilante/my-hero-academia-vigilante-10.jpg|192|119.0|MXN|2022-03-16|Luego de ser secuestrada por un hombre misterioso, Pop Step reaparece en las calles convertida en la Reina Bee, una villana resentida por una decepción amorosa que quiere acabar con la ciudad, y especialmente con Koichi. La policía y los héroes se preparan para el siguiente ataque de la Reina, pero The Crawler teme que la arresten e incluso la lastimen, así que crea un plan para salvarla junto con otros discípulos de su maestro.|978-6-075-68961-6|1|false
