NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
My Hero Academia #1|1|1|/panini-manga-mx/my-hero-academia/my-hero-academia-01.jpg|192|99.0|MXN|2016-09-14|En un mundo donde los superpoderes son cosa de todos los días, ¿qué sucede con un aspirante a superhéroe que no tiene ningún superpoder? Izuku Midoriya tiene la mala fortuna de no haber manifestado ninguna “singularidad” (superpoder), pero ha cautivado la atención de All Might, el más famoso de los superhéroes, quien tiene un plan para ayudar a Midoriya a ingresar en la Preparatoria U.A., escuela especializada en la profesionalización de jóvenes superhéroes|978-6-075-28117-9|1|false
My Hero Academia #2|2|2|/panini-manga-mx/my-hero-academia/my-hero-academia-02.jpg|208|99.0|MXN|2016-10-26|¡Tras vencer a Bakugo, Midoriya le confiesa que su singularidad es prestada y le promete que lo derrotará cuando logre dominar correctamente su poder! La oportunidad de entrenar se presenta cuando un grupo de auténticos villanos con el objetivo de matar a All Might se infiltra en una práctica escolar. Para poder sobrevivir, Midoriya tendrá que hacer equipo con otros alumnos y adaptarse a circunstancias adversas.|978-6-075-28243-5|1|false
My Hero Academia #3|3|3|/panini-manga-mx/my-hero-academia/my-hero-academia-03.jpg|192|99.0|MXN|2016-11-30|All Might llega a salvar el día. Tomura Shigaraki lanza un discurso incendiario antes de que los villanos se retiren. Mientras los héroes investigan el misterioso ataque, los alumnos deben competir en el festival deportivo de U.A.|978-6-075-28290-9|1|false
My Hero Academia #4|4|4|/panini-manga-mx/my-hero-academia/my-hero-academia-04.jpg|192|99.0|MXN|2016-12-28|Continúa el festival deportivo. El siguiente evento es una competencia en equipos de “caballitos de guerra”. Inesperadamente, Ida decide no hacer equipo con Midoriya y la situación se pone precaria. La siguiente fase del festival son combates uno a uno y las emociones se ponen a flor de piel. ¿Midoriya será capaz de prevalecer en un enfrentamiento que va más allá de lo físico?|978-6-075-28339-5|1|false
My Hero Academia #5|5|5|/panini-manga-mx/my-hero-academia/my-hero-academia-05.jpg|192|99.0|MXN|2017-02-22|Tras avanzar a la siguiente ronda, Midoriya tendrá que enfrentarse contra Todoroki aun cuando no ha logrado dominar la One for All, ¡pero eso no impedirá que luche con todo lo que tiene para demostrar ser el digno sucesor de All Might! Tras el festival llegan las vacaciones de verano y una oportunidad de evaluar el propio crecimiento y determinar qué es necesario mejorar.|978-6-075-28396-8|1|false
My Hero Academia #6|6|6|/panini-manga-mx/my-hero-academia/my-hero-academia-06.jpg|192|99.0|MXN|2017-04-26|Ha llegado el momento de realizar prácticas profesionales y para ello es importante tener un buen nombre de superhéroe. Cada quien con lo suyo: ante Gran Torino (el maestro de All Might), urge que Midoriya por fin domine la One for All; Todoroki debe ordenar tanto sus prioridades como su mente e Iida aprovecha sus prácticas para encontrar al atacante de su hermano. Todo apunta a que lo encontrará antes de lo esperado...|978-6-075-28473-6|1|false
My Hero Academia #7|7|7|/panini-manga-mx/my-hero-academia/my-hero-academia-07.jpg|192|99.0|MXN|2017-06-28|Después de acabar con varios héroes a lo largo de su carrera como villano, Chizome Akaguro, mejor conocido como “Stain, el asesino de héroes”, es derrotado por Todoroki, Iida y Midoriya. La noticia se extendió en todo Japón y las personas no dejan de hablar sobre este incidente. Sin embargo, a pesar de la mala reputación de Stain, el asesino de héroes tiene una historia detrás que oculta la verdadera razón de su venganza. Además, All Might revela al joven Midoriya el origen de la One for All, una singularidad que ha existido desde el inicio y se ha multiplicado a través de los héroes y villanos.|978-6-075-28536-8|1|false
My Hero Academia #8|8|8|/panini-manga-mx/my-hero-academia/my-hero-academia-08.jpg|192|99.0|MXN|2017-08-23|Los estudiantes de la Academia U.A. deben presentar una prueba práctica que consiste en enfrentar a sus propios profesores. La mayoría de los equipos sale adelante y logra superar el reto, pero Midoriya y Bakugo tienen dificultades por la mala relación que hay entre ellos, además de que se enfrentan contra un poderoso All Might que está dispuesto a darles una gran lección.|978-6-075-28606-8|1|false
My Hero Academia #9|9|9|/panini-manga-mx/my-hero-academia/my-hero-academia-09.jpg|192|99.0|MXN|2017-10-25|Los resultados de la prueba práctica que realizaron los alumnos de U.A. no fueron satisfactorios, así que la academia organizó un campamento para fortalecer las singularidades de cada uno. Sin embargo, algunos miembros de la Unión de Villanos dan con su ubicación y se hacen presentes en el campamento con el objetivo de acabar con los alumnos y secuestrar a Bakugo a como dé lugar.|978-6-075-28669-3|1|false
My Hero Academia #10|10|10|/panini-manga-mx/my-hero-academia/my-hero-academia-10.jpg|192|99.0|MXN|2017-12-27|Tras el secuestro de Bakugo por parte de la Unión de Villanos, Midoriya, Yaoyorozu, Todoroki, Iida y Kirishima se disponen a rescatarlo, a pesar del gran peligro al que se exponen y de las órdenes de Aizawa-sensei, quien les prohibió pelear. ¿Qué consecuencias traerá este acto de desobediencia para los alumnos de U.A.?|978-6-075-28740-9|1|false
