NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
My Little Monster #1|1|1|/panini-manga-mx/my-little-monster/my-little-monster-01.jpg|200|99.0|MXN|2018-03-14|"Shizuku Mizutani es una chica a la que solo le interesa estudiar para hacerse millonaria, pero el día en que entra a la preparatoria su mundo da un vuelco porque por primera vez alguien obtuvo mejores calificaciones que ella, pero también por culpa de Haru Yoshida, un chico socialmente incompetente muy peleonero que no va a la escuela por temor a la gente, pero que está ansioso por tener amigos. Cuando Shizuku ""salva"" a Haru de unos parásitos que solo le sacaban el dinero, él promete ir a la escuela si ella está cerca de él. ¡La chica fría y el chico agresivo saldrán de sus zonas de confort e iniciarán una extraña relación!"|978-6-075-28960-1|1|false
My Little Monster #2|2|2|/panini-manga-mx/my-little-monster/my-little-monster-02.jpg|168|99.0|MXN|2018-05-09|Haru comienza a vivir con amigos de verdad y ello hace que aprenda a fingir que no le da ansiedad estar entre la gente. Como resultado, ¡se vuelve sumamente popular con las chicas de la escuela! Sin embargo, su verdadera naturaleza vuelve a salir cuando intenta defender a una compañera a la que todos molestan. Yuzan, el hermano mayor de Haru, tras conocer a Shizuku, le encarga a su hermano menor, pero todo se complica cuando se revela algo de la historia de la familia Yoshida. ¡¿Que su padre y su hermano impidieron que Haru fuera a la secundaria?! Cuando todo parece normalizarse, la chica que Haru defendió comienza a mostrar sentimientos por él y a Shizuku no le agrada nada la situación.|978-6-075-48141-8|1|false
My Little Monster #3|3|3|/panini-manga-mx/my-little-monster/my-little-monster-03.jpg|168|99.0|MXN|2018-07-18|Haru y Shizuku siguen viéndose: la esperada cita en la biblioteca llegó, pero Shizuku no lo recordaba y creyó que solo iban a estudiar. Mientras, Natsume se lamenta de que Shizuku no le tenga tanta confianza como para contarle lo que le sucede; en cambio, sí le ayuda con los estudios. Entre Haru y Shizuku hay otra confesión y también otra respuesta. En la preparación del festival escolar, alguien más se fija en Shizuku, y en pleno festival se le declaran a Haru: ¿todo esto provocará algo en la pareja de amigos?|978-6-075-48248-4|1|false
My Little Monster #4|4|4|/panini-manga-mx/my-little-monster/my-little-monster-04.jpg|176|99.0|MXN|2018-09-12|Shizuku Mizutani y Haru Yoshida siguen estancados en esa relación ambigua; aunque él parece tranquilo con eso, ella se sigue cuestionando y tiene más dudas cuando Yamaken se acerca más y también cuando se entera de los encuentros que Haru tiene con Oshima. Sus días de shock continúan, pero gracias al consejo de Yamaken, Shizuku comienza a encarar las cosas que se le presentan. Sin embargo, ¡Haru desconfía demasiado de las intenciones de Yamaken!, y no se quedará con las manos cruzadas.|978-6-075-48382-5|1|false
My Little Monster #5|5|5|/panini-manga-mx/my-little-monster/my-little-monster-05.jpg|176|99.0|MXN|2018-11-14|Shizuku Mizutani comienza a afrontar su relación y le declara sus sentimientos nuevamente al chico problema que se sienta a su lado, Haru Yoshida. Sin embargo, cuando el amigo de Haru, Yamaken, empieza a mostrar un interés excesivo en Shizuku, ¡Haru no puede ignorarlo! otra vez, los dos están en desacuerdo, y para empeorar las cosas, ¿Natsume comienza a enamorarse? También Oshima tiene algo que decir y, en la próxima salida, tendrá que decidir entre callar o dar un paso más. En esta historia todos saben qué hacer pero nadie tiene idea del cómo.|978-6-075-48502-7|1|false
My Little Monster #6|6|6|/panini-manga-mx/my-little-monster/my-little-monster-06.jpg|176|99.0|MXN|2019-01-16|Después de la salida a esquiar y gracias a la influencia de Natsume-san, Sasayan y Yamaken, poco a poco, Shizuku Mizutani y Haru Yoshida comenzaron a cambiar la forma en la que piensan sobre sus sentimientos. Pero el cambio apenas comienza, por lo que ninguno de los dos se ha dado cuenta. Y entonces, el día de San Valentín se acerca a ellos. ¡¿Y Oshima-san decide demostrarle sus sentimientos a Haru?!|978-6-075-48659-8|1|false
My Little Monster #7|7|7|/panini-manga-mx/my-little-monster/my-little-monster-07.jpg|176|99.0|MXN|2019-03-13|El cumpleaños de Shizuku Mizutani es el 14 de febrero, el día de San Valentín. Gracias al apoyo de Haru Yoshida, Shizuku puede finalmente comunicarse con su madre por teléfono; y como resultado, Shizuku lo besa y se le declara formalmente por segunda ocasión. Los dos deciden esforzarse por seguir sus estudios mientras progresan con su relación amorosa. Sin embargo, Oshima-san también se le declaró a Haru, y Yamaken invitó a Shizuku a una cita. ¡¿La situación se desenvolverá de forma impredecible?! ¡¿Y qué hay de Natsume-san?!|978-6-075-48793-9|1|false
My Little Monster #8|8|8|/panini-manga-mx/my-little-monster/my-little-monster-08.jpg|200|99.0|MXN|2019-05-15|Shizuku Mizutani avanzó a segundo grado de preparatoria. Debido al cambio de grupos, Haru se quedó solo en el salón vecino y no ha podido integrarse a su nuevo grupo. Sin embargo, gracias al apoyo de Shizuku, Haru fue capaz de acostumbrarse poco a poco. En comparación con el pasado, Shizuku siente que ahora puede entender a Haru un poco mejor, pero entonces un nuevo personaje inesperado aparece en escena. ¿Finalmente ha llegado el momento en que Yamaken se atreverá.?|978-6-075-48929-2|1|false
My Little Monster #9|9|9|/panini-manga-mx/my-little-monster/my-little-monster-09.jpg|200|99.0|MXN|2019-07-17|"Shizuku Mizutani y Haru Yoshida, en esa nueva etapa escolar y después de muchos tropiezos tanto de uno como de otro, finalmente comenzaron a salir. Sin embargo, Shizuku no siente que de verdad estén ""saliendo"". Y así, sin que exista un cambio aparente en la relación de Shizuku y Haru, las vacaciones de verano comienzan. Pero muy pronto, no solo para ellos dos, sino para todos los que los rodean, les sucederán grandes cambios."|978-6-076-34094-3|1|false
My Little Monster #10|10|10|/panini-manga-mx/my-little-monster/my-little-monster-10.jpg|200|99.0|MXN|2019-09-11|Después de mucho tiempo, Shizuku Mizutani y Haru Yoshida finalmente comenzaron a salir. Aunque Shizuku sigue sintiendo que en el fondo no se comportan como novios de verdad. Pero tras pasar junto a Haru todas las vacaciones de verano, los sentimientos entre ambos ahora son favorables. Sin embargo, algo ha sucedido dentro de la familia Yoshida, ¿será el momento de escuchar cosas que quizá preferirían no escuchar? Un pasado realmente difícil los pondrá en el límite de su fortaleza.|978-6-076-34230-5|1|false
My Little Monster #11|11|11|/panini-manga-mx/my-little-monster/my-little-monster-11.jpg|184|99.0|MXN|2019-11-13|"Haru Yoshida y Shizuku Mizutani están saliendo sin problemas. Sin embargo, después de cierto incidente en el que ella se siente frustrada por sus sentimientos, Shizuku comienza a sentir celos de Haru y es incapaz de tolerar las diferencias entre él y ella misma. Y así, desde el día siguiente a la pelea en la fiesta de cumpleaños de su hermano mayor. ¡¿Haru dejó de ir a la escuela?! Y cuando lo creen perdido, Asako pone carteles de ""se busca"" en todas partes para lograr encontrarlo, hasta que Yamaken recibe una llamada."|978-6-076-34378-4|1|false
My Little Monster #12|12|12|/panini-manga-mx/my-little-monster/my-little-monster-12.jpg|184|99.0|MXN|2020-01-15|"Haru Yoshida regresa a casa después de dos semanas de haber desaparecido. Shizuku y Haru se reconciliaron de alguna manera, sin embargo, ella no supo qué responder cuando él le dijo ""quiero conocer tus sentimientos"". Al contrario, acabó diciendo algo cruel, y en ese momento, ¡¿qué hace Haru?! Un duro golpe en esta historia de amor juvenil y luego. ¡el clímax! La gran historia llega a su fin. ¿Qué clase de final les espera a todos los personajes?"|978-6-076-34518-4|1|false
My Little Monster #13|13|13|/panini-manga-mx/my-little-monster/my-little-monster-13.jpg|184|99.0|MXN|2020-03-11|Las últimas historias de este manga están por contarse. Sasayan tiene algo que decirle a Natsume después de haber callado tanto tiempo; Haru y Mizutani deben completar ciertas cosas antes de ponerle punto a la indecisión y a los años de preparatoria; Iyo no se cansa de buscar el amor perfecto y reconoce en un viejo amigo a un posible prospecto; hasta el hermano de Shizuku, después de muchos años, tiene algo que decir respecto del amor: ¡un grandioso final para todos y los mejores deseos cumplidos!|978-6-076-34690-7|1|false
