NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Negima! #1|1|1|/panini-manga-mx/negima/negima-01.jpg|200|189.0|MXN|2019-02-06|Negi es un niño de diez años, lindo, inteligente y con talento; tanto, que es enviado desde Inglaterra a dar clases a la Academia Mahora en el nivel de secundaria, una academia solo para chicas.|978-6-075-48699-4|1|false
Negima! #2|2|2|/panini-manga-mx/negima/negima-02.jpg|368|189.0|MXN|2019-03-06|En la Avenida de los Cerezos está ocurriendo algo extraño y Negi, solo entonces, se da cuenta de lo importante que era una pareja, así que debe decidirse por alguien, pero inmediatamente porque un mal vampírico se manifiesta. Una misteriosa estudiante comienza a acercarse al pequeño maestro por una historia del pasado, una venganza y una promesa, aunque Negi no sepa absolutamente nada sobre eso. En el padre de Negi está toda la clave. Y, por si estas nuevas noticias fueran poco, el maestro hechicero debe cuidar ahora más que nunca su identidad oculta, porque una reportera muy curiosa lo acecha....|978-6-075-48754-0|1|false
Negima! #3|3|3|/panini-manga-mx/negima/negima-03.jpg|200|189.0|MXN|2019-04-03|Un concurso de besos, aparentemente como un juego inocente en el que todas competirán para ver quién besa primero a Negi, es un elaborado plan de Camo para ayudar a su querido amigo y ´jefecito´. Pero, precisamente en ese momento, el pequeño maestro ensaya un hechizo que lo convertirá en más de un Magister. Además, un terrible incendio provoca que la salida escolar se convierta en algo más peligroso pero, sobre todo, mucho más interesante....|978-6-075-48828-8|1|false
Negima! #4|4|4|/panini-manga-mx/negima/negima-04.jpg|306|189.0|MXN|2019-05-01|-|978-6-075-48899-8|1|false
Negima! #5|5|5|/panini-manga-mx/negima/negima-05.jpg|306|189.0|MXN|2019-06-05|El Festival Mahora, el acontecimiento escolar más esperado por todos los alumnos de la Academia Mahora, está a punto de comenzar, y todo el mundo está deseándolo. La clase de 3.º-A preparará una casa del terror. Mientras tanto, Evangeline parece estar desarrollando sentimientos humanos y Asuna quiere confesarle al profesor Takahata sus sentimientos, pero deberá ensayar con Negi, quien tiene la agenda tan llena que no puede con todo, pero Chao Lingshen le ayuda con un invento que le permitirá tener tiempo de sobra...|978-6-075-48975-9|1|false
Negima! #6|6|6|/panini-manga-mx/negima/negima-06.jpg|360|189.0|MXN|2019-07-17|El primer día del agotador Festival Mahora ya termina, pero Negi debe repetirlo varias veces, gracias a la magia, para poder llevar a cabo todas las tareas que están en su lista. Puede hacerlo gracias al invento de Chao Lingshen, además de entrenar y descansar, pero llega el momento de participar en el torneo de lucha, donde Negi se va a encontrar con oponentes muy poderosos, entre los cuales se encuentra el mismísimo profesor Takahata. En otro combate, Asuna se enfrenta a Setsuna, mientras el grupo se pregunta quién es en realidad el misterioso Coronel....|978-6-076-34046-2|1|false
Negima! #7|7|7|/panini-manga-mx/negima/negima-07.jpg|200|189.0|MXN|2019-08-07|El Torneo de Lucha Mahora está a punto de terminar y Negi deberá enfrentarse a una de sus alumnas: Setsuna. Después, conocerá la verdadera identidad del Coronel Sanders, quien... ¿podría ser su padre? Tras unas revelaciones conmovedoras, y debido a su gran papel en el torneo, el niño profesor va a convertirse en un adolescente para huir de los medios de comunicación... pero las cosas se le complican al hacerlo....|978-6-076-34088-2|1|false
Negima! #8|8|8|/panini-manga-mx/negima/negima-08.jpg|200|189.0|MXN|2019-09-11|El Torneo de Lucha Mahora está a punto de terminar y Negi deberá enfrentarse a una de sus alumnas: Setsuna. Después, conocerá la verdadera identidad del Coronel Sanders quien... ¿podría ser su padre? Tras unas revelaciones conmovedoras, y debido a su gran papel en el torneo, el niño profesor va a convertirse en un adolescente para huir de los medios de comunicación... pero las cosas se le complican al hacerlo.|978-6-076-34190-2|1|false
Negima! #9|9|9|/panini-manga-mx/negima/negima-09.jpg|352|189.0|MXN|2019-10-02|Sigue el enfrentamiento con Chao, que insiste en querer revelar la existencia de la magia para evitar una catástrofe, pero no será fácil: es la rival más dura a la que Negi haya tenido que enfrentarse jamás. Después del clímax de tan épico enfrentamiento llega un período de paz que Negi aprovecha para seguir investigando sobre su padre, Misora consigue enterarse de los secretos de todos y se acerca el final del curso.|978-6-076-34235-0|1|false
Negima! #10|10|10|/panini-manga-mx/negima/negima-10.jpg|352|189.0|MXN|2019-11-06|Llegan las vacaciones de verano y Negi se prepara para viajar a Inglaterra, donde espera tener la ocasión de averiguar más sobre su padre. Después, el pequeño profesor y las chicas pasan un día en la playa antes de ir al mundo mágico, pero entonces... ¡aparece una misteriosa niña que conoce a Negi!|978-6-076-34332-6|1|false
Negima! #11|11|11|/panini-manga-mx/negima/negima-11.jpg|328|189.0|MXN|2019-12-11|En el mundo mágico Negi y los demás se encuentran con el misterioso Fate, al que el niño profesor no puede derrotar. Además, tendrá que rescatar a las chicas que han viajado con él, ahora esparcidas por el mundo mágico. Para hacerle frente ¡deberá entrenar a las órdenes de un viejo conocido de su padre!|978-6-076-34361-6|1|false
Negima! #12|12|12|/panini-manga-mx/negima/negima-12.jpg|328|199.0|MXN|2020-01-08|Mientras Negi continúa debatiéndose entre seguir el camino de su maestra y entrenarse en la magia oscura; o seguir el camino de su padre y no hacerlo, los demás miembros del Club Negima continúan en su lucha por la supervivencia en el Mundo Mágico. Nodoka se ha unido a un grupo de cazadores de tesoros en busca de mejorar sus habilidades; Konoka y Kaede se han vuelto unas expertas cazarrecompensas; mientras Yue entrena fuertemente en la Academia Ariadne. ¡Todos se encaminan al gran torneo en la antigua ciudad de Ostia!|978-6-076-34468-2|1|false
Negima! #13|13|13|/panini-manga-mx/negima/negima-13.jpg|328|199.0|MXN|2020-02-05|Ahora que las negociaciones con Fate se han roto, comienza la batalla. Rakan revelará conexiones entre la lucha actual y la gran guerra del pasado y con Nagi, el padre de Negi. Mientras tanto, el gran torneo continúa. ¡Una gran sorpresa espera a Negi y a Kotaro!|978-6-076-34613-6|1|false
Negima! #14|14|14|/panini-manga-mx/negima/negima-14.jpg|328|199.0|MXN|2020-03-04|¡Llegó la hora de ver el combate entre Negi y Jack Rakan, leyenda de las artes marciales! Tras su final, Negi conoce al misterioso gobernador Godel, un hombre que tiene las respuestas a las preguntas del pequeño maestro... pero no está dispuesto a dárselas fácilmente.|978-6-076-34654-9|1|false
Negima! #15|15|15|/panini-manga-mx/negima/negima-15.jpg|328|199.0|MXN|2020-04-01|Mientras Negi y los demás se adentran en la fiesta a la que fueron invitados por Kurt Gödel, Rakan se enfrenta a Fate en una gran batalla. Kurt le revelará a Negi la historia de sus padres y su conexión con el ataque a su aldea. Unas negociaciones que fracasan y el regreso de la oscura organización Cosmo Entelecheia. ¡Comienza un gran enfrentamiento por el futuro del Mundo Mágico que pondrá en riesgo la seguridad de Negi y sus alumnas!|978-6-076-34744-7|1|false
Negima! #16|16|16|/panini-manga-mx/negima/negima-16.jpg|328|199.0|MXN|2020-07-22|Negi descubre más cosas sobre sus padres y sale victorioso de su lucha contra el gobernador. Los miembros de Cosmo Entelecheia se levantan y atacan a los habitantes del Mundo Mágico. Con la ayuda de un poder misterioso, arremeten contra aquellos que se les oponen. Fate revela sus terribles intenciones mientras Evangeline le enseña a Negi cómo controlar los efectos de la magia de la oscuridad.|978-6-076-34806-2|1|false
Negima! #17|17|17|/panini-manga-mx/negima/negima-17.jpg|352|199.0|MXN|2020-08-26|Tras la misteriosa aparición de Zajie, Negi y los demás no solo tendrán que enfrentarse a ella, sino a sus más profundos y secretos deseos. Mientras tanto, Fate dará inicio al ritual que busca eliminar al Mundo Mágico con una Asuna cautiva. El Ala Alba deberá enfrentarse al equipo de chicas de Fate y a Dynamis, el sobreviviente de la guerra de hace 20 años. ¡Comienza el enfrentamiento final entre el Ala Alba y la Cosmo Entelecheia!|978-6-076-34876-5|1|false
Negima! #18|18|18|/panini-manga-mx/negima/negima-18.jpg|328|199.0|MXN|2020-09-23|Mientras el Mundo Mágico se conecta con la Academia Mahora, continua la dura batalla entre el Ala Alba y la Cosmo Entelecheia. Negi y sus amigos lo dan todo en el campo de batalla para enfrentar a Fate y sus secuaces. Y pronto llegará ayuda inesperada. Y al final de la batalla, una revelación inesperada.|978-6-076-34875-8|1|false
Negima! #19|19|19|/panini-manga-mx/negima/negima-19.jpg|328|199.0|MXN|2020-10-28|Después de regresar del Mundo Mágico todos tendrán que volver a adaptarse a la vida en la Academia Mahora. Todos disfrutan del festival deportivo, pero tanto para Negi como para Asuna puede ser el último. ¿Qué consecuencias trajo la decisión de Negi para él y para Asuna? ¡Es el final de la aventura!|978-6-075-68019-4|1|false
