NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Neon Genesis Evangelion #1|1|1|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-01.jpg|192|139.0|MXN|2016-07-13|En el año 2000, un meteorito cayó sobre la Antártida y causó un desastre que provocó la muerte de la mitad de la humanidad. Quince años después, la humanidad enfrentó a una nueva amenaza: “los ángeles” que son gigantes de origen desconocido que atacan a la humanidad. En respuesta a los ataques, la humanidad creó los “Evangelion” armas humanoides de combate que son manejadas por tres jóvenes elegidos en cuyos hombros descansa el destino de la humanidad. Su lucha está por comenzar.|978-6-079-72122-0|1|false
Neon Genesis Evangelion #2|2|2|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-02.jpg|176|99.0|MXN|2016-08-17|El ángel fue derrotado, pero después de la crisis hay que volver a la vida cotidiana y los héroes no siempre son salvadores para todas las personas. Sin embargo, ante el ataque de otro ángel las amistades pueden aparecer inesperadamente, fortalecerse o tensarse y romperse. Bajo el dudoso honor de pilotar una unidad Evangelion, una persona tan insegura como Shinji aprenderá que huir y alejarse de la personas no deja de afectarlas.|978-6-075-28005-9|1|false
Neon Genesis Evangelion #3|3|3|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-03.jpg|176|99.0|MXN|2016-09-14|El ángel fue derrotado y Shinji está de vuelta en NERV. Rei ya está recuperada de sus heridas y lista para pilotar de nuevo, pero su presencia ha despertado la curiosidad de Shinji, quien se pregunta por qué su padre se interesa tanto por Ayanami. Las cosas se complican cuando debe coordinarse con la distante chica para derrotar al siguiente ángel, una ser invulnerable que pretende acceder directamente al cuartel empleando un gran taladro…|978-6-075-28050-9|1|false
Neon Genesis Evangelion #4|4|4|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-04.jpg|192|139.0|MXN|2016-10-12|Una nueva integrante se une al equipo de pilotos. Asuka es capaz de derrotar un ángel en menos de lo que se agotan las baterías del Eva 02, pero tiene un carácter horrible. Cuando el séptimo ángel se divide en dos, la única manera de derrotarlo es que Shinji y Asuka vivan juntos para sincronizarse. Por cierto, ¿cuál es la misión de Kaji, exnovio de Misato?|978-6-075-28120-9|1|false
Neon Genesis Evangelion #5|5|5|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-05.jpg|188|99.0|MXN|2016-11-09|Misato es ascendida, Asuka llega a vivir permanentemente con Shinji, la unidad 00 regresa a las líneas de combate y Gendo finalmente es honesto con Shinji. Un ángel intenta destruir NERV dejándose caer desde la atmósfera, pero tal amenaza palidece ante un sabotaje que deja el cuartel general sin energía eléctrica. Kaji, además de revelar una misión inesperada, le muestra a Misato un enorme secreto que NERV oculta celosamente.|978-6-075-28194-0|1|false
Neon Genesis Evangelion #6|6|6|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-06.jpg|192|139.0|MXN|2016-12-21|Shinji y Asuka se inmiscuyen en la relación entre Toji y Hikari. Mientras tanto, la segunda división de NERV ha desaparecido tras un misterioso incidente durante las pruebas con el motor S2 y el EVA 04. Como resultado, el EVA 03 es transportado a Japón y se elige un piloto. Aunque a Shinji debería darle gusto tener un nuevo compañero, ¿qué sucedería si un EVA repentinamente se convirtiera en el enemigo?|978-6-075-28260-2|1|false
Neon Genesis Evangelion #7|7|7|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-07.jpg|192|139.0|MXN|2017-01-11|-|978-6-075-28318-0|1|false
Neon Genesis Evangelion #8|8|8|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-08.jpg|180|99.0|MXN|2017-02-08|Shinji sigue atrapado y se pone en marcha un plan para rescatarlo. ¿Por qué parece las unidades Evangelion tienen mente propia? Aprovechando la crisis, ¡Fuyutsuki es secuestrado por Seele! Al parecer el comité desconfía de Gendo y quieren saber sus planes. Los secretos del Proyecto E y el origen de NERV son más profundos de lo que se podía pensar y quien intenta acercarse a la verdad puede perder la vida…|978-6-075-28389-0|1|false
Neon Genesis Evangelion #9|9|9|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-09.jpg|192|99.0|MXN|2017-03-09|Asuka está tan deprimida que su índice de sincronización está a punto de impedirle pilotar. “Casualmente”, SEELE envía a Kaworu Nagisa, el Quinto Niño, para sustituirla. Justo a tiempo, pues el ataque de un ángel con ataques psicológicos derrota por completo a Asuka, quien queda catatónica después de que Rei, armada con la Lanza de Longinus, pone fin a la amenaza. Sin embargo, el siguiente ángel ataca de inmediato y Kaworu sale a hacerle frente con Rei…|978-6-075-28420-0|1|false
Neon Genesis Evangelion #10|10|10|/panini-manga-mx/neon-genesis-evangelion/neon-genesis-evangelion-10.jpg|180|99.0|MXN|2017-04-12|El penúltimo ángel resulta ser demasiado poderoso y para derrotarlo es necesario el sacrificio de Rei y el EVA 00. Sin embargo, la chica… ¿sobrevive? Ante el absurdo, SEELE exige entrevistarla, pero Gendo prefiere entregarles a Ritsuko, quien es humillada por el comité. Traicionada y despechada, la doctora revela el macabro secreto tras el dummy system y la misteriosa existencia de Rei.|978-6-075-28457-6|1|false
