NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Nisekoi #1|1|1|/panini-manga-mx/nisekoi/nisekoi-01.jpg|192|99.0|MXN|2016-06-22|Raku es tranquilo, excelente cocinero, noble y tierno. Chitoge es agresiva, golpea a los chicos y gusta de las películas violentas. Lo único que los une es que ambos ¡son hijos de poderosos jefes yakuzas! Por eso, para evitar una guerra entre los grupos rivales, sus padres los obligarán a ser novios durante tres largos años. Si no se soportan entre ellos y ni siquiera pueden ser amigos, ¿lograrán aparentar amor y convencer a los furiosos gánsteres de que una alianza es posible? Tú, el candado; yo, la llave. Si al crecer nos reencontramos, sacaré lo que hay ahí dentro... ¡y nos casaremos! Estos tipos quieren que yo sea un yakuza... Pero es obvio que no soy apto para eso. Es una chica que siempre me hace enojar, pero aunque no se nota, tiene su lado bueno.  Nosotros, los nada compatibles, el día de hoy nos volvimos novios.|978-607-97212-1-3|1|false
Nisekoi #2|2|2|/panini-manga-mx/nisekoi/nisekoi-02.jpg|192|99.0|MXN|2016-07-12|"En este volumen 2 de ""Nisekoi"", Raku no para de batallar con su sádico destino. Por si no fuera poco quedarse encerrado con la agrevisa Chitoge, o verse obligado a salvarla de ahogarse, debe rivalizar con un sujeto ambiguo que está dispuesto a batirse a duelo con él para demostrar ¡que también la ama! Encima, Raku descubre que varias de las chicas de su entorno ¡también hicieron promesas hace diez años!, lo cual confunde al ya de por sí agobiado chico. Frases Si la persona que amas está afuera, ¿no es normal que pelees por ella? Yo tampoco encuentro al indicado. Es muy difícil. Pero quisiera vivir un increíble amor.  No creas que me aferro a ti porque me gustes, pero ¡necesito hacerlo! ¡En un noviazgo, los besos son tan importantes como el sol! Te has aferrado a esa promesa por diez años, pero sería mejor que te esforzaras por tu amor del presente."|978-607-528-002-8|1|false
Nisekoi #3|3|3|/panini-manga-mx/nisekoi/nisekoi-03.jpg|192|99.0|MXN|2016-08-10|En este volumen 3 de Nisekoi, los dilemas serán el pan de cada día para Raku: divulga el secreto de su adversario Seishiro o resguarda su identidad secreta; ayuda a la hostil Tsugumi con sus problemas de zapatos o la deja tirada en el camino; come el guiso de su novia falta Kirisaki o el de su amada Onodera; huye de una situación comprometedora o escucha el secreto de Onodera; aprovecha la única oportunidad de estar a solas con ella o rescata a Kirisaki de la peligrosa oscuridad. Definitivamente, Raku no lo tendrá fácil en esta ocasión.|978-607-528-049-3|1|false
Nisekoi #4|4|4|/panini-manga-mx/nisekoi/nisekoi-04.jpg|192|139.0|MXN|2016-09-14|Una caja con fotos puede ser la clave para que Raku descubra por fin quién es la chica de la promesa de hace diez años. Ese secreto, más una carta de amor inesperada, una fiesta sorpresa, el lugar feliz de Onodera, un regalo peligroso y dos poderosas revelaciones de los padres de Raku y Kirisaki son los ingredientes de este cuarto volumen de Nisekoi. Frases: Ni modo, no se puede hacer nada cuando te enamoras de alguien.  ¡Contigo voy adonde sea! Si Onodera es la chica de la promesa, ¡puedo decir que encontré al amor de mi vida! Parece que la chica que no tenía amigos, se lleva muy bien con todos.  Siento que tal vez esto del noviazgo falso, no es tan malo como pensé.  Cuando Raku-Sama entienda qué mujer es la más apta para él, ¡me elegirá a mí! De seguro te llevarías bien con ella. Cuando la conoces, es más de lo que esperas.|000-0000000000|1|false
Nisekoi #5|5|5|/panini-manga-mx/nisekoi/nisekoi-05.jpg|208|99.0|MXN|2016-10-12|Raku Ichijo vivirá nueve momentos intensos en este tomo 5 de Nisekoi: conocerá la existencia de tres llaves y de tres promesas hechas hace 10 años; le confesará al padre de Tachibana que no ama a su hija; preparará un platillo para demostrarle su valía a la madre de Onodera; resistirá la tentación de quedarse a solas con Onodera; tratará de engañar a un detector de mentiras; se unirá con Chitoge para encontrarle un hogar a un perrito; buscará con afán un amuleto amoroso; se comprometerá, sin saberlo, con Chitoge, y sorteará los problemas de una tarde en la playa.|978-607-528-193-3|1|false
Nisekoi #6|6|6|/panini-manga-mx/nisekoi/nisekoi-06.jpg|192|99.0|MXN|2016-11-06|¿Qué sucede cuando una chica tosca y agresiva como Chitoge se enamora del chico menos indicado? ¿Y qué pasaría si hubiera la posibilidad de que este chico fuera el hombre de su vida, de acuerdo a una promesa de hace 10 años? ¿Y si Chitoge tuviera que interpretar, en una obra de teatro, a la enamorada de ese joven? En el tomo 6 de Nisekoi, la suerte le sonreirá a algunos, a otros los pasará de largo y a unos más les deparará grandes infortunios.  ¿Por qué será que nuestras familias se odian cuando, al igual que nosotros, podrían tomarse de las manos y amarse? Cuando en el atardecer, el viento frío empieza a soplar, mi primer e inolvidable festival escolar de la preparatoria acaba de bajar su telón.  Dicen que cuando te enamoras, ves el mundo muy distinto, como el alegrarte por cosas simples.  Desaba tanto tener un amor... y sin querer terminé enamorada de este tipo.|978-607-528-258-9|1|false
Nisekoi #7|7|7|/panini-manga-mx/nisekoi/nisekoi-07.jpg|192|99.0|MXN|2016-12-14|¡Llegó la temporada navideña! Raku fue presentado como el novio de Chitoge a Hana Kirisaki, la madre de Chitoge, cuando regresó después de mucho tiempo a Japón. ¡Entonces terminó trabajando como secretario de Hana hasta Navidad! Sin embargo, a Raku le intriga el comportamiento torpe de Chitoge y de su madre.|978-607-528-317-3|1|false
Nisekoi #8|8|8|/panini-manga-mx/nisekoi/nisekoi-08.jpg|192|99.0|MXN|2017-01-11|¡Qué envidia le tiene Shuu a Raku! Cuatro chicas se disputan su amor, y él no se da cuenta. Ese cuarteto formado por Chitoge, Onodera, Tsugumi y Tachibana hará lo que sea para quitarle a Raku una maldición. Las cuatro lo asediarán tras haber comido una caja entera de chocolates rellenos de whisky. También se esforzarán por darle en San Valentín un chocolate amoroso que parezca de compromiso. ¡Ah, Raku, si tan solo vieras la suerte que tienes! Aunque el suyo es un amor fingido, los sentimientos que hay entre los dos no parecen tan falsos. Si nunca has besado a alguien por amor, no sabes de lo que te has perdido. No puedo estar lejos de mis amigos. Sin ellos me siento como una isla. Cuando alguien te obsequia algo que hizo con sus manos, ¡ese regalo vale el doble!|978-607-528-350-0|1|false
Nisekoi #9|9|9|/panini-manga-mx/nisekoi/nisekoi-09.jpg|192|99.0|MXN|2017-02-08|¡Raku Ichijo tiene que correr mucho en este volumen 9 de Nisekoi! Debe competir en una carrera para evitar que Onodera sea besada por otros chicos. Después, tendrá que apurarse para recuperar el apreciado pendiente que ha caído en las manos de una nueva enemiga. Y tiene que darse prisa para no caer en la trampa que una hábil asesina le pone para que se enamore de Tsugumi. ¿Logrará Raku llegar a tiempo en estas tres grandes pruebas?Frases: Hasta hoy, nunca he ganado nada, ¡pero hoy será diferente! A las personas que son tan crédulas, como tú, las convencen muy fácilmente de algunas cosas.  Cuando empecé a tener amigos, conocí la feliz sensación que me hace sentir aliviada.  Aprende a confiar más en la gente. Cuando estés en problemas, puedes pedir ayuda.|978-607-528-385-2|1|false
Nisekoi #10|10|10|/panini-manga-mx/nisekoi/nisekoi-10.jpg|192|99.0|MXN|2017-03-08|Todo va bien en la vida de Raku: tiene una arriesgada aventura en un baño público, pero sale ileso; organiza a sus amigos para que laven la piscina y vive un momento muy divertido; ayuda a su amigo Shuu a declarar su amor a una chica inalcanzable, y logra recuperar el famoso pendiente de manos de Haru, la severa hermana de Onodera. Justo cuando todo marcha sobre ruedas, recibe un pelotazo en la cabeza al tratar de proteger a Chitoge y ¡pierde por completo la memoria! Sus amigos tratarán de ayudarlo a recuperarla, pero no están seguros de que sus métodos funcionen. ¿Logrará recordar Raku su pasado inmediato y, tal vez, el nombre de la chica de la promesa?|978-607-528-418-7|1|false
