NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Noragami #1|1|1|/panini-manga-mx/noragami/noragami-01.jpg|192|99|MXN|2017-07-26|Hiyori, una joven humana, arriesga su vida para salvar a un chico de un atropello. Lo que no sabe es que se trata de Yato, una deidad menor que desea convertirse en dios, y tras su sacrificio la chica adquiere el poder de abandonar su cuerpo casi a voluntad… lo que la liga a Yato y a su misión.|978-6-075-28518-4|1|FALSE
Noragami #2|2|2|/panini-manga-mx/noragami/noragami-02.jpg|194|99|MXN|2017-08-23|La suerte de Yato no mejora. Luego de perder a su única socia, conoce a Hiyori Iki.|978-607-528-607-5|1|FALSE
Noragami #3|3|3|/panini-manga-mx/noragami/noragami-03.jpg|200|99|MXN|2017-09-27|"La relación entre una shinki y su amo va mucho más allá de la mera utilidad. Hay un lazo invisible que en el caso de Yato y Yukine ha probado ser más perjudicial que benéfico. Hiyori, una ""simple"" humana con poderes que le fueron otorgados sin pedirlos, no logra entender la relación... y eso solo le dificulta acoplarse a su nueva vida. ¡Sigue sus aventuras en el tomo 3 de Noragami! A la venta ya."|978-607-528-699-0|1|FALSE
Noragami #4|4|4|/panini-manga-mx/noragami/noragami-04.jpg|200|99|MXN|2017-10-25|Bishamonten está sufriendo a causa de sus shinkis. Ella posee una gran cantidad de shinkis que, mientras más cosas hacen, más la lastiman... e incluso entre algunas de sus más confiables shinkis se está formando algo terrible. Kazuma está intentando descubrir qué es lo que tiene tan lastimada a su ama... ¿Lo logrará? Además, Hiyori sigue exigiendo a Yato que cumpla su `promesa de regresarla a la normalidad... pero las opciones que tiene no parecen ser las mejores ¿Qué decidirá? Descúbrelo con ella en el tomo 4 de tu serie Noragami. ¡A la venta ya!|978-607-528-762-1|1|FALSE
Noragami #5|5|5|/panini-manga-mx/noragami/noragami-05.jpg|192|99|MXN|2017-11-22|Yato sigue sin covencer del todo. Sus acciones y el modo en que trata su s sinkis dejan mucho que desear... pero Yukine permanece fiel... auqneu desobediente. A pesar de las advdrtencias de Yato, él decide ur a buscar a Suzuha, pues necesta saber qué le ha sucedido... Y esa búsqueda lo lleva a enfrentarse cara a cara con la enemiga número uno de amo: Bishamonten. ¿Cömo reaccionará ella ante la shinki de su más odiado enemigo? ¡No te lopierdas! Busca ya el tomo 5 de Noragami en nuestros puntos de venta.|978-607-528-746-1|1|FALSE
Noragami #6|6|6|/panini-manga-mx/noragami/noragami-06.jpg|200|99|MXN|2017-12-27|Yato quiere vengar la muerte Hiyori, de la que cree responsable a Bishamon. Convencido de la culpabilidad de la diosa, irrumpe en su casa pare enfrentarla, dando lugar a una épica batalla entre dioses. La superioridad de Bishamon, tanto en fuerza como en experiencia, se hace envidente... Pero Hiyori no está muerta y junto con Kazuma busca la manera de escapar para ayudar a Yato... ¿Podrá llegar a tiempo? ¡Descúbrelo e el tomo 6 de tu serie Noragami! ¡Búscalo ya!|978-607-528-748-5|1|FALSE
Noragami #7|7|7|/panini-manga-mx/noragami/noragami-07.jpg|194|99|MXN|2018-01-24|Yato y Bishamon se enfrentaron en una singular y feroz batalla, que finalmente terminó y después de ello la paz volvió. Ahora en casa de Bishamon nuevamente hay tranquilidad y ella es la reina de todas sus shinki. Por su lado, una vez que logró superarlo, Yato está decidido a tomar el consejo de Tenjin y cortar defintivamente toda relación con Hiyori... Asunto que se prueba por demás complicado...|978-6-075-28849-9|1|FALSE
Noragami #8|8|8|/panini-manga-mx/noragami/noragami-08.jpg|194|99|MXN|2018-02-28|Nora traicionó a Yato, quien ahora está a merced del “padre”, quien por cierto tiene la facultad y el poder de obligar a nuestro dios callejero a cumplir su voluntad. Después de un distanciamiento provocado por la decision de Yato de alejarse de Iki, su desaparición le resulta inquietante a Hiyori y a Yukine, quienes resuelven buscarlo cuando... ¡un nuevo desafío se les presentan! ¿Lograrán superarlo y encontrar a Yato? (Descripción de la editorial)|978-607-528-932-8|1|FALSE
Noragami #9|9|9|/panini-manga-mx/noragami/noragami-09.jpg|194|99|MXN|2018-03-28|Yato acude con Ebisu a ver a Izanami, quien puede ser vista en distinta forma dependiendo de quién la esté mirando. Para Yato, ella luce como Hiyori... y eso resulta confuso y perturbador. Por otro lado, la verdadera Hiyori está buscando a Yato y se encuentra con Kugaha, que ahora tiene un nuevo nombre, lo cual lo protege de los hechizos de Yukine. ¿Lograran vencerlo y encontrar a Yato? ¿Podrá Yato distinguir a Izanami detrás de la figura de Hiyori?|978-607-528-997-7|1|FALSE
Noragami #10|10|10|/panini-manga-mx/noragami/noragami-10.jpg|194|99|MXN|2018-04-25|Yato logró rescatar a Ebisu del inframundo y de Izami, pero esto no fue suficiente para salvarle la vida... Y ahora también él está atrapado ahí y no tiene manera de escapar. Yukine y Hiyori deciden ir a buscarlo y arman una misión de rescate, incluso Bishamon decide ir en la búsqueda del dios perdido... Pero, ¿podrán hacerlo? ¿Encontrarán a Yato? ¿Podrán rescatarlo?|978-607-548-024-4|1|FALSE
Noragami #11|11|11|/panini-manga-mx/noragami/noragami-11.jpg|194|99|MXN|2018-05-30|Yato logra escapar del inframundo, pero esta aventura lo dejó marcado y lo ha puesto a pensar. Ahora tomó la decisión de no matar nunca más a nadie, y ahora más que nunca, desea dedicarse a hacer felices a las personas. Empieza liberando a Nora y concentrándose en Yukine, a quien pide ayuda para seguir este nuevo camino. ¿Logrará dar un giro tan radical?|978-607-548-182-1|1|FALSE
Noragami #12|12|12|/panini-manga-mx/noragami/noragami-12.jpg|192|99|MXN|2018-06-27|Después de la interacción inconsciente de Mayu con su hija, Hiyori comienza a especular sobre el misterioso secreto de los dioses... Sin embargo, muy pronto descubre lo verdaderamente terrible e importante que es ese secreto. Mientras tanto, el hechicero, padre de Yato, continúa interfiriendo en la vida de Yato, cada vez más, lo cual complica la situación... Sin contar que Nora no sabe cómo manejar su liberación...|978-607-548-205-7|1|FALSE
Noragami #13|13|13|/panini-manga-mx/noragami/noragami-13.jpg|192|99|MXN|2018-08-01|Hiyori finalmente descubre quién es Yato en realidad... Pero él y Yukine están decididos a quedarse a su lado para protegerla de Koto... Habrá que ver cuánto tiempo puede durar eso... ¿Cuánta gente saldrá lastimada antes de que Hiyori ceda? Además, el padre de Yato ha mostrado toda su maldad... Pero nada distrae a Yato de su misión de proteger a Hoyori... Ahora el Hechicero amenaza con arruinar la vida de ella... ¿Yato accederá a alejarse para evitarle el sufrimiento? ¡Descúbrelo en el tomo 13 de tu serie Noragami!|000-0000000000|1|FALSE
Noragami #14|14|14|/panini-manga-mx/noragami/noragami-14.jpg|200|99|MXN|2018-08-29|Después de los terribles eventos que ocasionó el padre de Yato, la familia de Hiyori intenta retomar su vida normal... pero Yato no puede dejar de culparse a sí mismo y el remordimiento lo orilla a huir y alejarse hasta lograr convertirse en un verdadero dios e la felicidad... ¿Cómo lo conseguirá? ¡Descúbrelo en el volumen 14 de Noragami! A la venta ya.|000-0000000000|1|FALSE
Noragami #15|15|15|/panini-manga-mx/noragami/noragami-15.jpg|194|99|MXN|2018-09-26|Mientras Bishamonten llora la muerte de su shinki, un consejo divino fue llamado a junta en el que todos los dioses decidirán el futuro de los humanos. Es el primer concilio al que asiste Yato desde que fue reconocido oficialmente como dios. Por su lado, Hiyori enfrenta la elección de su compañero... y Yato intenta interferir en sus decisiones. ¿Logrará su cometido? ¡Averígualo en esta entrega de tu serie Noragami!|978-6-075-48386-3|1|FALSE
Noragami #16|16|16|/panini-manga-mx/noragami/noragami-16.jpg|200|99|MXN|2018-10-31|Un nuevo arco comienza cuando Bishamon comete traición contra los cielos... y es que una vez que encontró el recipiente sagrado que tanto buscaba, está decidida a destruir a su amo para liberarlo... Pero la liberación de una shinki tan poderosa puede traer consecuencias gravísimas... ¿logrará su cometido antes de que el ejército de los dioses venga por ella? ¡Descúbrelo en el vol. 16 de tu serie Noragami!|978-6-075-48454-9|1|FALSE
Noragami #17|17|17|/panini-manga-mx/noragami/noragami-17.jpg|200|99|MXN|2018-11-28|Kazuma está tratando de ayudar a Bishamonten mientras ella y su nueva shinki, Nana, se rehúsan a huir de la batalla. Pareciera que Kazuma está haciendo más daño que bien, pues está lastimando a Bishamon con sus esfuerzos... ¿lograrán evitar la ejecución de Bishamonten? ¿Logrará Kazuma ayudar? Descúbrelo en el volumen 17 de tu serie Noragami.|978-6-075-48518-8|1|FALSE
Noragami #18|18|18|/panini-manga-mx/noragami/noragami-18.jpg|200|99|MXN|2018-12-19|¡La gran batalla entre Bishamon contra el Cielo, llega a la ronda final! Yato, que logró conquistar Takemikazuchi, ahora está buscando a Bishamon para protegerla... Sin embargo, su padre intervino complicándolo una vez más. Considerado como traidor, hasta que Amaterasu Omikami se mostró. ¿Será ejecutado el castigo? ¡Descúbrelo en la emocionante aventura del volumen 19! ¡Búscalo ya!|978-6-075-48564-5|1|FALSE
Noragami #19|19|19|/panini-manga-mx/noragami/noragami-19.jpg|200|99|MXN|2019-02-27|Para salvar a Yato y Yukine, Tenjin propone organizar un acto considerado de traición, pero que es la única forma de oponerse a la decisión de los cielos. Los amigos de Yato se ofrecen como voluntarios y ponen la vida de su guía en juego. Después de perder a Tsuyu, es el turno de Daikoku para arriesgar su vida ... ¿Cómo terminará esta rebelión? ¡Descúbrelo en el volumen 19 de Noragami!|000-0000000000|1|FALSE
Noragami #20|20|20|/panini-manga-mx/noragami/noragami-20.jpg|192|99|MXN|2019-07-17|Yato le prometió a Hiyori que confrontaría a su padre, así que ya no hay vuelta atrás. Lo primero que necesitará es una shinki lo suficientemente poderosa para herirlo, pero un recipiente lo suficientemente poderoso para sobrevivir un ataque de Chiki, no es tan fácil de encontrar... Yato debe tomar una decisión, pero además tiene que evitar a Bishamon, pues su vida corre peligro... ¿Logrará Yato su cometido? ¡Descúbrelo en el volumen 20 de tu serie Noragami|000-0000000000|1|FALSE
Noragami #21|21|21|/panini-manga-mx/noragami/noragami-21.jpg|192|109|MXN|2020-07-01|Todos los reflectores están sobre Yukine, y las interrogantes que flotan en el aire acerca de su pasado y futuro. Todas esas dudas provocan una espiral de descontrol por no considerar que ahondar en el pasado puede llegar a ser peligroso.|978-6-076-34059-2|1|FALSE
Noragami #22|22|22|/panini-manga-mx/noragami/noragami-22.jpg|192|109|MXN|2020-11-25|Aunque Yukine hizo todo lo posible por ayudar a Yato, se siente perdido y triste cuando Yato lo rechza y ahora tiene un nuevo Shinki. Veremos como en este tomo las cosas se tornan un poco más oscura y vemos al caída de Yukine, mientras aprendemos un poco de su pasado. ¿Qué intenciones tiene ese alguien que ofrece mejorar su situación?|978-6-075-68116-0|1|FALSE
Noragami #23|23|23|/panini-manga-mx/noragami/noragami-23.jpg|192|119|MXN|2021-07-07|Yuki y Yato han cambiado mucho y el estado de su relación lo muestra perfectamente así como el tono general de la historia que sigue tornándose oscura, es difícil imaginar cómo se desenredará todo sin que haya consecuencias graves. Y en este volumen, el manga alcanzó su décimo año de publicación, no se pierdan el mensaje de Adachitoka sensei.|978-6-075-68418-5|1|FALSE
