NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
One Piece #1|1|1|/panini-manga-mx/one-piece/one-piece-01.jpg|208|99.0|MXN|2015-02-25|"Esta es la gran Era Pirata. Gold Roger, el legendario ""Rey de los piratas"" ha dejado el ""One Piece"" - su legendario Tesoro - escondido en una zona del mundo llamada ""GRAND LINE"" y los piratas más fuertes compiten por hallarlo. Un niño llamado Luffy idolatraba a los piratas, en especial a Shanks, el líder de una tripulación que visitó su villa. Un día, por accidente, Luffy comió una ""fruta del diablo"" del botín de Shanks. Gracias a esa fruta, su cuerpo se ha vuelto de goma pero nunca podrá nadar. El día que los piratas abandonaron la villa, Shanks le obsequió a Luffy su mas preciada posesión: su sombrero de paja. Diez años han pasado desde ese día y Luffy ha salido al mar buscando convertirse en el nuevo ""Rey de los piratas"". ¡Aquí inicia la gran aventura de Luffy!"|-|1|false
One Piece #2|2|2|/panini-manga-mx/one-piece/one-piece-02.jpg|200|99.0|MXN|2015-03-18|"Buggy ""El payaso"" (el villano favorito de Eiichiro Oda) y su tripulación creen que Luffy, Nami y Zoro pertenecen a una misma banda de ladrones que robó el mapa de la ""Grand Line"" y están decididos a hacerlos pagar por la ofensa. Luffy está decidido a hacer que Nami se una como su navegante pero antes de volver al mar deben enfrentarse a Moji, el vicecapitán y a Cabaji, el segundo oficial, los cuales demostrarán ser rivales con muchos trucos bajo la manga."|-|1|false
One Piece #3|3|3|/panini-manga-mx/one-piece/one-piece-03.jpg|200|99.0|MXN|2015-04-22|"El capitán Buggy ""El payaso"" y Luffy, tienen una espectacular pelea como solo podría suceder con dos poseedores de las habilidades de las frutas del diablo. Durante la pelea aprendemos más del pasado en común de Shanks y Buggy. Ahora que Nami y Zoro se han unido a la tripulación de Luffy es momento de continuar su camino hacia la ""Grand Line"". Han desembarcado en una villa para buscar un barco más resistente y algo de comida. Ahí se encuentran con el orgulloso pero mentiroso Usopp y es gracias a él que conocen a Kaya, la persona más rica de la villa, a quien le piden un barco. Sin embargo, el mayordomo Kurahadol se entromete y Luffy tiene que renunciar trágicamente a su petición."|-|1|false
One Piece #4|4|4|/panini-manga-mx/one-piece/one-piece-04.jpg|208|99.0|MXN|2015-06-03|Luffy por fin se enfrenta cara a cara con Kurahadol, ¡con el cruel mayordomo que resultó ser el capitán pirata Kuro! En la pendiente que lleva a la villa se ha desatado una batalla encarnizada que ha alcanzado su límite, ¡Ha llegado el momento de la verdad! Para salvar sus vidas, Kaya y los niños se internaron en el bosque pero no saben de la amenaza los sigue de cerca. ¡Usopp y Zoro deben apresurarse si quieren rescatarlos!|-|1|false
One Piece #5|5|5|/panini-manga-mx/one-piece/one-piece-05.jpg|192|99.0|MXN|2015-07-01|Luffy por fin se enfrenta cara a cara con Kurahadol, ¡con el cruel mayordomo que resultó ser el capitán pirata Kuro! En la pendiente que lleva a la villa se ha desatado una batalla encarnizada que ha alcanzado su límite, ¡Ha llegado el momento de la verdad! Para salvar sus vidas, Kaya y los niños se internaron en el bosque pero no saben de la amenaza los sigue de cerca. ¡Usopp y Zoro deben apresurarse si quieren rescatarlos!|-|1|false
One Piece #6|6|6|/panini-manga-mx/one-piece/one-piece-06.jpg|192|99.0|MXN|2015-07-29|Luffy y su tripulación hacen escala en el restaurante marítimo Baratie con la intención de encontrar a un cocinero. Mientras que Don Krieg (el almirante de una flota pirata de 50 embarcaciones) lleva a cabo su plan para secuestrar barcos; cierto personaje muy poderoso y lleno de misterio hace su aparición frente a la tripulación de Luffy.|-|1|false
One Piece #7|7|7|/panini-manga-mx/one-piece/one-piece-07.jpg|192|99.0|MXN|2015-08-19|"La flota de Don Krieg le exige enérgicamente al capitán Zeff que libere a los rehenes. En un acto despreciable, Luffy se vuelve loco y ataca a los enemigos, pero por alguna razón, Sanji no contraataca. ¡Detrás de ese extraño comportamiento, se esconde el misterioso pasado de Zeff! La batalla en el restaurante marítimo Baratie va subiendo de intensidad, hasta que Don Krieg decide usar su arma definitiva. ¡Continua esta romántica aventura marina en busca del ""One Piece""!"|-|1|false
One Piece #8|8|8|/panini-manga-mx/one-piece/one-piece-08.jpg|192|99.0|MXN|2015-09-09|Luffy, con gran decisión, se enfrenta a Krieg. ¡Por fin llega a su final la impresionante batalla en el restaurante marítimo! La lucha es difícil porque ambos rivales son muy poderosos y decididos, en un momento determinado, Luffy toma la decisión de luchar sin temer a la muerte. Sanji recibe ayuda de Zeff y su tripulación para tomar una decisión que cambiará el rumbo de su vida. ¡Ya es hora de que Sanji vuelva a viajar por el mundo!|-|1|false
One Piece #9|9|9|/panini-manga-mx/one-piece/one-piece-09.jpg|208|99.0|MXN|2015-10-14|"Arlong Park es una ciudad controlada por hombres pez que imponen su ley a todos los humanos. En esta ciudad a la que llegaron durante la persecución de Nami, Luffy y sus amigos se enfrentan a una verdadera sorpresa. ¿¡Los sentimientos de compañerismo conquistarán a Nami, quien lucha una solitaria batalla!? ¡Continúa la romántica aventura marina en busca del ""One Piece""!"|-|1|false
One Piece #10|10|10|/panini-manga-mx/one-piece/one-piece-10.jpg|0|99.0|MXN|2015-11-11|"Tras escuchar el grito en el que Nami expresó sus sentimientos, ¡Luffy y sus amigos por fin se enfrentan a Arlong! ¡Pero cuando Luffy es lanzado al mar quedan en una crisis terrible! Entonces sus amigos, cada uno con sus propios sentimientos, se lanzan a un combate decisivo para salvar a Luffy. ¡Continúa la romántica aventura en busca del ""One Piece""!"|-|1|false
One Piece #11|11|11|/panini-manga-mx/one-piece/one-piece-11.jpg|192|99.0|MXN|2015-12-16|"Luffy se enfurece por las declaraciones de Arlong porque trata a Nami como si fuera un objeto. ¡Un ataque de ira hará volar Arlong Park en pedazos y Nami volverá a sonreír desde lo profundo de su corazón! ¡Continúa la romántica aventura en busca del ""One Piece""!"|-|1|false
One Piece #12|12|12|/panini-manga-mx/one-piece/one-piece-12.jpg|192|99.0|MXN|2016-01-13|"La leyenda ha comenzado. De nueva cuenta, los miembros de la tripulación renuevan su juramento y por fin llegan a Loguetown, la ciudad en la entrada a la ""Grand Line"". Luffy y sus amigos escalan una, ¡¿montaña?! Y cuando se encontraban a punto de entrar, una gran barrera negra se levanta ante ellos. ¡Continúa la romántica aventura en busca del ""One Piece""!"|-|1|false
One Piece #13|13|13|/panini-manga-mx/one-piece/one-piece-13.jpg|192|99.0|MXN|2016-02-10|"Después de lograr entrar en la ""Grand Line"", Luffy y sus amigos deben enfrentar no solo las condiciones de navegación impredecibles sino también a aquellas personas que viven ahí. La organización criminal secreta Baroque Works ha puesto sus ojos en Luffy y sus amigos y sus intenciones no son buenas. ¡Continúa la romántica aventura en busca del ""One Piece""!"|-|1|false
One Piece #14|14|14|/panini-manga-mx/one-piece/one-piece-14.jpg|192|99.0|MXN|2016-03-09|"En la isla de los gigantes ha tenido lugar una guerra de 100 años en donde lo que está en juego es el ""orgullo"" de los hombres. ¡Baroque Works ha llegado aquí también mientras perseguían a Luffy y sus amigos, e interfieren con la batalla! Entonces, Luffy se enfurece. Por otro lado, Zoro y los demás, ¡¿caen en la trampa del enemigo?! ¡Continúa la romántica aventura en busca del ""One Piece""!"|-|1|false
One Piece #15|15|15|/panini-manga-mx/one-piece/one-piece-15.jpg|216|99.0|MXN|2016-04-13|"Luffy y sus amigos abandonan Little Garden, continúan el viaje hacia Alabasta y se dirigen hacia la siguiente isla siguiendo las indicaciones de los gigantes: ""Confíen en nuestras palabras y sigan de frente"". Sin embargo, Nami cae enferma, así que el barco desvía su rumbo para buscar un médico, llegan a un lugar donde los piratas no son bienvenidos. ¿Qué pasará? ¡No te pierdas el debut de Chopper¡"|-|1|false
One Piece #16|16|16|/panini-manga-mx/one-piece/one-piece-16.jpg|192|99.0|MXN|2016-05-11|"Luffy y sus amigos tratan de hacer que Tony Tony Chopper, el reno de nariz azul, se convierta en uno de sus nakama, pero él tiene una gran herida en su corazón causada por un suceso triste del pasado... ¡Continúa la romántica aventura en busca del ""One Piece""!"|-|1|false
One Piece #17|17|17|/panini-manga-mx/one-piece/one-piece-17.jpg|208|99.0|MXN|2016-06-08|"Luffy y Chopper se enfrentan a Wapol, que había abandonado el reino de Drum aunque alguna vez fue su rey. ¿Podrán defender hasta el final la bandera con la calavera, que representa la fe del fallecido Dr. Hiruluk? ¿Podrán asegurar el futuro del reino? ¡Continúa la romántica aventura en busca del ""One Piece""!""No hay imposibles para el que iza una bandera."" - Chopper""Yo confío en ellos."" - Vivi""Este reino también renacerá y cambiará"" - Dalton"|-|1|false
One Piece #18|18|18|/panini-manga-mx/one-piece/one-piece-18.jpg|224|99.0|MXN|2016-07-12|"Luffy y sus nakama por fin llegan a Alabasta. Inmediatamente después de arribar, se dirigen rápidamente a una tienda en busca de alimento. Ahí los esperaba un personaje misterioso. Por otro lado, ¡Baroque Works empieza a movilizarse y la situación empieza a agravarse! ¡Continúa la romántica aventura en busca del ""One Piece""!Frases:""Aunque se conviva poco tiempo, puede nacer una amistad verdadera"" - Mr. Bon Clay""En el pasado nunca le pude ganar a Ace"" - Luffy""Yo quiero que Barbablanca sea el rey de los piratas"" - Ace""¡¿Hemos estado trabajando para un pirata?!"" - Mr. Bon Clay"|-|1|false
One Piece #19|19|19|/panini-manga-mx/one-piece/one-piece-19.jpg|208|99.0|MXN|2016-08-10|"El plan de Crocodile para apoderarse de Alabasta está en marcha. Aprovechando las habilidades de sus number agents más poderosos y la desesperación del ejército rebelde, ¡se ha suscitado una gran confusión que hace estallar el conflicto armado! Mientras tanto, Luffy y sus nakama caen una ""astuta trampa"" que podría ser las ruinas de todos, propias y extrañas.Frases:""No podemos permitir que llegue el fin de un reino por la ausencia de su rey."" -Chaka""Aunque se trate de una mentira, por lo menos tú debes decir que eres inocente."" -Kohza""¿Salvarás el millón de personas de este reino o a unos piratas sin futuro?"" -Crocodile"|-|1|false
One Piece #20|20|20|/panini-manga-mx/one-piece/one-piece-20.jpg|216|99.0|MXN|2016-09-14|La lucha por Alabasta ha dado inicio en toda regla. Los nakama de Luffy, ayudados por los animales del reino, han sido capaces de llevar a Vivi ante el ejército rebelde, pero, ¡un engaño más ha frustrado el intento de la princesa! Mientras tanto, Luffy ha tenido un debut horrible contra los shichibukai, pero la ayuda inesperada de un enemigo arroja un rayo de esperanza. Por otra parte, Usopp y Chopper deben derrotar a Mrs. Merry Christmas y a Mr. 4 para ayudar al triunfo de Vivi.Frases:´Luffy no morirá. Porque seguramente, algún día, él será el Rey de los Piratas.´ -Usopp´Como piratas, tú y yo no estamos al mismo nivel.´ -Crocodile´¿Por qué pelean ustedes, portadores del nombre «D»?´ -Miss All Sunday...|-|1|false
One Piece #21|21|21|/panini-manga-mx/one-piece/one-piece-21.jpg|192|99.0|MXN|2016-10-12|Terminado el combate contra Miss Merry Christmas y Mr. 4, Sanji se enfrenta a Mr. 2, pero éste se transforma en Nami para aprovechar que el cocinero mujeriego no puede golpear mujeres; Nami se enfrenta a Miss Doublefinger, pero el arma fabricada por Usopp no pasa de ser un juguete para niños; Zoro es incapaz de dañar el cuerpo de acero de Mr. 1 y Crocodile confronta a Vivi. ¿La situación podría ser peor?|-|1|false
One Piece #22|22|22|/panini-manga-mx/one-piece/one-piece-22.jpg|216|99.0|MXN|2016-11-09|"Luffy aparece para la revancha contra Crocodile, pero aunque parece ser una pelea más nivelada que la última vez, eso no impide que Cobra lleve a Nico Robin hasta donde está el Poneglyph. El resto de la tripulación del Sombrero de Paja debe encontrar el cañón que disparará sobre la plaza, pero antes de ello tendrán que lidiar con los últimos remanentes de Baroque Works.Frases:""El lado oscuro del mundo es más vasto de lo que se imagina."" -Nico Robin""¿Cuántas veces tengo que matarte para que me dejes en paz?"" -Crocodile""Todavía no devuelves algo que te robaste: ¡el reino!"" -Monkey D.Luffy"|-|1|false
