NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
One-Punch Man #1|1|1|/panini-manga-mx/one-punch-man/one-punch-man-01.jpg|200|99.0|MXN|2016-06-01|¡Saitama es un héroe tan fuerte que puede acabar con las criaturas más brutales de un solo golpe! ¡Comienza la leyenda de este sobrio héroe, en un manga de peleas como los demás, traído por una estrella de la red y un supertalento del dibujo!|978-6-079-71888-6|1|false
One-Punch Man #2|2|2|/panini-manga-mx/one-punch-man/one-punch-man-02.jpg|216|99.0|MXN|2016-07-06|¡Se revela el secreto de la fuerza más grande! Saitama y Genos se van contra la Casa de la Evolución, luego de que esta enviara a sus asesinos a la ciudad. Ahí los esperaba el arma más poderosa: Asura Kabuto. Después de que Genos fue derrotado en un instante, ¡¿Saitama finalmente peleará en serio?!|978-6-079-72123-7|1|false
One-Punch Man #3|3|3|/panini-manga-mx/one-punch-man/one-punch-man-03.jpg|216|99.0|MXN|2016-08-10|En busca de reconocimiento y popularidad, Saitama y Genos inician el proceso de calificación de la Asociación de Héroes. Aunque las pruebas no representan ningún desafío para ellos, son ubicados en categorías bajas. Por eso, deberán demostrar a los petulantes héroes que el verdadero talento está más allá de cualquier título.|978-6-075-28027-1|1|false
One-Punch Man #4|4|4|/panini-manga-mx/one-punch-man/one-punch-man-04.jpg|216|99.0|MXN|2016-09-07|Los héroes luchan con valentía. Los héroes derrotan al mal. Los héroes son reconocidos y admirados. Pero no ocurre esto con Saitama.|978-6-075-28108-7|1|false
One-Punch Man #5|5|5|/panini-manga-mx/one-punch-man/one-punch-man-05.jpg|216|99.0|MXN|2016-10-05|El malvado Rey de las Profundidades amenaza con destruir Ciudad J y asesinar a todos sus habitantes. Diversos héroes de las más variadas categorías lo han enfrentado sin éxito. Sin embargo, ahora toca el turno de Genos y de Saitama. Parece uno de los retos más grandes a los que se han enfrentado. Su éxito podría significar una mejora en su clasificación, el reconocimiento de la gente y, por qué no, más ingresos como héroes.|978-6-075-28186-5|1|false
One-Punch Man #6|6|6|/panini-manga-mx/one-punch-man/one-punch-man-06.jpg|216|99.0|MXN|2016-11-02|Esta vez Saitama no enfrentará monstruos marinos ni aéreos, mucho menos insectos gigantes. ¿Será una amenaza alienígena la que mantenga ocupado al héroe calvo durante el tomo 6 de “One Punch Man”?|978-6-075-28244-2|1|false
One-Punch Man #7|7|7|/panini-manga-mx/one-punch-man/one-punch-man-07.jpg|216|99.0|MXN|2016-12-07|Aunque los héroes de clase “S” luchan contra los alienígenas invasores, Saitama se enfrenta al más poderoso de ellos, un monstruo capaz de destruir al planeta usando todo el potencial de su energía. Pero tras la batalla, deberá soportar los insultos y la envidia de algunos superdefensores ególatras. Por eso, cuando se le presenta la oportunidad, Saitama le dará una lección a la prepotente Asociación de Héroes.|978-6-075-28299-2|1|false
One-Punch Man #8|8|8|/panini-manga-mx/one-punch-man/one-punch-man-08.jpg|208|99.0|MXN|2017-02-01|Grandes monstruos feroces provenientes de las profundidades de la tierra, de lo hondo del mar o del espacio exterior. Criaturas infernales provistas de fuerza descomunal, garras letales y colmillos que trituran el acero. ¡Ojalá fueran los enemigos a vencer en este tomo 8 de One Punch Man!|978-6-075-28340-1|1|false
One-Punch Man #9|9|9|/panini-manga-mx/one-punch-man/one-punch-man-09.jpg|208|99.0|MXN|2017-04-05|¿Cómo es posible que Saitama vaya subiendo de posición en la Asociación de Héroes, si nunca hace alarde de sus hazañas? A él no le interesan las jerarquías de héroes, por eso puede rechazar la invitación de la prepotente Fubuki a trabajar para ella. Y tampoco necesita demostrar quién es mejor, como lo desafía el veloz Sonic. Pero llegará el momento en que tendrá que ponerse a la cabeza de todos, especialmente ahora que Garoh, el hombre que se cree monstruo, está derrotando a todos los héroes con tal de mostrar que el mal puede vencer al bien.|978-6-075-28446-0|1|false
One-Punch Man #10|10|10|/panini-manga-mx/one-punch-man/one-punch-man-10.jpg|208|99.0|MXN|2017-06-07|La cacería de héroes iniciada por Garou va en aumento. Ni los héroes más fuertes y hábiles han podido derrotar al malvado hombre-monstruo.|978-6-075-28494-1|1|false
One-Punch Man #11|11|11|/panini-manga-mx/one-punch-man/one-punch-man-11.jpg|216|99.0|MXN|2017-08-02|¿Por qué los monstruos que pululan en las ciudades están ganando terreno? ¿Porque no hay suficientes héroes? ¿O porque aquellos que los enfrentan no saben trabajar en equipo, sino que cada uno busca su propia gloria para así poder subir de categoría en la Asociación de Héroes? ¿Y el desenfadado Saitama? ¿Aparecerá en el último minuto para vencer con su poderoso puño a las bestias destructoras? ¿O seguirá participando en el torneo de peleadores, para aprender artes marciales? ¿Podemos perdernos el tomo 11 de One Punch Man? ¡En lo absoluto!|978-6-075-28531-3|1|false
One-Punch Man #12|12|12|/panini-manga-mx/one-punch-man/one-punch-man-12.jpg|216|99.0|MXN|2017-10-04|Un cíclope con cuerpo de babosa y brazos que salen de su cabeza informa de la situación presente a su amo: los monstruos están mermando considerablemente las fuerzas de la Asociación de Héroes y han podido secuestrar al hijo de un importante benefactor de la Asociación. Todo el siniestro plan va viento en popa. Ajeno a estas maquinaciones perversas, Saitama continúa triunfando en el torneo de artes marciales, hasta llegar a la final. Y Garoh, el hombre monstruo, sigue buscando héroes para derrotarlos. ¿En qué momento confluirán estas tres grandes fuerzas en un titánico enfrentamiento final? ¡El tomo 12 de One Punch Man nos acerca a este ansiado desenlace!|978-6-075-28589-4|1|false
One-Punch Man #13|13|13|/panini-manga-mx/one-punch-man/one-punch-man-13.jpg|216|99.0|MXN|2017-12-06|No son el pulpo de 100 ojos, el ciempiés gigante o el descomunal ogro tetraóculo las peores amenazas para los habitantes de las ciudades. Tampoco lo es la recién constituida Asociación de Monstruos ni el mismo Garoh, el cazador de héroes que ha acabado con los más poderosos. El mayor peligro radica en unos pequeños organismos que en este tomo 13 de One Punch Man serán revelados. La magnitud de su poder puede hacerlos imbatibles, incluso para el mismo Saitama... ¿Qué esperas? Sumérgete ya en las páginas de este palpitante manga.|978-6-075-28768-3|1|false
One-Punch Man #14|14|14|/panini-manga-mx/one-punch-man/one-punch-man-14.jpg|216|99.0|MXN|2018-02-28|Varios artistas marciales sin la capacidad para combatir a los monstruos. Unas células que garantizan una fuerza descomunal. Unos cuantos héroes que se enfrentan a las criaturas infernales. Una bestia imponente e invencible que revela parte del plan de la Asociación de Monstruos. Un héroe calvo que huye... del personal de seguridad que lo persigue. ¿Será este el momento en el que Saitama comience a derrotar a los monstruos que han invadido las ciudades? ¡Descúbrelo en el tomo 14 de One Punch Man!|978-6-075-28945-8|1|false
One-Punch Man #15|15|15|/panini-manga-mx/one-punch-man/one-punch-man-15.jpg|200|99.0|MXN|2018-05-30|"Surgió un hombre capaz de hacerle frente al mal que amenaza a la humanidad. Su nombre es Saitama, quien trabaja como héroe en su tiempo libre junto a Genos, su discípulo de clase ""S""."|978-6-075-48007-7|1|false
One-Punch Man #16|16|16|/panini-manga-mx/one-punch-man/one-punch-man-16.jpg|216|99.0|MXN|2018-09-26|Garou se encuentra acorralado por varios héroes. Parece ser extremadamente fuerte, pues aunque se trate de una emboscada, está venciéndolos a todos, uno a uno. ¡Entonces aparece Genos! Mientras tanto, Saitama llega al límite de su furia mientras se enfrenta a King.|978-6-075-48187-6|1|false
One-Punch Man #17|17|17|/panini-manga-mx/one-punch-man/one-punch-man-17.jpg|200|99.0|MXN|2019-03-27|El tremendo ataque de Bang contra Garoh parece terminar en una derrota de éste, pero la Asociación de Monstruos no permitirá que se arruinen los planes que tienen para el cazador de héroes. Un colosal ciempiés surge del interior de la tierra para balancear la batalla, aunque, esta vez, Saitama sí estará presente para enfrentarlo. Viendo la amenaza que se avecina, el héroe calvo sale decidido a vencer a Garoh, sin considerar que, detrás de él, hay todo un ejército de feroces monstruos que lo defenderán. ¡Toda la acción y adrenalina en el tomo 17 de One Punch Man!|978-6-075-48297-2|1|false
