NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ore Monogatari!! #1|1|1|/panini-manga-mx/ore-monogatari/ore-monogatari-01.jpg|200|99.0|MXN|2017-09-06|Takeo Gouda y Makoto Sunakawa son amigos inseparables que han terminado la secundaria. Un día, mientras viajaban en tren hacia la escuela, detienen a un acosador que molestaba a la joven Rinko Yamato. Tras el suceso, los tres inician una amistad complicada: Takeo se siente atraído por Yamato, pero piensa que ella solo puede estar interesada en su popular amigo Sunakawa. Sin embargo, Yamato reaparece con un pastel, ¿será que Takeo se ha equivocado esta vez?|978-6-075-28698-3|1|false
Ore Monogatari!! #2|2|2|/panini-manga-mx/ore-monogatari/ore-monogatari-02.jpg|192|99.0|MXN|2017-11-01|¡Yamato y Takeo ya son novios! Mientras que Yamato prepara postres y panecillos para consentir a su novio, Takeo ve preocupado a Sunakaga. Una llamada inoportuna sorprende a Rinko: una de sus amigas desea organizar una reunión para conocer chicos, así que Takeo invita a sus amigos de la preparatoria. Inesperadamente, ocurre un accidente que hará demostrar a Takeo toda su fuerza.|978-6-075-28749-2|1|false
Ore Monogatari!! #3|3|3|/panini-manga-mx/ore-monogatari/ore-monogatari-03.jpg|192|99.0|MXN|2018-01-17|El cariño entre Takeo y Yamato se vuelve cada vez fuerte. Aunque a veces sus encuentros se tornan difíciles, Takeo logra esquivar cualquier obstáculo. Después de haber cancelado la cita para celebrar el cumpleaños de Yamato debido a la operación del padre de Sunakawa, deciden organizar un día de campo. El tiempo pasa tan rápido y, sin pensarlo, caminan tanto que terminan varados en plena noche en el lugar. Takeo deberá mostrar su valentía para hacer sentir segura a Yamato. ¡Es la primera vez que pasan un día entero solos!|978-6-075-28847-5|1|false
Ore Monogatari!! #4|4|4|/panini-manga-mx/ore-monogatari/ore-monogatari-04.jpg|208|99.0|MXN|2018-03-21|La hermana de Suna llega a pasar unos días en casa después de una temporada fuera estudiando en la universidad. Inesperadamente, un joven extraño aparece en la casa de té donde trabaja Takeo, con actitud detectivesca. ¡Quiere saber quién es Takeo y por qué Ai Sunakawa se enamoró de él! ¿Será que este misterioso chico está celoso? Mientras tanto, Takeo invita a Yamato a ir a un increíble parque de diversiones pero ella se niega, ¿será que Yamato está confundida?|978-6-075-28942-7|1|false
Ore Monogatari!! #5|5|5|/panini-manga-mx/ore-monogatari/ore-monogatari-05.jpg|184|99.0|MXN|2018-05-23|Mariya sigue entrometiéndose en la relación de Yamato y Takeo. Mientras tanto, Yamato organiza una salida: irán al festival de la Universidad Hakuto, pero también los acompañará Mariya. Todo parece ir bien; sin embargo, Suna comienza a sospechar por su insistente interés. ¡Takeo aún no se ha dado cuenta! Entre otras cosas, Yamato quiere que el festejo de cumpleaños de Takeo sea inolvidable: ¡es momento de su primer beso!|978-6-075-48148-7|1|false
Ore Monogatari!! #6|6|6|/panini-manga-mx/ore-monogatari/ore-monogatari-06.jpg|184|99.0|MXN|2018-07-18|¡El nuevo bebé de la familia Gouda está por nacer! La mamá de Takeo parece imparable incluso con la panza de embarazada. De repente las cosas se ponen algo tensas y Takeo debe armarse de valor para llevar a su mamá al hospital. El día de San Valentín se acerca y las chicas deciden preparar chocolates para regalar a los amigos de Takeo en una reunión... ¡Takeo nunca ha recibido un chocolate especial! ¿Este será su momento? ¡No te pierdas el #6 de esta romántica y divertida historia: Ore monogatari!!|978-6-075-48256-9|1|false
Ore Monogatari!! #7|7|7|/panini-manga-mx/ore-monogatari/ore-monogatari-07.jpg|176|99.0|MXN|2018-09-19|Desde hace algún tiempo, Suna recibe un chocolate y una carta anónima en San Valentín. Por accidente, Takeo se entera de la identidad de la chica misteriosa que envía esos chocolates y decide ayudarla para que se reúna con Sunakawa. Pero las cosas no serán tan fáciles pues esta chica resulta ser mucho más tímida e insegura de lo que Takeo imaginaba. ¡Será un dolor de cabeza! ¡No te pierdas ninguna aventura de esta divertida historia!|978-6-075-48416-7|1|false
Ore Monogatari!! #8|8|8|/panini-manga-mx/ore-monogatari/ore-monogatari-08.jpg|192|99.0|MXN|2018-11-21|Takeo ya está en segundo año de preparatoria. Las cosas han cambiado, y su relación con Yamato comienza a ser más estrecha. Pero también surgen muchas dudas en la mente de ambos. ¡Takeo conocerá a los padres de Yamato y deberá enfrentar sus inseguridades como todo un Gouda! Además, Ai y Odachi siguen discutiendo. ¿Será que solo es cuestión de tiempo para que este enredo se convierta en romance? Descúbrelo en el #8 de Ore monogatari!!|978-6-075-48520-1|1|false
Ore Monogatari!! #9|9|9|/panini-manga-mx/ore-monogatari/ore-monogatari-09.jpg|200|99.0|MXN|2019-01-23|Yamato, al igual que Takeo, decide que trabajará parte de su tiempo libre durante el verano. Por casualidad hay una pastelería que solicita ayudantes y Takeo la convence para que vaya. Ahí conocerá al guapo pero intenso pastelero Kouki Ichinose. Los días transcurren y Yamato se siente más sorprendida por las habilidades de este joven pastelero... Sin embargo, Takeo comienza a sentir miedo de perderla. ¿Solo será su imaginación? ¿Yamato sentirá algo por él? Descúbrelo en el #9 de Ore monogatari!!|978-6-075-48671-0|1|false
Ore Monogatari!! #10|10|10|/panini-manga-mx/ore-monogatari/ore-monogatari-10.jpg|184|99.0|MXN|2019-03-20|¡¡Ya llegó el #10 de Ore monogatari!! Ichinose se prepara para el concurso de pasteleros y le pide a Yamato que vaya con él. Aun cuando ella sabe que no podrá asistirlo durante la prueba, siente que es importante asistir por la confianza que ella le da al pâtissier. Pero Takeo no está seguro de aceptar lo sucedido y busca la manera de reafirmar sus sentimientos hacia Yamato a pesar de la intromisión de Ichinose.|978-6-075-48813-4|1|false
