NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Origin #1|1|1|/panini-manga-mx/origin/origin-01.jpg|200|119.0|MXN|2020-01-22|Corre el año 2048 y en Tokio aparecen cadáveres por todas partes. Hay seres no humanos entre los hombres y Origin es uno de ellos. Sin embargo, él debe ocultar su verdadera identidad y luchar para vivir como es debido y lograr que nada desaparezca para siempre.|978-6-076-34532-0|1|false
Origin #2|2|2|/panini-manga-mx/origin/origin-02.jpg|192|119.0|MXN|2020-03-11|Gon le propone a Origin dejar de pelear para que ningún humano los vea y más adelante le pide robar piezas a la AEE para remodelar su cuerpo, en tanto que Son ha aprendido que sus capacidades como robot son ilimitadas y es necesario reforzar el cerebro para fortalecer sus capacidades físicas. Después de la muerte de Hirose, Origin decide tratar de revivirla. Por su parte, un comprador clandestino quiere robar el robot militar para matarlos a todos.|978-6-076-34655-6|1|false
Origin #3|3|3|/panini-manga-mx/origin/origin-03.jpg|192|119.0|MXN|2020-07-08|Origin, bajo la identidad de Jin Tanaka, se incorpora a trabajar en la multinacional AEE, donde se produce el robo de un robot militar que dispara armas de fuego diseñadas para humanos.|978-6-076-34798-0|1|false
Origin #4|4|4|/panini-manga-mx/origin/origin-04.jpg|192|119.0|MXN|2020-09-09|Junto con su jefa, Laura Fermi, y su compañera Mai Hirose, Origin se va de viaje de trabajo al laboratorio de inteligencia artificial en Kioto. De repente, el robot hermano Gon lanza un ataque e inicia una masacre indiscriminada. Origin tiene que proteger a Mai Hirose, pero sin dar a conocer su verdadera identidad. Después de encargarle a la inteligencia artificial Y, situada en el subsuelo del laboratorio, que borre todos los registros de su actividad, Origin se involucra en una pelea que no tiene ninguna posibilidad de ganar.|978-6-076-34990-8|1|false
Origin #5|5|5|/panini-manga-mx/origin/origin-05.jpg|192|119.0|MXN|2020-11-11|"""Proteger a Mai Hirose"": con la idea de llevar a cabo esta nueva orden recibida, Origin se pone un traje de combate e inicia una batalla interminable contra diez Gon humanoides. Sin embargo, al mismo tiempo, el gigantesco cuerpo principal de Gon se está acercando al laboratorio de inteligencia artificial de la AEE en Kioto. Escapar es la única opción posible para sobrevivir. ¡Pero Origin usa su propia voluntad para tomar la última decisión!"|978-6-075-68086-6|1|false
Origin #6|6|6|/panini-manga-mx/origin/origin-06.jpg|192|119.0|MXN|2021-02-10|"Origin sufre cada vez más daños a medida que va acabando con los 10 Gon de producción en serie. Por si fuera poco, aparece el gigantesco cuerpo principal de Gon, que tiene un poder de combate inimaginable. Sin embargo, guiado por su principio basado en ""proteger a Mai Hirose"", Origin está decidido a luchar hasta ser destruido. ¡En el momento en que el cuerpo principal ataca a Mai y los demás, Origin se da cuenta de la identidad y del punto débil del enorme cuerpo principal."|978-6-075-68198-6|1|false
Origin #7|7|7|/panini-manga-mx/origin/origin-07.jpg|197|119.0|MXN|2021-04-14|La AEE conforma un equipo para investigar el ataque terrorista en el laboratorio de Tokio y se descubre la existencia de robots tecnológicamente perfectos que viven camuflajeados entre los humanos. Origin, quien se oculta bajo la identidad de Jin Tanaka, es comisionado por la AEE para examinar los restos de los robots encontrados a la vez que busca la manera de obtener dinero para, secretamente, arreglar su cuerpo.|978-6-075-68309-6|1|false
Origin #8|8|8|/panini-manga-mx/origin/origin-08.jpg|192|129.0|MXN|2021-06-09|"Durante una persecución, Mai Hirose descubre que Tanaka en realidad es un robot llamado Origin, por lo que decide darle todo lo que tiene con tal de que este genere conciencia y sentimientos amorosos hacia ella y así, finalmente, lograr amar y ser amada. Origin, por su parte, sigue fiel a su intención de protegerla y con ello cumplir con el deseo de su padre: ""vivir como es debido""."|978-6-075-68431-4|1|false
Origin #9|9|9|/panini-manga-mx/origin/origin-09.jpg|192|129.0|MXN|2021-08-18|La muerte de Mai Hirose provoca el surgimiento de autoconciencia y sentimientos en el robot Origin. Sin embargo, lo que realmente obtiene Origin es una ira que consume su ser y una tristeza infinita. Decidido a vengar a Mai, Origin penetra en solitario en el escondite en el que se resguardan Masamune y sus robots hermanos, en las profundidades de Furano, con la intención de destruirlos por completo.|978-6-075-68548-9|1|false
Origin #10|10|10|/panini-manga-mx/origin/origin-10.jpg|192|129.0|MXN|2021-10-27|Son, la rival contra la que Origin peleó varias veces en el pasado, es quien se coloca frente a él, de nuevo, después de haber llegado a las profundidades de la guarida enemiga. Es entonces cuando Origin y Masamune se enteran de que ella logró tener un poder trascendental que va más allá de las leyes de la física. Una vez que esté frente a frente de su enemigo jurado, Masamune, ¿¡conseguirá Origin imponerse a la rival más poderosa, la que logró tener una capacidad de combate totalmente inimaginable!?|978-6-075-68711-7|1|false
