NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Overlord #1|1|1|/panini-manga-mx/overlord/overlord-01.jpg|180|109.0|MXN|2019-03-13|Si quieres más que el manga que inspiró, ¡aquí tienes la novela de Kugame Maruyama que dio origen a “Overlord”. En la última noche de Yggdrasil, el famoso juego de rol en línea, Momonga es transportado a un mundo de aventura, fuerza y magia. ¡Disfruta la primera entrega de la historia, ahora en formato de novela ligera!|978-6-075-48696-3|1|false
Overlord #2|2|2|/panini-manga-mx/overlord/overlord-02.jpg|148|109.0|MXN|2019-05-08|Para explorar su nuevo mundo y adquirir fama, Ainz se hace pasar por el Aventurero Momon. Su inofensiva idea lo lleva a pelear contra goblins, enfrentarse al Sabio Rey del Bosque y descubrir un plan que matará a todos en E-Rantel. Descubre la segunda de las novelas de Kugame Maruyama que dieron origen al manga y al anime.|978-6-075-48795-3|1|false
Overlord #3|3|3|/panini-manga-mx/overlord/overlord-03.jpg|148|109.0|MXN|2019-07-10|¡Shalltear Bloodfallen se ha revelado contra Nazarick! O al menos, algo parece estar controlando su mente. Ainz se niega a aceptar su traición sin conocer las causas; en su investigación, te guiará por la cárcel del Quinto Nivel, la Cámara del Tesoro y el Mausoleo, para terminar en una de las mejores batallas de la serie completa: ¡jugador contra NPC! Descubre la tercera de las novelas de Kugame Maruyama que dieron origen al manga y al anime.|978-6-075-48922-3|1|false
Overlord #4|4|4|/panini-manga-mx/overlord/overlord-04.jpg|200|109.0|MXN|2019-09-18|Cuando Nazarick amenaza con destruir a las tribus de Hombres Lagarto que viven en las Tierras Pantanosas, el Viajero Zaryusu Shasha propone una misión que parece imposible: ¡unir a todos los clanes para defender su hogar! Cocytus, Guardián del Quinto Nivel de la Gran Tumba, será el responsable de someterlos. ¿O será que Ainz Ooal Gown tiene un propósito secreto detrás de esta batalla? Descubre la cuarta de las novelas de Kugame Maruyama que dieron origen al manga y al anime.|978-6-076-34090-5|1|false
Overlord #5|5|5|/panini-manga-mx/overlord/overlord-05.jpg|200|109.0|MXN|2019-11-20|¿Cómo es la vida en Re-Estize, el territorio más cercano a la Gran Tumba de Nazarick? El reencuentro de Gazef Stronoff, Capitán del Reino, con Brain Unglaus motiva al primero a entrenar al joven Climb, guardaespaldas de la Princesa Renner. Esta pide ayuda a Blue Rose, el grupo de Aventureras de Adamantita. Y en medio de todo, Sebas rescata a una joven moribunda, lo que arriesga la misión asignada por su amo, Ainz Ooal Gown. Descubre la quinta novela de Kugame Maruyama que dio origen al manga y al anime.|978-6-076-34359-3|1|false
Overlord #6|6|6|/panini-manga-mx/overlord/overlord-06.jpg|164|109.0|MXN|2020-01-15|¡La conclusión a la historia que inició en el volumen anterior! Mientras Sebas enfrenta las consecuencias de su error, las integrantes de Blue Rose se preparan para invadir las bases de Ocho Dedos. ¡aunque eso implicará un encuentro fortuito con Entoma, una de las Pléyades de Nazarick! En eso, aparece una amenaza nueva: el gran demonio Jaldabaoth toma a la ciudad como rehén, ¡y el único que puede detenerlo es Ainz, en su faceta de Momon de Oscuridad! Descubre la sexta novela de Kugame Maruyama que dio origen al manga y al anime.|978-6-076-34380-7|1|false
Overlord #7|7|7|/panini-manga-mx/overlord/overlord-07.jpg|160|109.0|MXN|2020-03-11|Un noble hace una propuesta a cuatro equipos de Trabajadores (Aventureros que cobran por sus servicios): explorar una tumba subterránea que podría estar llena de tesoros. Foresight, uno de los equipos, acepta participar para ayudar a una de sus integrantes a pagar una deuda. Sin embargo, los espera una serie de crueles trampas, incluyendo un encuentro con el dueño de la tumba. ¡Descubre la séptima novela de Kugame Maruyama que dio origen al manga y al anime!|978-6-076-34577-1|1|false
Overlord #8|8|8|/panini-manga-mx/overlord/overlord-08.jpg|192|139.0|MXN|2020-07-08|Antes de que la aventura continúe, ¡exploremos qué significa ser un líder! En Villa Carne, Enri y su tropa de leales goblins enfrentan nuevos retos y amenazas, ¡con ayuda del herbolario Nfirea y la maid Lupusregina! Al mismo tiempo, descubramos la vida cotidiana en Nazarick cuando Ainz hace una invitación exclusiva para los Guardianes hombres: ¡un día de spa! ¡Descubre la octava novela de Kugame Maruyama que dio origen al manga y al anime!|978-6-076-34797-3|1|false
Overlord #9|9|9|/panini-manga-mx/overlord/overlord-09.jpg|160|119.0|MXN|2020-09-09|Para disculparse por la invasión de los Trabajadores a Nazarick, el Emperador Sangriento acude a la Gran Tumba Subterránea de Nazarick. Ahí, surge la propuesta de convertirse en aliados, ahora que Ainz revelará la existencia de Nazarick al mundo. ¿Cómo afectará esta alianza la batalla anual entre Re-Estize y Baharuth en las Llanuras Katze? ¿Y qué podrá hacer Gazef Stronoff, Capitán Guerrero del Reino, cuando descubra que el Magic Caster que le salvó la vida ahora es su enemigo? ¡Descubre la novena novela de Kugame Maruyama que dio origen al manga y al anime!|978-6-076-34933-5|1|false
Overlord #10|10|10|/panini-manga-mx/overlord/overlord-10.jpg|160|119.0|MXN|2020-11-11|Después de la masacre en las Llanuras Katze, el emperador Jircniv no encuentra la paz. ¿Lo culparán de lo ocurrido aunque nunca quiso que sucediera? ¿Cuáles serán los planes del Reino Hechicero para el Imperio Baharuth? ¿Deberá buscar la ayuda de la Teocracia? Mientras tanto, Albedo viaja a Re-Estize como embajadora, aunque sus objetivos superan la simple diplomacia. Y Ainz se pregunta sobre el tipo de nación que será el Reino Hechicero. ¿Qué tal si empieza creando un Gremio de Aventureros? ¡Descubre la décima novela de Kugame Maruyama que dio origen al manga y al anime!|978-6-075-68087-3|1|false
Overlord #11|11|11|/panini-manga-mx/overlord/overlord-11.jpg|160|119.0|MXN|2021-02-10|Después de escuchar acerca del Reino de los Enanos y los artesanos que ahí viven, Ainz Ooal Gown decide averiguar si las runas que usan ahí son idénticas a las de Yggdrasil. Lo acompañarán Aura, el hombre lagarto Zenbel y Shalltear, quien ansía demostrar su lealtad hacia Nazarick. Durante el viaje el grupo encontrará disputas entre enanos, ciudades abandonadas, guerras entre especies, legendarios dragones de escarcha y, lo más sorprendente… ¿un nuevo amigo para Ainz? ¡Descubre la onceava novela de Kugame Maruyama que dio origen al manga y al anime.|978-6-075-68199-3|1|false
Overlord #12|12|12|/panini-manga-mx/overlord/overlord-12.jpg|160|119.0|MXN|2021-04-07|El Reino Sagrado de Roble es invadido por el ejército de Jaldabaoth, el demonio que alguna vez atacó el Reino de Re-Estize. Un grupo de paladines que sobreviven a la primera ofensiva busca ayuda en alguna nación cercana. Cuando se les recomienda solicitarla al Reino Hechicero, aunque eso se oponga a sus creencias acerca de los no muertos, una aprendiz empezará a cuestionarse qué es la verdadera justicia. ¿Estará acaso encarnada en el generoso soberano Ainz Ooal Gown? ¡Descubre la doceava novela de Kugame Maruyama!|978-6-075-68292-1|1|false
Overlord #13|13|13|/panini-manga-mx/overlord/overlord-13.jpg|202|119.0|MXN|2021-06-16|La invasión del Reino Sagrado continúa, a pesar de que cuentan con la generosa ayuda de Ainz Ooal Gown. La aprendiz Neia Baraja está empezando a creer más en el Rey Hechicero que en los ideales con los que creció, sobre todo al ver la actitud de la paladín Remedios Custodio. Pero no sabe que Ainz tiene una nueva estrategia: pelear a muerte contra Jaldabaoth y encomendarle a la maid Shizu. ¿Sobrevivirá Ainz a una batalla despiadada? ¿Y cómo influirán las acciones de Neia en el futuro del Reino Sagrado? ¡Descubre la treceava novela de Kugame Maruyama!|978-6-075-68477-2|1|false
