NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Oyasumi Punpun #1|1|1|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-01.jpg|200|109.0|MXN|2020-06-30|"Punpun mira el mundo con los ojos de un pollito, porque tal vez así puede soportar que su amado padre sea un alcohólico violento; su madre, una víctima golpeada; y el amor de su vida, una compañera de clase que se marcha lejos. Por eso Punpun se contenta con sus amigos, invoca a su ""querido Dios, querido Dios"" y se lanza a aventuras hasta ahora desconocidas, como experimentar algo que los adultos llaman ""amor"", por su nueva compañera, Aiko Tanaka. Despierta a la vida con Oyasumi Punpun, el nuevo manga que Panini trae para ti."|978-6-076-34712-6|1|false
Oyasumi Punpun #2|2|2|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-02.jpg|200|109.0|MXN|2020-09-02|El verano inicia un poco torcido para Punpun, porque su madre es dada de alta del hospital, pero tiene un accidente antes de salir; su tío decide buscar trabajo; su padre... no da visos de volver a casa, y Aiko Tanaka toma una decisión que a Punpun le duele hasta el fin del mundo. Parece que el querido Dios, querido Dios no quiere estar al lado de Punpun. ¿O será que el pequeño está aprendiendo que la vida es una serie de pruebas duras, antes de que llegue el verdadero sufrimiento?|978-6-076-34992-2|1|false
Oyasumi Punpun #3|3|3|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-03.jpg|200|109.0|MXN|2020-11-04|¡Punpun ya está en la secundaria! Y es justo ahí donde ve a Aiko Tanaka con su nuevo novio, lo que termina por poner de cabeza su problemático mundo. Así que el niño tímido de la primaria ha dado paso a un joven rebelde, desafiante e irresponsable, cuyo corazón sigue anhelando a la chica que un día pudo haber sido el amor de su vida. Si la vida te parece triste, espera a ver lo que este joven vive a diario en el tomo 3 de Oyasumi, Punpun.|978-6-075-68089-7|1|false
Oyasumi Punpun #4|4|4|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-04.jpg|224|119.0|MXN|2021-02-03|De acuerdo a la apuesta que hicieron, Oyasumi espera que Yaguchi pierda el torneo de bádminton para poder quedarse con Aiko Tanaka. Y si de amor se trata, Yuichi, el tío de Punpun, espera que la joven Midori no se apegue tanto a él para que su relación no termine de forma tan desastrosa como otros noviazgos. Pero no le resultará fácil, porque Midori, incluso, ¡se va a vivir a la casa de los Onodera! Emociones al máximo y lágrimas que te salpicarán en las páginas de Oyasumi, Punpun 4.|978-6-075-68201-3|1|false
Oyasumi Punpun #5|5|5|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-05.jpg|224|119.0|MXN|2021-04-07|Punpun ingresa a la preparatoria con el desánimo que lo caracteriza. Para celebrarlo, Midori, la novia de su tío Yuichi, le ofrece un regalo placentero en medio de lágrimas y nostalgia. Tiempo después, Punpun se enfada con su madre cuando se entera de que su tío y Midori se han casado sin que le hubieran informado. Comienza así un tiempo que Punpun solo recordará como teñido de ira, tristeza y tardes lluviosas.|978-6-075-68302-7|1|false
Oyasumi Punpun #6|6|6|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-06.jpg|224|119.0|MXN|2021-06-02|Punpun se fija en una nueva compañera de la preparatoria, así que la invita a salir con la esperanza de conseguir algo más que un buen paseo. Mientras tanto, la mamá de Punpun es hospitalizada y queda bien de la operación que le practican hasta que una terrible noticia amenaza con alejarla más de su hijo. La vida en toda su crudeza en las páginas de Oyasumi, Punpun 6.|978-6-075-68447-5|1|false
Oyasumi Punpun #7|7|7|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-07.jpg|224|119.0|MXN|2021-08-04|A punto de terminar la preparatoria, Punpun decide irse a vivir solo. Nada cambia en su rutina, realmente, porque siempre se ha sentido así, incluso cuando aún vivía su madre. Sin embargo, una tarde se topa con una chica que él juraría se trataba de Aiko Tanaka, el amor de su infancia. Desde ese momento decide buscarla sin parar. Incluso se pone una meta que podría hacer que sus días tengan un final nada feliz. Sumérgete en las atribuladas páginas de Oyasumi, Punpun 7.|978-6-075-68575-5|1|false
Oyasumi Punpun #8|8|8|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-08.jpg|192|119.0|MXN|2021-10-13|Si tan solo Aiko Tanaka apareciera un día en el metro, Punpun podría atisbar un poco de la felicidad que siempre se le ha negado. Pero mientras llega, se conforma con desear a su amiga Sachi Nanjo, cuyas lecciones de vida tratan de moverlo para que deje su actitud de muerto en vida. Sin su querido Dios al lado ni amor ni nada que lo motive, ¿qué podrá sacudir a Punpun para que decida despertar a un mundo que lo espera desde hace años? Llena tus días soleados de pesimismo existencial con las desventuras de Oyasumi, Punpun 8.|978-6-075-68687-5|1|false
Oyasumi Punpun #9|9|9|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-09.jpg|224|119.0|MXN|2021-12-22|La junta con la editora será decisiva para determinar si Punpun y Sachi Nanjo se convertirán en mangaka. Su obra es prácticamente la vida de Punpun, así que podría no ser aceptada. Mientras tanto, el presidente del edificio sufre un accidente y un percance con la policía, lo que empuja a Sachi a tomar una decisión drástica. Hastiado de todo, Punpun recuerda la promesa que se hizo de abandonar el mundo tras dos años de tropiezos... plazo que está por cumplirse. Sin embargo, un vecino desconocido se convierte en el ancla que tanto necesita Punpun para seguir vivo. Si crees que la vida es ruda, entonces deberías leer las páginas de Oyasumi, Punpun 9.|978-6-075-68800-8|1|false
Oyasumi Punpun #10|10|10|/panini-manga-mx/oyasumi-punpun/oyasumi-punpun-10.jpg|224|129.0|MXN|2022-02-02|Las lecciones de manejo traen una sorpresa inespera cuando Aiko reaparece en la vida de Punpun. Ese amor de la infanacia que no veía hace 10 años ha construido toda una vida que inevitablemente provoca que Punpun reevalúe lo que ha hecho con la su vida y las relaciones que mantiene con otras personas, en especial con Sachi.|978-6-075-68935-7|1|false
