NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Platinum End #1|1|1|/panini-manga-mx/platinum-end/platinum-end-01.jpg|192|99.0|MXN|2018-06-13|Justo cuando salta al vacío para librarse de una vida de intenso sufrimiento, Mirai Kakehashi es rescatado por Nasse, un ángel que le otorga dos potentes instrumentos que le devolverán la esperanza de vivir. Pero estos dones no vienen gratis. Están relacionados con un dios agotado, una elección por encontrar a su sucesor, la violenta competencia de trece elegidos por ocupar el trono divino, muertes a manos de ángeles y flechas rojas que esclavizan la voluntad. Si la apuesta de Mirai es ser feliz, puede ser que no lo consiga en medio del tremendo lío angelical en el que se ha metido.|978-6-075-48135-7|1|false
Platinum End #2|2|2|/panini-manga-mx/platinum-end/platinum-end-02.jpg|200|99.0|MXN|2018-08-01|Mirai Kakehashi se ve atravesado por la flecha roja de Saki Hanakago, la chica de la que está enamorado y que, sorpresivamente, también forma parte de la lista de humanos que podrían ocupar el lugar de dios. La idea es que Mirai la proteja de Metropoliman, el candidato que pretende convertirse en dios aniquilando al resto de los aspirantes. De alguna extraña forma, los sueños de Mirai empiezan a volverse realidad, pero están acompañados de grotescas y peligrosas realidades dignas de contarse entre las peores pesadillas, pues Metropoliman no está dispuesto a mostrar piedad por absolutamente nadie.|978-6-075-48287-3|1|false
Platinum End #3|3|3|/panini-manga-mx/platinum-end/platinum-end-03.jpg|208|99.0|MXN|2018-09-26|El espanto vivido en el estadio de béisbol Jinbo es solo una pequeña muestra de lo que Metropoliman es capaz de hacer en su búsqueda por convertirse en dios. Al parecer, Mirai y Saki no fueron lo suficientemente discretos y otro candidato los descubrió. Se trata del desahuciado Nanato Mukaido, quien desea más que nada en este mundo acabar con Metropoliman y sus posibilidades de convertirse en dios. Los tres candidatos se alían para combatirlo, pero Mirai continúa luchando en su interior, pues está convencido de que es mejor ser asesinado… que convertirse en asesino.|978-6-075-48384-9|1|false
Platinum End #4|4|4|/panini-manga-mx/platinum-end/platinum-end-04.jpg|200|99.0|MXN|2018-11-28|La tremenda batalla contra Metropoliman en las alturas de la Gran Tower revela su verdadero rostro y no solo de manera metafórica. Con esto, el grupo formado por Mirai, Saki y Nanato, a pesar de no haber logrado su objetivo de eliminar al perverso candidato a dios, tiene una esperanza de poder vencerlo. Sin embargo, un gran el peso continúa perturbando los pensamientos de Mirai, quien debe resolver la encrucijada donde se encuentra, pues sospecha que su resistencia a matar no es fortaleza, sino simple cobardía, es decir, una patética y vergonzosa debilidad.|978-6-075-48512-6|1|false
Platinum End #5|5|5|/panini-manga-mx/platinum-end/platinum-end-05.jpg|200|99.0|MXN|2019-01-30|Hajime Sokotani, un nuevo candidato a dios, aparece en el horizonte, pero debido a los fracasos experimentados en su vida decide consagrar su existencia y sus poderes a lograr que Metropoliman consiga lo que desea: eliminar a los otros candidatos a dios. Una extraña forma de complicidad nace entre ambos candidatos y la primera prueba de lealtad está a punto de consumarse, pues para asesinar a Nanato Mukaido, ¡han empleado lo que este más ama en el mundo!|978-6-075-48679-6|1|false
Platinum End #6|6|6|/panini-manga-mx/platinum-end/platinum-end-06.jpg|200|99.0|MXN|2019-03-27|Hajime Sokotani hace un buen trabajo como sirviente de Metropoliman hasta que Saki se presenta y con su flecha roja logra que el candidato a dios abandone su puesto. Quizá sea posible sacar ilesa a la familia de Mukaido de esta batalla, pero no de la guerra. El perverso candidato se rodea de sirvientes con ansias de destrucción masiva y, aunque las filas de sus oponentes pueden verse engrosadas, esto le brinda una ventaja significativa. Para evitar una catástrofe, Mirai caminará hasta las puertas de una muerte segura. ¡La situación es desesperada! ¿Será capaz de emplear finalmente la letal flecha blanca?|978-6-075-48822-6|1|false
Platinum End #7|7|7|/panini-manga-mx/platinum-end/platinum-end-07.jpg|208|99.0|MXN|2019-05-29|El mortal virus ha sido eliminado, pero Mirai está en peligro, pues Kohinata no cesará en su esfuerzo por acabar con él. La situación es desesperada y Saki está a punto de dar su vida para salvar la del joven, pero la flecha roja empleada en Hajime muestra claramente sus efectos y este llega hasta el límite para evitar que la mujer a quien tanto ama encuentre su final. La única solución definitiva parece residir en la flecha blanca y Mirai empieza a considerar desde otra perspectiva el problema moral que representa decidir sobre la vida y la muerte.|978-6-075-48979-7|1|false
Platinum End #8|8|8|/panini-manga-mx/platinum-end/platinum-end-08.jpg|200|99.0|MXN|2019-07-24|La distancia entre Mirai y Metropoliman es mínima. Ha llegado el momento de la verdad. No transcurre en realidad mucho tiempo, pero la impresión es distinta. Mirai necesita pensar. Algo, además de su conflicto moral, le molesta. Todo continúa transmitiéndose como si de un programa de televisión se tratara. Entonces lo sabe: ¡a Metropoliman ya lo atravesó una flecha roja! Kakehashi opta entonces por otra estrategia y Metropoliman comprende que morirá a manos de sus enemigos. ¿Será la suya la última muerte de un candidato a dios?|978-6-076-34135-3|1|false
Platinum End #9|9|9|/panini-manga-mx/platinum-end/platinum-end-09.jpg|200|99.0|MXN|2019-09-25|¡Un nuevo candidato a dios hace su aparición ante los medios de comunicación y lo complica todo nuevamente! Se trata de un chico de sexto año de primaria de nombre Susumu Yuito, quien debido a su edad e ingenuidad habla abiertamente sobre todo el proceso que se lleva a cabo para elegir al nuevo ser todopoderoso. Como es de esperarse, los gobiernos del mundo no pueden simplemente observar cómo se desarrollan los hechos, pues personas como las que eliminaron a Metropoliman pueden convertirse en armas sumamente efectivas. Otra amenaza se cierne sobre Mirai y Saki, pero los aliados no se hacen esperar. El reto que tienen por delante apenas comienza.|978-6-076-34245-9|1|false
Platinum End #10|10|10|/panini-manga-mx/platinum-end/platinum-end-10.jpg|200|99.0|MXN|2019-12-25|"Shuji Nakaumi, el candidato de Ogaro, el ángel que ha visto el lado oscuro del Paraíso, es un muchacho de secundaria que desea abandonar la existencia y ayuda a aquellos dispuestos a morir con las flechas que le fueron dadas. ""Adiós, hermano"", son las palabras que está pronunciando pero que no consiguen su objetivo, pues se ve interrumpido por Mirai y los demás. Tras largas disquisiciones acerca del suicidio, los candidatos descubren que pueden saber muy poco sobre ese ser que llaman ""dios"" y también que el proceso de elección puede eliminarse. ¡Pero también comprenden que ese dios tiene el poder de controlar a los humanos o de eliminar a la humanidad entera!"|978-6-076-34349-4|1|false
