NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Psychic Detective Yakumo #1|1|1|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-01.jpg|180|99.0|MXN|2015-08-19|"Yakumo Saitou es un estudiante universitario que ama dormir y las cosas dulces; es de carácter reservado, huraño y posee un gran poder de deducción. Todo esto se complementa con un don extraordinario e inusual: es capaz de ver espíritus; además, tiene fama de ser experto en casos ""del más allá"". Un día, acude a él una chica llamada Haruka Ozawa para que ayude a su amiga Miki. A partir de este momento, ambos se enfrascan en la resolución de casos que van más allá de lo terrenal. ¡No te pierdas ningún número de esta gran obra de Manabu Kaminaga, majestuosamente ilustrada por Suzuka Oda!"|000-0000000000|1|false
Psychic Detective Yakumo #2|2|2|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-02.jpg|180|99.0|MXN|2015-09-16|"Un espíritu poseyó a Mokoto, la hija del jefe de policía, Yakumo y Gotou empezaron a investigar. Por otra parte, al mismo tiempo sucedían incidentes relacionados con muchachas secuestradas y asesinadas en serie. Ambos sucesos se vinculan en un punto impensable. ¡¿Cómo lo enfrentará Yakumo?! Inicia la parte seria de ""Lo que une a las almas""."|977203906090402|1|false
Psychic Detective Yakumo #3|3|3|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-03.jpg|180|99.0|MXN|2015-10-14||000-0000000000|1|false
Psychic Detective Yakumo #4|4|4|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-04.jpg|180|99.0|MXN|2015-11-11|Después de resolver con éxito el caso del asesinato serial de jóvenes estudiantes, Yakumo toma una nueva investigación en sus manos: se trata del fantasma de una persona que murió rodeada de tristes acontecimientos. Así pues, nuestros amigos intentan develar la razón por la que el alma de esa persona no puede descansar en paz. Durante el desarrollo del caso, conoceremos a un nuevo personaje que tiene algo en común con Yakumo, quien, por cierto, comienza a comportarse de manera inusual con Haruka, ¿acaso la molestará más de lo normal? No dejes de leer esta nueva entrega de Psychic Detective Yakumo y desentraña junto con el bakeneko más sexy de la historia el terrible secreto que está detrás de este nuevo caso.|000-0000000000|1|false
Psychic Detective Yakumo #5|5|5|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-05.jpg|164|99.0|MXN|2015-12-16|El equipo de investigación a cargo del caso de Rika Sawaguchi sigue investigando los sucesos ocurridos alrededor de su misteriosa muerte. A medida que avanzan en el caso, descubren terroríficos acontecimientos. Por otro lado, Gotou percibe en Yakumo un notable cambio en su actitud desde que conoció a Haruka, ¿será que ha influenciado en su carácter? Cada ez nos acercamos más a la resolución de este triste caso, ¡no te lo pierdas!|000-0000000000|1|false
Psychic Detective Yakumo #6|6|6|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-06.jpg|164|99.0|MXN|2016-01-13|El caso de Rika Sawaguchi toma un giro inesperado y por fin se revela la verdad tras él. ¿Quién será el culpable de su suicidio? ¿Por fin conoceremos la verdadera identidad del misterioso médium llamado Kamiyama? Yakumo une los hilos de las historias y una vez más, resuelve otro caso más. Sin embargo, algo nuevo sucede y quizá deba intervenir pronto. ¡No dejes pasar este sexto tomo de Psychic Detective Yakumo!|000-0000000000|1|false
Psychic Detective Yakumo #7|7|7|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-07.jpg|164|99.0|MXN|2016-02-10|Un nuevo caso se desarrolla y en él está involucrado un niño que dice ver fantasmas. Haruka acude a Yakumo para que la ayude a conocer qué se esconde detrás de las palabras del pequeño. Por otro lado, Gotou e Ishiii investigan un misterioso asesinato. Nuevamente Yakumo es requerido para las indagaciones, pero el enigma crece cada vez más. ¿Quién o qué estará detrás de esta nueva trama? ¡Corre a tu puesto de revistas y descúbrelo en esta nueva entrega de Psychic Detective Yakumo!|000-0000000000|1|false
Psychic Detective Yakumo #8|8|8|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-08.jpg|164|99.0|MXN|2016-03-09|"El vínculo entre el misterioso cadáver incinerado ?encontrado en el lugar donde Haruka lleva a cabo sus prácticas? y el incendio ocurrido hace 28 años es revelado. Sin embargo, detrás de todo, otro enigma está oculto. Por otro lado, debido al suicidio de la profesora a cargo de la clase de Masato, el caso se complica y la vida del niño comienza a estar en peligro. Además, Gotou e Ishii quedan entre la espada y la pared al acudir a la oficina de la psiquiatra Anna. ¡""Sentimientos que proteger"" por fin llega a su parte más interesante!"|000-0000000000|1|false
Psychic Detective Yakumo #9|9|9|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-09.jpg|164|99.0|MXN|2016-04-13|Anna Sasaki, la psiquiatra que ofreció ayudar a la policía, resulta ser una impostora, quien, además, hiere de gravedad al detective Gotou, que queda casi al borde de la muerte. Por otro lado, con el fin de salvar a Haruka de Atsushi Ushijima, Yakumo le ofrece un intercambio de rehenes: ella por Masato. ¡Finalmente se revelará el vínculo entre el incendio ocurrido hace 28 años y el asesinato de esta ocasión!|000-0000000000|1|false
Psychic Detective Yakumo #10|10|10|/panini-manga-mx/psychic-detective-yakumo/psychic-detective-yakumo-10.jpg|168|99.0|MXN|2016-05-11|"Mientras busca a Yakumo, cuyo paradero es desconocido, Haruka se entera a través de Isshin que había una relación entre la madre del joven y la de ella, por lo que decide ir a su casa, en Nagano. Por otro lado, Ishii busca a Gotou, quien desapareció en la escena de un crimen sucedido hace quince años y se acerca a la verdad oculta detrás de ese caso. ¡""Sentimientos que se enlazan"" se acerca a su clímax!"|000-0000000000|1|false
