NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ranma 1/2 #1|1|1|/panini-manga-mx/ranma-½/ranma-½-01.jpg|184|99.0|MXN|2017-03-01|"¡Llega a tus manos uno de los grandes clásicos del manga escrito por la excelsa Rumiko Takahashi! Genma Saotome y su hijo, Ranma Saotome, regresan de un viaje de entrenamiento por China. Sin embargo, ¡quienes aparecen ante la familia Tendo son un panda gigante y una chica que se hace llamar ""Ranma""! ¡Amor, lágrimas, kempo, kendo, los Tendo, panda y humano, hombre y mujer...! ¡Todo es un caos!"|978-6-075-28405-7|1|false
Ranma 1/2 #2|2|2|/panini-manga-mx/ranma-½/ranma-½-02.jpg|184|99.0|MXN|2017-04-05|Luego de seguir a Ranma por todos lados, ¡finalmente aparece Ryoga Hibiki, su enemigo jurado! Pero en medio de la batalla entre Ranma y Ryoga, algo corta el cabello de Akane Tendo. ¡Ahora sí estás en un gran aprieto, Ranma!|978-6-075-28440-8|1|false
Ranma 1/2 #3|3|3|/panini-manga-mx/ranma-½/ranma-½-03.jpg|184|99.0|MXN|2017-05-03|¡Kodachi Kuno y Akane Tendo se enfrentan en un combate de gimnasia rítmica! Pero el destino le juega una mala pasada a la joven Tendo y es Ranma quien debe pelear. ¿Quién saldrá victoriosa? ¡Y la diversión no termina, pues Ranma y Akane reciben un desafío por parte de una talentosa (y peligrosa) pareja de patinadores!|978-6-075-28465-1|1|false
Ranma 1/2 #4|4|4|/panini-manga-mx/ranma-½/ranma-½-04.jpg|192|99.0|MXN|2017-06-07|¡Durante su entrenamiento en China, Ranma mujer recibió el Beso de la Muerte por parte de Shampoo, una bella chica de la aldea del nüjiezu! ¡Pero, a la vez, le dio el Beso del Amor a Ranma hombre y ahora no puede despegarse de él! ¡Ranma no sabe qué hacer, pues tanto su vida como su corazón están en juego!|978-6-075-28515-3|1|false
Ranma 1/2 #5|5|5|/panini-manga-mx/ranma-½/ranma-½-05.jpg|184|99.0|MXN|2017-07-05|¡El punto débil de Ranma Saotome finalmente sale a la luz y alguien se aprovecha de eso, lo cual provoca que Ranma entre en pánico y estalle! ¡Mientras tanto, Shampoo, la chica china, regresa a Japón en forma de gato! ¡Más problemas para Ranma! Pero, ¿cuál es su punto débil?|978-6-075-28551-1|1|false
Ranma 1/2 #6|6|6|/panini-manga-mx/ranma-½/ranma-½-06.jpg|184|99.0|MXN|2017-08-02|¡No dejan de aparecer rivales para Ranma! ¡Primero la bisabuela de Shampoo con su Puño del tiburón, luego Ryoga Hibiki, quien aprende a usar la técnica secreta del Punto de presión explosivo, y ahora Satsuki Miyakoji, experta en el combate de la ceremonia del té! ¡Ranma y Satsuki se enfrentan con mucha elegancia!|978-6-075-28583-2|1|false
Ranma 1/2 #7|7|7|/panini-manga-mx/ranma-½/ranma-½-07.jpg|184|99.0|MXN|2017-09-06|¡Es la carrera femenil de entregas a domicilio sin reglas! ¡Ranma mujer, Akane y Shampoo compiten con cuerpo y alma! ¡De pronto aparece Happosai, el abuelo libidinoso más perverso que hay! ¡Incluso Genma le teme al demonio Happosai, pero aun así Ranma lo desafía!|978-6-075-28620-4|1|false
Ranma 1/2 #8|8|8|/panini-manga-mx/ranma-½/ranma-½-08.jpg|192|99.0|MXN|2017-10-04|"¡Parece que hay una invitación a China para los ganadores de la competencia de drama interescolar! ¡La obra es ""Romeo y Julieta"" y Akane tiene el papel de Julieta! ¡Pero Ranma, Happosai y otros se pelean por el papel de Romeo, por lo que la tragedia se convierte en una gran comedia de artes marciales!"|978-6-075-28676-1|1|false
Ranma 1/2 #9|9|9|/panini-manga-mx/ranma-½/ranma-½-09.jpg|192|99.0|MXN|2017-11-01|¡Ranma es perseguido por Kodachi, la rosa negra, y recibe el ataque de las galletas caseras de Akane! ¡Luego comienzan los ataques de okonomiyaki de Ukyo Kuonji y el sufrimiento de Ranma no se detiene! ¡El cariño es peligroso, el amor es temible y la mente de Ranma es un gran caos!|978-6-075-28758-4|1|false
Ranma 1/2 #10|10|10|/panini-manga-mx/ranma-½/ranma-½-10.jpg|192|99.0|MXN|2017-12-06|¡Mousse, el chico miope, regresa a Japón para llevarse a la hermosa Shampoo de los brazos de Ranma! ¡Así que desafía a Ranma tomando a Akane como rehén, y ambos se enfrentan! La verdad es que todo se resolvería si Ranma perdiera el encuentro, pero.|978-6-075-28771-3|1|false
