NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Rent-A-Girlfriend #1|1|1|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-01.jpg|192|119.0|MXN|2021-06-23|Kazuya es abandonado por el amor de su vida, al sentirse destrozado decide usar el nuevo servicio en el que puedes rentar una novia y acaba sorprendido al ver lo hermosa y tierna que es la novia que contrato, Chizuru Mizuhara, pero después de dejarle una mala reseña por creer que es muy falsa descubrirá su verdadera personalidad.|978-6-075-68397-3|1|false
Rent-A-Girlfriend #2|2|2|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-02.jpg|200|119.0|MXN|2021-07-28|Sin esperarlo, Kazuya y Mizuhara se encuentran en la playa de Shimoda, donde deberán fingir ante sus amigos que son la pareja ideal. Sin embargo, Kazuya está dispuesto a recuperar a Mami a como dé lugar, aunque esto conlleve revelar la verdad sobre su novia rentada. Bikinis, cuerpos sensuales, peleas y mucho drama en este nuevo volumen de Rent-a-girlfriend.|978-6-075-68503-8|1|false
Rent-A-Girlfriend #3|3|3|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-03.jpg|192|119.0|MXN|2021-08-25|Kazuya Kinoshita es un veinteañero universitario que es feliz con su novia, ¡a la que incluso ha llegado a besar! ... Así es como Kazuya empieza a ir a ver a su abuela con Chizuru y ella queda tan encantada con la preciosa novia de su nieto que se ve obligado a continuar con el trato.|978-6-075-68544-1|1|false
Rent-A-Girlfriend #4|4|4|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-04.jpg|192|119.0|MXN|2021-09-22|Ruka-chan, la novia rentada de Kuri, se da cuenta de que Kazuya es el único chico capaz de hacerla vibrar, así que decide ir hasta su departamento para declararle el amor que siente por él y pedirle que sea su novio o, de lo contrario, les contará a todos que Mizuhara no es más que una novia rentada. ¿Kazuya aceptará la propuesta con tal de que su relación falsa con Mizuhara continúe?|978-6-075-68625-7|1|false
Rent-A-Girlfriend #5|5|5|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-05.jpg|192|119.0|MXN|2021-11-03|Ruka lleva a Kazuya a un hotel para demostrarle que está dispuesta a todo con tal de conseguir su amor, y para convencerlo de que termine con la relación que tiene con Mizuhara, pues es una mentira que tarde o temprano será descubierta por todos. ¿Kazuya aceptará la propuesta de Ruka o le seguirá siendo fiel a Mizuhara aunque su relación sea falsa?|978-6-075-68761-2|1|false
Rent-A-Girlfriend #6|6|6|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-06.jpg|192|119.0|MXN|2021-12-01|Luego de que Mizuhara se lo pidiera, Kazuya tiene una cita con Sumi para ayudarla a vencer la timidez que le impide ser una buena novia de alquiler. Su encuentro con esta bella chica parece estar saliendo bien, hasta que Mami los encuentra y se da cuenta de que Kazuya ha estado rentando novias desde que terminaron su relación. Ahora Mami sabe que el noviazgo entre Kazuya y Mizuhara es falso y planea algo inesperado.|978-6-075-68741-4|1|false
Rent-A-Girlfriend #7|7|7|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-07.jpg|192|119.0|MXN|2022-01-05|Tras saber que Mizuhara pretende renunciar a su empleo como novia de alquiler para convertirse en actriz, Kazuya cae en depresión y se prepara para lo inevitable: separarse de la chica que tanto ama. Sin embargo, está dispuesto a apoyarla hasta el último momento, así que va al teatro donde Mizuhara hará su debut. Ahí, los sentimientos de Kazuya se vuelven más fuertes y cobra valor para decirle lo que siente por ella. ¿Será correspondido por su novia rentada o será el fin de su relación ficticia?|978-6-075-68798-8|1|false
Rent-A-Girlfriend #8|8|8|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-08.jpg|192|129.0|MXN|2022-02-02|¡A Kazuya se le juntan las chicas! Mizuhara pierde la llave de su departamento y acude a Kazuya para que la ayude. ¿Acaso le pedirá que la deje dormir con él? Pero Mami llega de visita inesperadamente y todo se vuelve un caos. Además, Ruka elabora un plan para acostarse con Kazuya, quien está a punto de sucumbir ante sus deseos carnales. Y por si fuera poco, Sumi y Kazuya vuelven a encontrarse en un cita. ¡Las emociones a tope en el volumen ocho!|978-6-075-68953-1|1|false
Rent-A-Girlfriend #9|9|9|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-09.jpg|192|129.0|MXN|2022-03-02|Desde que Ruka se quedó a dormir en el departamento de Kazuya, Mizuhara está resentida con él, pero se presenta la oportunidad de limpiar su nombre: ¡el cumpleaños de Mizuhara! Ahora Kazuya tiene la misión de encontrar el regalo perfecto para ella, pero no sabe cuál podría ser, así que renta a Sumi para que lo acompañe al centro comercial, donde se llevará una gran sorpresa luego de ver a Mizuhara haciendo algo que él jamás había imaginado.|978-6-076-36001-9|1|false
Rent-A-Girlfriend #10|10|10|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-10.jpg|192|129.0|MXN|2022-04-06|Mami desconfía cada vez más de Kazuya luego de que Ruka le dijera que es su novia y, para colmo, se topó con nada más y nada menos que Mizuhara, quien, por si fuera poco, llevaba la bolsa que Mami vio en el departamento de Kazuya. ¿Sus sospechas por fin la llevarán al origen de todo? El volumen diez vaticina una gran confusión.|978-6-076-36056-9|1|false
Rent-A-Girlfriend #11|11|11|/panini-manga-mx/rent-a-girlfriend/rent-a-girlfriend-11.jpg|192|129.0|MXN|2022-05-11|"La celebración del cumpleaños de Mizuhara y Kazuya comienza en la casa de los Kinoshita, pero el retraso de Mizuhara y la presencia de Ruka-chan, quien se esfuerza por ganar puntos en la familia de Kazuya, ¡desembocan en un caos! Cuando Mizuhara llega, la situación se compone, ¡pero Ruka-chan hace un movimiento poco apropiado para una ""novia provisional""!"|978-6-076-36108-5|1|false
