NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Rin-ne #1|1|1|/panini-manga-mx/rin-ne/rin-ne-01.jpg|184|99.0|MXN|2017-01-18|¡Un éxito más de Rumiko Takahashi, la autora de Urusei Yatsura, Ranma 1/2 e Inuyasha está aquí! Sakura Mamiya, una joven que desde que era pequeña puede ver fantasmas, se encontró con Rinne Rokudo, un joven misterioso que hace un trabajo parecido a un shinigami (un dios de la muerte). Él lleva al círculo de la reencarnación a los fantasmas que por sus remordimientos vagan por el mundo. ¡Todo lo increíble comienza después de la escuela!|978-6-075-28371-5|1|false
Rin-ne #2|2|2|/panini-manga-mx/rin-ne/rin-ne-02.jpg|192|99.0|MXN|2017-03-08|El shinigami Rinne, siempre con problemas económicos desde que su abuelo murió, trabaja ayudando a las almas en pena a descansar en paz. Claro, a cambio de algo de dinero para subsistir. Sin embargo, las cosas no siempre resultan tan sencillas. Y aun cuando Sakura Mamiya esté dispuesta a involucrarse en los peores peligros, al grado de llegar a las mismas profundidades del infierno para ayudarlo, los problemas que enfrenta el joven podrían requerir medidas más extremas. Y quizá una nueva guadaña.|978-6-075-28392-0|1|false
Rin-ne #3|3|3|/panini-manga-mx/rin-ne/rin-ne-03.jpg|192|99.0|MXN|2017-04-12|El amor es un motivante poderoso, pero no siempre se dice que pueda ser tan peligroso. Así queda demostrado cuando es por su causa que se reprimen deseos, se camina ciegamente hacia las fauces de la muerte y se hiere a los que se aman sin siquiera sospecharlo. Tsubasa Jumonji, el nuevo estudiante transferido al grupo de preparatoria donde estudian Rinne y Sakura, obtendrá una cita con su primer amor, a quien intenta desesperadamente conquistar.|978-6-075-28422-4|1|false
Rin-ne #4|4|4|/panini-manga-mx/rin-ne/rin-ne-04.jpg|192|99.0|MXN|2017-05-10|Cuando Rokumon contagia de influenza a Rinne, Sakura intenta socorrerlo, pero Tsubasa Jumonji está decidido a impedir que la joven confunda con amor la compasión que siente por el empobrecido shinigami. La misteriosa ayuda enviada por un pariente del otro mundo es el inicio de la aventura donde Sakura y Jumonji conocerán no solo la verdadera razón de la pobreza de Rinne, sino la raíz misma de su odio infinito hacia los damashigami, mientras Rinne lucha por evitar endeudarse cada vez más y verse prometido en matrimonio con alguien que definitivamente no ama.|978-607-528-481-1|1|false
Rin-ne #5|5|5|/panini-manga-mx/rin-ne/rin-ne-05.jpg|192|99.0|MXN|2017-06-14|La enamorada shinigami Ageha descubre el paradero de su hermana desaparecida y, al mismo tiempo, se cree traicionada porque Rinne es el hijo del presidente de la Compañía Damashigami. Cegada por su cólera, no hará sino meterse en problemas y caer en cuanta trampa sea puesta por los damashigami para estafarla. Al ser salvada por Rinne, sus sentimientos se fortalecerán y buscará la forma de compensarlo. Rinne no puede rechazar la ayuda que necesita, pero teme que Sakura malinterprete su relación con Ageha y eso abre la posibilidad de que el alma de Rinne ¡sea brutalmente devorada!|978-607-528-508-5|1|false
Rin-ne #6|6|6|/panini-manga-mx/rin-ne/rin-ne-06.jpg|192|99.0|MXN|2017-07-12|Jumonji conoce a Masato luego de que Rinne arruinara su supuesta cita con Sakura. El akuma se aprovechará de la molestia del exorcista para tenderle una trampa y matar dos pájaros de un tiro: maldecir repetidamente a su enemigo, el shinigami Rinne, y llevarse el alma de Jumomji al infierno. Parece que ninguna solución, ni fuego ni ceniza, será suficiente para enfrentar esta vez al rencoroso Masato. ¿Qué hará Rinne para detenerlo? ¡¿Será que en esta ocasión nada de lo que haga servirá para salvarlos?!|978-6-075-28550-4|1|false
Rin-ne #7|7|7|/panini-manga-mx/rin-ne/rin-ne-07.jpg|192|99.0|MXN|2017-08-09|El verano llegó y se fue, así como su emocionante festival y sus embrujados días de playa. Las clases han iniciado y la escuela está plagada de fantasmas. Pero los problemas no terminan ahí. Rinne también deberá solucionar el conflicto que aqueja a Sakura Mamiya, pues su casa, antes libre de espíritus, de pronto se ve invadida por ellos. La felicidad de ir a casa de su amiga se empaña por la presencia de los celosos Ageha y Jumonji, quienes complicarán todo y provocarán en Rinne ¡verdaderas lágrimas de sangre!|978-6-075-28550-4|1|false
Rin-ne #8|8|8|/panini-manga-mx/rin-ne/rin-ne-08.jpg|192|99.0|MXN|2017-09-17|Las prácticas de los shinigami que estudian la primaria han comenzado y Rinne se convierte en tutor de Shoma, un pequeño cuyas ambiciones rebasan en mucho sus habilidades. El rechazo de Shoma al trabajo duro y constante no cesa de meterlo en problemas y pronto cae víctima de los engaños de Masato, pero, junto con él, ¡Rinne deberá enfrentar las consecuencias! ¿Podrá este detener a tiempo al akuma y evitar que Shoma termine en el infierno? ¡Descúbrelo en este interesante volumen!|976075286082 978-6-075-28608-2|1|false
Rin-ne #9|9|9|/panini-manga-mx/rin-ne/rin-ne-09.jpg|192|99.0|MXN|2017-10-06|Los resentimientos de los espíritus y otros seres sobrenaturales acechan no solo en la escuela, donde las habilidades de Rinne han demostrado una y otra vez su eficacia, sino que vigilan a los vivos desde lugares públicos, cajas de recuerdos o enterrados debajo de piedras inmensas mientras aguardan la oportunidad para satisfacer sus deseos… o venganzas… ¡Diviértete observando a Sabato trabajar como nunca en su vida y a Ageha ser perseguida por su más grande temor!|978-6-075-28674-7|1|false
Rin-ne #10|10|10|/panini-manga-mx/rin-ne/rin-ne-10.jpg|192|99.0|MXN|2017-11-03|Oboro abandona a Ageha al ser devorada y Rinne intentará salvarlos a los dos: a ella de ser digerida y a él de una gran multa por incumplimiento de contrato. Como si eso no fuera suficiente, Kain y su gatita meterán en graves problemas legales a Rinne. Y un poltergeist le mostrará a Rinne que aún es un shinigami inexperto…|978-6-075-28751-5|1|false
