NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Rosario+Vampire Season II #1|1|1|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-01.jpg|186|119.0|MXN|2020-09-02|La Academia Yokai fue reconstruida y un nuevo periodo estudiantil comienza para Tsukune, quien ahora está en segundo año. Su vida feliz en esta segunda temporada iniciará rodeada de yokai hermosas, familiares violentos, monstruos que buscan venganza y un sinfín de situaciones peligrosas que vivirá en compañía de Moka y sus demás amigas.|978-6-076-34944-1|1|false
Rosario+Vampire Season II #2|2|2|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-02.jpg|186|119.0|MXN|2020-11-04|"¡Un grupo de delincuentes se infiltró en la Academia Yokai y secuestró a Tsukune y a Moka! Kurumu y las demás intentarán rescatarlos, pero el jefe de la banda usará su poder aterrador. Sin embargo, justo cuando reciban un ataque, la ""sangre"" que dormía dentro de Tsukune despertará."|978-6-075-68107-8|1|false
Rosario+Vampire Season II #3|3|3|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-03.jpg|186|129.0|MXN|2021-02-03|Mizore invitó a Tsukune y a las chicas del club del periódico a su pueblo natal, donde habitan las mujeres de las nieves. ¡¿Cuál será su terrible destino ahora que se acerca la ceremonia de la ofrenda floral, en la que se festeja a las mujeres que alcanzan la mayoría de edad?! Además, ¡Mizore pide a Tsukune que la visite la noche anterior a la ceremonia!|978-6-075-68217-4|1|false
Rosario+Vampire Season II #4|4|4|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-04.jpg|210|129.0|MXN|2021-04-07|¡La persona que encaró a Tsukune y a sus amigas es la asesina número uno de la familia Shuzen! ¡Kahlua! ¡Y ella no duda en atacar a sus hermanas con tal de conseguir su objetivo! Tsukune se ve obligado a retirar de inmediato el sello de Moka, pero los rivales a los que enfrentan son demasiado poderosos y no descansarán hasta acabar con todos.|978-6-075-68304-1|1|false
Rosario+Vampire Season II #5|5|5|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-05.jpg|208|129.0|MXN|2021-06-02|Los miembros del club del periódico escolar irán de campamento al mundo humano, lo cual le servirá a Tsukune como descanso de su agotador entrenamiento. Moka y sus amigas aparecerán junto al mar de verano mostrando sus diminutos bikinis, y conocerán a una chica extraña que no habla. Además, la oscura sombra de Fairy Tale también rondará esos lugares.|978-6-075-68445-1|1|false
Rosario+Vampire Season II #6|6|6|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-06.jpg|178|129.0|MXN|2021-08-11|El segundo semestre comienza en la Academia Yokai y un nuevo alumno se presenta ante Tsukune: se trata del heredero de la familia Huang, la mafia más poderosa de los yokai chinos. Después de conocer su gran poder y hombría, Fang Fang Huang le pedirá a Tsukune que se una a su familia, pero este lo rechaza. Sin embargo, la mafia siempre obtiene lo que quiere y ahora Tsukune se encuentra en grave peligro.|978-6-075-68588-5|1|false
Rosario+Vampire Season II #7|7|7|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-07.jpg|176|129.0|MXN|2021-10-13|El sello que controla el poder monstruoso de Moka está a punto de romperse irreparablemente, lo cual acabaría con una de las dos personalidades de la vampira. Para tratar de rescatarla, Tsukune y sus amigas se dirigen a Hong Kong, donde habita Toho Fuhai, ¡uno de los tres soberanos oscuros! Él es el único que puede reparar el sello de Moka antes de que sea demasiado tarde.|978-6-075-68689-9|1|false
Rosario+Vampire Season II #8|8|8|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-08.jpg|198|129.0|MXN|2021-11-24|Tsukune, Mizore y Toho Fuhai fueron arrastrados al mundo espiritual de Moka por una falla en su sello. ¡Y ahí es donde el terrible secreto de su pasado y del sello se revelará! Si permanecen en la mente de Moka durante mucho tiempo, no podrán regresar jamás al mundo real. ¡¿Kurumu podrá rescatarlos con sus poderes de súcubo?!|978-6-075-68803-9|1|false
Rosario+Vampire Season II #9|9|9|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-09.jpg|210|139.0|MXN|2022-02-02|Luego de que Moka accede a irse con Akua para evitar que esta asesine a sus amigos, Tsukune se alía con Fairy Tale para intentar rescatarla, pero a cambio de un precio muy alto. Además, con tal de volverse poderoso y poder participar en la batalla que se avecina, Tsukune acepta someterse a una práctica mortal para modificar su cuerpo y convertirse en yokai, aunque esto le pueda costar la vida.|978-6-075-68955-5|1|false
Rosario+Vampire Season II #10|10|10|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-10.jpg|192|139.0|MXN|2022-04-06|Tsukune obtuvo un nuevo poder gracias a la técnica de modificación humana de Toho Fuhai, pues solo tiene en mente rescatar a Moka, quien fue secuestrada por Akua y ahora está encerrada en el cuartel general de Fairy Tale: el jardín flotante. Sin embargo, Hokuto ayudará a Tsukune y sus amigos a infiltrarse debido a que tiene un interés común, pero. ¡¿qué les espera en el jardín flotante?!|978-6-076-36059-0|1|false
Rosario+Vampire Season II #11|11|11|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-11.jpg|192|139.0|MXN|2022-06-29|Aquel que encaró a Fang Fang es el jefe de la cuarta división de Fairy Tale: Sai Lung, y ambos guerreros se conocen muy bien. Sin embargo, Fang Fang se desespera por falta de convicción. Además, ¡Tsukune es enviado a cierta dimensión especial, donde se reencuentra con un símbolo del terror grabado en lo profundo de su corazón!|978-6-076-36201-3|1|false
Rosario+Vampire Season II #12|12|12|/panini-manga-mx/rosario-vampire-season-2/rosario-vampire-season-2-12.jpg|208|139.0|MXN|2022-08-31|¡El cuerpo de Alucard comenzará a moverse debido al despertar de Moka y destruirá medio Jardín Flotante! Mientras tanto, Tsukune y Moka por fin se reencontrarán y se protegerán el uno al otro para enfrentar a Akua en una batalla decisiva. ¡Sin embargo, el plan de Gyokuro entrará en la etapa final!|000-0-00-000000-0|1|false
