NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Rosario+Vampire #1|1|1|/panini-manga-mx/rosario-vampire/rosario-vampire-01.jpg|200|119.0|MXN|2017-02-08|Algo inesperado ha ocurrido: Tuskune Aono entró en la Academia Yokai. A donde solo asisten Yokai. Justo cuando pensaba escapar, se sintió muy feliz porque se topó con la hermosa Moka. Sin embargo, cuando ella se desprendió el rosario de su pecho, su verdadero cuerpo hizo su aparición... Es un gran monstruo... ¡Es un vampiro!|978-6-075-28400-2|1|false
Rosario+Vampire #2|2|2|/panini-manga-mx/rosario-vampire/rosario-vampire-02.jpg|186|119.0|MXN|2017-04-12|Tsukune es un humano que, por error, se inscribió en una academia a la que solo asisten monstruos. Conoció a las mujeres más bellas de la escuela: la vampiro Moka y la súcubo Kurumu, con las que disfrutará una espectacular vida escolar mientras le succionan la sangre. También aparece la pequeña bruja prodigio Yukari... ¿Le jugará una broma pesada a Tsukune?|978-6-075-28482-8|1|false
Rosario+Vampire #3|3|3|/panini-manga-mx/rosario-vampire/rosario-vampire-03.jpg|186|129.0|MXN|2017-06-14|Tsukune, un humano común y corriente, fue enviado a una academia misteriosa en donde Moka, una chica vampiro, lo protege (¡¿?!). Pero Kuyou, el presidente del consejo de seguridad escolar, sospecha acera de su identidad y Tsukune se encuentra en un gran apuro.|978-6-075-28512-2|1|false
Rosario+Vampire #4|4|4|/panini-manga-mx/rosario-vampire/rosario-vampire-04.jpg|210|129.0|MXN|2017-08-09|¡Las anheladas vacaciones de verano llegaron a la Academia Yokai! Tsukune y sus amigos del periódico escolar irán de campamento al mundo humano para realizar un reportaje. Todo marcha bien para Moka y Tsukune, pero Yukari no puede ocultar su inquietud en el campamento... ¡¿Qué provoca la ansiedad de esta bruja?!|978-6-075-28552-8|1|false
Rosario+Vampire #5|5|5|/panini-manga-mx/rosario-vampire/rosario-vampire-05.jpg|208|129.0|MXN|2017-10-11|¡La furiosa Oyakata, una bruja que odia a los humanos, atrapó a Tsukune y a sus amigos! ¡A pesar de que Moka la enfrenta después de que le quitaron su rosario, Oyakata lanza su mejor hechizo: la fusión mágica! ¡¿Podrá capturar a Moka con ese poder que le permite manipular la fuerza de las plantas y los seres vivos?!|978-6-075-28681-5|1|false
Rosario+Vampire #6|6|6|/panini-manga-mx/rosario-vampire/rosario-vampire-06.jpg|178|129.0|MXN|2017-12-13|Tsukune, ha escapado del peligro varias veces gracias a que puede convertirse en vampiro temporal. Sin embargo, está pagando el precio por llevar su cuerpo al límite. Mientras él se recupera, Moka es capturada por los Yokai Marginados... ¡¿Qué hará Tsukune al ser atraído por este señuelo?!|978-6-075-28772-0|1|false
Rosario+Vampire #7|7|7|/panini-manga-mx/rosario-vampire/rosario-vampire-07.jpg|192|129.0|MXN|2018-02-14|¡Moka atracó a Tsukune, pues es controlada por Mako, quien también manipula a los Yokai Marginados! ¡Kurumu desconfía de Moka y crea lazos amistosos con Mako! ¡Y a pesar de que las cosas empiezan a caer en pedazos, Tsukune cree en Moka con todo su corazón!|978-6-075-28924-3|1|false
Rosario+Vampire #8|8|8|/panini-manga-mx/rosario-vampire/rosario-vampire-08.jpg|198|129.0|MXN|2018-04-11|Para evitar su expulsión de la academia, Tsukune se unió al comité ejecutivo de festival escolar. Fue atraído por la personalidad del presidente, pero cayó en manos del grupo Antítesis, cuyos miembros se infiltraron en el comité.|978-6-075-48031-2|1|false
Rosario+Vampire #9|9|9|/panini-manga-mx/rosario-vampire/rosario-vampire-09.jpg|210|139.0|MXN|2018-06-13|"Tsukune llega hasta el límite para enfrentar a Hokuro, quien intenta acabar con la relación pacífica entre humanos y yokai. Pero Moka se une a él después de que ella misma logra quitarse el rosario. ¡Sin embargo, Hokuto se escapa y consigue llegar al ""altar de la oscuridad eterna"" para destruir la gran barrera! ¡¿Cuál será el sorprendente secreto que se revelará?!"|978-6-075-48174-6|1|false
Rosario+Vampire #10|10|10|/panini-manga-mx/rosario-vampire/rosario-vampire-10.jpg|192|139.0|MXN|2018-08-08|"Kyo-chan tiene un sobre que cierta persona le dio, el cual contiene ""el espejo de Lilith"": un objeto mágico que muestra la verdadera forma de los yokai. Debido al poder del espejo, ¡todos los asistentes al festival escolar entran en pánico! ¡¿Qué o quién aparecerá frente a los ojos de Tsukune en ese momento?!"|978-6-075-48292-7|1|false
