NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ruroni Kenshin #1|1|1|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-01.jpg|244|199.0|MXN|2020-02-19|Esta es la historia de un samurái vagabundo de la época Meiji que quiere dejar atrás su pasado como un famoso y temible asesino. Para tratar de pagar por todo el daño que causó, Kenshin decide proteger a los más débiles con su espada de filo invertido, la cual le permite usar su técnica más poderosa y devastadora sin causar nuevas víctimas. Mientras tanto, a su alrededor aparecerán varios personajes que van a formar parte de su vida. Todos ellos tienen una cosa en común: son personas sin familia ni hogar.|978-6-076-34627-3|1|false
Ruroni Kenshin #2|2|2|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-02.jpg|244|199.0|MXN|2020-06-17|"Kurogasa, un temible asesino, envía cartas a sus futuras víctimas informándoles cuándo piensa acabar con su vida. Ese día, por más precauciones que se tomen, Kurogasa, también conocido como ""el Sombrero Negro"", logra asesinarlos junto con todos los que lo acompañen. Parece que solo Kenshin podrá detenerlo, pero deberá renunciar a su promesa de no volver a matar?"|978-6-076-34752-2|1|false
Ruroni Kenshin #3|3|3|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-03.jpg|232|199.0|MXN|2020-08-19|"¡Kenshin, Sanosuke y Yahiko comienzan su asalto a la mansión del codicioso Kanryu Takeda! Pueden acabar fácilmente con la guardia personal del traficante de opio, pero el verdadero desafío son los guerreros del Oniwaban-shu. Sobre todo su capitán, Aoshi Shinomori, quien quiere derrotar a Kenshin y ganarse el título de ""el guerrero más fuerte"". Pero Kanryu aún tiene un as bajo la manga."|978-6-076-34869-7|1|false
Ruroni Kenshin #4|4|4|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-04.jpg|232|199.0|MXN|2020-10-14|Yutaro ha empezado a practicar en el dojo Kamiya, pero el cruel Raijuta ataca a Kenshin y a sus amigos por sorpresa. Mientras tanto, Sanosuke se reencuentra con un viejo amigo suyo de las Sekiho-tai que se ha convertido en pintor, quien tiene planes explosivos para el gobierno Meiji. Y un antiguo enemigo de Kenshin llega con deseos de venganza.|978-6-075-68057-6|1|false
Ruroni Kenshin #5|5|5|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-05.jpg|232|199.0|MXN|2020-12-09|Yutaro ha empezado a practicar en el dojo Kamiya, pero el cruel Raijuta ataca a Kenshin y a sus amigos por sorpresa. Mientras tanto, Sanosuke se reencuentra con un viejo amigo suyo de las Sekiho-tai que se ha convertido en pintor, quien tiene planes explosivos para el gobierno Meiji. Y un antiguo enemigo de Kenshin llega con deseos de venganza.|978-6-075-68162-7|1|false
Ruroni Kenshin #6|6|6|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-06.jpg|248|199.0|MXN|2021-03-10|¡Saito le ha tendido una trampa a Kenshin! Mientras nuestro héroe se enfrenta a Akamatsu, el capitán de la tercera división del Shinsengumi se infiltra como agente de policía en el dojo Kamiya. Pero las intenciones de Saito van mucho más allá de un duelo personal: involucran las órdenes del hombre más poderoso de Japón, el ministro Toshimichi Okubo. Se aproxima una nueva amenaza, un hombre llamado Makoto Shishio.|978-6-075-68275-4|1|false
Ruroni Kenshin #7|7|7|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-07.jpg|248|209.0|MXN|2021-05-12|Camino a Kioto, Kenshin conoce a Misao Makimachi, una chica joven que resulta ser una kunoichi del Oniwaban-shu y que está buscando a Aoshi Shinomori. Juntos llegan a un pueblo controlado por Senkaku, uno de los hombres de Shishio, que maltrata a la población y asesina a cualquiera que se le enfrente. Solo Kenshin puede salvar este pueblo... Mientras tanto, Sanosuke, que quiere hacerse más fuerte, conoce en el bosque a un misterioso monje que podría enseñarle una técnica especial, pero solo si arriesga su propia vida...|978-6-075-68385-0|1|false
Ruroni Kenshin #8|8|8|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-08.jpg|248|209.0|MXN|2021-06-09|Kenshin empieza a buscar una nueva sakabato, la espada de filo invertido, para reemplazar la que le rompió Sojiro. A través de la antigua red de información del Oniwaban-shu, Okina encuentra al heredero del famoso herrero Shakku Arai, el hombre que le había dado la primera sakabato. Sin embargo, el hijo resulta ser un hombre tranquilo que vive con su esposa y su hijo y que no quiere fabricar armas. Pero el despiadado Cho, uno de los Diez Espadas de Shishio y un coleccionista de armas raras, se aparece ante esta pacífica familia dispuesto a matar para conseguir la última espada de Shakku Arai.|978-6-075-68460-4|1|false
Ruroni Kenshin #9|9|9|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-09.jpg|256|209.0|MXN|2021-08-11|"Las fuerzas de Shishio se reúnen. ¡incluido Aoshi Shinomori! Con tal de enfrentarse a Kenshin para arrebatarle el título de ""el más fuerte"", el antiguo capitán del Oniwaban-shu está dispuesto a hacer lo que sea, aunque tenga que enfrentarse a Okina, su antiguo compañero. Esto obliga a Misao a tomar una decisión. Mientras tanto, Kenshin, se esfuerza por aprender la técnica suprema del Hiten Mitsurugi-ryu. Por su parte, Sanosuke llega por fin a Kioto. Se aproxima el enfrentamiento, pero ¿qué está planeando el malvado Shishio?"|978-6-075-68589-2|1|false
Ruroni Kenshin #10|10|10|/panini-manga-mx/ruroni-kenshin/ruroni-kenshin-10.jpg|192|209.0|MXN|2021-10-13|¡Shishio inicia su plan para apoderarse de Japón! En Kioto, Misao comienza a actuar como la nueva capitana del Oniwaban-shu, trabajando para impedir que los hombres de Shishio incendien la ciudad. Mientras tanto, Kenshin, Sanosuke y Saito se apresuran para detener a Shishio, pero este tiene preparada una sorpresa. Se acerca el enfrentamiento real contra el enemigo, donde Sanosuke tendrá que enfrentarse a Anji, el monje que le enseñó su técnica secreta.|978-6-075-68715-5|1|false
