NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Sailor Moon #1|1|1|/panini-manga-mx/sailor-moon/sailor-moon-01.jpg|240|109|MXN|2015-09-09|"La vida de Usagi Tsukino es como la de cualquier chica de secundaria: duerme, juega videojuegos, come sin pudor y está rodeada de amigos. Sin embargo, la aparición de Luna, una gatita negra, cambia radicalmente su existencia. Ahora sabe que es una guardiana que debe velar por el bienestar de su princesa, del ""Legendario cristal de plata"" y de la Tierra. Afortunadamente, no estará sola en esta encomienda. Descubre en este maravilloso primer tomo a sus aliados y enemigos. ¡Pelea junto a ella por el amor y la justicia! Disfruta esta grandiosa obra de Naoko Takeuchi, que ha traspasado fronteras en todo el mundo."|977-203756490901|1|FALSE
Sailor Moon #2|2|2|/panini-manga-mx/sailor-moon/sailor-moon-02.jpg|238|109|MXN|2015-10-14|"En el tomo anterior, las cuatro guardianas del reino de la Luna despertaron y ahora su misión es encontrar el ""Legendario cristal de plata"" y a su princesa. Sin embargo, sus enemigos cada vez son más poderosos y requieren más poder para derrotarlos. Es entonces cuando el último miembro del equipo aparece y no solo las ayuda, sino que les revela su verdadero origen. Por otro lado, Usagi y Mamoru se dan cuenta de que un sentimiento cálido los embarga cuando están juntos... y pronto conocerán la razón. ¡No dejes de leer este nuevo número de Pretty Guardian Sailor Moon, original de Naoko Takeuchi y que también puedes disfrutar en su versión anime!"|977-203756490902|1|FALSE
Sailor Moon #3|3|3|/panini-manga-mx/sailor-moon/sailor-moon-03.jpg|240|109|MXN|2016-01-13|La batalla con Metallia por fin comienza. Durante ella, conoceremos más del pasado de Mamoru y Usagi y sabremos qué es eso que los une tanto. La pelea se torna violenta y con resultados tristes, pero... Por otro lado, la llegada de una misteriosa niña colma la poca paciencia de Usagi y algo terrible sucede, ¿qué será? No te quedes con la duda y compra este nuevo tomo de Pretty Guadian Sailor Moon!|977-203756490903|1|FALSE
Sailor Moon #4|4|4|/panini-manga-mx/sailor-moon/sailor-moon-04.jpg|248|109|MXN|2016-02-10|Un nuevo enemigo mucho más poderoso amenaza no solo a las sailors guardianas, sino al planeta completo. En tanto, Usagi sufre tanto por la pérdida de sus amigas como por la relación odio-¿amor? que sostiene con Chibiusa. Para salvar a sus compañeras, ella, junto con Venus y Tuxedo Mask viajarán al futuro ¡y conocerán algo insólito! ¿Qué crees que sea? ¡Adquiere esta nueva entrega de Pretty Guardian Sailor Moon y descúbrelo por ti mismo!|977-203756490904|1|FALSE
Sailor Moon #5|5|5|/panini-manga-mx/sailor-moon/sailor-moon-05.jpg|252|109|MXN|2016-03-09|La pelea entre las sailors guardianas y los esbirros de Death Panthom continúa y Black Lady se une a ella. Durante la batalla final, Sailor Pluto lleva a cabo el tabú prohibido que acaba con su vida. Sin embargo, gracias a eso, Chibiusa regresa a la normalidad con una nueva transformación. Finalmente, Death Phantom es derrotado y el Milenio de Plata recobra su esplendor. Sailor Moon y los demás regresan a su tiempo y despiden a Chibiusa. pero algo inesperado sucede. ¡No te pierdas este final de arco de las guardianas del amor y la justicia!|977-203756490905|1|FALSE
Sailor Moon #6|6|6|/panini-manga-mx/sailor-moon/sailor-moon-06.jpg|236|109|MXN|2016-04-13|¡Amenaza por partida doble! Un nuevo enemigo aparece y unas sailors guardianas desconocidas muestran su apatía por las sailors que conocemos. Por otro lado, Usagi y Mamoru sienten un titubeo en su relación a causa de dos personas bastante misteriosas. En tanto, una aliada regresa, aunque se ignora la razón. ¿Quién será? ¡Descúbrelo en la sexta entrega de Pretty Guadian Sailor Moon!|977-203756490906|1|FALSE
Sailor Moon #7|7|7|/panini-manga-mx/sailor-moon/sailor-moon-07.jpg|256|109|MXN|2016-05-11|Las sailors guardianas del sistema solar interior y exterior se reúnen y junto con eso, terribles secretos salen a relucir. Por otro lado, una nueva sailor que no debe ser despertada amenaza la vida del planeta... pero esa no es la mayor preocupación. El enemigo cada vez es más poderoso y pone en jaque a las guardianas, además, Chibiusa está al borde de la muerte. ¿Qué sucederá? ¡Pues averígualo en esta séptima entrega de tu manga favorito!|977-203756490907|1|FALSE
Sailor Moon #8|8|8|/panini-manga-mx/sailor-moon/sailor-moon-08.jpg|236|109|MXN|2016-06-08|Mistress 9 pone contra las cuerdas a las sailors, pero una aliada aparece: Hotaru, con todas sus fuerzas, intenta detenerla desde su interior. No obstante, lo que todos temían finalmente sucede: Sailor Saturn, la sailor de la destrucción, despierta. Con el fin de salvar al mundo de la destrucción, Sailor Moon decide hacer un último sacrificio.|977-203756490908|1|FALSE
Sailor Moon #9|9|9|/panini-manga-mx/sailor-moon/sailor-moon-09.jpg|264|109|MXN|2016-07-13|Usagi y Chibiusa sufren un extraño hechizo que invierte las edades de sus cuerpos, más no las de sus mentes. En tanto, Mamoru enferma gravemente y es hospitalizado; nadie sabe qué tiene. Por si fuera poco, un nuevo enemigo aparece y un pegaso llamado Helios pide ayuda a Chibiusa y encarga a las sailors que encuentren el Cristal Dorado para poder salvar tanto a Mamoru como a la Tierra. Nuevos peligros, pero también nuevos poderes están a la orden del día, ¿qué aventura les espera a las guardianas?|977-203756490909|1|FALSE
Sailor Moon #10|10|10|/panini-manga-mx/sailor-moon/sailor-moon-10.jpg|244|109|MXN|2016-08-07|En este cierre de arco, Dead Moon resulta ser más poderoso de lo pensado. Antiguas aliadas regresan con renovados poderes. Además, todas las sailors descubren más aspectos de sus vidas pasadas y, con nuevos bríos, y junto con Tuxedo Mask, ayudan a Sailor Moon y su nueva transformación a derrotar al enemigo. Helios ver cómo el Reino Dorado recobra su esplendor y se despide de su pequeña dama.|977-203756490910|1|FALSE
