NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Saint Seiya - Saintia Sho #1|1|1|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-01.jpg|0|109.0|MXN|2019-02-06|Cuando la malvada diosa Eris busca poseer el cuerpo de la joven Shoko, recibe la inesperada ayuda de la diosa Athena y sus leales Saintias, jóvenes guerreras que han jurado protegerla con sus vidas. Descubre el lado más femenino, y hasta ahora desconocido, de Saint Seiya.|978-6-075-48722-9|1|false
Saint Seiya - Saintia Sho #2|2|2|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-02.jpg|200|109.0|MXN|2019-04-03|Mientras Shoko inicia su entrenamiento para convertirse en Saintia, las semillas malvadas de Eris se expanden por todo el mundo. ¡y una dríade nueva decide aparecer en escena! Descubre el lado más femenino, y hasta ahora desconocido, de Saint Seiya....|978-6-075-48812-7|1|false
Saint Seiya - Saintia Sho #3|3|3|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-03.jpg|200|109.0|MXN|2019-06-05|Shoko. Atena. Milo. Llega el momento decisivo: la última oportunidad para evitar que Kyoko se convierta en yorishiro de Eris. Pero tendrán que enfrentarse a Atë, al poder de la diosa malvada, y a un exCaballero de Plata. ¿Lograrán salvarla? Descubre el lado más femenino, y hasta ahora desconocido, de Saint Seiya....|978-6-075-48980-3|1|false
Saint Seiya - Saintia Sho #4|4|4|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-04.jpg|200|109.0|MXN|2019-08-07|Shoko. Atena. Milo. Llega el momento decisivo: la última oportunidad para evitar que Kyoko se convierta en yorishiro de Eris. Pero tendrán que enfrentarse a Atë, al poder de la diosa malvada, y a un exCaballero de Plata. ¿Lograrán salvarla? Descubre el lado más femenino, y hasta ahora desconocido, de Saint Seiya....|978-6-076-34119-3|1|false
Saint Seiya - Saintia Sho #5|5|5|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-05.jpg|194|109.0|MXN|2019-10-09|¡El enfrentamiento definitivo entre Athena y el Santuario está a punto de iniciar! Mientras Shoko, Mii y Xiaoling reciben un entrenamiento especial, y Saga convoca a los Caballeros Dorados. ¡la Saint Academy es destruida! Además de conocer a la quinta Saintia, Elda de Casiopea, ¡descubre dónde estuvieron las chicas durante la Batalla de las Doce Casas!|978-6-076-34254-1|1|false
Saint Seiya - Saintia Sho #6|6|6|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-06.jpg|192|109.0|MXN|2019-12-11|La Batalla de las Doce Casas ha terminado, pero un peligro ya derrotado está de regreso. En reacción a la sangre derramada durante el día anterior, ¡la diosa malvada Eris revive! Mientras Aioria enfrenta a un enemigo que creían desaparecido, Mii se reencuentra con Emony de Malicia, quien desea venganza. Y Shoko, ¿querrá estar al lado de su hermana?|978-6-076-34404-0|1|false
Saint Seiya - Saintia Sho #7|7|7|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-07.jpg|192|119.0|MXN|2020-02-03|Mientras Eris acerca su templo al Santuario para destruirlo, Shoko se adentra en territorio enemigo para encontrar a la diosa malvada y tratar de salvar a su querida Kyoko. En eso, le sale al paso una enemiga inesperada: ¿una Shoko que desea ser la hermana perfecta de la diosa? Al mismo tiempo, Aioria descubre que la batalla contra el lado malvado de Saga es mucho más difícil de lo que esperaba.|978-6-076-34619-8|1|false
Saint Seiya - Saintia Sho #8|8|8|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-08.jpg|160|119.0|MXN|2020-06-10|"Shoko intenta convencer a Eris de que libere el alma de Athena. ¿Todavía quedará algo de Kyoko en su interior, o Shoko ya perdió por completo a su hermana? Katya y Elda suben a Star Hill en busca de ""algo"" que Athena necesita recuperar. ¡y acaban en un lugar inesperado y divino! ¿Y por qué todos los registros sobre las Saintias desaparecieron de la Biblioteca del Santuario?"|978-6-076-34754-6|1|false
Saint Seiya - Saintia Sho #9|9|9|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-09.jpg|160|119.0|MXN|2020-08-05|Calisto ha descubierto que Elda y Katya no son dignas de pedir ayuda a la diosa Artemisa, pero les dará una oportunidad para purificarse. ¿Podrá Elda superar el odio que siente por Máscara de Muerte? ¿Y cuál es la historia detrás del amor que Katya siente por Saga? Mientras tanto, Xiaoling, deseosa de ayudar a Athena, busca un fruto mítico. ¡y se reencuentra con alguien de su pasado!|978-6-076-34868-0|1|false
Saint Seiya - Saintia Sho #10|10|10|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-10.jpg|176|119.0|MXN|2020-10-14|Eris lanza un ataque con meteoritos contra el Santuario, pero cuando Athena intenta detenerla, la joven diosa descubre que está en presencia. ¿de Kyoko? Artemisa le presta a Katya su hagoromo y su kanzashi para ayudar a las Saintias en una lucha casi imposible. y más cuando Olivia confiesa quién es y cuál era su rol en el Santuario. ¡Ha llegado el momento de que Shoko y las demás inicien su propia batalla!|978-6-075-68058-3|1|false
Saint Seiya - Saintia Sho #11|11|11|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-11.jpg|160|119.0|MXN|2020-12-09|Las Saintias llegan al castillo interdimensional de Eris para rescatar a Athena. Pero no solo las esperan dríades que les tenderán trampas: Máscara de Muerte de Cáncer ha renacido como vasallo de la diosa malvada, ¡y las envía a la Colina de Yomotsu! ¿Podrá Elda enfrentar a aquel a quien tanto odia y evitar que sus compañeras caigan en el abismo de la muerte?|978-6-075-68147-4|1|false
Saint Seiya - Saintia Sho #12|12|12|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-12.jpg|160|129.0|MXN|2021-03-10|Las Saintias siguen su camino hacia el castillo de Eris, pero Phobos, sirviente de Ares, ¡las lleva al Cielo del Edén, les quita los kanzashi de Artemisa y las separa! Para recuperar su protección divina, Katya debe enfrentarse a Maria, su fallecida hermana menor. ¡ahora convertida en dríade de Eris! Mientras, Eris lanza un cometa que destruirá a la Tierra e inicia la batalla final entre Milo de Escorpio y Rigel de Orión.|978-6-075-68255-6|1|false
Saint Seiya - Saintia Sho #13|13|13|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-13.jpg|176|129.0|MXN|2021-05-12|En el Edén, Xiaoling se reencuentra con su amiga Yufa, quien ahora es una dríade que sirve a Eris. ¿Por qué le guarda tanto rencor a la Saintia de Osa Menor, si se separaron siendo buenas amigas? Además, durante su batalla contra Milo de Escorpio, Rigel recuerda por qué está dispuesto a morir por la diosa malvada, y Shoko se reencuentra con la dríade Atë. ¿y con Mayura de Pavo?|978-6-075-68386-7|1|false
Saint Seiya - Saintia Sho #14|14|14|/panini-manga-mx/saint-seiya-saintia-sho/saint-seiya-saintia-sho-14.jpg|192|129.0|MXN|2021-07-14|Shoko se enfrenta contra Atë de Ruina, mientras Aioria de Leo se encuentra con Hismina de Duelo, quien tiene un propósito distinto: ¡convencerlo de unirse a Eris y los suyos! En el Edén, Mii descubre que necesita pagar por un juramento que hizo, ¡y que rompió al consagrar su vida a Athena! Y por fin llega el momento que Eris tanto ha deseado: ¡el dios Ares está a punto de despertar!|978-6-075-68521-2|1|false
