NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Saint Seiya - The Lost Canvas Gaiden #1|1|1|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-01.jpg|200|99.0|MXN|2017-03-22|"Las crónicas de los caballeros dorados continúan. ""The Lost Canvas Gaiden"" es una serie que nos presenta, uno a uno a los caballeros dorados del zodiaco. El primer tomo es el turno de Albafica, caballero dorado de Piscis. Su camino es arduo y lleno de lucha a causa de la sangre venenosa que corre por sus venas. ¡¿Cómo termina la triste y sangrienta batalla en la que se ve envuelto?! ¡Se abre el telón de una batalla más de los valientes caballeros dorados que lucharon en la última Guerra Santa! ¡No te puedes perder esta increíble historia!"|978-6-075-28441-5|1|false
Saint Seiya - The Lost Canvas Gaiden #2|2|2|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-02.jpg|200|99.0|MXN|2017-04-26|"Las crónicas de los caballeros dorados continúan en el increíble manga ""Saint Seiya: The Lost Canvas Gaiden"". Un recuento, personaje por personaje, de las diversas batallas libradas por los 12 guerreros dorados del zodiaco. Esta vez es el turno de Kardia de Escorpión, quien en esta historia vive una aventura al lado de Sasha, la pequeña que sería la encarnación de Athena. Sigue esta estremecedora historia llena de sacrificio, honor y aventuras. Busca el tomo 2 con tu distribuidor favorito."|978-6-075-28496-5|1|false
Saint Seiya - The Lost Canvas Gaiden #3|3|3|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-03.jpg|200|99.0|MXN|2017-05-24|"La Guerra Santa entre Athena y Hades involucró a todos los caballeros dorados, cuyas crónicas son recogidas en la colección ""Saint Seiya: The Lost Canvas Gaiden"". En el tomo tres es el turno de Degel de Acuario. Una peligrosa tentación se le presenta a Degel cuando conoce a Garnet, la hermosa dama que controla a todos con su belleza, juventud eterna y bella voz. En la búsqueda de Krest, el legendario caballero que ha vivido por más de 500 años, Degel enfrentará una batalla que jamás creyó vivir. ¡No te la puedes perder!"|978-6-075-28511-5|1|false
Saint Seiya - The Lost Canvas Gaiden #4|4|4|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-04.jpg|192|99.0|MXN|2017-06-25|Hace más de 240 años se desarrolló una Guerra Santa entre Athena y Hades que decidiría el destino de la Tierra. Hay más registros sobre las feroces batallas que protagonizaron los doce valientes caballeros dorados. En este tomo conoce la historia de Manigoldo de Cáncer, quien fue enviado a someter a la organización criminal Nero, pero quien lo esperaba era un usuario de la Energía de Muerte! ¿logrará vencerlo? ¡Descúbrelo en el tomo 4 de Saint Seiya: The Lost Canvas Gaiden!|978-6-075-28549-8|1|false
Saint Seiya - The Lost Canvas Gaiden #5|5|5|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-05.jpg|184|99.0|MXN|2017-07-26|¡La ciudad de Catalania apareció de repente en medio del desierto! El Cid, caballero dorado de Capricornio, participa en el gran torneo que se lleva a cabo en el Coliseo de la ciudad con un objetivo oculto. Su intención no es solo ganar, sino completar una misión. ¡Descúbre cómo la espada en la que se convirtió está astillada y sus recuerdos de la infancia laten dentro de él! ¡Conoce las crónicas de El Cid, caballero dorado de Capricornio en el tomo 5 de Saint Seiya: The Lost Canvas Gaiden.|978-6-075-28581-8|1|false
Saint Seiya - The Lost Canvas Gaiden #6|6|6|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-06.jpg|192|99.0|MXN|2017-08-23|De entre los doce caballeros dorados que pelearon, es el turno de Dohko, el caballero dorado de Libra. Él yace sentado en los Cinco Picos, China, luego de haber sobrevivido a la Guerra Santa entre Athena y Hades, tiene la tarea de dar inicio a la nueva era. ¡Frente a él aparece un joven idéntico a Tenma, el caballero de Pegaso, que fue su fiel compañero en la Guerra Santa! ¡El tigre noble se vuelve a levantar por su tierra y por la nueva era!|978-6-075-28689-1|1|false
Saint Seiya - The Lost Canvas Gaiden #7|7|7|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-07.jpg|192|99.0|MXN|2017-09-27|Regulus, el caballero dorado de Leo, formó parte en las cruentas batallas libradas en la Guerra Santa entre hades y Athena. Su valor y arrojo eran legendarios, las historias que de él se cuentan son sorprendentes. En el tomo 7 de tu serie Saint Seiya: The Lost Canvas Gaiden acompaña a Regulus a enfrentar con valentía al dios Balor, que está dispuesto a todo con tal de proteger la vida de una personita especial. ¡No te pierdas esta misión de Leo!|978-6-075-28759-1|1|false
Saint Seiya - The Lost Canvas Gaiden #8|8|8|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-08.jpg|192|99.0|MXN|2017-10-25|Ahora toca la aventura a Asmita de Virgo. En el tomo 8 de Saint Seiya: The Lost Canvas Gaiden, una persona se percata de que el rió que recorre esta lleno de sangre e intenta escapar de allí lo mas rápido posible, pero antes de que lo logre aparecen unos espectros que le informan que están en el infierno... y en su ayuda aparece Asmita de Virgo quien vence a los espectros fácilmente mientras se revela que el hombre desconocido es Ahimsa, quien en su pasado Budista era conocido como El ladrón del Buda. Acompáñalos a vivir esta aventura. ¡Búscala ya!|978-6-075-28750-8|1|false
Saint Seiya - The Lost Canvas Gaiden #9|9|9|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-09.jpg|192|99.0|MXN|2017-11-22|Aldebarán de Tauro fue uno de los caballeros que cayeron en la Guerra Santa que se llevó a cabo hace más de 240 años entre Hades y Athena... Pero su discípulo, Teneo, siguiendo sus pasos decide resurgir como el Caballero dorado de Tauro y se lanza en una batalla en la que el destino de la Tierra está en juego. Si quieres conocer la hisotira del nacimiento de Aldebarán de Tauro, note pierdas el tomo 9 de Saint Seiya: The Lost Canvas Gaiden. Búscalo ya en tus puntos de distribución favoritos.|978-6-075-28743-0|1|false
Saint Seiya - The Lost Canvas Gaiden #10|10|10|/panini-manga-mx/saint-seiya-the-lost-canvas-gaiden/saint-seiya-the-lost-canvas-gaiden-10.jpg|192|139.0|MXN|2017-12-27|-|978-6-075-28773-7|1|false
