NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Saint Seiya - The Lost Canvas #1|1|1|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-01.jpg|192|99.0|MXN|2014-03-14|Saint Seiya The Lost Canvas es un manga creado bajo la colaboración de Masami Kurumada (creador del manga Saint Seiya) y Shiori Teshirogi. La historia se desarrolla antes del comienzo de la historia original -donde aparece Seiya y los demás-. Hades reencarna en el cuerpo de Alone, un niño huérfano que ama la pintura y quien resulta ser el hermano de sangre de la reencarnación de Athena, Sasha. A su vez, la reencarnación de Pegaso, Tenma, es su amigo de la infancia. Cuando el alma de Hades posee el cuerpo del joven, una nueva guerra santa comienza. ¡No te puedes perder esta saga!|9781401236762-00001|1|false
Saint Seiya - The Lost Canvas #2|2|2|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-02.jpg|192|99.0|MXN|2014-05-25|Tenma, el Caballero de Pegaso, viajó hasta su pueblo natal, donde Hades ha reencarnado. Lo acompañan los Caballeros Dorados Shion y Dohko. ¿Qué desventura les espera en ese lugar?¡Hades, el Rey del Inframundo, ha reencarnado!¡Comienza la lucha del destino de la Diosa Athena y del Caballero de Pegaso!|9781401236762-00002|1|false
Saint Seiya - The Lost Canvas #3|3|3|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-03.jpg|192|99.0|MXN|2014-07-07|Bajo las órdenes de Hades, Minos, uno de los tres jueces del infierno, se dirigía al Santuario con su tropa para atacarlo. ¡Pero en su camino se interpuso Alfabica, el caballero dorado de Piscis! ¡Comienza la batalla entre los guerreros!Albafica de Piscis, uno de los caballeros más poderosos: los dorados. He aquí su extrañamente bello ser ...|9781401236762-00003|1|false
Saint Seiya - The Lost Canvas #4|4|4|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-04.jpg|192|99.0|MXN|2014-07-30|Tenma y los otros se dirigían a lo profundo del inframundo para cumplir con su mission, cuando apareció ante ellos Asmita, el caballero dorado de Virgo. ¿Cuál es la verdadera intención de Asmita, quien dice tantas cosas en contra de Athena?Asmita, el caballero dorado de Virgo, está en constant búsqueda de la verdad. ¡Todos ven la divinidad en su cosmos!|9781401236762-00004|1|false
Saint Seiya - The Lost Canvas #5|5|5|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-05.jpg|192|99.0|MXN|2014-08-27|Kagaho de Bennu, de la estrella celeste de la violencia, cruza la barrera de Athena, sin intentes de ocultar su hostilidad. ¡Quien se enfrenta al guerrero mortal es Aldebarán, el caballero dorado de Tauro!|9781401236762-00005|1|false
Saint Seiya - The Lost Canvas #6|6|6|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-06.jpg|192|99.0|MXN|2014-09-17|¡Hades entró repentinamente al Santuario, sin compañía!|9781401236762-00006|1|false
Saint Seiya - The Lost Canvas #7|7|7|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-07.jpg|192|99.0|MXN|2014-10-15|Sintiéndose responsable por la muerte de Aldebarán, Tenma intenta alejarse del Santuario, pero Manigoldo de Cáncer lo detiene y lo encierra.|9781401236762-00007|1|false
Saint Seiya - The Lost Canvas #8|8|8|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-08.jpg|192|99.0|MXN|2014-11-13|"Manigoldo, el caballero dorado de Cáncer, se enfrenta con facilidad a Verónica, de la estrella celeste del estudio, quien debía cuidar el ""bosque de la muerte"". Sin embargo, ¡ese solo es el preludio de una peligrosa batalla contra Tanathos, el dios de la muerte!"|9781401236762-00008|1|false
Saint Seiya - The Lost Canvas #9|9|9|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-09.jpg|192|99.0|MXN|2014-12-19|Luego de que Tanathos fuera encerrado, Hypnos sale en busca de Pegaso. Al mismo tiempo, el Cid, el caballero dorado de Capricornio, quien exploraba el mundo del sueño de Hypnos, se encuentra cara a cara con los cuatro dioses de la familia del sueño.|978140123676209|1|false
Saint Seiya - The Lost Canvas #10|10|10|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-10.jpg|192|99.0|MXN|2015-01-09|El Cid, caballero dorado de Capricornio, lucha contra los dioses para liberar el alma de Sísifo, que quedó encerrada en el mundo de los sueños. A la vez, Tenma logra escapar de la prisión del sueño. ¡Ambos unen fuerzas y frente a ellos aparece Oneiros, quien gobierna dicho mundo...!|978140123676210|1|false
Saint Seiya - The Lost Canvas #11|11|11|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-11.jpg|192|99.0|MXN|2015-02-04|El mundo se llena de muerte y de silencio. Las fuerzas de Athena avanzan hacia el castillo de Hades. Hakurei, maestro de Jamir, entra solo al castillo, donde se encuentra al dios Hypnos...|978140123676211|1|false
Saint Seiya - The Lost Canvas #12|12|12|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-12.jpg|200|99.0|MXN|2015-03-11|Hades trae muerte al mundo...|978140123676212|1|false
Saint Seiya - The Lost Canvas #13|13|13|/panini-manga-mx/saint-seiya-the-lost-canvas/saint-seiya-the-lost-canvas-13.jpg|192|99.0|MXN|2015-04-01|Para poder invadir el Lienzo Perdido que creó Hades, se necesita Oricalco, el legado de Poseidón. La lucha por obtenerlo será de las más feroces: Kardia de escorpio se enfrenta a Radamanthys, uno de los jueces del infierno, y Degel de Acuario pelea contra Unity, su viejo amigo en Bluegrad. El resultado de esta batalla es sorprendente y trágico, pero logran enviar el Oricalco para Athena, quien está restaurando el Navío de la Esperanza. ¿Llegará el Oricalco a su destino? ¿Qué peligros enfrentarán ahora?|978140123676213|1|false
