NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Saint Seiya #1|1|1||192|149.0|MXN|2018-08-15|“En Grecia, durante la era mitológica, El héroe Perseo decapitó al monstruo Medusa, y se dice que de la sangre resultante nació un pegaso con las alas más hermosas. Ese pegaso voló hacia el cielo y se convirtió en una constelación.” Así es como inicia uno de los clásicos de la historia del manga: ¡Saint Seiya! Panini México se complace en traerte este original de Masami Kurumada que ha alcanzado fama internacional y de la que se han derivado spin-offs, videojuegos, figuras de acción y mucho más! ¡No te pierdas este gran clásico que regresa a México después de casi 15 años!|978-6-075-48236-1|1|false
Saint Seiya #2|2|2||200|149.0|MXN|2018-09-19|¡El Torneo Galáctico continúa con una emocionante pelea: Shiryu de Dragón vs. Seiya de Pegaso! Contrario a lo que aparentaba, Seiya ha resultado ser un oponente formidable, pero Shiryu aún tiene un as bajo la manga. Sin embargo, una sombra maligna rodea el recinto y pone en peligro el Torneo.|978-6-075-48308-5|1|false
Saint Seiya #3|3|3||200|149.0|MXN|2018-10-17|La búsqueda de las piezas robadas de la armadura robada continúa. Seiya espera pacientemente a Shiryu y su armadura, pero lo espera una desagradable sorpresa... ¿o no? ¿Qué le sucede a Ikki y por qué está tan lleno de odio? ¡No te pierdas este volumen y descúbrelo!|978-6-075-48398-6|1|false
Saint Seiya #4|4|4||228|149.0|MXN|2018-11-14|Luego de que Hyoga le regresara a Ikki su propio Genmaken, los recuerdos de su pasado y la muerte de Esmeralda inundan la mente de Fénix. Pese a todo, Ikki regresa de su técnica y está determinado a terminar la batalla contra Seiya. Sin embargo, la aparición de un poderoso enemigo cambia el rumbo de las cosas.|978-6-075-48444-0|1|false
Saint Seiya #5|5|5||232|149.0|MXN|2018-12-12|Seiya se enfrenta a los caballeros de plata enviados para exterminarlo y recuperar la armadura dorada, pero Marin acude a su auxilio. Luego, Saori les explica la verdad sobre su origen, pero es secuestrada. ¿Lograrán salvarla?|978-6-075-48522-5|1|false
Saint Seiya #6|6|6||192|149.0|MXN|2019-01-23|¡Un convaleciente Seiya recibe la visita inesperada de Aioria, el caballero dorado de Leo! El encuentro es complicado para ambas partes hasta que Athena aparece y Aioria conoce la verdad sobre su hermano. Al partir hacia el Santuario, las cosas no resultan como esperaba.|978-6-075-48554-6|1|false
Saint Seiya #7|7|7||228|149.0|MXN|2019-02-27|Después de pasar sin mayores dificultades por las casas de Aries y Tauro, Seiya y los demás llegan al Templo de Géminis. Desde el primer instante, sienten un extraño cosmos y solo corren en círculos una y otra vez, así que deciden dividirse. ¿Lograrán salir de este laberinto?|978-6-075-48747-2|1|false
Saint Seiya #8|8|8||230|149.0|MXN|2019-03-20|La pelea en la Casa de Virgo se torna tensa cuando Ikki reaparece trinfante... pero Shaka, el hombre más cercano a la divinidad, es un oponente formidable y no será fácil pasar sobre él. En tanto, los otros caballeros de bronce siguen su camino rumbo al Patriarca y los obstáculos cada vez son más feroces.|978-6-075-48803-5|1|false
Saint Seiya #9|9|9||230|149.0|MXN|2019-04-24|Shiryu y Shura se enfrentan a muerte en la Casa de Capricornio, pero en el último instante ocurre un milagro. ¿Será suficiente para que Shiryu obtenga la victoria? Mientras, Seiya, Shun y Hyoga llegan a la Casa de Acuario, y pronto se desatará una batalla entre maestro y alumno. ¿Te la piensas perder?|978-6-075-48872-1|1|false
Saint Seiya #10|10|10||230|149.0|MXN|2019-05-22|Luego de que Shun mostrara su inmenso poder a Afrodita de Piscis, Seiya encara al Patriarca, quien oculta un misterio debajo de esa máscara. Su identidad se revela y resulta ser un viejo conocido de los Caballeros Doraados de las Doce Casas. Seiya hace arder su cosmos al máximo con apoyo de sus amigos... ¿será suficiente para salvar a Saori?|978-6-075-48961-2|1|false
