NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Seraph of the End #1|1|1|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-01.jpg|192|99.0|MXN|2017-11-01|Un desconocido virus azota la humanidad y los niños son los únicos sobrevivientes. Yuichiro Hyakuya y sus amigos quedan atrapados en el mundo subterráneo de los vampiros, quienes ahora controlan el mundo. Yuichiro y los demás intentan escapar, sin embargo, solo él huye hasta la superficie, donde queda maravillado con el nuevo mundo que ahí se yergue. No te pierdas el inicio de esta oscura historia que Takaya Kagami, Yamato Yamamoto y Daisuke Furuya traen para tu deleite.|978-6-075-28711-9|1|false
Seraph of the End #2|2|2|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-02.jpg|200|99.0|MXN|2018-02-07|Por fin, Yuichiro se convierte en estudiante del Escuadrón de la Luna Demoniaca. Sin embargo, se topa con Kimizuki, un chico problema que asiste a la misma clase que él. Ambos pelean por hacerse de las armas malditas del más alto nivel, ¡¿podrán con el desafío?! Por otra parte, Mika, quien se suponía muerto, ha crecido ¡y se muestra con otra forma!|000-0000000000|1|false
Seraph of the End #3|3|3|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-03.jpg|200|99.0|MXN|2018-04-04|Un nuevo integrante se suma al escuadrón: la tempestuosa Mitsuba. Yuichiro finalmente se ha integrado en la División Exterminadora de Vampiros. ¡El escuadrón por fin sale de Shibuya! Sin embargo, Yuichiro actúa por su cuenta en la primera batalla real del escuadrón, poniendo en peligro la vida de sus compañeros. El escuadrón finalmente entra en combate con los vampiros, quienes mantienen sitiada la ciudad de Shinjuku. ¡¿Mostrarán los vampiros toda su fuerza?!|000-0000000000|1|false
Seraph of the End #4|4|4|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-04.jpg|200|99.0|MXN|2018-06-06|Yuichiro sigue combatiendo a los vampiros pero un ataque lo reune con Mika, un amiga suya de la infancia, pero ella se encuentra del lado opositor. Mika le propone que huyan juntos pero la fidelidad de Yuichiro hacia sus nuevos amigos se lo impide. Poco después todo cambia cuando Yuichiro sufre una impactante transformación.|000-0000000000|1|false
Seraph of the End #5|5|5|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-05.jpg|192|99.0|MXN|2018-08-01|En el caos de la batalla por liberar a la ciudad de Shinjuku de los vampiros, Yuichiro despliega un violento poder secreto que no recordaba que poseía. El entrenamiento para controlar a Asumaru permitirá a Yuichiro enfrentar y, eventualmente, derrotar al ejército de los vampiros, aunque salvar a Mikaela es ahora una misión que lo guiará a lo largo de vehementes encuentros con sus enemigos más poderosos.|9786075483009|1|false
Seraph of the End #6|6|6|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-06.jpg|200|99.0|MXN|2018-10-03|Los descubrimientos personales de Yuichiro superan en importancia lo que todos imaginan mientras vive la intensidad del entrenamiento para manejar a Asuramaru. El feroz encuentro entre humanos y vampiros está cada vez más cerca y la preparación de ambos bandos supera lo esperado. Los poderes de cada agrupación se medirán en un campo de batalla nunca antes visto en la serie.|9786075484419|1|false
Seraph of the End #7|7|7|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-07.jpg|200|99.0|MXN|2018-12-05|Se ha dado la orden de que todos los escuadrones se reúnan para atacar Nagoya. El escuadrón de Yuichiro debe reunirse con las otras divisiones. ¿Qué ocurrirá cuando los nervios, el deseo de luchar y el no tomar las cosas en serio enfrente al grupo con los otros, en especial con Guren? ¡Se aproxima una gran batalla!|9786075485232|1|false
Seraph of the End #8|8|8|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-08.jpg|200|99.0|MXN|2019-02-06|¡Inicia la batalla de Nagoya! Mientras el grupo de Yuichiro se enfrenta a su Noble Vampiro, el equipo de Guren encuentra sus propios problemas. y lo que podría representar una trampa. Mientras tanto, Mika solo tiene un objetivo: reencontrarse con Yuichiro, ¡cueste lo que cueste!|000-0000000000|1|false
Seraph of the End #9|9|9|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-09.jpg|176|99.0|MXN|2019-04-03|Cuando el ataque al Noble Vampiro Crowley no sale como se esperaba y Guren cae prisionero, Yuichiro toma una decisión que lo llevará ante Asura y podría costarle la vida... ¿o su alma? Además, este número incluye una historia sobre la infancia de Yu después de que Guren lo llevó consigo.|9786075488356|1|false
Seraph of the End #10|10|10|/panini-manga-mx/seraph-of-the-end/seraph-of-the-end-10.jpg|192|99.0|MXN|2019-06-05|"Con Guren capturado y Yuichiro exhausto e incapaz de ayudar, ¿qué más podría ocurrir? ¿Quizá que Mika reaparezca, dispuesto a enfrentar al Escuadrón de la Luna Demoniaca con tal de rescatar a su ""familia""? La decisión final queda en manos de Shinoa. ¡Se acerca el final de la Batalla de Nagoya!"|978-6-075-48990-2|1|false
