NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Shaman King #1|1|1|/panini-manga-mx/shaman-king/shaman-king-01.jpg|392|199.0|MXN|2020-10-28|Manta Oyamada es un chico normal que a veces ve fantasmas. Lleva una vida anodina hasta que conoce a Yoh Asakura, quien dice ser un chamán.|978-6-075-68038-5|1|false
Shaman King #2|2|2|/panini-manga-mx/shaman-king/shaman-king-02.jpg|200|199.0|MXN|2020-11-25|Mientras Ryu, con su espada de madera, y sus amigos siguen en busca de su lugar favorito, se encuentran con un boliche abandonado. Allí los espera un espíritu rencoroso, lleno de un odio que ha cultivado durante 600 años y que pondrá en peligro a Yoh, Manta, Ryu y hasta al mismo Amidamaru.|978-6-075-68050-7|1|false
Shaman King #3|3|3|/panini-manga-mx/shaman-king/shaman-king-03.jpg|376|199.0|MXN|2021-01-27|Continúa la pelea entre chamanes. Luego de un duro enfrentamiento contra Horo Horo, Yoh tiene que enfrentarse a su segundo rival: Fausto VIII. Tras soportar el poder del invierno de Koloro, ahora Yoh se ve enfrentado a un médico alemán bastante particular que utiliza la necromancia. Pero hay algo con lo que Yoh no contaba: ¡Manta está en peligro!|978-6-075-68077-4|1|false
Shaman King #4|4|4|/panini-manga-mx/shaman-king/shaman-king-04.jpg|384|199.0|MXN|2021-02-24|Tras su entrenamiento en Izumo, Yoh logra dominar una posesión de objetos más poderosa... ¡Y Amidamaru puede hablar! Yoh debe enfrentarse a Ren, dueño de una posesión de objetos con fulgor dorado, en el tercer enfrentamiento de la pelea entre chamanes. ¿¡Qué pasará en esta lucha!?|978-6-075-68214-3|1|false
Shaman King #5|5|5|/panini-manga-mx/shaman-king/shaman-king-05.jpg|400|199.0|MXN|2021-03-24|Tras una larga lucha, Yoh y sus amigos inician un merecido descanso hasta el comienzo de la siguiente fase. Sin embargo, la tranquilidad se acaba muy pronto, ya que Yoh se ve amenazado por varios enemigos. Detrás de todos los ataques hay una misma persona: Hao. ¿¡Pero quién es Hao!?|978-6-075-68246-4|1|false
Shaman King #6|6|6|/panini-manga-mx/shaman-king/shaman-king-06.jpg|368|199.0|MXN|2021-04-28|"Lyserg, un chamán zahorí, busca a Hao para vengar la muerte de sus padres. Yoh y los demás lo aceptan como compañero y juntos continúan su búsqueda de la aldea de los apaches. Por otro lado, en Izumo, el abuelo de Yoh le revela a Anna la identidad de Hao. ¿¡Quién es realmente ese ""futuro rey"" Hao...!?"|978-6-075-68353-9|1|false
Shaman King #7|7|7|/panini-manga-mx/shaman-king/shaman-king-07.jpg|384|199.0|MXN|2021-05-26|Por fin el grupo de Yoh llegó al pueblo de los apaches. Allí se encuentran con el origen de todos los espíritus de la tierra, el Gran Espíritu, y son testigos de cómo se realizan los preparativos para el torneo definitivo, en el que los participantes deberán dividirse en grupos compuestos por tres miembros. ¿Qué harán Yoh y los demás para formar los equipos...?|978-6-075-68405-5|1|false
Shaman King #8|8|8|/panini-manga-mx/shaman-king/shaman-king-08.jpg|384|199.0|MXN|2021-06-30|Ya es el turno del equipo liderado por Yoh: Aguas Termales Funbari. Combatirán contra los Ice Men, cuyo ataque combinado demuestra su compenetración y fuerza. Pero de nada sirve preocuparse, ya que el equipo de Yoh ha mejorado enormemente gracias a la gran Bitácora Mágica. ¿¡Qué rumbo tomará la batalla.!?|978-6-075-68455-0|1|false
Shaman King #9|9|9|/panini-manga-mx/shaman-king/shaman-king-09.jpg|284|199.0|MXN|2021-07-28|Después de llegar hasta donde Ren, comienza la lucha final en la casa de los Tao. Jun Tao decide apoyar a su hermano, mientras Yoh y sus amigos se enfrentan a la cabeza de los Tao: En Tao. pero detrás de la estricta y enorme figura del padre de Ren se esconden muchos secretos, dentro de ellos el origen de la sed de venganza de la familia Tao. ¿Podrán Yoh y sus amigos derrotar siglos de rencor?|978-6-075-68519-9|1|false
Shaman King #10|10|10|/panini-manga-mx/shaman-king/shaman-king-10.jpg|384|199.0|MXN|2021-08-25|Luego de un corto y agitado descanso, continúa la pelea entre chamanes, el ritual que se lleva a cabo cada 500 años para nombrar al siguiente Shaman King: el rey de los chamanes. Yoh y sus amigos afrontan el reto de encontrar, por sus propios medios, la aldea de los Apaches, una aldea escondida en el basto territorio de Estados Unidos. En esta travesía se encontrarán con Lililala y vivirán en carne propia el sangriento pasado de su tribu que se conecta con la actual pelea entre chamanes por una persona en común: el misterioso y sanguinario Hao.|978-6-075-68606-6|1|false
