NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Slam Dunk #1|1|1|/panini-manga-mx/slam-dunk/slam-dunk-01.jpg|200|129.0|MXN|2019-02-12|Comienza la historia de Hanamichi Sakuragi, un joven que fue rechazado por 50 chicas en sus días de secundaria y quien, tras ingresar en la preparatoria, se enamora de Haruko Akagi, una bella y jovial estudiante que le devuelve el brillo a su vida y le muestra las maravillas del deporte ráfaga; no obstante, está enamorada de Rukawa, el novato estrella del equipo de basquetbol, quien rápidamente se gana el odio de Hanamichi. Por otro lado, aunque este tiene talento natural para el deporte, se encuentra con dificultades que le hacen reconsiderar su ingreso en el equipo. ¿Será que solo se trataba de un medio para ganar el amor de Haruko. o en realidad hay un verdadero basquetbolista esperando aflorar en su interior?|978-6-075-48731-1|1|false
Slam Dunk #2|2|2|/panini-manga-mx/slam-dunk/slam-dunk-02.jpg|192|129.0|MXN|2019-04-17|Aota, el capitán del equipo de judo, considera que Hanamichi tiene un gran potencial para las artes marciales, así que decide reclutarlo, sin importar si debe usar medios sucios y violentos. Por si fuera poco, el camino del Hombre Básquetbol se complicará aun más porque no es capaz de dominar el tiro más elemental; obstante, ¡Haruko está dispuesta a ayudarlo en su camino hacia la cima del deporte ráfaga!|978-6-075-48856-1|1|false
Slam Dunk #3|3|3|/panini-manga-mx/slam-dunk/slam-dunk-03.jpg|235|129.0|MXN|2019-06-19|Shohoku jugará un partido de práctica contra Ryonan, uno de los equipos más fuertes del estado, cuyo capitán es Uozumi, viejo rival de Akagi. Una vez en el juego, Sendoh, el as de Ryonan, demuestra sus grandes habilidades y Shohoku apenas resiste gracias al esfuerzo de Rukawa y Akagi; entonces, cuando el final del partido se acerca, ¡el entrenador Anzai decide meter a jugar a Sakuragi, el arma secreta del equipo, quien declaró que derrotará a Sendoh!|978-6-076-34023-3|1|false
Slam Dunk #4|4|4|/panini-manga-mx/slam-dunk/slam-dunk-04.jpg|240|129.0|MXN|2019-08-21|¡El prodigioso Sakuragi finalmente se une al juego! Y, aunque al principio es un desastre por culpa de los nervios, gradualmente muestra su sólido potencial y sorprende a propios y extraños. pero no será suficiente ante la tremenda habilidad de Sendoh, quien pone a Shohoku en graves dificultades. Tras el regreso de Akagi, Hanamichi cobrará nuevos bríos y hará lo impensable -¡incluso aliarse con Rukawa!- para reducir la breve diferencia de puntos durante los pocos minutos que restan del partido.|978-6-076-34192-6|1|false
Slam Dunk #5|5|5|/panini-manga-mx/slam-dunk/slam-dunk-05.jpg|242|129.0|MXN|2019-10-23|¡El Hombre Basquetbol al fin anota sus primeros puntos a pocos segundos de que finalice el partido contra Ryonan! Y el marcador final es inesperado. Posteriormente, seremos testigos de la llegada de Ryota Miyagi, otro buscapleitos que posee gran aptitud para el basquetbol. Aunque al principio tiene problemas con Hanamichi debido a un malentendido, pronto descubren que tienen mucho en común y deciden fortalecer el equipo de Shohoku. pero no se imaginan que un grave peligro se cierne sobre ellos.|978-6-076-34257-2|1|false
Slam Dunk #6|6|6|/panini-manga-mx/slam-dunk/slam-dunk-06.jpg|232|129.0|MXN|2019-12-25|El club de basquetbol se encuentra en grave peligro: un grupo de delincuentes dirigido por un tal Mitsui irrumpe en el gimnasio con intención de golpear a todos los integrantes; ante esta amenaza, y aun a riesgo de que el equipo sea severamente sancionado, Sakuragi y Rukawa deciden plantarles cara. La pelea se torna tan violenta que los amigos de Hanamichi se involucran y, poco después, Kogure se acerca a un maltrecho Mitsui para hacerlo entrar en razón. Al parecer ya se conocían.|978-6-076-34257-2|1|false
Slam Dunk #7|7|7|/panini-manga-mx/slam-dunk/slam-dunk-07.jpg|232|139.0|MXN|2020-02-19|Finalmente se revela el motivo de que Mitsui, antiguo as del basquetbol, decidiera abandonar el equipo. pero su respeto hacia el entrenador Anzai no cambió.|978-6-076-34622-8|1|false
Slam Dunk #8|8|8|/panini-manga-mx/slam-dunk/slam-dunk-08.jpg|232|139.0|MXN|2020-06-24|Tras una serie de victorias, Shohoku debe disputar un partido contra Shoyo, el segundo equipo más fuerte de Kanagawa, y para ello cuentan con la presencia de Hanamichi desde el inicio del encuentro. sin embargo, los enormes y hábiles adversarios ponen a Akagi y compañía en serias dificultades, y si bien comienzan a remontar en el segundo tiempo, el ingreso de Fujima, entrenador y as de Shoyo, complica la situación.|978-6-076-34755-3|1|false
Slam Dunk #9|9|9|/panini-manga-mx/slam-dunk/slam-dunk-09.jpg|232|139.0|MXN|2020-08-26|La ventaja de Shohoku se hace añicos tras el ingreso de Fujima, pues las excelentes jugadas y el liderazgo del as de Shoyo aumentan drásticamente el nivel de su equipo. Por si fuera poco, Mitsui se siente agotado y, tras cometer su cuarta falta, Sakuragi teme que lo expulsen. No obstante, la pasión de Akagi será determinante en esta situación desesperada. ¿Qué equipo ganará el derecho de enfrentarse a Kainan?|978-6-076-34866-6|1|false
Slam Dunk #10|10|10|/panini-manga-mx/slam-dunk/slam-dunk-10.jpg|232|139.0|MXN|2020-10-28|Hanamichi toma por sorpresa a Kainan gracias a sus tremendas habilidades deportivas, así que el capitán Maki decide enfrentarlo. sin embargo, el entrenador Takato usa un arma secreta para contraatacar. Poco después, Akagi sufre un severo accidente y se ve obligado a abandonar la cancha; Shohoku se encuentra en serias dificultades, pero aún cuenta con Sakuragi y Rukawa.|978-6-075-68059-0|1|false
