NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Sora no Otoshimono #1|1|1|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-01.jpg|196|109.0|MXN|2017-03-09|Mi nombre es Tomoki Sakurai.|978-6-075-28415-6|1|false
Sora no Otoshimono #2|2|2|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-02.jpg|212|109.0|MXN|2017-04-12|"Me llamo Tomoki Sakurai. Mi lema es: ""La tranquilidad es primero"", pero desde que conocí a Ikaros mi vida tranquila cambió por completo... Explotarán calzones, habrá disparos en un festival y seré el conejillo de indias en un experimento de vuelo. ¡¿Qué rayos está sucediendo?!"|978-6-075-28484-2|1|false
Sora no Otoshimono #3|3|3|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-03.jpg|204|109.0|MXN|2017-05-10|Me llamo Tomoki Sakurai. Fui a los baños termales de mujeres del Nuevo Continente.|978-6-075-28513-9|1|false
Sora no Otoshimono #4|4|4|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-04.jpg|196|109.0|MXN|2017-06-14|"Me llamo Tomoki Sakurai. Soy el chico que se transformó en el piso del vestidor para mujeres con la finalidad de disfrutar mejor el ""panorama"" y experimentar la placentera sensación de ser pisoteado. Sin embargo, algo me ocurrió en el club de natación."|978-6-075-28554-2|1|false
Sora no Otoshimono #5|5|5|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-05.jpg|196|109.0|MXN|2017-07-12|"Me llamo Tomoki Sakurai. ¡El festival de verano regresó y participaré en una competencia de lucha bajo el nombre de ""Masked Panties""! ¡Utilizaré mis técnicas de acoso sexual para enfrentar a mis enemigos!"|978-6-075-28584-9|1|false
Sora no Otoshimono #6|6|6|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-06.jpg|196|109.0|MXN|2017-08-09|Me llamo Tomoki Sakurai. ¡¿Acaso la presidenta tiene como propósito de vida destruir la paz que ha reinado por mucho tiempo en esta escuela?! Ahora mi corazón arde por una pelea de nieve entre el equipo varonil y el equipo femenil. El premio para los ganadores será hacer lo que quieran con los perdedores; y yo, como líder del equipo varonil, interrogaré a la prisionera prometida...|978-6-075-28604-4|1|false
Sora no Otoshimono #7|7|7|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-07.jpg|196|109.0|MXN|2017-09-13|Me llamo Tomoki Sakurai. Viene a una piscina para descansar, pero hay chicas semidesnudas pasando frente a todos y ¡no me puedo resistir! ¡Hay grandes pechos ardientes y muchos traseros! ¡¿Es el paraíso?!|978-6-075-28685-3|1|false
Sora no Otoshimono #8|8|8|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-08.jpg|196|109.0|MXN|2017-10-11|"Aaay... Me llamo Tomoko. En realidad soy hombre, pero con un artefacto de ensueño me transformé en chica. Mi objetivo es... ¡el ""jardín secreto""! Esa tierra celestial prohibida para los hombres. Que comience la inmersión."|978-6-075-28757-7|1|false
Sora no Otoshimono #9|9|9|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-09.jpg|192|109.0|MXN|2017-11-08|Me llamo Tomoki Sakurai. ¡Una chica hermosa llamada Hiyori Kazzane vino para inscribirse al Club del Nuevo Continente! Aunque, si se inscribe, tendré que asistir diario a las sesiones del club. ¡Ya sé! ¡Le haré unos exámenes de admisión! Sí... ¿Tendrá la pureza suficiente para armar unos calzones blancos? Pero... ¿quién es esta chica? Me está gustando poco a poco...|978-6-075-28755-3|1|false
Sora no Otoshimono #10|10|10|/panini-manga-mx/sora-no-otoshimono/sora-no-otoshimono-10.jpg|196|109.0|MXN|2017-12-13|"Me llamo Tomoki Sakurai. Cada que le digo algo a Nymph me responde: ""¿Es una orden?"". Incluso Ikaros está actuando rara... ¡Qué molestas! Justo cuando pensaba en qué hacer con ellas, Sugata-sempai me dijo que, para entender los sentimientos de aquellas a las que les doy órdenes. ¡Así que hice equipo con Astraea para obedecerlo! Pero nuestro reto es... ¡El restaurante de la presidente Mikako Satsukitane!"|978-6-075-28777-5|1|false
