NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Soul Eater #1|1|1|/panini-manga-mx/soul-eater/soul-eater-01.jpg|200|99.0|MXN|2017-10-18|En Death City, muertos vivientes, brujas y extraordinarias batallas te asombrarán. Shinigamisama es líder de Shibusen, la escuela para técnicos y armas de Shinigami.|978-6-075-28709-6|1|false
Soul Eater #2|2|2|/panini-manga-mx/soul-eater/soul-eater-02.jpg|192|99.0|MXN|2017-11-15|Los técnicos de guadaña Soul Evans, Black✡Star, Maka Albarn y Tsubaki deben tomar clases de regularización en Shibusen por orden de Shinigamisama.|978-6-075-28742-3|1|false
Soul Eater #3|3|3|/panini-manga-mx/soul-eater/soul-eater-03.jpg|200|99.0|MXN|2017-12-20|Soul resultó herido después de la prueba en la clase de regularización y sigue convaleciente. Mientras tanto, Maka se siente culpable por el estado de su compañero. Incluso para Black✡Star las cosas tampoco son fáciles, pues ha entrado en una especie de rivalidad con Death the Kid obsesionados por la espada sagrada de Excalibur. Black✡Star y Death the Kid creen ser dignos contendientes para blandir la legendaria espada. Pero no todo está en calma, Black✡Star y Tsubaki deben combatir contra la espada maldita…|978-6-075-28781-2|1|false
Soul Eater #4|4|4|/panini-manga-mx/soul-eater/soul-eater-04.jpg|208|99.0|MXN|2018-01-17|Técnicos y armas asisten a una clase extra a cargo del Doctor Stein. Maka desea volverse más fuerte debido al ataque de la espada demoniaca, del que tanto ella como Soul no salieron bien librados. Pero no solo el Doctor Stein está al tanto de la suerte de estos jóvenes estudiantes, también Medusa, la actual doctora de Shibusen, parece interesarse de manera exagerada…|978-6-075-28842-0|1|false
Soul Eater #5|5|5|/panini-manga-mx/soul-eater/soul-eater-05.jpg|192|99.0|MXN|2018-02-21|Todos están preparándose para la celebración de la víspera del aniversario de la fundación de la Academia especializada para técnicos y armas de Shinigami. Desde luego que Shinigamisama debe dar un discurso, pero Death te Kid, dudando de la credibilidad de su propio padre, decide improvisar uno propio. La bruja Medusa continúa el plan de tender una trampa para Maka y Soul, haciéndolos dudar uno del otro como si su problema de sincronización no fuera suficiente. Mientras tanto, unos intrusos llegan a Death City con ánimo de destrucción.|978-6-075-28909-0|1|false
Soul Eater #6|6|6|/panini-manga-mx/soul-eater/soul-eater-06.jpg|192|99.0|MXN|2018-03-21|¡La batalla en contra de Medusa y sus secuaces continúa! Kid, Maka y Soul siguen luchando para evitar que sea despertada la maligna criatura que Shinigamisama resguarda debajo de Shibusen. Pero Maka sufrirá una transformación inesperada: ¡será dominada por una fuerza similar a la que domina el alma de Crona! Deberá aprovechar ese momento para acercarse a Crona; mientras que Kid y Black✡Star enfrentarán las trampas del kishin… ¿Podrán hacerle frente a tanta locura?|978-6-075-28996-0|1|false
Soul Eater #7|7|7|/panini-manga-mx/soul-eater/soul-eater-07.jpg|200|99.0|MXN|2018-04-18|El kishin Ashura despertó de su letargo y Shinigamisama ha decidido reunir a las ocho Death Scythes para contraatacar esta amenaza. Al parecer no todas las armas están disponibles… ¿Logrará reunir a todos sus aliados para contener las fuerzas del kishin primigenio? Pero el asunto se complica cuando el Doctor Stein comienza a actuar más extraño de lo normal: ¡al parecer la locura de Ashura es contagiosa! ¿Se propagará despertando a otras criaturas malignas?|978-6-075-48034-3|1|false
Soul Eater #8|8|8|/panini-manga-mx/soul-eater/soul-eater-08.jpg|184|99.0|MXN|2018-05-23|Después de la resurrección del Demonio primigenio, Soul, Maka, Black✡Star y sus amigos recibirán instrucciones para combatir a las fuerzas demoniacas con la inminente aparición de la bruja Aracne, quien lidera la organización Arachnophobia. La batalla apenas comienza y Shinigamisama deberá planear una estrategia para evitar a toda costa un ataque. Mientras tanto, la astuta Medusa se reunirá la bruja Aracne… ¿Qué tramará?|978-6-075-48147-0|1|false
Soul Eater #9|9|9|/panini-manga-mx/soul-eater/soul-eater-09.jpg|200|99.0|MXN|2018-06-20|Medusa continúa con su plan para corromper al Doctor Stein a través de Crona, quien se encuentra en total confusión: desea que Medusa reconozca su valor, y muy, muy en el fondo no quiere traicionar a sus nuevos amigos. Además, la organización Arachnophobia ya ha hecho su aparición y planea encontrar a Brew, la herramienta demoniaca, para sus fines malignos… Pero no solo Arachne está detrás de esta arma, también Shibusen. Se acerca un épico encuentro. ¿Qué pasará?|978-6-075-48189-0|1|false
Soul Eater #10|10|10|/panini-manga-mx/soul-eater/soul-eater-10.jpg|184|99.0|MXN|2018-07-18|La paz llegó momentaneamente para los estudiantes de Shibusen al derrotar por fin a Medusa, o al menos eso es lo que ellos creen... Brew parece que pasó a manos de Medusa, quien sigue viva y planeando una forma de vengarse. Pero Shinigamisama decide poner en marcha un plan para saber la verdad de lo sucedido con Brew... ¡Averigua todos los detalles de esta alucinante y oscura historia en el tomo #10 de Soul Eater!|978-6-075-48253-8|1|false
