NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Star Wars Manga #1|1|1|/panini-manga-mx/star-wars-manga/star-wars-manga-01.jpg|192|69.0|MXN|2017-12-20|La princesa leia confía los planos de la estrella de la muerte en el fiel droide R2-D2,quien escapa rumbo a tatooine .Ahi la vida del granjero Luke Skywalker esta por cambiar,cuando empiece el camino para convertirse en un caballero jedi...|978-6-075-28813-0|1|false
Star Wars Manga #2|2|2|/panini-manga-mx/star-wars-manga/star-wars-manga-02.jpg|192|69.0|MXN|2018-01-17|-|978-6-075-28841-3|1|false
Star Wars Manga #3|3|3|/panini-manga-mx/star-wars-manga/star-wars-manga-03.jpg|192|69.0|MXN|2018-02-14|-|978-6-075-28907-6|1|false
Star Wars Manga #4|4|4|/panini-manga-mx/star-wars-manga/star-wars-manga-04.jpg|192|69.0|MXN|2018-03-07|-|978-6-075-28993-9|1|false
Star Wars Manga #5|5|5|/panini-manga-mx/star-wars-manga/star-wars-manga-05.jpg|192|69.0|MXN|2018-07-18|-|000-0000000000|1|false
Star Wars Manga #6|6|6|/panini-manga-mx/star-wars-manga/star-wars-manga-06.jpg|192|69.0|MXN|2018-08-29|Han Solo comanda el Halcón Milenario y, junto con su tripulación escapa de Darth Vader y las fuerzas de élite del Imperio al internarse en un campo de asteroides. Mientras tanto, Luke empieza a ser instruido por Yoda, un Maestro Jedi que se muestra renuente a tomarlo como aprendiz hasta que Obi-Wan interviene. Luke Skywalker es el único que puede hacer frente al Imperio y Yoda está consciente de eso.|9786075484327|1|false
Star Wars Manga #7|7|7|/panini-manga-mx/star-wars-manga/star-wars-manga-07.jpg|192|69.0|MXN|2018-09-19|-|000-0000000000|1|false
Star Wars Manga #8|8|8|/panini-manga-mx/star-wars-manga/star-wars-manga-08.jpg|192|69.0|MXN|2018-10-03|El Imperio hace prisioneros a la Princesa Leia, Chewbacca, C-3PO y R2-D2 cuando se encuentran en Bespin, donde Han permanece congelado en carbonita. Sin saber que es una trampa, Luke consigue entrar en la estación para rescatar a sus amigos y Darth Vader se enfrenta al joven Jedi y le revela secretos impactantes. ¡No te pierdas el desenlace de esta increíble adaptación al manga de El Imperio Contraataca!|9786075485300|1|false
Star Wars Manga #9|9|9|/panini-manga-mx/star-wars-manga/star-wars-manga-09.jpg|192|69.0|MXN|2019-01-09|-|000-0000000000|1|false
Star Wars Manga #10|10|10|/panini-manga-mx/star-wars-manga/star-wars-manga-10.jpg|192|69.0|MXN|2019-02-06|-|000-0000000000|1|false
Star Wars Manga #11|11|11|/panini-manga-mx/star-wars-manga/star-wars-manga-11.jpg|192|69.0|MXN|2019-03-06|-|000-0000000000|1|false
Star Wars Manga #12|12|12|/panini-manga-mx/star-wars-manga/star-wars-manga-12.jpg|192|69.0|MXN|2019-04-03|-|000-0000000000|1|false
