NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Strobe Edge #1|1|1|/panini-manga-mx/strobe-edge/strobe-edge-01.jpg|184|99.0|MXN|2017-05-03|¿Cómo saber si uno está realmente enamorado? ¿El cariño y las risas son suficientes para hablar de amor? Ninako Kinoshita estudia el primer año de preparatoria y se hace estas y otras preguntas, pues todos a su alrededor parecen saber más que ella al respecto. Poco a poco descubrirá cuánto puede sobrepasar la intensidad del amor a la más sincera y cariñosa amistad. Así como las lágrimas que el amor es capaz de provocar. ¡Acompaña a Ninako en Strobe edge, la historia de Io Sakisaka, el manga que Panini trae para ti!|000-0000000000|1|false
Strobe Edge #2|2|2|/panini-manga-mx/strobe-edge/strobe-edge-02.jpg|200|99.0|MXN|2017-07-04|Las vacaciones terminaron y Ninako debe enfrentar las habladurías suscitadas en la escuela acerca del rechazo que sufrió, por parte de Ren-kun, cuando ella le confesó sus sentimientos. A la angustia que experimenta por tener que volver a verlo se suman otras cosas que se salen de control cuando un nuevo compañero, quien fue testigo de su confesión y consiguiente rechazo, hace su aparición. ¡Además de verse forzada a conocer a la novia de Ren-kun! ¿Ninako podrá soportarlo?|000-0000000000|1|false
Strobe Edge #3|3|3|/panini-manga-mx/strobe-edge/strobe-edge-03.jpg|184|99.0|MXN|0000-00-00|Ninako se encuentra muy confundida, pues las acciones de Ando Takumi le resultan completamente incomprensibles. Además, comienza a deprimirse, pues se cree una molestia para Ren-Kun, pero pronto se dará cuenta de que puede contar con él cuando más lo necesita, pues él no duda en socorrerla una y otra vez. Algo semejante le ha dicho Ando, ¡quien pretende ayudarla a olvidar a Ren-kun!|000-0000000000|1|false
Strobe Edge #4|4|4|/panini-manga-mx/strobe-edge/strobe-edge-04.jpg|192|99.0|MXN|2017-11-04|Incluso los amigos de Ren ya se percataron de que Ninako se coló en el corazón del popular joven, pero difieren en lo que creen que deben hacer, pues no desean ver lastimado a su amigo. Se acerca la feliz época de Navidad, pero Mayuka y Daiki están pasando por un triste momento, pues su padre volverá a casarse y se irá de la ciudad. Ren y Sayuri desean ayudarlos, aunque Ren, sin querer reconocerlo, quizá actúe cada vez más por lealtad que por amor.|000-0000000000|1|false
Strobe Edge #5|5|5|/panini-manga-mx/strobe-edge/strobe-edge-05.jpg|216|99.0|MXN|0000-00-00|Es Navidad, hay fiestas, risas y citas por todas partes, pero Ando y Ren no son afortunados en esta ocasión. Ando tiene un amargo encuentro con su exnovia, lo que arruina para él el festejo, mientras que Ren acepta que Mayuka no pueda celebrar a causa del trabajo. El padre de Mayuka le da una lección y ella debe tomar una decisión que, aunque amarga, será la más madura. ¿Ren estará listo para ella?|000-0000000000|1|false
Strobe Edge #6|6|6|/panini-manga-mx/strobe-edge/strobe-edge-06.jpg|192|99.0|MXN|0000-00-00|La voz se ha corrido: ¡el chico más popular de la escuela ha roto con su novia! El revuelo no se hace esperar y Ren vuelve a ser el objeto de confesiones amorosas, pero él está enamorado de Ninako. Llega San Valentín y Gacchan quiere averiguar lo que ella siente por Ren, mas Ninako no deja nada en claro. Ha llegado un nuevo ciclo escolar y, con ello, la formación de nuevos grupos. ¿Compartirán sus jornadas nuevamente Ren y Ninako?|000-0000000000|1|false
Strobe Edge #7|7|7|/panini-manga-mx/strobe-edge/strobe-edge-07.jpg|216|99.0|MXN|0000-00-00|Ren y Ninako disfrutan cada vez más de su mutua compañía desde que fueron asignados al mismo grupo. Pronto llevarán a cabo una excursión a Kamamura y todo apunta a que será un viaje inolvidable para todos, y más para Ninako, pues viajará con Ren. Pero para Sayuri podría ser profundamente doloroso, pues quizá se repita la historia que vivió con su exnovio, quien presuntamente la engañó con otra chica. A raíz de la sospecha que recae sobre Daiki ¡muchas verdades saldrán a flote!|000-0000000000|1|false
Strobe Edge #8|8|8|/panini-manga-mx/strobe-edge/strobe-edge-08.jpg|184|99.0|MXN|0000-00-00|"El festival escolar está cerca y Toda, el líder de animadores de tercer grado, se presenta en el grupo de Ninako para reclutar alumnos que apoyen como líderes del bloque ""B"". Ando y Ninako son elegidos, pero la cabeza de Ninako está ocupada por los pensamientos sembrados por Mao, la exnovia de Ando, quien no pierde oportunidad para deshacerse de sus rivales de amor, ¡y es justamente Ninako el blanco de sus bajos ataques!"|9786075482286|1|false
Strobe Edge #9|9|9|/panini-manga-mx/strobe-edge/strobe-edge-09.jpg|192|99.0|MXN|2018-09-05|Aunque Ninako se siente momentáneamente más relajada con respecto a lo que debe hacer con sus sentimientos hacia Ren, continúa indecisa. Ren, en cambio, finalmente está decidido a confesarse y no está dispuesto a ceder ante nadie, y mucho menos ante Takumi. Todo se complica cuando Ando y Ninako son atacados, pues debido a eso ella no puede más que pensar en él.|9786075483702|1|false
Strobe Edge #10|10|10|/panini-manga-mx/strobe-edge/strobe-edge-10.jpg|184|99.0|MXN|2018-11-07|Ninako queda acorralada por un Ren desesperado, quien busca obtener una respuesta distinta a la que obtuvo cuando se le declaró, pero la imagen de Ando Takumi regresa a la mente de la chica una y otra vez. Parece que el amor de Ren no es la única verdad que Ninako debe enfrentar antes de poner en orden sus sentimientos. Además, los dos amigos también deberán ser totalmente honestos el uno con el otro, suceda lo que suceda. ¡El desenlace de Strobe Edge ya está aquí! ¡No puedes perdértelo!|9786075485287|1|false
