NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Takagi: La maestra de las bromas #1|1|1|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-01.jpg|200|109.0|MXN|2019-08-28|Nishikata, un estudiante de secundaria normal y corriente, pasa sus días obsesionado por las bromas que le gasta continuamente Takagi, su compañera de clase. Día tras día intenta diferentes métodos no solo para que la chica deje de fastidiarle, sino también para lograr sorprenderla a ella por una vez. Pero lo que Nishikata ni siquiera sospecha es que las bromas de Takagi tienen otra razón de ser y es que la joven parece sentir algo más hacia él que una simple amistad.|978-6-076-34179-7|1|false
Takagi: La maestra de las bromas #2|2|2|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-02.jpg|200|109.0|MXN|2019-10-23|Nishikata continúa en su empeño de anticiparse a las bromas que le gasta su compañera Takagi, sin demasiado éxito. Sin embargo, a medida que pasa más tiempo con ella, empieza a notar una atracción creciente hacia la muchacha. En temporada de lluvias, durante los exámenes y con la llegada del verano, los sentimientos de los dos jóvenes parecen estar a flor de piel, escondidos entre bromas y chistes.|978-6-076-34308-1|1|false
Takagi: La maestra de las bromas #3|3|3|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-03.jpg|0|219.0|MXN|2019-12-25|Takagi sigue gastando bromas a Nishikata, sin que el muchacho logre detenerla o incluso vengarse. Es más, los juegos de Takagi cada vez son más provocativos y Nishikata empieza a tener sentimientos encontrados hacia su compañera, en especial cuando les corresponde cambiar de lugar en el salón de clases y descubre que ya no estará más a su lado.|978-6-076-34429-3|1|false
Takagi: La maestra de las bromas #4|4|4|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-04.jpg|152|109.0|MXN|2020-02-26|El verano se acerca a su final y con él las lecciones para montar en bicicleta en pareja. Hay que volver a clases y, con el nuevo trimestre, Nishikata idea nuevos planes para tomar por sorpresa a Takagi. Por desgracia para él, la chica sigue desbaratando uno tras otro sus intentos. Además, las indirectas de Takagi sobre sus sentimientos hacia Nishikata empiezan a ser más directas que nunca.|978-6-076-34634-1|1|false
Takagi: La maestra de las bromas #5|5|5|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-05.jpg|160|109.0|MXN|2020-06-24|El tiempo va pasando y Nishikata y Takagi empiezan a tener una relación más cercana, impulsada sobre todo por Takagi, quien incluso consigue que Nishikata la acompañe a comprarse un traje de baño. Con la llegada del otoño, el clima también contribuye a que los dos muchachos vivan divertidas experiencias, mientras Nishikata sigue buscando la manera de derrotar a Takagi de una vez por todas.|978-6-076-34736-2|1|false
Takagi: La maestra de las bromas #6|6|6|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-06.jpg|192|139.0|MXN|2020-07-22|Aunque ya han retomado las clases, el buen clima sigue y los chicos aprovechan para pasar un día divertido en la alberca, aunque sea en medio de un conflicto romántico. Más adelante, Nishikata buscará nuevas maneras de sorprender a Takagi, sin que ninguna de ellas dé resultado. Es más, cada vez se ve más confundido por la actitud de la muchacha.|978-6-076-34882-6|1|false
Takagi: La maestra de las bromas #7|7|7|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-07.jpg|152|109.0|MXN|2020-08-26|Las estaciones siguen avanzando y con ellas los planes que sigue ideando Nishikata para intentar derrotar a Takagi de una vez por todas sin ser consciente del todo de que sus sucesivos intentos solo logran unirlos cada vez más. Además, en este volumen retrocederemos en el tiempo para descubrir cómo fueron sus primeros días en el instituto.|786076349571|1|false
Takagi: La maestra de las bromas #8|8|8|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-08.jpg|160|109.0|MXN|2020-10-28|Nishikata continúa en su empeño de derrotar a Takagi mientras empieza a notar que los sentimientos que le provoca esta van más allá de una simple relación de compañeros de escuela. Con la llegada de San Valentín y el intercambio de regalos con las chicas, los sentimientos de todos están a flor de piel.|978-6-075-68043-9|1|false
Takagi: La maestra de las bromas #9|9|9|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-09.jpg|192|139.0|MXN|2021-01-27|La relación de Nishikata con Takagi no solo está tomando nuevas direcciones a juzgar por las indirectas cada vez más descaradas de la joven, sino que además se convierte en el tema de conversación de sus amigos, que básicamente están empezando a considerarlos como si fueran una pareja.|978-6-075-68137-5|1|false
Takagi: La maestra de las bromas #10|10|10|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-10.jpg|192|139.0|MXN|2021-03-24|En este tomo descubrimos a una nueva versión de Nishikata antes de volver a ser testigos de las idas y venidas entre él y Takagi. El chico sigue sin ceder en su objetivo de superar a su compañera, que cada vez es más cercana a él, aunque el mismo Nishikata siga sin darse cuenta del todo.|978-6-075-68268-6|1|false
Takagi: La maestra de las bromas #11|11|11|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-11.jpg|192|139.0|MXN|2021-05-26|La actitud de Takagi cada vez desconcierta más a Nishikata y, cuando a los dos los nombran encargados de la biblioteca de su escuela, se encuentra pasando más tiempo con ella de lo habitual, mientras intenta zafarse de las trampas de la chica y ser él quien la engañe por una vez.|978-6-075-68395-9|1|false
Takagi: La maestra de las bromas #12|12|12|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-12.jpg|192|139.0|MXN|2021-07-28|Nishikata Y Takagi Ya Son Alumnos De Segundo Año Y Su Relación Se Va Haciendo Cada Vez Más Cercana. Aunque Nishikata No Se Rinde En Su Empeño Por Derrotar A Takagi En Alguno De Sus Retos, También Empieza A Extrañar La Presencia De La Chica En Algunas Ocasiones.|978-6-075-68506-9|1|false
Takagi: La maestra de las bromas #13|13|13|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-13.jpg|160|119.0|MXN|2021-09-22|Nishikata continúa con sus poco afortunados intentos de superar a Takagi, que sigue pareciendo estar de vuelta de todo y cada día demuestra que conoce mejor al chico que incluso él mismo. Por su parte, Nishikata está empezando a darse cuenta de que tal vez la venganza no sea lo único que busca en Takagi.|978-6-075-68644-8|1|false
Takagi: La maestra de las bromas #14|14|14|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-14.jpg|192|139.0|MXN|2021-11-24|Kanao, junto con Inosuke, pone en marcha el plan que Shinobu había ideado para derrotar a Doma, la Creciente Dos. Los cazadores de demonios siguen recorriendo el Castillo Infinito de Muzan para tratar de llegar a él y derrotarlo. En el camino, Tokito y Genya se enfrentan a Kokushibo, la Luna Creciente Uno, quien les hace experimentar el máximo terror solo con su presencia. ¿Lograrán derrotar a esa pesadilla andando?|978-6-075-68742-1|1|false
Takagi: La maestra de las bromas #15|15|15|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-15.jpg|160|119.0|MXN|2022-01-26|Mientras Nishikata continúa con su infructuosa cruzada para derrotar a Takagi aunque sea una sola vez, la chica cada vez se envalentona más y sus indirectas respecto a lo que siente por el muchacho son cada vez más evidentes. Por su parte, Nishikata tampoco puede negar que el comportamiento de Takagi le está afectando cada vez más.|978-6-075-68869-5|1|false
Takagi: La maestra de las bromas #16|16|16|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-16.jpg|160|129.0|MXN|2022-04-27|Mientras sus compañeros de grupo avanzan en sus propias relaciones, Nishikata sigue empeñado en su cruzada para lograr derrotar a Takagi, aunque los sentimientos que empieza a sentir por la chica le suponen un obstáculo cada vez mayor. De hecho, cuando por fin obtiene la tan ansiada victoria, Takagi logra que la simple tarea de pensar en un castigo se vuelva en una burla contra el propio Nishikata.|978-6-076-36026-2|1|false
Takagi: La maestra de las bromas #17|17|17|/panini-manga-mx/takagi-la-maestra-de-las-bromas/takagi-la-maestra-de-las-bromas-17.jpg|160|129.0|MXN|2022-06-29|Nishikata se deja llevar por la nostalgia al recordar el escondite secreto de su infancia y tiene ganas de verlo, pero Takagi insiste en seguirlo y el chico sospecha que lo hace solo para burlarse de él, sin imaginar que su compañera tiene otras intenciones muy diferentes. Todos los días, Nishikata propone un juego nuevo detrás de otro para intentar derrotar a Takagi, aunque sea con trampas, pero sigue sin tener éxito en ninguno.|978-6-076-36225-9|1|false
