NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Crónicas de Guerra: Tanya the Evil #1|1|1|/panini-manga-mx/tanya-the-evil/tanya-the-evil-01.jpg|200|109.0|MXN|2019-05-08|"Una pequeña niña está en la primera línea en la guerra. Ella tiene pelo rubio, ojos azules y piel tan blanca que es casi transparente que los enemigos ven mientras vuela hacia ellos y los ataca sin piedad, su nombre es Tanya Degurechov. Tanya era un importante empresario que desafió al ser ""X"" autoproclamado como Dios, esto ocasionó que rencarnara como una pequeña niña en un nuevo mundo. Esta pequeña niña, que antepone la eficiencia y su carrera antes que nada, se convertirá en la persona más importante para el ejército imperial."|978-6-075-48906-3|1|false
Crónicas de Guerra: Tanya the Evil #2|2|2|/panini-manga-mx/tanya-the-evil/tanya-the-evil-02.jpg|200|109.0|MXN|2019-07-10|Tanya está abocada a luchar en primera línea abatiendo enemigos a pesar de que ansía estar en una oficina sin sobresaltos. De hecho, intenta conseguir todos los méritos posibles creyendo que así va a lograrlo. En su odio creciente hacia el Ente X, esta vez le va a tocar formar pareja con una bella subordinada para luchar, ya convertida en un as de la aviación, contra astutos y brillantes enemigos de la élite.|978-6-076-34054-7|1|false
Crónicas de Guerra: Tanya the Evil #3|3|3|/panini-manga-mx/tanya-the-evil/tanya-the-evil-03.jpg|160|109.0|MXN|2019-09-11|Tanya ya es estudiante de la escuela superior del ejército y todo va viento en popa. Prácticamente se ve llevando una vida tranquila tras un escritorio. Pero un día, por casualidad, tiene una conversación con el general Zettour, que va a hacer que todo termine del revés. Todo parece indicar que está hecha para la acción y se maldice por ello.|978-6-076-34196-4|1|false
Crónicas de Guerra: Tanya the Evil #4|4|4|/panini-manga-mx/tanya-the-evil/tanya-the-evil-04.jpg|160|109.0|MXN|2019-11-13|Tanya se siente desbordada porque tiene que organizar a un batallón de hechiceros del aire y, cuando cree que nadie se presentará, resulta que se ve saturada de solicitudes. Ella pensaba ganar tiempo con la excusa de no tener candidatos, pero ahora tiene que pensar en otra cosa para evitar la primera línea de batalla. Pero las cosas, como siempre, no salen como ella quiere...|978-6-076-34344-9|1|false
Crónicas de Guerra: Tanya the Evil #5|5|5|/panini-manga-mx/tanya-the-evil/tanya-the-evil-05.jpg|160|119.0|MXN|2020-01-08|Todo se precipita y Tanya está comandando por primera vez en combate real con su batallón contra el Gran ducado de Dacia. Tanya se ve en condiciones superiores a las de sus enemigos y se lo toma más como unas prácticas con munición real. Los resultados de esta batalla van a ser clave para ella, que cree firmemente que cuanto mejores son los resultados, más opciones tiene para lograr un trabajo que no requiera salir al frente de combate. Pero, como siempre, las cosas no salen como ella espera...|978-6-076-34439-2|1|false
Crónicas de Guerra: Tanya the Evil #6|6|6|/panini-manga-mx/tanya-the-evil/tanya-the-evil-06.jpg|160|119.0|MXN|2020-03-11|Tras obtener resultados convincentes en Dacia, el batallón de Tanya se vuelve famoso. En esta ocasión, Tanya y su batallón van a ser enviados a Norden, el lugar de origen del conflicto con la Alianza de la Entente de Legadonia, donde la comandancia del ejército del norte tiene fricciones con el cuartel general del Estado Mayor. Allí en Norden las condiciones parecen desfavorables, pero Tanya se esfuerza en hacer lo mejor que puede para ganar puntos en su carrera...|978-6-076-34659-4|1|false
Crónicas de Guerra: Tanya the Evil #7|7|7|/panini-manga-mx/tanya-the-evil/tanya-the-evil-07.jpg|160|119.0|MXN|2020-06-10|Nuestra protagonista no quiere ni en broma una campaña en invierno, pero parece que todo indica que se va a llevar a cabo para ahorrar tiempo y no esperar hasta la primavera. Como siempre, Tanya intenta, de la forma más diplomática posible, eludir más responsabilidades de las que le corresponden, pero, también como siempre, todos los superiores entienden lo contrario. Se va a ver de nuevo en la primera línea de fuego encabezando una misión coordinada de alto nivel que va a poner en jaque a la Alianza de la Entente de Legadonia.|978-6-076-34819-2|1|false
Crónicas de Guerra: Tanya the Evil #8|8|8|/panini-manga-mx/tanya-the-evil/tanya-the-evil-08.jpg|160|119.0|MXN|2020-08-12|Nuestra protagonista, la mayor Tanya Degurechaff, parece que está en un gran apuro cuando tiene un golpe de suerte que hace que la situación dé un giro de 180 grados. Tanya está en una comida con los más importantes de la zona mientras se toma su merecido descanso cuando recibe una llamada de Rudersdorf y es evidente que no va a ser para encargarle un trabajo fácil...|978-6-076-34929-8|1|false
Crónicas de Guerra: Tanya the Evil #9|9|9|/panini-manga-mx/tanya-the-evil/tanya-the-evil-09.jpg|160|119.0|MXN|2020-10-14|Tras la victoria y la toma del fiordo de Os, el batallón 203 de asalto de hechiceros del aire comandado por la líder de batallón Tanya Degurechaff está disfrutando de unos días de vacaciones cuando recibe una llamada. Todo indica que va a intervenir en una operación contra una flota enemiga pendiente de identificar. Los hechiceros del aire son una rama nueva en el ejército que poco a poco gana terreno.|978-6-075-68060-6|1|false
Crónicas de Guerra: Tanya the Evil #10|10|10|/panini-manga-mx/tanya-the-evil/tanya-the-evil-10.jpg|160|119.0|MXN|2020-12-09|El batallón 203 de hechiceros del aire comandado por Tanya Degurechaff dejó muy fácil la victoria con respecto a la flota de la Alianza de la Entente de Legadonia, pero la flota imperial los perdió. La protagonista se pregunta si la pueden castigar porque este movimiento pudo causar hostilidades con el Reino Unido. El teniente coronel Rerugen va a visitar a Tanya, muy a su pesar, para darle la noticia sobre su futuro más próximo.|978-6-075-68149-8|1|false
