NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Tenku Shinpan: Invasión en las alturas #1|1|1|/panini-manga-mx/tenku-shinpan/tenku-shinpan-01.jpg|192|109.0|MXN|2020-01-22|"Yuri Honjo aparece de repente en un mundo muy extraño, lleno de rascacielos y en el que no se puede bajar a la superficie. Después de ver cómo un enmascarado asesina a un hombre, sale corriendo para no ser la próxima víctima y acaba en la azotea, donde empieza a llamar a gente con su móvil, sin saber qué hacer, y consigue hablar con su hermano, que resulta que está en el mismo mundo que ella. Esto le da fuerzas: decide que sobrevivirá y se reunirá con él. Sin embargo, pronto descubrirá que hay más de un ""enmascarado""..."|978-6-076-34534-4|1|false
Tenku Shinpan: Invasión en las alturas #2|2|2|/panini-manga-mx/tenku-shinpan/tenku-shinpan-02.jpg|192|109.0|MXN|2020-03-18|Yuri Honjo apareció de repente en un mundo muy extraño, lleno de rascacielos y en el que no se puede bajar a la superficie, y donde además hay unos enmascarados que tienen el objetivo de asesinar a todos los humanos que hay, a menos que se suiciden. Con el objetivo de reunirse con su hermano, quien también acabó en este mundo, y de llegar al helicóptero que vio para bajar a la superficie, cruza sin descanso los puentes que conectan los edificios. Entonces, se encuentra con un grupo de estudiantes quienes también quedaron aquí atrapados y comparten información, pero por accidente uno de ellos se convierte en un enmascarado y trata de matarlos...|978-6-076-34697-6|1|false
Tenku Shinpan: Invasión en las alturas #3|3|3|/panini-manga-mx/tenku-shinpan/tenku-shinpan-03.jpg|192|109.0|MXN|2020-06-17|Yuri está desconcertada: por fin se comunicó con Rika, su hermano, pero él le ordena asesinar a Nise a fin de asegurar su supervivencia. Por su parte, Rika explora un extraño edificio junto con sus compañeros, mas son atacados por un enemigo extraordinario. Mientras tanto, cierto enmascarado recupera parte de su voluntad gracias a la grieta en su máscara, la cual le hace una revelación tras toparse con una misteriosa jovencita.|978-6-076-34821-5|1|false
Tenku Shinpan: Invasión en las alturas #4|4|4|/panini-manga-mx/tenku-shinpan/tenku-shinpan-04.jpg|212|109.0|MXN|2020-08-19|"El Enmascarado Francotirador acepta la petición de Kuon Shinzaki, la inocente chica ""cercana a Dios"", de llevarla con él para protegerla. Por su parte, Yuri y Nise libran un combate a muerte y encuentran un cartel escrito por alguien que solicita voluntarios que le ayuden a ""crear a Dios"", pero Nise sospecha que es una trampa. ¿Las chicas responderán el llamado?"|978-6-076-34930-4|1|false
Tenku Shinpan: Invasión en las alturas #5|5|5|/panini-manga-mx/tenku-shinpan/tenku-shinpan-05.jpg|256|109.0|MXN|2020-10-21|"Yuri y Nise sobreviven al combate contra el motociclista enmascarado, pero poco después se ven obligadas a enfrentarse a un hombre ""cercano a Dios"" que posee la habilidad de controlar a ciertos enmascarados. hasta que Kuon interrumpe la batalla sorpresivamente. Poco después, Rika y Kohei conocen a un chico que posee información importante sobre el mundo de los rascacielos. y Nise enfrenta las consecuencias de haberse puesto una máscara."|978-6-075-68062-0|1|false
Tenku Shinpan: Invasión en las alturas #6|6|6|/panini-manga-mx/tenku-shinpan/tenku-shinpan-06.jpg|192|109.0|MXN|2021-01-20|El grupo de sobrevivientes crece gracias a la adición de Megumi, la chica que fue rescatada por el Monje Enmascarado, así que Rika decide que se dirijan a reunirse con el joven cercano a Dios, Yoshida; por su parte, el Francotirador Enmascarado revela los detalles acerca de su pasado y del incidente que provocó que se pusiera la máscara. Mientras tanto, Nise comienza a perder el control de su voluntad sin que Yuri se dé cuenta.|978-6-075-68163-4|1|false
Tenku Shinpan: Invasión en las alturas #7|7|7|/panini-manga-mx/tenku-shinpan/tenku-shinpan-07.jpg|192|119.0|MXN|2021-03-17|"Yuri tiene un encuentro inesperado con una chica que porta una máscara enojada (un ""ángel de la guarda""), la cual le indica la ubicación de una máscara sin boca que la ayudará a acercarse a Dios y a salvar a Nise; sin embargo, esta ya se encuentra bajo los cuidados de Kuon y del Francotirador Enmascarado. Por su parte, Rika y su equipo están a punto de llegar al edificio de Yoshida. ¡pero son atacados por Yayoi y sus esbirros!"|978-6-075-68249-5|1|false
Tenku Shinpan: Invasión en las alturas #8|8|8|/panini-manga-mx/tenku-shinpan/tenku-shinpan-08.jpg|192|119.0|MXN|2021-05-19|El equipo de Rika consigue refugiarse en el edificio de Yoshida tras un arduo combate contra los enmascarados, pero el precio es muy alto: Honjo es secuestrado y uno de sus compañeros muere. Mientras tanto, Yuri, Nise y el Francotirador Enmascarado libran una batalla contra más subordinados de la persona misteriosa. ¡Y pronto seremos testigos de la reunión entre dos personas cercanas a Dios: Kuon y Yuri!|978-6-075-68392-8|1|false
Tenku Shinpan: Invasión en las alturas #9|9|9|/panini-manga-mx/tenku-shinpan/tenku-shinpan-09.jpg|192|119.0|MXN|2021-07-21|Rika es trasladado hasta la base de Mamoru Aikawa, un hombre cercano a dios que, a pesar de lucir amable, desea aniquilar a todos los humanos que considere débiles, y no solo en el mundo de los rascacielos. Por su parte, el Francotirador es atacado, mientras cruza un puente, por una enmascarada de Aikawa que también es francotiradora, pero en el momento crucial, cierta chica acude a darle vuelta a la situación. Poco después, Yuri, Nise y Kuon enfrentan a un enmascarado tan fuerte como el motociclista.|978-6-075-68491-8|1|false
Tenku Shinpan: Invasión en las alturas #10|10|10|/panini-manga-mx/tenku-shinpan/tenku-shinpan-10.jpg|192|119.0|MXN|2021-09-15|Yuri y Kazuma se reencuentran, intercambian información y deciden unirse en contra de Aikawa. Por su lado, el francotirador está a punto de quedar afectado por la hibernación y antes de desmayarse quiere hablar con Yuri para tratar de averiguar algo sobre su identidad. Mientras tanto, Rika descubre que el francotirador enmascarado todavía está vivo mientras lo están i|978-6-075-68549-6|1|false
Tenku Shinpan: Invasión en las alturas #11|11|11|/panini-manga-mx/tenku-shinpan/tenku-shinpan-11.jpg|208|119.0|MXN|2021-11-17|Kuon decide salvar al Francotirador Enmascarado del estado de hibernación a como dé lugar y le pide ayuda a Nise; sin embargo, esta vez será mucho más complicado. aunque parece que los poderes de Kuon son mayores de lo que todos pensaban. Más tarde, un pequeño grupo de asesinos liderado por Yayoi se dirige a la base de Yuri y los demás para eliminarlos con el arma secreta de Aikawa: ¡el Gran Ángel, un terrible enmascarado incontrolable que mata sin cesar!|978-6-075-68634-9|1|false
Tenku Shinpan: Invasión en las alturas #12|12|12|/panini-manga-mx/tenku-shinpan/tenku-shinpan-12.jpg|192|129.0|MXN|2022-01-19|El Gran Ángel decide ir directamente a buscar a Aikawa, pero Ein y Nise lo siguen; una vez dentro del edificio, el doctor Aohara se une a ellas e intenta paralizar al poderoso enmascarado. Mientras tanto, Yuri combate por su cuenta contra el Nadador Enmascarado, pero este consigue bloquear todos sus disparos. La batalla continúa, no obstante, el cañón de riel permanece en silencio; parece que Kuon está congelada por el miedo.|978-6-075-68673-8|1|false
