NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Terra Formars #1|1|1|/panini-manga-mx/terra-formars/terra-formars-01.jpg|216|99.0|MXN|2017-03-22|Año 2599 d.C.|978-6-075-28444-6|1|false
Terra Formars #2|2|2|/panini-manga-mx/terra-formars/terra-formars-02.jpg|216|99.0|MXN|2017-05-24|Tailandia, 20 años después de la misión BUGS 2. Por una amiga de la infancia, Akari Hizamaru entabla un combate a muerte ¡para obtener un premio monetario! Por otra parte, dos personas en la sala se mantienen vigilantes. Al final de la pelea, ¿lo invitarán a unirse a cierto plan relacionado con Marte?|978-6-075-28493-4|1|false
Terra Formars #3|3|3|/panini-manga-mx/terra-formars/terra-formars-03.jpg|216|99.0|MXN|2017-07-26|Terraformars han aparecido súbitamente en el interior de la nave Annex 1. Al recibir ese violento ataque, los miembros de la tripulación se separan en seis grupos y realizan aterrizajes de emergencia en Marte.|978-6-075-28507-8|1|false
Terra Formars #4|4|4|/panini-manga-mx/terra-formars/terra-formars-04.jpg|208|99.0|MXN|2017-09-27|Para proteger a sus compañeros, Akari y Michelle emplean sus habilidades y comienzan la batalla con los terraformars, quienes han cambiado en formas muy particulares. ¿Podrán sobrevivir a la amenaza causada por el enemigo? Por otro lado, el paradero de los grupos residentes en Marte por fin se conoce. ¡La lucha entre la humanidad y los demonios cobra una nueva intensidad!|978-6-075-28683-9|1|false
Terra Formars #5|5|5|/panini-manga-mx/terra-formars/terra-formars-05.jpg|192|99.0|MXN|2017-11-22|El equipo de la coalición alemana-sudamericana se encuentra bajo un ataque feroz de los terraformars. El líder, Adolf, pelea como un tigre, pero las cosas van cambiando para mal...|978-6-075-28761-4|1|false
Terra Formars #6|6|6|/panini-manga-mx/terra-formars/terra-formars-06.jpg|208|99.0|MXN|2018-01-17|Keiji Onizuka del Equipo 1 (japonés-americano) da una gran batalla y sale avante de las artimañas del enemigo... En la Tierra, por otra parte las especulaciones de los diferentes grupos solo causan confusión. ¡El misterio de Akari Hizamaru se revela! Para seguir adelante y cumplir con sus promesas, ¡todos los combatientes hacen frente a la desesperanza que se cierne sobre ellos!|978-6-075-28839-0|1|false
Terra Formars #7|7|7|/panini-manga-mx/terra-formars/terra-formars-07.jpg|208|99.0|MXN|2018-03-21|Los lideres encabezan una conferencia privada en la Tierra. En ella llevan a cabo unas aguerridas negociaciones con respecto a las políticas de la operación que se realiza en Marte. ¡Además, Akari y Michelle terminan en la mira de un extraño grupo que ha ocultado sus huellas! ¡Finalmente aparecen los traidores! ¡Esta historia ya no se trata de la humanidad contra las cucarachas! ¡Es una historia que se torna cada vez más compleja!|978-6-075-28998-4|1|false
Terra Formars #8|8|8|/panini-manga-mx/terra-formars/terra-formars-08.jpg|208|99.0|MXN|2018-05-23|¡La tercera y cuarta divisiones se enfrascan en un fiero combate!|978-6-075-48156-2|1|false
Terra Formars #9|9|9|/panini-manga-mx/terra-formars/terra-formars-09.jpg|200|99.0|MXN|2018-07-18|Akari y Michelle, quienes son perseguidos de cerca por la Cuarta División, se topan con Hormiga Bala, el terraformar que robó las habilidades de su difunto padre. Sabiendo que podría jugarse la vida, ¡Michelle no duda en hacerle frente! Por su parte, Akari se enfrenta a un formidable enemigo...|978-6-075-48249-1|1|false
Terra Formars #10|10|10|/panini-manga-mx/terra-formars/terra-formars-10.jpg|208|99.0|MXN|2018-09-19|Un inmenso grupo de cucarachas se montará en un vehículo, el cual está cargando las capturas de la cuarta división, lo cual detonará una crisis aun peor. Por otro lado, Marcos y los demás, quienes se encuentran bajo tierra, esperan hackear la gran antena para restablecer las comunicaciones. Pero, en medio de una gran desesperación, los lazos de amor de estos guerreros brillarán. ¿Quién logará cumplir sus objetivos y regresar a la tierra?|978-6-075-48421-1|1|false
