NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
The Ancient Magus Bride #1|1|1|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-01.jpg|192|139.0|MXN|2019-07-17|Chise Hatori es una adolescente de 15 años sin familia que posee la habilidad de ver criaturas místicas invisibles a la mayoría de humanos. Empujada por la soledad que la atormenta, decide venderse en una subasta al mejor postor con la esperanza de tener, al fin, una casa a la que llamar hogar. Entonces, un misterioso y antiguo mago decide comprarla por una gran suma de dinero. Lejos de utilizarla como esclava, la convierte en su aprendiz y futura esposa. Juntos van a iniciar un viaje lleno de fantasía y aventura, el cual los va a llevar no solo a descubrir el mundo, sino a conocerse profundamente el uno al otro. ¡No se pierdan esta original y mística aventura!|978-6-076-34131-5|1|false
The Ancient Magus Bride #2|2|2|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-02.jpg|192|139.0|MXN|2019-09-18|La vida de Chise cambia radicalmente a partir del momento en que Elías, un antiguo y misterioso mago, la compra en una casa de subastas. En vez de esclavizarla, decide convertir a la joven pelirroja en su aprendiz y futura esposa. Chise y Elías emprenden una serie de aventuras fantásticas que los llevarán desde las tierras de dragones hasta el reino de los gatos. Juntos superarán cualquier cosa que se les ponga por delante... durante los años de vida que le queden a ella. ¿Será capaz el mago de liberarla del cruel destino que aguarda a todos los sleigh beggies? ¡No se pierdan esta original historia de fantasía, aventura y amor!|978-6-076-34267-1|1|false
The Ancient Magus Bride #3|3|3|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-03.jpg|192|139.0|MXN|2019-11-20|-|978-6-076-34411-8|1|false
The Ancient Magus Bride #4|4|4|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-04.jpg|192|139.0|MXN|2020-01-22|Chise y Elías llevan el día a día sintiendo curiosidad el uno por el otro, pero ambos guardan silencio. Lindel requiere de la presencia de Chise porque ya puede disponer de la rama del árbol de Nevin en el Reino de los Dragones y es allí donde ella tiene que tallar su propia vara como complemento de maga. En ese lugar, separada de Elías, va a descubrir historias del pasado de Elías y Elías va a descubrir un sentimiento nuevo al que no sabe darle nombre.|978-6-076-34523-8|1|false
The Ancient Magus Bride #5|5|5|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-05.jpg|192|139.0|MXN|2020-03-18|Chise se encuentra en peligro tras utilizar sus poderes mágicos para preparar algo que está prohibido usar en humanos, lo cual, de por sí, ya es un riesgo al oponerse a la voluntad de los seres feéricos. Así pues, Elías sigue el consejo de Oberón y decide llevarla al Reino de las Hadas. Por otra parte, antes de llegar a la casa de Elías, descubriremos la historia de cuando Silky era una bean sidhe.|978-6-076-34660-0|1|false
The Ancient Magus Bride #6|6|6|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-06.jpg|186|119.0|MXN|2020-06-17|El día de Navidad, Chise organiza una salida de chicas por Londres, irán de compras y tendrán pláticas secretas sobre el pasado. Este día vendrá cargado de emociones: desaparecerá el hermano menor de Stella, que fue de visita al pueblo donde vive Chise, junto con su familia para ver a su abuela. Por otra parte, Ojos Cenizos vuelve a aparecer, y no se sabe con qué intenciones...|978-6-076-34818-5|1|false
The Ancient Magus Bride #7|7|7|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-07.jpg|176|119.0|MXN|2020-08-12|Chise y Elías siguen haciendo ajustes a su relación. Elías está sintiendo cosas que nunca había experimentado y Chise está tratando de ponerle nombre a esos sentimientos. En un momento de calma, ella le canta una canción de cuna, mientras recuerda un momento feliz de su infancia, y Elías se sume en un sueño profundo. En medio de todo esto, ocurre algo grave: unos cazadores furtivos se llevan unas crías de dragones del Reino de los Dragones, y Cartaphilus parece estar involucrado en el asunto.|978-6-076-34932-8|1|false
The Ancient Magus Bride #8|8|8|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-08.jpg|178|119.0|MXN|2020-10-21|El alquimista Cartaphilus es el culpable de que un dragón se saliera de control. Chise logra salvar al dragón, pero pierde su brazo izquierdo en el proceso. Ahora Chise vive con la maldición del dragón, además de las que lleva desde su nacimiento. Además de esto, ahora se va a enfrentar a todos aquellos a los que evitó mirar directamente a los ojos. Es ahí cuando nuestra historia va a tomar un giro inesperado.|978-6-075-68046-0|1|false
The Ancient Magus Bride #9|9|9|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-09.jpg|210|119.0|MXN|2021-01-20|Joseph/Cartaphilus y Chise se marchan. Chise está muy enojada con Elías y con Ruth por lo que pasó con Stella. En cierto modo, sabe que el afecto que le tienen hace que puedan actuar en contra de otros, sin importar que fuera alguien importante para ella. En esa inestabilidad emocional, debe hacer un trato con Cartaphilus (o Joseph) para hacer un intercambio que hará que descubran lo que esconden en sus mentes y que olvidaron tiempo atrás.|978-6-075-68164-1|1|false
The Ancient Magus Bride #10|10|10|/panini-manga-mx/the-ancient-magus-bride/the-ancient-magus-bride-10.jpg|192|139.0|MXN|2021-03-17|Chise y Elías deciden empezar una nueva etapa. Chise es invitada a asistir a la escuela y, una vez allí, recuerda que nunca se le dieron bien las relaciones sociales y tiene los nervios a flor de piel. Poco a poco va conociendo a sus nuevos compañeros, todos ellos muy curiosos de saber sobre ella, ya que se trata de una escuela de alquimistas y ellos no están familiarizados con la magia. Algunos le piden a Chise que les muestre magia. Mientras unos y otros están adaptándose a la escuela, una sombra se cierne sobre su aparente tranquilidad.|978-6-075-68250-1|1|false
