NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
The Promised Neverland #1|1|1|/panini-manga-mx/the-promised-neverland/the-promised-neverland-01.jpg|200|99.0|MXN|2019-05-31|Emma, Norman y Ray viven dichosos con su mamá y sus hermanos en el orfanato Grace Field House. Ansían poder ser adoptados y vivir felices en un nuevo hogar. Sin embargo, un descubrimiento devastador los sumerge en una oscura e impactante realidad. ¿Qué les ocurre a los niños cuando salen del orfanato? ¿Qué es exactamente esa casa donde se encuentran? ¿Podrán reaccionar a tiempo y burlar el escalofriante destino que les espera? ¡No se pierdan esta emocionante y original historia!|978-6-075-48927-8|1|false
The Promised Neverland #2|2|2|/panini-manga-mx/the-promised-neverland/the-promised-neverland-02.jpg|192|99.0|MXN|2019-07-24|Desesperados por el fatal destino que los aguarda, Emma y Norman convencen a Ray para que se una a su causa. Pronto inician una serie de entrenamientos encubiertos con el objetivo de preparar a los niños para la huida, pero la hermana Krone, la adulta recién llegada a la casa, se interpone en su camino. Además, al parecer existe una filtración de información que mantiene al tanto a Isabella. ¿¡Hay un traidor entre los niños!? ¿¡Cómo se las ingeniarán para desvelar la identidad del espía!? ¿¡Serán capaces de seguir adelante con sus planes sin ser descubiertos por la astuta Krone!? ¡¡No se pierdan esta increíble historia!!|978-6-076-34061-5|1|false
The Promised Neverland #3|3|3|/panini-manga-mx/the-promised-neverland/the-promised-neverland-03.jpg|200|99.0|MXN|2019-09-25|Ray, Norman y Emma reclutan a Gilda y Don para que los ayuden a escapar con todos los niños de la granja. Sin embargo, deciden no contarles toda la verdad por miedo a su reacción. Don y Gilda empiezan a sospechar de la versión que les cuenta Emma y deciden investigar por su cuenta y actuar a espaldas de sus amigos. ¿Sus actos pondrán en riesgo la fuga? ¿Si descubren la verdad serán capaces de soportarla? Por otro lado, la relación entre la hermana y mamá llega a un fatal desenlace... ¿Quién saldrá victoriosa del enfrentamiento? ¡No se pierdan esta increíble historia de superación y supervivencia!|978-6-076-34198-8|1|false
The Promised Neverland #4|4|4|/panini-manga-mx/the-promised-neverland/the-promised-neverland-04.jpg|200|99.0|MXN|2019-11-27|¿Norman pronto se va a ir? Los acontecimientos en la casa de Grace Field House son cada vez más caóticos. Norman, el mejor amigo de Ray y Emma, es el siguiente en dejar la casa y afrontar el horrible destino que los aguarda allá fuera. ¿Serán capaces Ray y Emma de evitar que su amigo muera? ¿Podrán engañar a mamá y escapar con todos sus hermanos de ese maldito orfanato? ¡No se pierdan esta emocionante historia de compañerismo, valor y supervivencia!|978-6-076-34330-2|1|false
The Promised Neverland #5|5|5|/panini-manga-mx/the-promised-neverland/the-promised-neverland-05.jpg|200|109.0|MXN|2020-01-29|La alarma que alerta de fuga resuena por todo el lugar. Perseguidos por los demonios, Emma y los demás niños inician su plan de escape a pesar de la poca información de la que disponen. Abandonan la falsa paz que los rodeaba para ir en busca de su libertad, ¿¡qué se encontrarán...!? ¡Niños de la eternidad, no decaigan ante la desesperación! ¡¡Una fantasía sobre una huida impactante!!|978-6-076-34542-9|1|false
The Promised Neverland #6|6|6|/panini-manga-mx/the-promised-neverland/the-promised-neverland-06.jpg|200|109.0|MXN|2020-03-25|"Un día, Emma y Norman, que viven con otros niños sin familia en Grace Field House, descubren que Isabella no es su verdadera ""mamá"" y que los está criando para ser la comida de esos monstruos. Para poder escapar a este fatal destino, empiezan a preparar su escape en secreto. Para evitar que más niños sean sacrificados, Emma y los demás dejan a los niños más pequeños en la casa y huyen hacia el punto B06-32, un lugar indicado en los mensajes de Minerva."|978-6-076-34661-7|1|false
The Promised Neverland #7|7|7|/panini-manga-mx/the-promised-neverland/the-promised-neverland-07.jpg|200|109.0|MXN|2020-06-24|Un hombre misterioso esperaba a los niños en el refugio subterráneo del punto B06-32... ¿¡Quién es él realmente!? La aventura de Emma y los demás niños entra en su siguiente fase. ¡¡Se desarrollan nuevos acontecimientos sobre la búsqueda del señor Minerva!! ¡Niños de la eternidad, no se rindan ante la desesperación! ¡¡Una fantasía sobre una huida impactante!!|978-6-076-34801-7|1|false
The Promised Neverland #8|8|8|/panini-manga-mx/the-promised-neverland/the-promised-neverland-08.jpg|200|109.0|MXN|2020-08-10|Emma y Ray son víctimas de un malévolo plan y se ven rodeados por una multitud de demonios. Una lucha a vida o muerte da inicio. Inmersos en una situación infernal, Emma toma una decisión... ¿¡Qué va a pasar con el futuro que tanto desean!?|978-6-076-34925-0|1|false
The Promised Neverland #9|9|9|/panini-manga-mx/the-promised-neverland/the-promised-neverland-09.jpg|200|109.0|MXN|2020-10-28|Un aliado guía a Emma hasta una sala secreta en Goldy Pond donde hay una puerta que lleva cerrada muchísimo tiempo. Emma la abre y tras ella se revelan las verdaderas intenciones de William Minerva. ¿¡Qué pretendía él en realidad!?|978-6-075-68067-5|1|false
The Promised Neverland #10|10|10|/panini-manga-mx/the-promised-neverland/the-promised-neverland-10.jpg|192|109.0|MXN|2021-01-27|¡Los niños de Goldy Pond alzan su revuelta contra los demonios para acabar con el terreno de caza! La lucha por la supervivencia humana en un mundo hostil carga sobre el peso de sus hombros. ¿Podrán Emma y los demás niños derrotar a sus captores? ¿Llegará a tiempo Ray para ayudarlos? ¡No se pierdan esta increíble historia!|978-6-075-68153-5|1|false
The Promised Neverland #11|11|11|/panini-manga-mx/the-promised-neverland/the-promised-neverland-11.jpg|200|119.0|MXN|2021-03-24|La batalla decisiva da comienzo en los terrenos de Goldy Pond. La lucha encarnizada por la supervivencia entre humanos y demonios entra en su etapa final... ¿Quién prevalecerá, los demonios que cazan humanos por diversión o los niños que luchan contra viento y marea para sobrevivir? ¡No se pierdan esta fantástica aventura!|978-6-075-68273-0|1|false
The Promised Neverland #12|12|12|/panini-manga-mx/the-promised-neverland/the-promised-neverland-12.jpg|192|119.0|MXN|2021-05-26|Emma y sus amigos prosiguen con sus investigaciones para hallar el modo de forjar una nueva promesa. Su búsqueda los lleva hasta unas antiguas ruinas donde descubren historias del pasado. Sin embargo, sus enemigos andan cerca... ¿Qué estarán tramando?|978-6-075-68407-9|1|false
The Promised Neverland #13|13|13|/panini-manga-mx/the-promised-neverland/the-promised-neverland-13.jpg|192|119.0|MXN|2021-07-28|Tras encontrar pistas sobre los Siete Muros, los niños sufren un ataque sorpresa. Unos hombres armados irrumpen en el refugio que ha sido su hogar durante el último año. ¿Serán capaces de repeler su ataque? ¿Podrán sobrevivir todos o tendrán que asumir sacrificios?|978-6-075-68486-4|1|false
