NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
The Seven Deadly Sins #1|1|1|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-01.jpg|192|99.0|MXN|2017-05-24|Los guerreros más poderosos del reino de Liones, los Siete Pecados Capitales, fueron acusados por intentar derrocar al rey. Ya pasaron diez años desde entonces y los Caballeros Sagrados, que se encargan de la seguridad del reino, no han podido encontrarlos a pesar de su incansable persecución. De pronto aparece una joven que también los busca desesperadamente… se trata de la princesa Elizabeth Liones, quien encuentra al líder de los Pecados Capitales, Meliodas, para pedirle su ayuda, pues algo extraño está pasando en el reino. ¡Así comienza esta extraordinaria aventura heroica!|978-6-075-28528-3 978-6-076-34217-6|1|false
The Seven Deadly Sins #2|2|2|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-02.jpg|192|99.0|MXN|2017-06-28|La princesa Elizabeth emprende el viaje con Meliodas y Diane en busca del resto de los Pecados Capitales, pero en el camino se encuentran al caballero sagrado Gilthunder, quien está dispuesto a terminar con ellos. Él y Meliodas se enfrentan en una batalla donde ninguno de los dos resulta victorioso, aunque Meliodas aprovecha su astucia para que Gilthunder revele el paradero de Ban, otro integrante de los Siete Pecados Capitales.|978-6-076-34251-0|1|false
The Seven Deadly Sins #3|3|3|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-03.jpg|192|99.0|MXN|2017-07-26|Después de varios años sin verse, Meliodas y Ban se reencuentran en Prisión Baste y, junto con Diane y Elizabeth, emprenden el viaje hacia la Capital de la Muerte, donde esperan encontrar a King, el oso de los Siete Pecados Capitales. Sin embargo, en el camino se topan con un “sabueso negro”, una criatura salvaje dispuesta a matarlos|978-6-076-34247-3|1|false
The Seven Deadly Sins #4|4|4|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-04.jpg|192|99.0|MXN|2017-08-23|King, el oso de los Siete Pecados Capitales, está vivo, pero ahora trabaja para el caballero sagrado Gilthunder, pues quiere vengarse de Ban por lo que le hizo a su hermana Elaine. ¡Un enfrentamiento mortal está a punto de suceder! Mientras tanto, en la Capital de la Muerte aparece Guila, una asesina despiadada que forma parte de los caballeros sagrados. Meliodas y Diane se enfrentan a ella, sin saber que su poder va más allá de lo que esperan.|978-6-076-34268-8|1|false
The Seven Deadly Sins #5|5|5|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-05.jpg|192|99.0|MXN|2017-09-27|¿Meliodas es un héroe o un shinigami? Los caballeros sagrados continúan con su siniestro incremento de armas y pretenden usar el poder de un terrible demonio, así que, para derrotarlos, los Siete Pecados Capitales deben reunir al resto de sus compañeros y encontrar los tesoros sagrados de Meliodas, Diane y Ban. ¡Caballeros sagrados contra los Pecados Capitales! ¡Los destinos se cruzan y chocan en el pueblo fronterizo de Vaizel!|978-6-076-34272-5|1|false
The Seven Deadly Sins #6|6|6|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-06.jpg|200|99.0|MXN|2017-10-25|¡Los Siete Pecados Capitales cayeron en una trampa! Para obtener el tesoro sagrado de Diane, los Siete Pecados Capitales participarán en torneo de lucha. Meliodas, Ban y compañía se dejan llevar por el entusiasmo de pelear contra contrincantes poderosos y se olvidan del resto. Sin embargo, perciben el ataque próximo de los Caballeros Sagrados.|978-6-076-34278-7|1|false
The Seven Deadly Sins #7|7|7|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-07.jpg|192|99.0|MXN|2017-11-22|¡Aparece el Quinto Pecado Capital!|978-6-076-34284-8|1|false
The Seven Deadly Sins #8|8|8|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-08.jpg|192|99.0|MXN|2017-12-27|El Pecado de la Lujuria, Gowther, aparece.|978-6-076-34301-2|1|false
The Seven Deadly Sins #9|9|9|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-09.jpg|192|99.0|MXN|2018-01-24|¡Encuentro de héroes! ¡¿Comienza la Guerra Santa?!|978-6-076-34299-2|1|false
The Seven Deadly Sins #10|10|10|/panini-manga-mx/the-seven-deadly-sins/the-seven-deadly-sins-10.jpg|192|99.0|MXN|2018-02-28|¡El lamento del Rey de las Hadas!|978-6-076-34342-5|1|false
