NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
To Love-Ru #1|1|1|/panini-manga-mx/to-love-ru/to-love-ru-01.jpg|200|99.0|MXN|2018-01-24|Rito Yuuki es un estudiante de preparatoria muy tímido. Está enamorado de Haruna Sairenji desde que la vio en la secundaria, pero no se ha atrevido a decirle que le gusta. Un día sin más toma la decisión de decirle lo que siente… pero se deja dominar por la emoción y solo logra quedar como un tonto frente a ella. Decepcionado regresa a casa y toma un baño y ¡de repente aparece una hermosa chica frente a él! Pero no es una chica normal, es una alienígena que escapó de su hogar, el planeta Deviluke, pues su padre ha decidido conseguir un esposo para ella y no descansará hasta conseguirlo.|978-6-075-28826-0|1|false
To Love-Ru #2|2|2|/panini-manga-mx/to-love-ru/to-love-ru-02.jpg|200|99.0|MXN|2018-02-28|Los prospectos de Lala siguen metiéndola a ella y a sus amigos en problemas debido a la obsesión del padre de Lala por encontrarle un esposo, pero Rito está ahí para detenerlos, aunque a veces no sea lo más agradable. Lala desea pasear en la ciudad así que le pide a Peke que convierta su ropa en un vestuario más adecuado… pero algo extraño ocurre y la ropa nueva se desvanece. Rito deberá actuar rápido para evitar que la vean desnuda… pero, ¡aparece Haruna!|978-6-075-28946-5|1|false
To Love-Ru #3|3|3|/panini-manga-mx/to-love-ru/to-love-ru-03.jpg|192|99.0|MXN|2018-03-28|El grupo de Rito organiza una excursión en la playa. Al parecer es un viaje de esparcimiento tranquilo, pero de pronto algo extraño ocurre ¡y los trajes de baño de las chicas desaparecen! Así, Lala decide averiguar de qué se trata. Es el último día en la playa y algunos compañeros de Rito planean espiar a Haruna y sus amigas a la hora de dormir. Mientras tanto, es Haruna ahora quien reconoce que siente celos al ver a Lala y Riota juntos… Inesperadamente, los chicos son descubiertos por el prefecto así que todos corren despavoridos, excepto Rito... ¿Qué sucederá?|978-6-075-28989-2|1|false
To Love-Ru #4|4|4|/panini-manga-mx/to-love-ru/to-love-ru-04.jpg|200|99.0|MXN|2018-04-25|¡El día del festival de la Preparatoria Sainan ha llegado! Rito y los chicos de primer año montaron un café temático: el “Café Animal”. Mientras que las chicas de segundo año compiten con su “Café Insecto”, ¿tendrán el mismo éxito que Lala y las chicas? ¡Se librará un duelo de popularidad entre Lala y Saki! Pronto será el cumpleaños de Rito y Haruna le dará una inesperada sorpresa, pero la torpeza de ambos hará que vuelvan los malentendidos…|978-6-075-48032-9|1|false
To Love-Ru #5|5|5|/panini-manga-mx/to-love-ru/to-love-ru-05.jpg|200|99.0|MXN|2018-06-06|Ha llegado nuevamente un pretendiente más de Lala a la Tierra. Este sujeto contrató a una asesina a sueldo para acabar con la amenazante existencia del pobre Rito. Se acerca el día de San Valentín y los chicos en la preparatoria están emocionados. Se avecina un extraño intercambio de chocolates... De repente, Haruna se comporta demasiado cariñosa con Rito.|978-6-075-48179-1|1|false
To Love-Ru #6|6|6|/panini-manga-mx/to-love-ru/to-love-ru-06.jpg|200|99.0|MXN|2018-06-27|Debido a un extraño experimento, ¡Rito intercambia cuerpo con un perro y pasa una tarde en casa de Haruna! Pero no todo es felicidad pues el perro, que entró en el cuerpo de Rito, hace un sinfín de maldades… Poco después llega un niño pervertido a molestar a las chicas y al parecer tampoco es de este planeta… Pronto será el cumpleaños de Haruna y festejará con todos sus amigos, incluido Rito. ¿Qué sucederá?|978-6-075-48218-7|1|false
To Love-Ru #7|7|7|/panini-manga-mx/to-love-ru/to-love-ru-07.jpg|200|99.0|MXN|2018-08-01|Haruna y Rito han tenido oportunidad de estar solos en más de una ocasión. Ahora será la oportunidad de Rito para preguntarle a ella si le gusta alguien... Mientras tanto, Mikan recibirá a su maestra en casa; sin embargo, su papá está tan ocupado para hacerse cargo de los asuntos escolares que Lala idea un plan para que Rito se haga pasar por Saibai... Además, la familia Yuuki recibe otra visita inesperada.|978-6-075-48242-2|1|false
To Love-Ru #8|8|8|/panini-manga-mx/to-love-ru/to-love-ru-08.jpg|200|99.0|MXN|2018-08-29|En esta ocasión, Rito y sus amigos emprenden un viaje de esparcimiento a la playa, y Lala será la encargada de llevarlos al lugar ideal. Pero no se percató de un detalle importante, ¡no hay invento disponible para regresar a casa! Además, Rito vuelve a hablar con Haruna en el festival de verano, ¡momento indicado para declarársele! ¿Por fin lo logrará?|978-6-075-48347-4|1|false
To Love-Ru #9|9|9|/panini-manga-mx/to-love-ru/to-love-ru-09.jpg|192|99.0|MXN|2018-09-26|Haruna no tiene ninguna duda, ¡quien le gusta es Rito! Los momentos que pasan juntos se han vuelto más frecuentes y excitantes... Pero siempre aparece Lala y lo estropea todo. Lala y Mikan organizan una pijamada en casa y Haruna es una de las invitadas... ¡Será difícil para Rito tener a Sairenji justo a unos pasos de él! ¿Qué sucederá? ¡No te pierdas esta romántica y un poco pervertida historia: To Love-ru!|978-6-075-48411-2|1|false
To Love-Ru #10|10|10|/panini-manga-mx/to-love-ru/to-love-ru-10.jpg|200|99.0|MXN|2018-10-31|Lala, con el fin de hacer que Rito se fije en ella, ¡consigue un libro que explica cómo conquistar a un hombre! ¡Además, Haruna y Rito pasan un momento a solas en la enfermería! Por otro lado, ¡aparece un hombre que cuida de Yui! ¡Esta es la historia de una férrea lucha amorosa entre mujeres!|978-6-075-48431-0|1|false
