NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Tokyo Ghoul:re #1|1|1|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-01.jpg|216|99.0|MXN|2017-06-28|Los Ghouls se mezclan entre la multitud, devoran la carne de las personas. Aunque tienen apariencia de humanos, su existencia defiere de la de ellos.|978-6-075-28572-6|1|false
Tokyo Ghoul:re #2|2|2|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-02.jpg|192|99.0|MXN|2017-08-23|Siendo medio ghoul, Haise Sasaki recibe la tarea de convertirse en el mentor de Urie, Shirazu, Mutsuki y Yonebayashi, miembros de los Quinx.|978-6-075-28614-3|1|false
Tokyo Ghoul:re #3|3|3|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-03.jpg|192|99.0|MXN|2017-10-25|"Los Ghouls se reúnen en el escenario de la ""Subasta"" para vender al mejor postor humanos secuestrados."|978-6-075-28714-0|1|false
Tokyo Ghoul:re #4|4|4|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-04.jpg|192|99.0|MXN|2017-12-27|Ha pasado medio año desde el Plan de exterminio de la Subasta. Shuu Tsukiyama sufre como si se encontrara en el purgatorio. Para ayudarlo, Kanae Von Rosewald y la familia Tsukiyama una vez más salen a “cosechar”. Sin embargo, al contemplar la figura de su amo y ver que no se recupera, Kanae decide actuar por sí mismo, usando las habilidades de Chie Hori, la chica de la cámara. Por otro lado, Haise y los Quinx fueron promovidos, y su siguiente objetivo es “Rose”. ¿Cuál es la relación entre estas dos personas y “Ken Kaneki”?|978-6-075-28776-8|1|false
Tokyo Ghoul:re #5|5|5|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-05.jpg|224|99.0|MXN|2018-02-28|El Operativo de supresión de Rose por fin está dando resultados, y Haise Sasaki debe trabajar tanto con investigadores jóvenes como con veteranos. El borde entre el miedo y la realidad comienza a desaparecer. Mientras tanto, Kanae colabora con los Aogiri en un plan para eliminar a los Quinx para complacer a su amo, Shuu Tsukiyama.|978-6-075-28947-2|1|false
Tokyo Ghoul:re #6|6|6|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-06.jpg|218|99.0|MXN|2018-04-25|"El Proyecto Quinx se pone en marcha para hacer frente a los Grupos de Ghoul que tienen el poder, así como para crear investigadores capaces de superar a Kishou Arima. Haise es designado como mentor de esos cuatro niños problema, quienes pueden pelear con habilidades de los Ghouls, y que otros ven como ""Humanos no del todo normales"", ascendiendo junto con ellos de rango como reconocimiento a sus acciones durante el Operativo de Limpieza de la Subasta. Su siguiente objetivo son los Rose. Kanae persigue a Haise y los Quinx para complacer a su amo."|978-6-075-48005-3|1|false
Tokyo Ghoul:re #7|7|7|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-07.jpg|200|99.0|MXN|2018-06-04|"Toda la gente del Anteiku está determinada a enfrentar al Distrito 11 para rescatar a Kaneki, aunque con la advertencia de Yoshimura respecto a que el Kaneki que conocían ya no existe. Por otro lado, el conflicto entre la CCG y el Aogiri se agrava y Yamori encierra a Kaneki... ¡Un cruel y sobrenatural tormento le espera! Frases: ""La muerte trae la paz."" -CCG ""Mejor que lastimar a otros, sé la persona a la que lastiman. Está bien sufrir pérdidas por sentir amor y tener buenos sentimientos. "" Madre de Kaneki ""Toda situación de desventaja en este mundo es por la propia carencia de habilidad del afectado."" Rize"|978-6-075-48194-4|1|false
Tokyo Ghoul:re #8|8|8|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-08.jpg|224|99.0|MXN|2018-08-22|La última tarea de Haise Sasaki está por concluir a causa de la aparición de Kishou Arima. En este nuevo volumen seremos testigos de la evolución de estos terribles acontecimientos. Lentamente, Sukiyama pierd el autocontrol y el poder para manejar su kagune. Mientras tanto, Ayato pide ir a rescatar a Hinami de Cochlea, pero su solicitud es rechazada. Mientras tanto, la la nueva misión del equipo Quinx es capturar a la organización Rose, que ataca a Furuta y Kijima.|978-6-075-48350-4|1|false
Tokyo Ghoul:re #9|9|9|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-09.jpg|200|99.0|MXN|2018-10-31|El Escuadrón Suzuya decide ir con Houji y el camino los guía a una escena grotesca. Revelaciones sobre la CCG y los ghouls son la base de este nuevo volumen. El despliegue de quinques no tiene precedente y la revelación de quién es un kakuja se da en el centro de una batalla. Todos conocen las reglas y en la CCG está prohibido proteger a los ghouls, ¿qué consecuencias habrá para quien no las respeta?|978-6-075-48447-1|1|false
Tokyo Ghoul:re #10|10|10|/panini-manga-mx/tokyo-ghoul-re/tokyo-ghoul-re-10.jpg|200|99.0|MXN|2019-01-09|Ahora que ostenta el título de Rey de un solo ojo tras asesinar a Kishou Arima, Ken Kaneki organiza una reunión en el Café Anteiku para unir bajo su ala a todas las facciones de ghouls. Su propósito: coexistir con los humanos… pero no todos desean lo mismo. Por otro lado, Furuta revela su naturaleza manipuladora, y se dispone a ejercer el poder en una tambaleante CCG que además se encuentra bajo el ataque de los payasos. ¿Cuál será el resultado de esta cruenta batalla?|978-6-075-48562-1|1|false
