NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Tokyo Ghoul #1|1|1|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-01.jpg|224|99.0|MXN|2016-03-23|Extraños sucesos ocurren en Tokio; se piensa que las criaturas responsables son los llamados “ghouls”. En tanto, la vida de Ken Kaneki, un joven universitario muy inteligente y tímido, cambiará radicalmente cuando conozca a una extraña chica, Rize.|978-6-075-28060-8|1|false
Tokyo Ghoul #2|2|2|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-02.jpg|208|99.0|MXN|2016-04-26|Kaneki se acerca a gente misteriosa después de que le trasplantaron órganos de un ghoul. En medio de tantos problemas, el joven decide trabajar en Anteiku. De pronto, aparece un investigador de ghouls que es llamado “paloma” y destruye parte del orden que prevalecía en el Distrito 20 y, después de un triste acontecimiento, Kaneki decide aprender más acerca de cómo ser un ghoul|978-6-075-28086-8|1|false
Tokyo Ghoul #3|3|3|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-03.jpg|192|99.0|MXN|2016-05-25|Hinami es una chica cuyos padres fueron asesinados por “palomas”, sus enemigos naturales. A causa de esta tragedia, Kaneki y Touka se introducen en el cuartel central de las “palomas”: CCG. Una vez ahí, les es imposible evadir la recepción. ¡Una triste escalera en espiral los espera!|978-6-075-28106-3|1|false
Tokyo Ghoul #4|4|4|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-04.jpg|192|99.0|MXN|2016-06-29|La batalla contra los investigadores de ghouls terminó. Kaneki le dio un vistazo a la oscuridad del mundo. Humanos y ghouls, cada uno, con su respectiva voz, murmuran en Anteiku que Tsukiyama, el “ghoul gourmet”, apareció.|978-6-075-28173-5|1|false
Tokyo Ghoul #5|5|5|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-05.jpg|200|99.0|MXN|2016-07-27|Tsukiyama, el “ghoul gourmet”, es implacable en la búsqueda del “sabor aún no conocido”. La “cena” terminó. El enfrentamiento con Tsukiyama es inminente para Kaneki, Nishiki y Touka.|978160690060405|1|false
Tokyo Ghoul #6|6|6|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-06.jpg|200|99.0|MXN|2016-08-24|¡Ghouls organizados intentan destruir la CCG! El Distrito 11, lugar de donde proviene Rize, se muestra turbulento. Desde el piso debajo de Kaneki, a quien Banjou revela un repulsivo plan, aparecen asesinos del distrito 11 persiguiendo a Rize.|978160690060406|1|false
Tokyo Ghoul #7|7|7|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-07.jpg|200|99.0|MXN|2016-09-28|Toda la gente del Anteiku está determinada a enfrentar al Distrito 11 para rescatar a Kaneki, aunque con la advertencia de Yoshimura respecto a que el Kaneki que conocían ya no existe.|978-6-075-28157-5|1|false
Tokyo Ghoul #8|8|8|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-08.jpg|216|99.0|MXN|2016-10-25|"Touka y Ayato se enfrentan en una pelea que favorece al hermano menor de los Kirishima. Durante el enfrentamiento, conoceremos más del pasado de los jóvenes y los motivos que los llevaron a ser quienes son ahora. En tanto, Kaneki despierta como ghoul y pelea mortalmente con Ayato. Mientras tanto la CCG está en verdaderos problemas a causa del ""búho"". Las cosas se tranqulizan un poco y una nueva vida y objetivos esperan a Ken Kaneki."|978-6-075-28233-6|1|false
Tokyo Ghoul #9|9|9|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-09.jpg|200|99.0|MXN|2016-11-30|Ha pasado medio año desde la disputa en el Onceavo Distrito… Como reconocimiento a su servicio en la subyugación del Aogiri, diversos investigadores continúan siendo promovidos.|978-6-075-28280-0|1|false
Tokyo Ghoul #10|10|10|/panini-manga-mx/tokyo-ghoul/tokyo-ghoul-10.jpg|216|99.0|MXN|2016-12-26|La existencia de ghouls de un solo ojo creados artificialmente se ha manifestado ante Kaneki. El trabajo anterior del doctor salió a la luz. Rize está prisionera. En un procedimiento quirúrgico sin relación alguna, la silueta del plan maligno de Kanou poco a poco se revela. Kaneki y su grupo siguen las huellas del médico, pero, repentinamente, ¡“seres desconocidos” que escaparon de la Cóclea, el Centro de Detención de Ghouls, interfieren en su camino!|9786075283456|1|false
