NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Twin Star Exorcists: Onmyouji #1|1|1|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-01.jpg|200|99.0|MXN|2017-06-21|"Rokuro es de una familia de exorcistas, ¡pero prefiere ser un cantante, un jugador de fútbol o cualquier cosa menos un exorcista! Se ve obligado a reconocer su increíble potencial cuando recién llega. Benio despierta su espíritu competitivo. Pero su rivalidad se torció cuando ganaron el prestigioso título de ""Exorcistas de las estrellas gemelas"": ¡dos luchadores supremos destinados a casarse y dar a luz al mejor guerrero espiritual!"|978-6-075-28520-7|1|false
Twin Star Exorcists: Onmyouji #2|2|2|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-02.jpg|202|99.0|MXN|2017-08-16|Benio y Rokuro han sido reconocidos como dos de los onmyouji más poderosos, auqnue Rokuro se niegue a serlo. Benio se ha propuesto destruir a todos los kegare que se interpongan en su camino, y piensa hacerlo con o sin la ayuda de Rokuro. Ahora ambos han recibido la peor de las noticias: deben casarse y engendrar al Miko, jefe supremo de los onmyouji... Pero ellos ni siquiera se toleran... ¿Cómo superarán sus dferencias? ¿Podrán sobrellevar el vivir juntos? ¡Descúbrelo en el tomo 2 de Twin Star Exorcist!|978-6-075-28598-6|1|false
Twin Star Exorcists: Onmyouji #3|3|3|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-03.jpg|204|99.0|MXN|2017-10-18|Cuando era uno de los mejores estudiantes de su academia, Rokuro fue testigo y actor en un trágico incidente que lo hizo abandonar sus sueños de ser onmyouji. En el incidente todos los estudiantes de la academia murieron. Todos menos Rokuro... y entre los desaparecidos estaba un hermano de Benio. Las razones del incidente permanecen como un gran secreto, pero están por revelarse y serán dolorosas para ambos. ¿Qué les espera a las Estrellas Gemelas?¡Descúbrelo en el tomo 2 de Twin Star Exorcists!|978-6-075-28695-2|1|false
Twin Star Exorcists: Onmyouji #4|4|4|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-04.jpg|194|99.0|MXN|2017-12-20|En una relación amor-odio constante, Benio y Rokuro parecen comenzar a entenderse y la relación empieza a cambiar. Pero cuando parecen llevarse bien, aparece el hermano gemelo de Benio, Yuto, y esta dispuesto a terminar con Rokuro. Yuto es el responsable de la tragedia de Hinatsuki, de la cual Benio culpaba a Rokuro... Al descubrir la verdad, ella apoya a su esposo y dado que Seigen es derrotado por Yuto, las estrellas gemelas unen fuerzas para vencer al enemigo común... ¿Saldrán victoriosas de esta batalla? ¡Descúbrelo en el tomo 4 de Twin Star Exorcists! ¡A la venta ya!|978-6-075-28774-4|1|false
Twin Star Exorcists: Onmyouji #5|5|5|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-05.jpg|202|99.0|MXN|2018-02-21|Con altas y bajas, la relación de Benio con Rokuro ha mejorado considerablemente... Y justo cuando están empezando a aceptar su destino, aparece frente a ellos Yuto, el hermano mayor de Benio y verdadero responsable de la tragedia de Hinatsuki. Rokuro y Benio están decididos a detenerlo, y para ello se adentran en el Magano... pero en la lucha Benio es herida gravemente y pierde ambas piernas. Para su suerte, Kamui le entrega un par de piernas nuevas de kegare... ¿Serán suficientes para vencer a Yuto?|978-6-075-28950-2|1|false
Twin Star Exorcists: Onmyouji #6|6|6|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-06.jpg|202|99.0|MXN|2018-04-18|"Benio y Rkuro están viviendo juntos, muy a su pesar... Y cuando la relación entre ellos apenas está comenzando a mejorar, aparece Yuto Ijika, hermano de Benio y verdadero responsable de la ""Tragedia de Hinatsuki"". Esto los obliga a pelear juntos y, auqnue con muchas dificultades, logran repelerlo. Benio y Rokuro están decididos a persguir a Yuto hasta la isla Tsuchimikado... Si Arima se los permite. Él los considera aún poco preparados para visitr la isla y los somete a dos años de arduo y feroz entrenamiento... ¿Habrán alcanzado el nivel necesario?"|978-6-075-48029-9|1|false
Twin Star Exorcists: Onmyouji #7|7|7|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-07.jpg|192|99.0|MXN|2018-06-20|"Un Basara está a punto de capturar a Sayo mientras ella se divierte... Y cuando el espíritu del guardián de Sayo invoca al guardián de Rokuro durante la ceremonia del Mikiwame no gi, la sorpresa es mayúscula cuando lo llama ""Seimei""... ¡y más aun cuando sus inmensos poderes se enfrentan en una lucha sin cuartel! ¿Será el fin del sueño de Rokuro de ir a la isla Tsuchimikado? ¿Pasará la prueba o no? ¿De qué dependerá?"|978-6-075-48207-1|1|false
Twin Star Exorcists: Onmyouji #8|8|8|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-08.jpg|194|99.0|MXN|2018-08-15|Rokuro, Benio, Shimon y Mayura. Los cuatro persiguen a los Basara que han raptado a Sayo. Aunque logran rescatar a Sayo de las manos de los Basara, ¡¡uno de ellos aparece frente a Mayura y Sayo antes de que puedan escapar del Magano!! Presintiendo el peligro, Benio se apresura a ir a salvarlas, pero es derrotada. Esto hace que Mayura se levante, dispuesta a luchar. Pero, en ese momento, ¡¿qué es lo que aparece frente a sus ojos?! ¡Descúbrelo en el tomo 8 de Twin Star Exocrcists!|978-6-075-48321-4|1|false
Twin Star Exorcists: Onmyouji #9|9|9|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-09.jpg|200|99.0|MXN|2018-10-24|¡Sayo es herida fatalmente por Hijirimaru! ¡Shimon no tiene ya una manera de salvarla! Mayura está agotada tras la difícil lucha, y Rokuro no puede levantarse debido a sus heridas, pero en el borde de la inconsciencia, tiene una conversación con una persona misteriosa. Rokuro se levanta nuevamente y enfrenta su destino, ¡¡Él y Benio juntos logran derrotar a Hijirimaru!! Pero tras la batalla a muerte, ¡algo le ocurre a Benio! ¿Qué será? ¡Descúbrelo en el volumen 9 de tu serie Twin Star Exorcists!|978-6-075-48453-2|1|false
Twin Star Exorcists: Onmyouji #10|10|10|/panini-manga-mx/twin-star-exorcists/twin-star-exorcists-10.jpg|200|99.0|MXN|2018-12-19|Benio ha perdido su poder espiritual y se queda atrás, ¡y Rokuro parte junto con Mayura hacia la isla Tsuchimikado! A pesar de llegar animado porque su deseo de poner fin a la lucha con Yuto se ha cumplido, lo que lo recibe son las sospechas y las envidias de los más prestigiosos clanes. Rokuro se prepara entonces para encarar la imposible verdad que le espera... cuando una nueva prueba se alza ante él... ¿logrará superarla? Descúbrelo en el volumen 10 de tu serie Twin Star Exorcists.|978-6-075-48567-6|1|false
