NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ultraman #1|1|1|/panini-manga-mx/ultraman/ultraman-01.jpg|0|109.0|MXN|2019-03-27|El Gigante de Luz, Ultraman, salvó el planeta de la amenaza alienígena, y el humano con quien se fusionó, Shin Hayata, regresó a su vida normal tras perder sus recuerdos al respecto; no obstante, su hijo Shinjiro hereda sus poderes gracias al Factor Genético de Ultraman. Muchos años han pasado; un antiguo enemigo busca a Shinjiro para asesinarlo antes de que sus poderes maduren, pero Shin lo impide, enfrascándose en una batalla que no puede ganar. Es entonces cuando su hijo decide salvarlo con la ayuda de un nuevo traje clase Ultraman, diseñado específicamente para él.|978-6-075-48800-4|1|false
Ultraman #2|2|2|/panini-manga-mx/ultraman/ultraman-02.jpg|200|109.0|MXN|2019-05-22|Tras la sorpresiva revelación de la existencia de alienígenas aliados dentro del Equipo Científico Especial, Shinjiro comienza su entrenamiento y lleva a cabo sus primeras hazañas como el nuevo Ultraman; no obstante, no cuenta con la aparición del alienígena Adacic, quien no solo lo pone contra las cuerdas, sino que amenaza la vida de gran cantidad de inocentes, incluyendo a una idol sumamente interesada en el joven héroe. Shinjiro debe explotar al máximo su traje si desea destruir esta amenaza.|978-6-075-48903-2|1|false
Ultraman #3|3|3|/panini-manga-mx/ultraman/ultraman-03.jpg|200|109.0|MXN|2019-07-24|Tras acabar con el alienígena Adacic, Shinjiro comienza a sentir remordimiento y a dudar respecto a convertirse en Ultraman; sin embargo, Moroboshi interrumpe sus reflexiones para llevarlo a la impresionante Ciudad Alienígena; ahí conocen a Red, un humano único que funge como informante. Mientras tanto, Endo y Kurata continúan investigando los asesinatos en serie, pero ignoran que esto llamará la atención de Bemlar y otro peligroso enemigo. Por otro lado, parece que Shinjiro no es el único candidato para convertirse en Ultraman.|978-6-076-34052-3|1|false
Ultraman #4|4|4|/panini-manga-mx/ultraman/ultraman-04.jpg|200|109.0|MXN|2019-09-25|Si bien Shinjiro tenía sus dudas respecto a asumir el manto de héroe, no esperaba que Moroboshi apareciera vistiendo el traje Ultraman 7.0 listo para combatir la amenaza alienígena. Tras este acontecimiento, la determinación del joven héroe se enciende, pero sus problemas apenas comienzan: al parecer, Jack y Red recibieron la orden de eliminarlo. y, mientras tanto, ¡la vida de Rena, idol y fan de Ultraman, está en peligro!|978-6-076-34199-5|1|false
Ultraman #5|5|5|/panini-manga-mx/ultraman/ultraman-05.jpg|200|109.0|MXN|2019-11-27|¡Los fans de Rena Sayama son rehenes en el concierto de la joven idol! Y como si la amenaza del alienígena Adad no fuera suficiente, Bemlar irrumpe en la escena. pero, cuando Shinjiro y Moroboshi menos lo esperan, un tercer personaje aparece y acelera los acontecimientos hasta que desembocan en un final sangriento e inesperado. Posteriormente, Shinjiro conoce a Seiji, un muchacho aparentemente normal, pero que conoce su identidad secreta.|978-6-076-34052-3|1|false
Ultraman #6|6|6|/panini-manga-mx/ultraman/ultraman-06.jpg|200|119.0|MXN|2020-01-29|El sueño de Shinjiro se hace realidad: ¡Rena lo busca para salir con él! Pero su objetivo es sacarle información sobre Ultraman y, evidentemente, el asunto no le hace mucha gracia a Moroboshi. Mientras tanto, Hokuto comienza a cazar alienígenas utilizando su traje As, pero sus objetivos no parecen precisamente nobles. y aún queda la duda de cómo averiguó la identidad de Shinjiro. Por su parte, Moroboshi no planea permitir que haga lo que le plazca.|978-6-076-34460-6|1|false
Ultraman #7|7|7|/panini-manga-mx/ultraman/ultraman-07.jpg|200|119.0|MXN|2020-03-25|El incidente aéreo que involucró a Bemlar hace algunos años parece tener implicaciones importantes, pues está relacionado con Hokuto y el Consejo Cúmulo estelar, sin mencionar que existe una sobreviviente que ha vivido en el anonimato desde entonces. A raíz de esto, Shinjiro y Moroboshi comienzan a investigar para desentrañar la verdad, pero son atacados por los Ace Killers, un grupo de asesinos profesionales alienígenas. Por si fuera poco, un contendiente inesperado se unirá a la batalla.|978-6-076-34561-0|1|false
Ultraman #8|8|8|/panini-manga-mx/ultraman/ultraman-08.jpg|196|119.0|MXN|2020-06-24|En el momento decisivo de su combate contra el escuadrón de Ace Killer, Hokuto recuerda su promesa con Yuko y, gracias a ello, hace uso de todo su poder a fin de no ser aniquilado; una vez concluido el combate, Bemlar se presenta y hace un trato con Shinjiro; por su parte, este último comienza a familiarizarse con un nuevo traje de Ultraman que le permite volar. Mientras tanto, una nueva amenaza aparece en Nueva York.|978-6-076-34826-0|1|false
Ultraman #9|9|9|/panini-manga-mx/ultraman/ultraman-09.jpg|198|119.0|MXN|2020-07-22|Después de ser atacado por un humanoide de ojos brillantes, Kotaro Higashi adquiere superpoderes y decide usarlos a favor de la humanidad, aunque el traje que confecciona basándose en Ultraman es bastante. peculiar. Mientras tanto, Estrella de la Penumbra, una organización alienígena hostil a la humanidad, revela públicamente su intención de conquistar la Tierra; al parecer, Moroboshi conoce a uno de sus integrantes.|978-6-076-34937-3|1|false
Ultraman #10|10|10|/panini-manga-mx/ultraman/ultraman-10.jpg|200|119.0|MXN|2020-09-23|¡El arma biológica de Estrella de la Penumbra sume Nueva York en un terrible caos! Sus habitantes, incluyendo a Rena, están en peligro, y todo empeora tras la aparición de un grupo de alienígenas hostiles. Shinjiro y Moroboshi se apresuran a enfrentar la situación, y no están solos: diversos héroes que combaten bajo el estandarte de Ultraman se unen a la causa.|978-6-076-34999-1|1|false
