NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Vagabond #1|1|1|/panini-manga-mx/vagabond/vagabond-01.jpg|268|129.0|MXN|2019-03-27|Musashi Miyamoto: el espadachín más famoso de Japón, creador del estilo de las dos espadas (Niten Ichi-ryu) y célebre por permanecer invicto tras 61 duelos a lo largo de sus sesenta años de vida. De la pluma de Takehiko Inoue, el maestro detrás de Slam Dunk, llega este manga cargado de emoción, drama y combates, que narra la historia del legendario guerrero desde sus 17 años, cuando aún era conocido como Takezo Shinmen y recién había participado en la Batalla de Sekigahara. ¡No te pierdas los orígenes de este icónico personaje!|978-6-075-48776-2|1|false
Vagabond #2|2|2|/panini-manga-mx/vagabond/vagabond-02.jpg|256|129.0|MXN|2019-05-29|"Nadie en la aldea Miyamoto es capaz de hacerle frente al beligerante Takezo, quien infunde terror en los habitantes y es apodado ""vil demonio"". No obstante, el monje Takuan, con ayuda de Otsu, se las ingenia para capturarlo y decide colgarlo de un árbol. Mientras padece su tormento, Takezo reflexiona sobre el río sangriento que ha sido su vida desde que era niño. En el umbral de la muerte, ¿se rendirá para extinguir su dolor, o levantará su mirada en pos de la redención?"|978-6-075-48981-0|1|false
Vagabond #3|3|3|/panini-manga-mx/vagabond/vagabond-03.jpg|240|129.0|MXN|2019-07-24|Tras su muerte simbólica, Takezo Shinmen renace como Musashi Miyamoto y, siguiendo su sed de combatir contra rivales dignos, viaja hacia Kioto con el propósito de retar al maestro del dojo Yoshioka: Seijuro. Lo que el joven ronin ignora es que encontrará más contrincantes a la altura, como Ryohei Ueda y Denshichiro, hermano de Seijuro, y que en el poblado viven otras personas de su pasado. ¿Musashi superara este desafío y, más importante, sobrevivirá?|978-6-076-34121-6|1|false
Vagabond #4|4|4|/panini-manga-mx/vagabond/vagabond-04.jpg|210|129.0|MXN|2019-09-25|Tras el combate en el dojo Yoshioka, Musashi se reencuentra con un antiguo camarada: el monje Takuan, con quien conversa sobre sus sentimientos por Otsu y su dedicación al camino de la espada. También conoce a Jotaro, un mozuelo que desea ser su discípulo, y decide encaminarse hacia Nara en pos de enemigos más fuertes. Mientras tanto, Toji Gion, asesino de los Yoshioka, sigue sus pasos para vengarse. Hozoin, el templo lanza, será el lugar donde sus caminos se cruzarán.|978-6-076-34265-7|1|false
Vagabond #5|5|5|/panini-manga-mx/vagabond/vagabond-05.jpg|208|129.0|MXN|2019-11-27|Tras derrotar a Agon, Musashi se enfrenta a Inshun, segundo al mando en Hozoin, el templo lanza. Sorpresivamente, el joven monje resulta ser un guerrero mucho más temible y con temple de acero y, a lo largo de la batalla, Musashi está constantemente al borde de la muerte y siente por primera vez la verdadera presión del miedo, pero contraataca con su fuerza bestial y su terrible sed de sangre. ¡¿Podrá ganar el duelo. o simplemente sobrevivir?!|978-6-076-34358-6|1|false
Vagabond #6|6|6|/panini-manga-mx/vagabond/vagabond-06.jpg|208|139.0|MXN|2020-01-29|Tras su combate contra Inshun, del cual apenas escapa con vida, Musashi toma conciencia sobre sus propios límites y es presa del miedo y la frustración; no obstante, decide continuar en el camino de la espada y le pide al viejo monje, antaño un excelente guerrero, que lo entrene. Mientras tanto, un documento perteneciente a un habilidoso espadachín cae en manos de Matahachi, quien decide usarlo para cambiar su suerte. ¿El nombre del espadachín? Kojiro Sasaki.|978-6-076-34543-6|1|false
Vagabond #7|7|7|/panini-manga-mx/vagabond/vagabond-07.jpg|208|139.0|MXN|2020-03-25|Musashi es presa del miedo poco antes de su combate mortal contra Inshun y decide lanzar un ataque sorpresa durante la noche, pero Munisai, su padre, lo reprende en una visión, así que descarta el plan y se queda dormido. Al amanecer al fin encara al joven monje e inician su duelo; sin embargo, ninguno se atreve a dar el primer paso. ¿Cuál será la conclusión de este enfrentamiento físico y espiritual?|978-6-076-34699-0|1|false
Vagabond #8|8|8|/panini-manga-mx/vagabond/vagabond-08.jpg|208|139.0|MXN|2020-06-24|La batalla mortal entre Inshun y Musashi continúa sin que sea claro quién será el vencedor. Inshun lanza los ataques que le enseñó su maestro Inei, pero Musashi logra superarlos para luego herir a su rival. Y mientras la sangre del segundo al mando del templo Hozoin fluye sin detenerse, los recuerdos de su infancia comienzan a invadir su mente, en los que aparece la violación de su madre a manos de un samurái.|978-6-076-34824-6|1|false
Vagabond #9|9|9|/panini-manga-mx/vagabond/vagabond-09.jpg|208|139.0|MXN|2020-07-22|La nueva meta de Musashi es vencer a Sekishusai Yagyu, el viejo maestro que tomó a Otsu a su servicio, pero no contaba con las dificultades para obtener una audiencia; sin embargo, gracias a una sutil demostración de su valía como espadachín, es recibido por los cuatro mejores discípulos del dojo para conversar sobre el camino de la espada. pero Musashi tiene otros planes.|978-6-076-34938-0|1|false
Vagabond #10|10|10|/panini-manga-mx/vagabond/vagabond-10.jpg|208|139.0|MXN|2020-09-23|¡El caos se desata en la morada de Yagyu Sekishusai! Musashi, decidido a batirse en duelo con el viejo maestro, inicia su batalla campal contra los cuatro mejores discípulos del castillo, quienes usan toda su fuerza para impedir el avance del joven ronin. Por su parte, Otsu comienza a tocar la flauta y, a lo lejos, Musashi reconoce la melodía.|978-6-076-34997-7|1|false
Vagabond #11|11|11|/panini-manga-mx/vagabond/vagabond-11.jpg|224|139.0|MXN|2020-11-25|El inigualable Sekishusai Yagyu luce completamente vulnerable mientras duerme; Musashi se siente tentado de acabar con él con un solo corte, pero, a causa de ciertos recuerdos sobre su padre y el breve despertar del poderoso anciano, abandona sus malas intenciones y opta por continuar su viaje en solitario. Al día siguiente, desolados por su partida, Otsu y Jotaro deciden seguir su rastro.|978-6-075-68111-5|1|false
Vagabond #12|12|12|/panini-manga-mx/vagabond/vagabond-12.jpg|224|139.0|MXN|2021-02-24|Poco a poco, Musashi mejora su habilidad con la espada y derrota a una gran cantidad de adversarios; sin embargo, se da cuenta de que aún está muy lejos del nivel espiritual de sus maestros y de Sekishusai. El siguiente reto en la senda del joven guerrero es Baiken Shishido, maestro de la kusarigama. Por su parte, Matahachi sufrirá una terrible pérdida, consecuencia de asumir un título que no merece.|978-6-075-68213-6|1|false
