NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Vampire Knight #1|1|1|/panini-manga-mx/vampire-knight/vampire-knight-01.jpg|192|99.0|MXN|2014-03-14|Dentro de la Academia Cross, existe un grupo de estudiantes muy populares, conocidos como la clase nocturna. En realidad es un grupo de vampiros, y los estudiantes de la clase diurna Yuki y Zero se encargan de mantener esto en secreto. Pero Zero odia con fervor a los vampiros, ¿cuál es la verdadera razón de ello y la relación con su propio pasado?Mucho más peligroso que el triángulo amoroso de Crepúsculo, es el formado por Kaname, Yuki y Zero en Vampire Knight, donde el amor tiene sabor a sangre.|000-0000000000|1|false
Vampire Knight #2|2|2|/panini-manga-mx/vampire-knight/vampire-knight-02.jpg|192|99.0|MXN|2014-07-09|Zero no puede ocultar más que es un vampiro. Al verlo afligido, guiándose por su corazón y sus instintos, Yuuki decide ayudarlo. Juntos van a una fiesta de la clase nocturna, donde algunos secretos del mundo de los vampiros se les revelan.Además, la aparición de un hombre del pasado de Zero cambia por completo las cosas. ¡Todo esto y más en este segundo tomo!|000-0000000000|1|false
Vampire Knight #3|3|3|/panini-manga-mx/vampire-knight/vampire-knight-03.jpg|192|99.0|MXN|2014-08-31|Yuuki siente el distanciamiento de su adorado Kaname. Ichijoues quien le señala esta situación y Yuuki no puede ocultar supreocupación.El pasado de Yuuki, Kaname y Zero. ¡¡El momento en el que se conocieron, hace ya 10 años, es revelado!!¿¡Y qué pasará cuando Zero reciba un encargo como cazador!? Encontrarás más material extra y exclusivo en este ¡¡impactante tomo número 3!!|000-0000000000|1|false
Vampire Knight #4|4|4|/panini-manga-mx/vampire-knight/vampire-knight-04.jpg|192|99.0|MXN|2014-09-17|Cuando la clase nocturna conoció a Maria, la misteriosa estudiante de intercambio, hubo reacciones muy intensas; en particular, la de Zero, quien en el instante en que la vio sucumbió al impulso furioso de confrontarla con la Rosa Sangrienta en mano.¡¿Quién es en realidad esta chica que provoca tanta sospecha?! Por otro lado, ¡¿qué puede hacer Yuuki para ayudar a Zero a salvarse?!|000-0000000000|1|false
Vampire Knight #5|5|5|/panini-manga-mx/vampire-knight/vampire-knight-05.jpg|192|99.0|MXN|2014-10-07|"Shizuka Hiou, la pura sangre que mató a la familia de Zero y lo convirtió en vampiro, fue asesinada por Kaname. Pero ¿¡dejó que Zero recibiera la culpa!? ¿¡Y por qué lo llamó ""enemigo de los pura sangre""!?Yuuki sigue dividida entre Zero y Kaname. Mientras tanto el odio de Ichiru hacia su hermano Zero, ha crecido áun más. ¡¡Y en la noche del gran baile de la Academia Cross, nuevos recuerdos florecerán!! ¡¡El imperdible e impactante quinto tomo!!"|000-0000000000|1|false
Vampire Knight #6|6|6|/panini-manga-mx/vampire-knight/vampire-knight-06.jpg|192|99.0|MXN|2014-11-12|"Zero, el condenado a convertirse en un vampiro nivel E, se sintió atraído por los labios de Yuuki. Después, durante una reunión nocturna, Kaname le pregunta a Yuuki si no quiere ser un vampiro, esto la estremece y decide que debe recuperar sus recuerdos perdidos.Llegaron las vacaciones de invierno a la academia.pero ¿¡quién es este nuevo personaje que empieza a moverse en la oscuridad!? Además, el material extra ""Kaname-sama y yo antes de la clase nocturna"", en este sexto tomo."|000-0000000000|1|false
Vampire Knight #7|7|7|/panini-manga-mx/vampire-knight/vampire-knight-07.jpg|192|99.0|MXN|2014-12-22|"Hace cuatro años, Shizuka mató a la familia de Zero y lo convirtió en vampiro. Para evitar perder la razón, Zero necesita beber la sangre de Shizuka. Como Yuuki juró protegerlo, le ofreció su vida a Shizuka a cambio de que salvara a Zero, antes de que eso sucediera, Kaname asesinó en secreto a Shizuka.Yuuki estaba decidida a recuperar sus recuerdos perdidos pero una misteriosa fuerza se lo impidió, se estremeció y Zero la abrazó. ¿Cuál será la verdad sobre el pasado de Yuuki? Por otra parte, Kaname presiente que alguien se acerca, ¿quién será? Senri fue llevado a la cripta subterránea de una mansión, ahí se encontraba su padre vampiro, que había estado dormido todo este tiempo, quien le dijo: ""préstame tus poderes"". ¿Qué significa eso?"|000-0000000000|1|false
Vampire Knight #8|8|8|/panini-manga-mx/vampire-knight/vampire-knight-08.jpg|192|99.0|MXN|2015-01-15|Yuuki es atormentada por pesadillas sangrientas, ¡de pronto, Kaname decide clavar sus colmillos en su cuello! Gracias a eso recupera la memoria y logra entender su realidad. Zero recibe un impacto, pero, ¿¡a quién apuntaba el arma.!?Mientras tanto, Rima decide confrontar a Rido, ¡él está manipulando el cuerpo de Shiki!¡También encontrarás material extra como la historia de Shizuka e Ichiru, y otras más!|000-0000000000|1|false
Vampire Knight #9|9|9|/panini-manga-mx/vampire-knight/vampire-knight-09.jpg|192|99.0|MXN|2015-02-11|"Zero recibe el abrumador impacto de saber que Yuuki es un vampiro pura sangre y Kaname le dice: ""Puedes derrotar a Rido."" ¿Podrá hacerlo Zero al ser rechazado? Rido aparece frente a Yuuki quien desea proteger la Academia con gran determinación. ¿Cuál será su objetivo? Después de cumplir la misión asignada por Kaname, la Clase Nocturna se ha levantado.¡Se alza el telón para dar inicio a la lucha!"|000-0000000000|1|false
Vampire Knight #10|10|10|/panini-manga-mx/vampire-knight/vampire-knight-10.jpg|192|99.0|MXN|2015-03-11|Después del tremendo impacto de la revelación del origen de Yuuki. Tanto ella como Zero contemplan si es posible algún futuro juntos, pero entre vampiros y cazadores cualquier relación cordial es imposible. En un momento de gran peso emocional, Yuuki y Zero se despiden, inmediatamente después, ella se reúne con Kaname y abandonan la Academia. Todo ha cambiado para siempre en la relación de Yuuki con Zero y Kaname.|000-0000000000|1|false
Vampire Knight #11|11|11|/panini-manga-mx/vampire-knight/vampire-knight-11.jpg|192|99.0|MXN|2015-04-08|Ha pasado un año desde el día en que se separaron. Zero continuó sus actividades como cazador mientras asistía a la Academia. Por otra parte, Yuuki se ha mantenido oculta en la mansión Kuran, y Kaname se ha convertido en el pilar del lado vampiro. Zero y los demás cazadores ¡llevarán a cabo la primera reunión del nuevo sistema de la asociación de cazadores! La leyenda sangrienta, el tomo 11 irrumpe en una nueva era para Vampire Knight.|000-0000000000|1|false
Vampire Knight #12|12|12|/panini-manga-mx/vampire-knight/vampire-knight-12.jpg|192|69.0|MXN|2015-05-20|Ha pasado un año desde que Zero y Yuuki se separaron, ahora han coincidido en la Fiesta Nocturna, Zero tiene sentimientos encontrados al ver que Yuuki es presentada como la hermana de Kaname quien ahora se encuentra en la cima de la sociedad vampírica. Cazadores y vampiros se enredan en especulaciones confusas y los pura sangre tienen un movimiento perturbador. ¡Nuevamente se derrama sangre inocente que sacude a este impactante tomo doce!|000-0000000000|1|false
Vampire Knight #13|13|13|/panini-manga-mx/vampire-knight/vampire-knight-13.jpg|192|99.0|MXN|2015-07-01|Por el incidente de la misteriosa muerte del pura sangre Ouri y una cazadora, Yuuki ha comenzado a movilizarse con el fin de detener las muertes sin sentido causadas por los pura sangre. De repente aparece el líder del Clan Touma quien ataca sorpresivamente a Yuuki, ¡Pero Zero la protege! Yuuki es llevada de nuevo a la mansión donde recuperará recuerdos del pasado de los vampiros y conocerá toda la verdad acerca del fundador a través de la sangre de Kaname.|000-0000000000|1|false
