NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
We Never Learn #1|1|1|/panini-manga-mx/we-never-learn/we-never-learn-01.jpg|200|119.0|MXN|2020-11-04|Nariyuki Yuiga es una estudiante modelo en tercer año de bachillerato que se esfuerza para obtener una recomendación de su escuela para entrar a la universidad. El director de la escuela acepta dársela, pero con la condición de que ayude a estudiar a sus compañeras Fumino Furuhashi y Rizu Ogata para el examen de admisión a la universidad. Nariyuki pensaba que las dos eran unos genios, pero no sabía que tenían sueños dispares con sus talentos. Nariyuki las va conociendo, y jura hacer que sean admitidas en la universidad de su elección mientras diversas situaciones cómicas se van dando entre los tres.|978-6-075-68113-9|1|false
We Never Learn #2|2|2|/panini-manga-mx/we-never-learn/we-never-learn-02.jpg|192|119.0|MXN|2021-02-03|Nariyuki continúa echándole ganas para enseñar a estudiar a Rizu, Fumino y Uruka. Por consejos de la maestra encargada anteriormente de la educación de las chicas, el director le impone la condición de que deben obtener más del promedio en los siguientes exámenes. Y las chicas dan su mejor esfuerzo para lograrlo. Luego todos van a una excursión escolar, y Rizu, quien empieza a sentir algo por Nariyuki, tiene un ataque de histeria y huye al bosque. Él va a buscarla, y algo inesperado sucede.|978-6-075-68212-9|1|false
We Never Learn #3|3|3|/panini-manga-mx/we-never-learn/we-never-learn-03.jpg|192|119.0|MXN|2021-03-24|Se empiezan a esparcir varios rumores en la escuela acerca de Nariyuki, como que ha besado a alguien o que tiene novia. Esto afecta a Uruka y Rizu y hace que bajen sus calificaciones. Fumino se da cuenta de que a ambas les gusta él y trata de apoyarlas. Por otro lado, Uruka se esfuerza demasiado tanto en el estudio como en la natación y termina desmayándose. Nariyuki la acompaña a la enfermería, donde se entera de algo muy importante...|978-6-075-68294-5|1|false
We Never Learn #4|4|4|/panini-manga-mx/we-never-learn/we-never-learn-04.jpg|192|119.0|MXN|2021-04-28|Nariyuki oye el rumor de que él es el chico que le gusta a Uruka y se lo pregunta directamente. Pero ella lo niega porque no quiere que su relación cambie ni que estorbe en el estudio. Por otro lado, Rizu sueña que Nariyuki la besa, lo que la deja perpleja, y decide usar métodos poco ortodoxos para investigar el fenómeno. Y en un curso de verano en una academia, Nariyuki conoce a otra chica que no sabe estudiar y que lo meterá en más problemas.|978-6-075-68305-8|1|false
We Never Learn #5|5|5|/panini-manga-mx/we-never-learn/we-never-learn-05.jpg|184|119.0|MXN|2021-05-26|Nariyuki y las chicas continúan asistiendo al curso de verano en la academia. Un día, para distraerse, acompaña a su familia a un festival, donde se encuentra con Uruka, y ambos ayudan en el puesto de udon de los Ogata. Sin embargo, Nariyuki pierde el último tren para regresar a casa, al igual que Fumino. Estando alejados de la ciudad, pueden ver un hermoso cielo estrellado, y ella le cuenta la razón por la que adora la astronomía.|978-6-075-68373-7|1|false
We Never Learn #6|6|6|/panini-manga-mx/we-never-learn/we-never-learn-06.jpg|192|119.0|MXN|2021-06-02|Nariyuki y Uruka van a su antigua secundaria donde hablan sobre los viejos tiempos y estrechan más su amistad. Luego, Nariyuki conoce a Miharu, la hermana menor de la maestra Kirisu, quien siente celos por la cercanía que él y la profesora tienen. Al final, antes de que terminen las vacaciones de verano, Nariyuki y Asumi van a la playa a una sesión de fotos, pero una cadena de sucesos desafortunados los mete en muchas dificultades, ¡donde y la profesora Kirisu también resulta involucrada!|978-6-075-68434-5|1|false
We Never Learn #7|7|7|/panini-manga-mx/we-never-learn/we-never-learn-07.jpg|192|119.0|MXN|2021-07-28|Nariyuki y las chicas regresan a clases y se crean más enredos. Fumino descubre que una foto de ella con Nariyuki saliendo de la posada circula en las redes sociales, y ambos se convierten en investigadores para conseguir que la borren. Otro día, un tifón se acerca a la ciudad, pero Fumino no desea regresar a casa para no pasar tiempo con su padre. Nariyuki se pregunta qué habrá detrás de ello, pero guarda silencio y la acompaña a un cine de películas viejas mientras pasa la tormenta.|978-6-075-68529-8|1|false
We Never Learn #8|8|8|/panini-manga-mx/we-never-learn/we-never-learn-08.jpg|200|119.0|MXN|2021-08-25|Llega el día del festival del Campus Ichinose, y todos están muy atareados en el proyecto de cada uno de sus grupos. Sin embargo, Nariyuki tiene tiempo libre y hace todo lo posible para ayudar a sus compañeras y hacer que sus proyectos sean un éxito. Por ejemplo, promociona el udon de Rizu, confecciona un disfraz para Uruka, y... ¿hace el papel del príncipe en la obra de Fumino? Al final, ¿cuál será la chica con la que vea los fuegos artificiales para que se cumpla la leyenda de amor de su escuela?|978-6-075-68578-6|1|false
We Never Learn #9|9|9|/panini-manga-mx/we-never-learn/we-never-learn-09.jpg|192|119.0|MXN|2021-09-22|En este número, lleno de comedia y enredos, nos enteramos de que Asumi les tiene pavor a los roedores. Por otro lado, la maestra Kirisu aprende a cocinar bajo las indicaciones de Nariyuki. Y Rizu se divierte en el evento de juegos de mesa del café de maids. Además, gracias a que ganó la competencia nacional de natación, le ofrecen a Uruka estudiar en el extranjero si logra calificaciones altas en inglés. ¿Qué decisión tomará?|978-6-075-68659-2|1|false
We Never Learn #10|10|10|/panini-manga-mx/we-never-learn/we-never-learn-10.jpg|192|119.0|MXN|2021-10-27|Uruka acepta la propuesta de ir a estudiar al extranjero y empieza a marcar distancia entre ella y Nariyuki. Fumino siente un poco de celos, pero los apoya en secreto. Además, Fumino y su padre tienen una sesión de orientación en la escuela y ¡¡se arma una gran discusión!!|978-6-075-68721-6|1|false
