NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Yo-kai Watch #1|1|1|/panini-manga-mx/yo-kai-watch/yo-kai-watch-01.jpg|192|49.0|MXN|2016-09-07|"Nathan Adams es un estudiante normal de quinto de primaria que podrías encontrar en cualquier parte. Un día, mientras pasaba por la montaña detrás de su casa, se encontró con Whisper, el Yo-kai mayordomo. De él recibió un misterioso artefacto que le permite ver a los Yo-kai: el ""Yo-kai Watch"". ¡Ahora, Nathan deberá ayudar a los Yo-kai con sus problemas y volverse su amigo! ¡Esta es una comedia de Yo-kai extraños que te harán reír de principio a fin! ""Soy un estudiante normal de primaria"" - Nathan""Quizá puedas mediar entre los seres humanos y los Yo-Kai, ¿no?"" - Whisper""Me convertiré en un gato fuerte que pueda derrotar a los camiones"" - Jibanyan"|978-6-075-28115-5|1|false
Yo-kai Watch #2|2|2|/panini-manga-mx/yo-kai-watch/yo-kai-watch-02.jpg|192|49.0|MXN|2016-10-05|"Nathan Adams es un estudiante común de primaria que recibió un ""Yo-kai Watch"" un artefacto que le permite ver a los fantasmas y espectros conocidos como los ""Yo-Kai"". Hay Yo-Kai que te ponen feliz, otros muy triste, algunos se comen tus sueños o te dan buena suerte, acompaña a Nathan y a sus amigos Whisper y Jibanyan en sus divertidas aventuras con los misteriosos Yo-kai que viven en el mundo.FRASES""Me siento feliz de poder ser útil"" - Whisper""Obtuve la medalla Yo-Kai, la prueba de nuestra amistad"" - Nathan""No te preocupes, este chico no es tu enemigo"" - Whisper"|978-6-075-28197-1|1|false
Yo-kai Watch #3|3|3|/panini-manga-mx/yo-kai-watch/yo-kai-watch-03.jpg|192|49.0|MXN|2016-11-23|"Nathan Adams es un estudiante común de primaria que recibió un ""Yo-kai Watch"" un artefacto que le permite ver a los fantasmas y espectros conocidos como los ""Yo-Kai"". Dudu está fuera de control, esto solo puede ser obra de Rebelcebú, el Yo-kai delincuente, esto promete ser una batalla increíble. ¡Ido y Negasus también le causarán problemas a Nathan, Whisper y Jibanyan pero no tantos como el terrible Termascino!"|978-6-075-28248-0|1|false
Yo-kai Watch #4|4|4|/panini-manga-mx/yo-kai-watch/yo-kai-watch-04.jpg|192|49.0|MXN|2016-12-21|"Nathan Adams es un estudiante común de primaria que recibió un ""Yo-kai Watch"" un artefacto que le permite ver a los fantasmas y espectros conocidos como los ""Yo-Kai"". Nathan conocerá a Ejemtos, el Yo-Kai que irrita la garganta y a NIngarra, el Yo-Kai que nació de una cigarra y que tiene una lección muy importante sobre aprovechar el tiempo. Por último aparecerá Shogunyan, el legendario Yo-Kai antepasado de Jibanyan."|978-6-075-28308-1|1|false
Yo-kai Watch #5|5|5|/panini-manga-mx/yo-kai-watch/yo-kai-watch-05.jpg|192|56.0|MXN|2017-01-11|"Nathan Adams es un estudiante común de primaria que recibió un ""Yo-kai Watch"" un artefacto que le permite ver a los fantasmas y espectros conocidos como los ""Yo-Kai"". Este número está lleno de historias sobre el origen de Whisper y de Jibanyan. Tambiñén conoceremos a Gargazampa, nos cuidaremos de los chismes de Cotilleja y nos protegeremos de las mordidas de Cantonio."|978-6-075-28351-7|1|false
Yo-kai Watch #6|6|6|/panini-manga-mx/yo-kai-watch/yo-kai-watch-06.jpg|192|56.0|MXN|2017-02-01|"Nathan Adams es un estudiante común de primaria que recibió un ""Yo-kai Watch"" un artefacto que le permite ver a los fantasmas y espectros conocidos como los ""Yo-Kai"". Conoce al discreto Nostoy, el aguerrido y salvaje Termascino, al mocoso Mokopavo y al soberbio y misterioso Diamnyan. ¡Disfruta también las minihistorias especiales!"|978-6-075-28378-4|1|false
Yo-kai Watch #7|7|7|/panini-manga-mx/yo-kai-watch/yo-kai-watch-07.jpg|104|56.0|MXN|2017-03-01|Con Cupístolo, a la gente más le gustarás. Flamileón una gran motivación te dará. Sin Suspicioni, en las personas podrás confiar. Si eres como Gargantúo, a los otros odiarás. Pasodón a bailar te pondrá. Muchas aventuras y misterios te esperan, en cuanto abras este tomo 7 de Yo-Kai Watch!|978-6-075-28410-1|1|false
Yo-kai Watch #8|8|8|/panini-manga-mx/yo-kai-watch/yo-kai-watch-08.jpg|104|56.0|MXN|2017-04-05|Si tocas a Katano, muy perezoso te harás. Globqueo tu camino bloqueará, pero Jibanyan a él vencerá. Mas al malvado Ilúho deberás ignorar. Muchas aventuras y misterios te esperan, en cuanto abras este tomo 8 de Yo-Kai Watch!|978-6-075-28451-4|1|false
Yo-kai Watch #9|9|9|/panini-manga-mx/yo-kai-watch/yo-kai-watch-09.jpg|192|56.0|MXN|2017-05-03|"Nathan, Jibanyan y Whisper siguen viviendo grandes aventuras con el ""Yo-kai Watch"". ¿Por qué hace tanto frio? ¿Será culpa de Fristina? Timidiablo puede ser del otro mundo pero al mismo tiempo muy miedoso. ¡Cuidado con Belladona que absorbe la juventud de la gente! ¡Prepárate para conocer a Sombrillo, uno de los Yo-Kai clásicos más antiguos que existen!"|978-6-075-28460-6|1|false
Yo-kai Watch #10|10|10|/panini-manga-mx/yo-kai-watch/yo-kai-watch-10.jpg|104|56.0|MXN|2017-06-07|Nathan, Whisper y Jibanyan siguen metiéndose en divertidos problemas debido a las acciones de Yo-Kai muy juguetones como Apelica, el Yo-Kai estadounidense, Chíclope que a pesar de su apariencia es como un niño travieso. No sabemos qué es lo que está pensando Inexpreso, el Yo-Kai sin cara y pasaremos de las disculpas a la alegría con Losiento y Contentallo.|978-6-075-28503-0|1|false
