NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Your Lie in April #1|1|1|/panini-manga-mx/your-lie-in-april/your-lie-in-april-01.jpg|224|99.0|MXN|2018-04-11|Kosei Arima era un pianista prodigioso que a los once años lo conocían como “El Metrónomo Humano”. Sin embargo, al morir su madre perdió la capacidad de escuchar la música que producía y dejó el piano para siempre… O eso pensaba, pues por azares del destino conoció a Kaori Miyazono, una violinista rebelde que lo admira, y por quien Kosei comienza a sentir una fuerte atracción. ¡Comienza una emotiva historia centrada en la música y los sentimientos que provoca!|978-6-075-48018-3|1|false
Your Lie in April #2|2|2|/panini-manga-mx/your-lie-in-april/your-lie-in-april-02.jpg|200|99.0|MXN|2018-06-13|Kaori Miyazono se encuentra en la segunda fase de las preliminares del Concurso Musical de Towa, gracias a la recomendación del público. Así que le pide a Kosei que sea su acompañante en el piano.|978-6-075-48198-2|1|false
Your Lie in April #3|3|3|/panini-manga-mx/your-lie-in-april/your-lie-in-april-03.jpg|200|99.0|MXN|2018-08-08|La imposibilidad de escucharse a sí mismo ya no es un el más grande obstáculo para Kosei pues, aun cuando toca el piano con toda la maestría de la que es capaz, su alma sigue sin acompañar su ejecución. Finalmente, la fecha del concurso ha llegado y el joven debe enfrentar a dos rivales del pasado que no cesarán en su búsqueda por derrotarlo: los excepcionales Takeshi y Emi.|978-6-075-48301-6|1|false
Your Lie in April #4|4|4|/panini-manga-mx/your-lie-in-april/your-lie-in-april-04.jpg|192|99.0|MXN|2018-10-10|Kosei Arima empieza a recuperar la confianza en sí mismo, aunque sus problemas para escuchar las notas siguen presentes. Kaori Miyazono continúa poyándolo sin dudar, pero nadie sabe si eso será suficiente para que Kosei logre salir de su estancamiento y descubra secretos ocultos de su pasado y el origen de sus miedos. ¡Este volumen será la clave para empezar a forjar la nueva evolución de Kosei y presentarse nuevamente a concursar!|978-6-075-48448-8|1|false
Your Lie in April #5|5|5|/panini-manga-mx/your-lie-in-april/your-lie-in-april-05.jpg|200|99.0|MXN|2018-12-12|Kosei está a punto de vivir su peor pesadilla: estar ante un piano, sobre un escenario, en plena competencia… y no poder escuchar el sonido.|978-6-075-48557-7|1|false
Your Lie in April #6|6|6|/panini-manga-mx/your-lie-in-april/your-lie-in-april-06.jpg|192|99.0|MXN|2019-02-13|La vida de Kosei está a punto de cambiar… ¡y tal vez para bien! Ahora que Hiroko Seto ha regresado a su vida, no solo tendrá la oportunidad de reencontrarse con la música, sino (quizá) reconciliarse con el recuerdo de su madre. Sin embargo, se acerca la fecha del concierto en el que participará con Kaori… ¡y podría esperarle una sorpresa desagradable!|978-6-075-48737-3|1|false
Your Lie in April #7|7|7|/panini-manga-mx/your-lie-in-april/your-lie-in-april-07.jpg|192|99.0|MXN|2019-04-10|Los momentos más breves pueden cambiar vidas. Primero, Kosei decide tocar en el concierto, aunque Kaori no se presentó. ¿Finalmente hará las paces con el recuerdo de su madre? Además, Tsubaki finalmente comprende algo que se ha negado a aceptar. ¿Acaso Kaori está ocultando un secreto terrible?|978-6-075-48850-9|1|false
Your Lie in April #8|8|8|/panini-manga-mx/your-lie-in-april/your-lie-in-april-08.jpg|192|99.0|MXN|2019-06-12|Con el regreso a clases, viene una época de cambios. Tsubaki escucha que Kosei piensa mudarse para seguir estudiando música. Hiroko decide que Kosei está listo para empezar a dar clases de piano. Y un día, de la nada, Kaori reaparece en la escuela, aunque quiere salir de paseo con Kosei. ¿Qué secreto guarda cada uno?|978-6-076-34028-8|1|false
Your Lie in April #9|9|9|/panini-manga-mx/your-lie-in-april/your-lie-in-april-09.jpg|200|99.0|MXN|2019-08-14|Con la propuesta de Kaori de suicidarse juntos todavía en sus pensamientos, Kosei decide enviarle un mensaje. Para lograrlo, necesitará el apoyo de Nagi, su misteriosa alumna, y participar juntos en un concierto. ¿Por qué Nagi busca vengarse de él? ¿Y cuál será la última lección de Kosei para su alumna?|978-6-076-34194-0|1|false
Your Lie in April #10|10|10|/panini-manga-mx/your-lie-in-april/your-lie-in-april-10.jpg|200|99.0|MXN|2019-10-09|Kosei tiene una sola oportunidad para estudiar música: a pesar de la competencia, triunfar en el Concurso de Piano del Este de Japón. Kaori tiene una sola oportunidad para sobrevivir: someterse a una operación. Cuando Kosei comprenda que podría perder a Kaori, ¿volverá a encerrarse en sí mismo? ¿O todo quedará en manos de Tsubaki?|978-6-076-34271-8|1|false
Your Lie in April #11|11|11|/panini-manga-mx/your-lie-in-april/your-lie-in-april-11.jpg|200|99.0|MXN|2019-12-18|Es momento del concierto final: al mismo tiempo en que Kaori se somete a una operación, Kosei participa en el Concurso de Piano del Este de Japón. Las vidas de ambos enfrentan su mayor desafío. Un piano, un violín y una confesión. ¡Descubre el desenlace de esta conmovedora historia!|978-6-076-34456-9|1|false
