NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Yu-Gi-Oh! #1|1|1|/panini-manga-mx/yu-gi-oh/yu-gi-oh-01.jpg|200|199.0|MXN|2020-09-16|"Una exhibición de una excavación egipcia llega a Ciudad Domino, y Yugi y sus amigos van a verla. Shadi, un egipcio que resguarda las tumbas de los faraones, llega para castigar a los ""profanadores"", pero se encuentra con Yugi y le intriga su poder del Rompecabezas del Milenio. Shadi le pone trampas y pruebas con los Artículos del Milenio que posee a Yugi, usando a sus amigos como carnada, pero al final Yami Yugi logra derrotarlo y salvar a sus amigos. Shadi se va en paz, pero promete a Yugi volverlo a ver. Y así el Instituto Domino vuelve a la normalidad y Yami Yugi continúa ayudando a sus amigos con los Juegos de las Sombras."|978-6-076-34888-8|1|false
Yu-Gi-Oh! #2|2|2|/panini-manga-mx/yu-gi-oh/yu-gi-oh-02.jpg|304|199.0|MXN|2020-11-18|"Una exhibición de una excavación egipcia llega a Ciudad Domino, y Yugi y sus amigos van a verla. Shadi, un egipcio que resguarda las tumbas de los faraones, llega para castigar a los ""profanadores"", pero se encuentra con Yugi y le intriga su poder del Rompecabezas del Milenio. Shadi le pone trampas y pruebas con los Artículos del Milenio que posee a Yugi, usando a sus amigos como carnada, pero al final Yami Yugi logra derrotarlo y salvar a sus amigos. Shadi se va en paz, pero promete a Yugi volverlo a ver. Y así el Instituto Domino vuelve a la normalidad y Yami Yugi continúa ayudando a sus amigos con los Juegos de las Sombras."|978-6-075-68114-6|1|false
Yu-Gi-Oh! #3|3|3|/panini-manga-mx/yu-gi-oh/yu-gi-oh-03.jpg|328|199.0|MXN|2021-02-17|Yugi y Jonouchi son invitados a la inauguración de un nuevo parque de diversiones creado por la empresa de Kaiba. Pero, en realidad, se trata de Death T, un parque con atracciones mortales que Kaiba construyó para vengarse de Yugi. Él, junto con sus amigos, tiene que pasar por varias y sobrevivir para al final enfrentarse con Kaiba en un duelo de cartas, donde la baraja que le dejó su abuelo guiará su corazón.|978-6-075-68210-5|1|false
Yu-Gi-Oh! #4|4|4|/panini-manga-mx/yu-gi-oh/yu-gi-oh-04.jpg|410|199.0|MXN|2021-04-21|Un chico llamado Ryo Bakura llega a la clase de Yugi, y comienza a congeniar con él y sus amigos por su afición a los juegos, en especial un RPG de mesa llamado Monster World. Pero dentro del colgante de Bakura, un Artículo del Milenio, vive un espíritu maligno que los atrapa en el mundo del juego para tratar de apoderarse del Rompecabezas del Milenio. Yami Yugi le hace frente en este Juego de las Sombras para rescatar a sus amigos y a Bakura, quien se encuentra sellado dentro de ese oscuro amo del juego.|978-6-075-68336-2|1|false
Yu-Gi-Oh! #5|5|5|/panini-manga-mx/yu-gi-oh/yu-gi-oh-05.jpg|298|199.0|MXN|2021-06-16|Pegasus J. Crawford, el creador del juego de cartas Magic and Wizards, vence a Yugi en un duelo, que resulta ser un Juego de las Sombras. Pegasus encierra el alma del abuelito en un videocasete. Yugi y sus amigos se embarcan hacia el Reino de los Duelistas, un evento del juego de cartas organizado por Pegasus, para derrotarlo y regresar al abuelo a la normalidad. Jonouchi también participa por una razón muy fuerte, así que ¡ni él ni Yugi pueden perder!|978-6-075-68465-9|1|false
Yu-Gi-Oh! #6|6|6|/panini-manga-mx/yu-gi-oh/yu-gi-oh-06.jpg|322|199.0|MXN|2021-08-18|Yugi y Jonouchi siguen luchando para conseguir las 10 star chips que son el pase de entrada al castillo de Pegasus. Sin embargo, este envía matones para tratar de despojarlos de sus fichas. Mai es víctima de uno, y Yugi lucha en su lugar para recuperar sus star chips. Por otro lado, Seto Kaiba llega a la isla para rescatar a su hermano Mokuba, y se encuentra con el grupo de Yugi. ¿Quién de ellos será capaz de llegar primero al castillo y derrotar a Pegasus?|978-6-075-68593-9|1|false
Yu-Gi-Oh! #7|7|7|/panini-manga-mx/yu-gi-oh/yu-gi-oh-07.jpg|336|199.0|MXN|2021-10-27|En el Reino de los Duelistas, Yugi y Jonouchi están a punto de obtener las 10 estrellas para alcanzar el castillo de Pegasus. Jonouchi se enfrenta con un secuaz del Bandido Keith en unos túneles. Y, más tarde, él y Yugi se unen en un partido de dobles contra los hermanos del laberinto para poder regresar a la superficie. Por otro lado, Pegasus le ordena a Kaiba que derrote a Yugi si quiere volver a ver a Mokuba. ¿Se enfrentarán los dos otra vez?|978-6-075-68704-9|1|false
Yu-Gi-Oh! #8|8|8|/panini-manga-mx/yu-gi-oh/yu-gi-oh-08.jpg|328|199.0|MXN|2022-01-05|Kaiba se vuelve más poderoso en el duelo contra Yugi al haber conseguido algo que proteger. Pero se parte su corazón cuando ve lo que los poderes de las sombras de Pegasus han hecho con Mokuba. Por otro lado, comienza el torneo final del Reino de los Duelistas. ¿Quiénes son los contrincantes que Yugi y Jonouchi tienen que derrotar primero antes de llegar a Pegasus?|978-6-075-68874-9|1|false
Yu-Gi-Oh! #9|9|9|/panini-manga-mx/yu-gi-oh/yu-gi-oh-09.jpg|322|199.0|MXN|2022-02-16|Continúan las finales en este último capítulo de la Saga del Reino de los Duelistas. Jonouchi muestra mucho coraje en el duelo contra el Bandido Keith. ¿Será capaz de vencerlo para que Yugi se enfrente al final con Pegasus? ¿Lograrán salvar al abuelo Sugoroku y a los Kaiba? Además, ¿cuál es el secreto del pasado de Pegasus y cómo obtuvo el Ojo del Milenio?|978-6-075-68929-6|1|false
Yu-Gi-Oh! #10|10|10|/panini-manga-mx/yu-gi-oh/yu-gi-oh-10.jpg|346|199.0|MXN|2022-04-20|Una nueva tienda de juegos abre en la ciudad, donde lanzan a la venta un nuevo juego llamado D. D. D. El dueño y su hijo, Ryuji Otogi, buscan venganza contra Sugoroku y retan a Yugi a un duelo en este juego, donde apuestan el Rompecabezas del Milenio. ¿Será capaz de salir vencedor sin la ayuda de Yami Yugi?|978-6-076-36067-5|1|false
