NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Yu Yu Hakusho #1|1|1|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-01.jpg|192|109.0|MXN|2020-01-29|Yusuke es un chico rebelde, grosero y que siempre se está metiendo en problemas, que inesperadamente muere al salvar a un niño de ser atropellado. Al morir, Yusuke se entera en el Mundo Espiritual que el pequeño iba a sobrevivir igualmente y que no esperaban su muerte a causa de un acto altruista, por lo que no puede ir ni al cielo ni al infierno. Para no quedarse atrapado en este limbo y poder resucitar, el Mundo Espiritual le pone una serie de pruebas, pero ¿logrará cumplirlas o su rebeldía le costará volver a su cuerpo y vida de antes?|978-6-076-34355-5|1|false
Yu Yu Hakusho #2|2|2|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-02.jpg|192|109.0|MXN|2020-03-25|Yusuke vuelve al mundo de los vivos, pero aún sin su cuerpo original. Ahora ha adquirido poderes que debe emplear con sabiduría y responsabilidad. Como detective espiritual enfrentará batallas contra terribles demonios y fuerzas malignas que ponen en peligro a los vivos, especialmente a sus amigos, por lo que deberá aprender a conocer y a utilizar sus poderes a su favor, y seguir sorteando las pruebas que el Mundo Espiritual le ponga revelando que, en el fondo, debajo de tanta rebeldía es un chico con muy buenas intenciones.|978-6-076-34625-9|1|false
Yu Yu Hakusho #3|3|3|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-03.jpg|192|119.0|MXN|2020-07-22|Yusuke entra a un torneo organizado por la Maestra Genkai, una respetada experta en artes marciales, con el fin de encontrar al sucesor ideal para enseñarle sus técnicas más poderosas. Para ello, la maestra Genkai prepara diversas pruebas para elegir al indicado. Yusuke se enfrenta a los demás candidatos, igualmente fuertes y con grandes habilidades, a quienes logra vencer, pero en la prueba final se enfrentará con Rando, un demonio que roba técnicas. ¿Logrará vencerlo y convertirse en el nuevo sucesor de la maestra Genkai?|978-6-076-34757-7|1|false
Yu Yu Hakusho #4|4|4|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-04.jpg|192|119.0|MXN|2020-09-19|Kogarashi Fuyuzora, un joven exorcista físico, vive en la posada Yuragi, donde le ha prometido al fantasma de una adolescente que la haría feliz para que pudiera ir al cielo. Después de que Chisaki pasara unos días en la posada y de que resolvieran un caso de exorcismo en un elitista colegio femenino, ¡llega el ansiado viaje escolar, el acontecimiento previo a las vacaciones de verano! El grupo se enfrenta a fantasmas en la playa y a la prueba de valor, y entonces llega la última noche del viaje...|978-6-075-68000-2|1|false
Yu Yu Hakusho #5|5|5|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-05.jpg|192|119.0|MXN|2020-11-25|Kuwabara y Yusuke deberán demostrar su fuerza para conseguir rescatar a la doncella Yukina. Para ello, participan en un torneo de artes marciales organizado por humanos ricos que gustan de apostar, entre ellos, Tarukane. En dicho torneo, el equipo Urameshi, conformado por Yusuke, Kurama, Hiei, Kuwabara y la maestra Genkai, se enfrentará al equipo de los hermanos Toguro en una feroz batalla; el equipo ganador obtendrá todo lo que deseé. ¿Lograrán Yusuke y sus compañeros derrotar a estos ruines demonios y ganar el torneo?|978-6-075-68115-3|1|false
Yu Yu Hakusho #6|6|6|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-06.jpg|192|119.0|MXN|2021-02-24|La feroz y ardua batalla entre el equipo Urameshi y los hermanos Toguro continúa. El torneo se pone cada vez más reñido y sucio. Uno de los espectadores: Sakyo, propietario del equipo de los hermanos Toguro desea ganar a toda costa para poder cumplir sus más siniestros deseos.|978-6-075-68209-9|1|false
Yu Yu Hakusho #7|7|7|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-07.jpg|192|119.0|MXN|2021-04-28|"Kogarashi Fuyuzora, un joven exorcista físico, vive en la posada Yuragi, donde prometió al fantasma de una adolescente que la haría feliz para que pudiera ir al cielo. Yuna participa en la obra de teatro ""La sirenita"" durante el festival cultural, y se da cuenta de lo mucho que le gusta Kogarashi. De la misma forma, Chisaki también se siente atraída por él, y les confiesa sus sentimientos a Yuna y a Hibari. Más tarde, el joven y la fantasma tienen una cita, y justo antes de volver a casa, entran en un negocio de adivinación."|978-6-075-68358-4|1|false
Yu Yu Hakusho #8|8|8|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-08.jpg|192|119.0|MXN|2021-06-30|Kogarashi, convertido en muñeco, se ve obligado a casarse contra su voluntad sin que pueda hacer nada. Además, las chicas de la posada han sido capturadas y no tienen más remedio que asistir a la ceremonia de subyugación... Después, el día de San Valentín llega a la posada, y parece que Kogarashi va a recibir muchísimos chocolates.|978-6-075-68472-7|1|false
Yu Yu Hakusho #9|9|9|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-09.jpg|192|119.0|MXN|2021-09-01|La gran final del torneo ha llegado y por fin se definirá el equipo campeón. Sin embargo, el equipo Urameshi se encuentra afectado por la muerte de Genkai; en tanto que se revelan las sucias intenciones de Sakyo: ganar para abrir un agujero que comunique el Mundo Infernal con el Mundo Demoníaco poniendo en peligro a todos. Tras una dura y cruenta batalla, el equipo Toguro vuelve a ganar, pero aún faltan una cuarta y quinta ronda, y Sakyo propone una condición: quien gane el cuarto enfrentamiento también se llevará la victoria del quinto y del torneo completo... ¿Qué final les tiene el destino preparado a estos equipos?|978-6-075-68603-5|1|false
Yu Yu Hakusho #10|10|10|/panini-manga-mx/yu-yu-hakusho/yu-yu-hakusho-10.jpg|200|119.0|MXN|2021-11-17|Tras una cruenta batalla contra Toguro en la que el público y el equipo de Urameshi se ven entre la vida y la muerte, por fin se conocerá al gran vencedor del torneo infernal y aquel que gane podrá pedir un deseo. Sin embargo, la gran final del torneo no significa que los problemas terminen, todo lo contrario: Yusuke y el Mundo Humano corren un gran peligro con la inesperada aparición de unos humanos muy extraños.|978-6-075-68722-3|1|false
