NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Yuna de la posada Yuragi #1|1|1|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-01.jpg|192|109.0|MXN|2019-10-30|Kogarashi Fuyuzora es un joven exorcista que se dedica a erradicar fantasmas y demás seres fantásticos a base de puñetazos. Tomó este camino para evitar ser poseído por espíritus malvados que lo llevaron a la ruina. En su búsqueda de un lugar barato donde vivir, se encuentra con una pareja de ancianos que administra la posada Yuragi, un fantástico hotel famoso por sus aguas termales... y que cayó en desgracia por culpa del fantasma que habita en él. Este fantasma no es otro que el de Yuna, una joven que tiene asuntos sin resolver en la tierra, pero no sabe cuáles son.|978-6-076-34290-9|1|false
Yuna de la posada Yuragi #2|2|2|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-02.jpg|192|109.0|MXN|2019-12-18|Kogarashi Fuyuzora es un joven exorcista que erradica fantasmas y demás seres fantásticos a puñetazos. En su búsqueda de un lugar barato donde vivir, llega a la posada Yuragi, famosa por sus aguas termales... y en la que habita el fantasma de Yuna. ¡Pero alguien la ha secuestrado! Con la intención de desposarla, el dragón negro se la ha llevado a su palacio. Kogarashi y Sagiri intentarán salvarla. ¿¡Lo conseguirán!?|978-6-076-34350-0|1|false
Yuna de la posada Yuragi #3|3|3|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-03.jpg|192|119.0|MXN|2020-02-26|Chisaki visita la posada Yuragi por primera vez! Sagiri queda fascinada por su feminidad, y Koyuzu sigue obsesionada con sus pechos. ¿¡Qué alboroto se armará cuando se bañen todas las chicas juntas!? Además, Yuna se mete medio dormida en el futón de Chisaki en mitad de la noche.|978-6-076-34624-2|1|false
Yuna de la posada Yuragi #4|4|4|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-04.jpg|192|119.0|MXN|2020-06-24|Kogarashi Fuyuzora, un joven exorcista físico, vive en la posada Yuragi, donde le ha prometido al fantasma de una adolescente que la haría feliz para que pudiera ir al cielo. Después de que Chisaki pasara unos días en la posada y de que resolvieran un caso de exorcismo en un elitista colegio femenino, ¡llega el ansiado viaje escolar, el acontecimiento previo a las vacaciones de verano! El grupo se enfrenta a fantasmas en la playa y a la prueba de valor, y entonces llega la última noche del viaje...|978-6-076-34759-1|1|false
Yuna de la posada Yuragi #5|5|5|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-05.jpg|192|119.0|MXN|2020-07-22|Hibari se muda a la posada Yuragi para estar junto a Kogarashi. Le hacen una fiesta de bienvenida en las aguas termales y disfruta de Halloween al máximo, pero le preocupa que el resto de las chicas tengan los pechos más grandes que ella, y por eso empieza un plan para aumentarse los suyos.|978-6-076-34864-2|1|false
Yuna de la posada Yuragi #6|6|6|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-06.jpg|192|119.0|MXN|2020-08-24|"¡¡Al fin llega el festival cultural!! Yuna no tiene más opción que participar en la obra de teatro ""La Sirenita"". A medida que actúa, se va dando cuenta de lo que de verdad siente. Después, aparece un misterioso juego de mesa que estaba guardado en el almacén... ¡¡y resulta un poco subido de tono!"|978-6-076-34953-3|1|false
Yuna de la posada Yuragi #7|7|7|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-07.jpg|200|119.0|MXN|2020-10-28|"Kogarashi Fuyuzora, un joven exorcista físico, vive en la posada Yuragi, donde prometió al fantasma de una adolescente que la haría feliz para que pudiera ir al cielo. Yuna participa en la obra de teatro ""La sirenita"" durante el festival cultural, y se da cuenta de lo mucho que le gusta Kogarashi. De la misma forma, Chisaki también se siente atraída por él, y les confiesa sus sentimientos a Yuna y a Hibari. Más tarde, el joven y la fantasma tienen una cita, y justo antes de volver a casa, entran en un negocio de adivinación."|978-6-075-68049-1|1|false
Yuna de la posada Yuragi #8|8|8|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-08.jpg|192|119.0|MXN|2021-01-27|Kogarashi, convertido en muñeco, se ve obligado a casarse contra su voluntad sin que pueda hacer nada. Además, las chicas de la posada han sido capturadas y no tienen más remedio que asistir a la ceremonia de subyugación... Después, el día de San Valentín llega a la posada, y parece que Kogarashi va a recibir muchísimos chocolates.|978-6-075-68155-9|1|false
Yuna de la posada Yuragi #9|9|9|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-09.jpg|192|119.0|MXN|2021-03-24|¡Karura se pone a la defensiva en el trabajo de Kogarashi! ¿Será buena mesera? También llega el White Day, así que Kogarashi tendrá que darles regalos a todas las que le dieron chocolates en San Valentín. ¡Todas se derretirán de lo ricos que están!|978-6-075-68253-2|1|false
Yuna de la posada Yuragi #10|10|10|/panini-manga-mx/yuna-de-la-posada-yuragi/yuna-de-la-posada-yuragi-10.jpg|200|119.0|MXN|2021-05-26|En el instituto Yukemuri, hay siete lugares en los que se producen fenómenos paranormales. Uno de ellos es unas escaleras malditas en las que las chicas no pueden evitar mostrar su ropa interior. Además, Matora lleva a Karura, Kogarashi y Nonko a unas aguas termales secretas para que la poderosa oni acceda a luchar con ella. ¿Servirá también para que Karura y Kogarashi ahonden en su relación...?|978-6-075-68409-3|1|false
