PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE
6011f57b30b6b30b0354d54b|20th Century Boys|20th-century-boys|-|Seinen|Tankōbon|monthly|completed|22|2015-11-03
6011f57b30b6b30b0354d54b|21st Century Boys|21st-century-boys|-|Seinen|Tankōbon|monthly|completed|2|2017-02-22
6011f57b30b6b30b0354d54b|¡Maid Sama!|maid-sama|-|Shōjo|Tankōbon|monthly|completed|18|2014-09-14
6011f57b30b6b30b0354d54b|Ajin|ajin|-|Seinen|Tankōbon|monthly|completed|17|2016-09-01
6011f57b30b6b30b0354d54b|Akame Ga Kill!|akame-ga-kill|-|Shōnen|Tankōbon|monthly|completed|15|2018-08-15
6011f57b30b6b30b0354d54b|Akira|akira|-|Seinen|Monster|quarterly|completed|6|2018-05-16
6011f57b30b6b30b0354d54b|All You Need Is Kill|all-you-need-is-kIll|-|Seinen|Tankōbon|bimonthly|completed|2|2016-07-20
6011f57b30b6b30b0354d54b|Alice 19th|alice-19th|-|Shōjo|Tankōbon|bimonthly|completed|7|2015-08-07
6011f57b30b6b30b0354d54b|Alma|alma|-|Seinen|Tankōbon|monthly|completed|4|2021-08-21
6011f57b30b6b30b0354d54b|Aoha Raido|aoha-raido|-|Shōjo|Tankōbon|bimonthly|completed|13|2016-04-27
6011f57b30b6b30b0354d54b|Ao No Flag|ao-no-flag|-|Shōnen|Tankōbon|bimonthly|publishing|8|2021-07-21
6011f57b30b6b30b0354d54b|Aposimz|aposimz|-|Shōnen|Tankōbon|bimonthly|publishing|9|2020-08-05
6011f57b30b6b30b0354d54b|Assassination Classroom|assassination-classroom|-|Shōnen|Tankōbon|monthly|completed|21|2015-11-25
6011f57b30b6b30b0354d54b|Assassin's Creed: Black Flag - Awakening|assassins-creed-black-flag-awakening|-|Seinen|Tankōbon|monthly|completed|2|2016-06-01
6011f57b30b6b30b0354d54b|Ataque de los Titanes|ataque-de-los-titanes|-|Shōnen|Tankōbon|monthly|completed|34|2014-11-05
6011f57b30b6b30b0354d54b|Ataque de los Titanes: Answers|ataque-de-los-titanes-answers|-|Guide|Tankōbon|one-shot|completed|1|2019-08-07
6011f57b30b6b30b0354d54b|Ataque de los Titanes: Before the Fall|ataque-de-los-titanes-before-the-fall|-|Shōnen|Tankōbon|monthly|completed|17|2016-08-03
6011f57b30b6b30b0354d54b|Ataque de los Titanes: No Regrets|ataque-de-los-titanes-no-regrets|-|Shōnen|Tankōbon|monthly|completed|2|2016-07-06
6011f57b30b6b30b0354d54b|Ataque de los Titanes: Inside|ataque-de-los-titanes-inside|-|Guide|Tankōbon|one-shot|completed|1|2019-02-06
6011f57b30b6b30b0354d54b|Ataque de los Titanes: Outside|ataque-de-los-titanes-outside|-|Guide|Tankōbon|one-shot|completed|1|2016-08-25
6011f57b30b6b30b0354d54b|Ataque de los Titanes: Lost Girls|ataque-de-los-titanes-lost-girls|-|Shōnen|Tankōbon|monthly|completed|2|2019-05-08
6011f57b30b6b30b0354d54b|Atelier Of Witch Hat|atelier-of-witch-hat|-|Seinen|Tankōbon|quarterly|publishing|9|2020-03-11
6011f57b30b6b30b0354d54b|Atom: The Beginning|atom-the-beginning|-|Seinen|Tankōbon|bimonthly|publishing|16|2019-01-30
6011f57b30b6b30b0354d54b|Bakemonogatari|bakemonogatari|-|Shōnen|Tankōbon|bimonthly|publishing|15|2020-12-02
6011f57b30b6b30b0354d54b|Bakuman|bakuman|-|Shōnen|Tankōbon|monthly|completed|20|2015-03-11
6011f57b30b6b30b0354d54b|Banana Fish|banana-fish|-|Shōjo|Tankōbon|bimonthly|publishing|19|2020-07-22
6011f57b30b6b30b0354d54b|Beastars|beastars|-|Shōnen|Tankōbon|bimonthly|publishing|18|2019-03-13
6011f57b30b6b30b0354d54b|Berserk|berserk|-|Seinen|Tankōbon|bimonthly|publishing|41|2014-09-29
6011f57b30b6b30b0354d54b|Berserk: Guia Oficial|berserk-guia-oficial|-|Guide|Tankōbon|one-shot|completed|1|2019-05-08
6011f57b30b6b30b0354d54b|Bestiarius|bestiarius|-|Shōnen|Tankōbon|bimonthly|completed|7|2017-09-27
6011f57b30b6b30b0354d54b|Black Bird|black-bird|-|Shōjo|Tankōbon|monthly|completed|18|2017-01-18
6011f57b30b6b30b0354d54b|Black Butler|black-butler|-|Shōnen|Tankōbon|bimonthly|publishing|31|2017-11-01
6011f57b30b6b30b0354d54b|Black Clover|black-clover|-|Shōnen|Tankōbon|bimonthly|publishing|24|2018-02-21
6011f57b30b6b30b0354d54b|Black Paradox|black-paradox|-|Seinen|Tankōbon|one-shot|completed|1|2020-09-02
6011f57b30b6b30b0354d54b|Blade of the Immortal|blade-of-the-immortal|-|Seinen|Shinsōban|quarterly|completed|15|2018-03-28
6011f57b30b6b30b0354d54b|Blame!|blame|-|Seinen|Tankōbon|bimonthly|completed|6|2019-03-27
6011f57b30b6b30b0354d54b|Bleach|bleach|-|Shōnen|Tankōbon|monthly|completed|74|2015-06-03
6011f57b30b6b30b0354d54b|Blood Lad|blood-lad|-|Seinen|Tankōbon|monthly|completed|17|2016-07-12
6011f57b30b6b30b0354d54b|Bloom Into You|bloom-into-you|-|Shōnen|Tankōbon|monthly|completed|8|2021-07-21
6011f57b30b6b30b0354d54b|Blue Exorcist|blue-exorcist|-|Shōnen|Tankōbon|monthly|publishing|27|2016-01-13
6011f57b30b6b30b0354d54b|Boruto|boruto|-|Shōnen|Tankōbon|bimonthly|publishing|10|2020-07-17
6011f57b30b6b30b0354d54b|Btooom!|btooom|-|Seinen|Tankōbon|monthly|completed|26|2017-12-06
6011f57b30b6b30b0354d54b|Bungo Stray Dogs|bungo-stray-dogs|-|Seinen|Tankōbon|bimonthly|publishing|21|2018-01-24
6011f57b30b6b30b0354d54b|Burn The Witch|burn-the-witch|-|Shōnen|Tankōbon|one-shot|completed|1|2021-11-10
6011f57b30b6b30b0354d54b|Captain Tsubasa|captain-tsubasa|-|Shōnen|Tankōbon|monthly|completed|37|2017-03-15
6011f57b30b6b30b0354d54b|Chainsaw Man|chainsaw-man|-|Shōnen|Tankōbon|bimonthly|publishing|11|2021-03-21
