PUBLISHER|TITLE|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM URL|PUBLISHER URL
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfab|20th Century Boys|20th-century-boys|-|Seinen|Tankōbon|manga|monthly|completed|22|2015-11-03|Mystery, Science Fiction, Thriller|Author: Naoki Urasawa|/ediciones/379813/20th_century_boys-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfac|21st Century Boys|21st-century-boys|-|Seinen|Tankōbon|manga|monthly|completed|2|2017-02-22|Mystery, Science Fiction, Thriller|Author: Naoki Urasawa|/ediciones/409866/21st_century_boys-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfad|¡Maid Sama!|maid-sama|-|Shōjo|Tankōbon|manga|monthly|completed|18|2014-09-14|Romantic Comedy|Author: Hiro Fujiwara|/ediciones/354945/maid_sama-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfae|Ajin|ajin|-|Seinen|Tankōbon|manga|monthly|completed|17|2016-09-01|Action, Dark Fantasy, Supernatural Thriller|Author: Gamon Sakurai|/ediciones/403727/ajin_semihumano-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfaf|Akame Ga Kill!|akame-ga-kill|-|Shōnen|Tankōbon|manga|monthly|completed|15|2018-08-15|Action, Dark Fantasy|Writer: Takahiro; Illustrator: Tetsuya Tashiro|/ediciones/509583/akame_ga_kill-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb0|Akira|akira|-|Seinen|Monster|manga|quarterly|completed|6|2018-05-16|Cyberpunk, Political Thriller, Post-Apocalyptic|Author: Katsuhiro Otomo|/ediciones/490087/akira-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb1|All You Need Is Kill|all-you-need-is-kIll|-|Seinen|Tankōbon|manga|bimonthly|completed|2|2016-07-20|Action, Adventure, Science Fiction|Writer: Hiroshi Sakurazaka; Illustrator: Yoshitoshi Abe|/ediciones/402597/all_you_need_is_kill-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb2|Alice 19th|alice-19th|-|Shōjo|Tankōbon|manga|bimonthly|completed|7|2015-08-07|Romance|Author: Yuu Watase|/ediciones/393250/alice_19th-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb3|Alma|alma|-|Seinen|Tankōbon|manga|monthly|completed|4|2021-08-21|Adventure, Drama, Sci-Fi|Author: Shinji Mito|/ediciones/608478/alma-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb4|Aoha Raido|aoha-raido|-|Shōjo|Tankōbon|manga|bimonthly|completed|13|2016-04-27|Coming-of-Age, Drama, Romance|Author: Io Sakisaka|/ediciones/399268/aoha_raido_la_primavera_de_nuestras_vidas-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb5|Ao No Flag|ao-no-flag|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|8|2021-07-21|Drama, Romance, Slice-of-Life|Author: KAITO|/ediciones/608857/ao_no_flag-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=ao+no+flag&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb6|Aposimz|aposimz|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|9|2020-08-05|Adventure, Dark Fantasy, Science Fiction|Author: Tsutomu Nihei|/ediciones/567105/aposimz_tierra_de_glenes-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=aposimz&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb7|Assassination Classroom|assassination-classroom|-|Shōnen|Tankōbon|manga|monthly|completed|21|2015-11-25|Action, Science Fiction Comedy|Author: Yusei Matsui|/ediciones/396669/assassination_classroom-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb8|Assassin's Creed: Black Flag - Awakening|assassins-creed-black-flag-awakening|-|Seinen|Tankōbon|manga|monthly|completed|2|2016-06-01|Fantasy, Historical Fiction|Writer: Takashi Yano; Illustrator: Kenji Oiwa|/ediciones/400834/assassins_creed_black_flag_-_awakening-rustica|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfb9|Ataque de los Titanes|ataque-de-los-titanes|-|Shōnen|Tankōbon|manga|monthly|completed|34|2014-11-05|Action, Dark Fantasy, Post-Apocalyptic|Author: Hajime Isayama|/ediciones/356432/ataque_de_los_titanes-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfba|Ataque de los Titanes: Answers|ataque-de-los-titanes-answers|-|Guide|Tankōbon|manga|one-shot|completed|1|2019-08-07|Action, Dark Fantasy, Post-Apocalyptic|Author: Hajime Isayama|/ediciones/553291/ataque_de_los_titanes_answers-rustica_con_sobrecubierta|-
6313cd63e79ac634c6e80cca|637acaa5a9208d5cf27cdfbb|Ataque de los Titanes: Before the Fall|ataque-de-los-titanes-before-the-fall|-|Shōnen|Tankōbon|manga|monthly|completed|17|2016-08-03|Action, Dark Fantasy, Post-Apocalyptic|Author: Ryō Suzukaze|/ediciones/402942/ataque_de_los_titanes_before_the_fall-rustica/todos|-
